POI_INDEX,TOTAL_REVIEWS,RANKING,POI_TYPE,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
74,39,69,"Sights & Landmarks, Cemeteries",Business,4.538461538461538,26,9,3,1,0,"Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.","9 Woodlands Road, Singapore 738656, Singapore",2020-01-31 16:58:11.886089
74,123,69,"Sights & Landmarks, Cemeteries",Friends,4.528455284552845,76,39,6,1,1,"Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.","9 Woodlands Road, Singapore 738656, Singapore",2020-01-31 16:58:49.945767
75,40,161,"Sights & Landmarks, Sacred & Religious Sites",Family,4.2,16,18,5,0,1,"Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.","141 Serangoon Road, Singapore 218042, Singapore",2020-01-31 17:00:00.590737
75,87,161,"Sights & Landmarks, Sacred & Religious Sites",Couples,4.2988505747126435,34,46,6,1,0,"Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.","141 Serangoon Road, Singapore 218042, Singapore",2020-01-31 17:00:45.029799
75,45,161,"Sights & Landmarks, Sacred & Religious Sites",Solo,4.066666666666666,13,25,5,1,1,"Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.","141 Serangoon Road, Singapore 218042, Singapore",2020-01-31 17:02:06.633510
75,7,161,"Sights & Landmarks, Sacred & Religious Sites",Business,4.0,2,3,2,0,0,"Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.","141 Serangoon Road, Singapore 218042, Singapore",2020-01-31 17:02:58.622024
75,35,161,"Sights & Landmarks, Sacred & Religious Sites",Friends,4.371428571428572,17,14,4,0,0,"Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.","141 Serangoon Road, Singapore 218042, Singapore",2020-01-31 17:03:22.669803
76,22,163,"Sights & Landmarks, Sacred & Religious Sites",Family,4.454545454545454,12,8,2,0,0,Certificate of Excellence,"178 Waterloo Street Kwan im Temple, Singapore 187964, Singapore",2020-01-31 17:04:05.821413
76,15,163,"Sights & Landmarks, Sacred & Religious Sites",Couples,4.333333333333334,7,6,2,0,0,Certificate of Excellence,"178 Waterloo Street Kwan im Temple, Singapore 187964, Singapore",2020-01-31 17:04:40.277417
76,27,163,"Sights & Landmarks, Sacred & Religious Sites",Solo,4.222222222222222,12,9,6,0,0,Certificate of Excellence,"178 Waterloo Street Kwan im Temple, Singapore 187964, Singapore",2020-01-31 17:05:06.899095
76,1,163,"Sights & Landmarks, Sacred & Religious Sites",Business,4.0,0,1,0,0,0,Certificate of Excellence,"178 Waterloo Street Kwan im Temple, Singapore 187964, Singapore",2020-01-31 17:05:43.105276
76,17,163,"Sights & Landmarks, Sacred & Religious Sites",Friends,4.294117647058823,6,10,1,0,0,Certificate of Excellence,"178 Waterloo Street Kwan im Temple, Singapore 187964, Singapore",2020-01-31 17:06:06.016334
77,64,184,"Museums, Natural History Museums",Family,4.375,32,26,5,0,1,"The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.","2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",2020-01-31 17:06:40.687705
77,14,184,"Museums, Natural History Museums",Couples,4.214285714285714,4,9,1,0,0,"The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.","2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",2020-01-31 17:07:45.499829
77,17,184,"Museums, Natural History Museums",Solo,4.0588235294117645,6,8,2,0,1,"The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.","2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",2020-01-31 17:08:13.943831
77,2,184,"Museums, Natural History Museums",Business,4.5,1,1,0,0,0,"The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.","2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",2020-01-31 17:08:48.867122
77,13,184,"Museums, Natural History Museums",Friends,4.461538461538462,7,5,1,0,0,"The Lee Kong Chian Natural History Museum (LKCNHM) is Singapore’s first and only natural history museum. The museum, which traces its roots to the original Raffles Museum of 1878, is among the oldest such institution in the region. Established through philanthropic gifts totalling $56 million, LKCNHM aims to be a leader in Southeast Asian biodiversity and conservation research, education and outreach. The exhibition gallery is divided into two levels: The main biodiversity gallery, comprising 15 zones, tracks the history of life on earth, among them green plants, fungi, molluscs, arthropods, birds and mammals. The mezzanine floor, home to the heritage zone, presents the history of the Raffles Museum and LKCNHM. This gallery holds the “Cabinets of Curiosities” where visitors can examine Singapore’s history of biodiversity exploration; the people who helped build this; and the biological treasures accumulated over 137 years. A zone titled “Singapore Today” reveals the geology of the island and the important conservation efforts by national agencies.","2 Conservatory Drive | National University of Singapore, Singapore 117377, Singapore",2020-01-31 17:09:14.527475
78,112,66,"Traveller Resources, Visitor Centres",Family,4.705357142857142,91,13,5,2,1,"The Singapore Visitor Centre is set in a two-storey conserved Peranakan shophouse in the heritage-rich Emerald Hill area. The centre provides services like the sale of locally designed souvenirs, tours, attraction, event tickets and booking of accommodation. Key feature of the SVC is the use of technology to help visitors. There are four interactive kiosk that allow visitors to browse and put together a digital itinerary. This personalised itinerary can be printed or emailed to visitors. Besides this, there are also two large screens that display a variety of places of interest and events in Singapore. Complimentary WiFi is also available within the SVC. On top of this, there is also an event space on the second floor where interactive and engaging activities are conducted every month. These programmes are curated for visitors who are keen to find out more about our culture.","216 Orchard Road Orchard Gateway @ Emerald | Orchard Gateway At Emerald, Opposite Somerset MRT, Singapore 238898, Singapore",2020-01-31 17:09:43.421031
78,223,66,"Traveller Resources, Visitor Centres",Couples,4.748878923766816,184,29,4,5,1,"The Singapore Visitor Centre is set in a two-storey conserved Peranakan shophouse in the heritage-rich Emerald Hill area. The centre provides services like the sale of locally designed souvenirs, tours, attraction, event tickets and booking of accommodation. Key feature of the SVC is the use of technology to help visitors. There are four interactive kiosk that allow visitors to browse and put together a digital itinerary. This personalised itinerary can be printed or emailed to visitors. Besides this, there are also two large screens that display a variety of places of interest and events in Singapore. Complimentary WiFi is also available within the SVC. On top of this, there is also an event space on the second floor where interactive and engaging activities are conducted every month. These programmes are curated for visitors who are keen to find out more about our culture.","216 Orchard Road Orchard Gateway @ Emerald | Orchard Gateway At Emerald, Opposite Somerset MRT, Singapore 238898, Singapore",2020-01-31 17:11:52.133885
78,66,66,"Traveller Resources, Visitor Centres",Solo,4.651515151515151,49,12,4,1,0,"The Singapore Visitor Centre is set in a two-storey conserved Peranakan shophouse in the heritage-rich Emerald Hill area. The centre provides services like the sale of locally designed souvenirs, tours, attraction, event tickets and booking of accommodation. Key feature of the SVC is the use of technology to help visitors. There are four interactive kiosk that allow visitors to browse and put together a digital itinerary. This personalised itinerary can be printed or emailed to visitors. Besides this, there are also two large screens that display a variety of places of interest and events in Singapore. Complimentary WiFi is also available within the SVC. On top of this, there is also an event space on the second floor where interactive and engaging activities are conducted every month. These programmes are curated for visitors who are keen to find out more about our culture.","216 Orchard Road Orchard Gateway @ Emerald | Orchard Gateway At Emerald, Opposite Somerset MRT, Singapore 238898, Singapore",2020-01-31 17:15:41.433963
78,17,66,"Traveller Resources, Visitor Centres",Business,4.764705882352941,13,4,0,0,0,"The Singapore Visitor Centre is set in a two-storey conserved Peranakan shophouse in the heritage-rich Emerald Hill area. The centre provides services like the sale of locally designed souvenirs, tours, attraction, event tickets and booking of accommodation. Key feature of the SVC is the use of technology to help visitors. There are four interactive kiosk that allow visitors to browse and put together a digital itinerary. This personalised itinerary can be printed or emailed to visitors. Besides this, there are also two large screens that display a variety of places of interest and events in Singapore. Complimentary WiFi is also available within the SVC. On top of this, there is also an event space on the second floor where interactive and engaging activities are conducted every month. These programmes are curated for visitors who are keen to find out more about our culture.","216 Orchard Road Orchard Gateway @ Emerald | Orchard Gateway At Emerald, Opposite Somerset MRT, Singapore 238898, Singapore",2020-01-31 17:17:04.186327
78,66,66,"Traveller Resources, Visitor Centres",Friends,4.772727272727273,55,8,2,1,0,"The Singapore Visitor Centre is set in a two-storey conserved Peranakan shophouse in the heritage-rich Emerald Hill area. The centre provides services like the sale of locally designed souvenirs, tours, attraction, event tickets and booking of accommodation. Key feature of the SVC is the use of technology to help visitors. There are four interactive kiosk that allow visitors to browse and put together a digital itinerary. This personalised itinerary can be printed or emailed to visitors. Besides this, there are also two large screens that display a variety of places of interest and events in Singapore. Complimentary WiFi is also available within the SVC. On top of this, there is also an event space on the second floor where interactive and engaging activities are conducted every month. These programmes are curated for visitors who are keen to find out more about our culture.","216 Orchard Road Orchard Gateway @ Emerald | Orchard Gateway At Emerald, Opposite Somerset MRT, Singapore 238898, Singapore",2020-01-31 17:17:41.704326
79,58,208,"Shopping, Shopping Malls",Family,4.0344827586206895,15,31,11,1,0,"Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.","68 Orchard Road Plaza Singapura, Singapore 238839, Singapore",2020-01-31 17:19:02.722942
79,56,208,"Shopping, Shopping Malls",Couples,3.9107142857142856,12,29,14,0,1,"Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.","68 Orchard Road Plaza Singapura, Singapore 238839, Singapore",2020-01-31 17:19:55.446883
79,33,208,"Shopping, Shopping Malls",Solo,4.090909090909091,12,15,4,1,1,"Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.","68 Orchard Road Plaza Singapura, Singapore 238839, Singapore",2020-01-31 17:20:49.994230
79,10,208,"Shopping, Shopping Malls",Business,4.0,2,6,2,0,0,"Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.","68 Orchard Road Plaza Singapura, Singapore 238839, Singapore",2020-01-31 17:21:32.766333
79,41,208,"Shopping, Shopping Malls",Friends,3.7560975609756095,8,18,12,3,0,"Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.","68 Orchard Road Plaza Singapura, Singapore 238839, Singapore",2020-01-31 17:21:58.216591
80,38,160,"Nature & Parks, Nature & Wildlife Areas",Family,4.026315789473684,9,21,8,0,0,Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187, Singapore",2020-01-31 17:22:50.901249
80,35,160,"Nature & Parks, Nature & Wildlife Areas",Couples,4.199999999999999,15,13,6,1,0,Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187, Singapore",2020-01-31 17:23:34.592894
80,26,160,"Nature & Parks, Nature & Wildlife Areas",Solo,4.0,7,14,3,2,0,Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187, Singapore",2020-01-31 17:24:10.543429
80,0,160,"Nature & Parks, Nature & Wildlife Areas",Business,0,0,0,0,0,0,Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187, Singapore",2020-01-31 17:24:46.625020
80,37,160,"Nature & Parks, Nature & Wildlife Areas",Friends,4.405405405405405,18,16,3,0,0,Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187, Singapore",2020-01-31 17:25:06.992373
81,8,430,"Nature & Parks, Islands",Family,3.625,1,3,4,0,0,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.","Kusu Island, Singapore 000704, Singapore",2020-01-31 17:25:41.835972
81,18,430,"Nature & Parks, Islands",Couples,3.944444444444444,5,8,4,1,0,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.","Kusu Island, Singapore 000704, Singapore",2020-01-31 17:26:06.846817
81,10,430,"Nature & Parks, Islands",Solo,3.7,2,4,3,1,0,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.","Kusu Island, Singapore 000704, Singapore",2020-01-31 17:26:34.272291
81,0,430,"Nature & Parks, Islands",Business,0,0,0,0,0,0,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.","Kusu Island, Singapore 000704, Singapore",2020-01-31 17:26:58.360862
81,23,430,"Nature & Parks, Islands",Friends,3.695652173913044,3,14,3,2,1,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.","Kusu Island, Singapore 000704, Singapore",2020-01-31 17:27:18.728424
82,106,224,"Sights & Landmarks, Sacred & Religious Sites",Family,4.047169811320755,34,49,19,2,2,"Singapore’s oldest Hindu temple is also one of the most popular thanks to its proximity to Chinatown and its colorful exterior. Admission is free, though a donation is requested of those taking photographs. An annual fire-walking ceremony is held here every October or November.","244 South Bridge Road Sri Mariamman Temple, Singapore 058793, Singapore",2020-01-31 17:27:55.202296
82,164,224,"Sights & Landmarks, Sacred & Religious Sites",Couples,3.981707317073171,43,82,33,5,1,"Singapore’s oldest Hindu temple is also one of the most popular thanks to its proximity to Chinatown and its colorful exterior. Admission is free, though a donation is requested of those taking photographs. An annual fire-walking ceremony is held here every October or November.","244 South Bridge Road Sri Mariamman Temple, Singapore 058793, Singapore",2020-01-31 17:29:08.901888
82,103,224,"Sights & Landmarks, Sacred & Religious Sites",Solo,4.038834951456311,28,53,20,2,0,"Singapore’s oldest Hindu temple is also one of the most popular thanks to its proximity to Chinatown and its colorful exterior. Admission is free, though a donation is requested of those taking photographs. An annual fire-walking ceremony is held here every October or November.","244 South Bridge Road Sri Mariamman Temple, Singapore 058793, Singapore",2020-01-31 17:30:42.839278
82,12,224,"Sights & Landmarks, Sacred & Religious Sites",Business,4.0,2,8,2,0,0,"Singapore’s oldest Hindu temple is also one of the most popular thanks to its proximity to Chinatown and its colorful exterior. Admission is free, though a donation is requested of those taking photographs. An annual fire-walking ceremony is held here every October or November.","244 South Bridge Road Sri Mariamman Temple, Singapore 058793, Singapore",2020-01-31 17:31:56.136650
