,POI_INDEX,WEBSITE_INDEX,POI_NAME,URL,POI_GOOGLE_TRANSLATE_ENGLISH_NAME,POI_CHINESE_NAME,ENG_NAME_SPACE,INDEX,POI,link,num_reviews,IS_PRIORITIZED
12,13,2,Marina Bay Sands,/sight/singapore53/30007.html,Marina Bay Sands,滨海湾金沙,,12.0,滨海湾金沙,/sight/singapore53/30007.html,"
                                (547条点评)",0
13,14,2,Singapore Botanical Garden,/sight/singapore53/3672.html,Singapore Botanical Garden,新加坡植物园,,13.0,新加坡植物园,/sight/singapore53/3672.html,"
                                (701条点评)",0
14,15,2,Resorts World Sentosa,/sight/sentosa776/87411.html,Resorts World Sentosa,圣淘沙名胜世界,,14.0,圣淘沙名胜世界,/sight/sentosa776/87411.html,"
                                (572条点评)",0
15,16,2,Esplanade Theatresonthe Bay,/sight/singapore53/26705.html,Esplanade,滨海艺术中心,Esplanade Theatresonthe Bay,15.0,滨海艺术中心,/sight/singapore53/26705.html,"
                                (429条点评)",0
16,17,2,Sentosa Skyline Slip,/sight/sentosa776/134468.html,Sentosa Skyline Slip,圣淘沙天际线斜坡滑车,,16.0,圣淘沙天际线斜坡滑车,/sight/sentosa776/134468.html,"
                                (3209条点评)",0
17,18,2,National Museum of Singapore,/sight/singapore53/3662.html,National Museum of Singapore,新加坡国家博物馆,,17.0,新加坡国家博物馆,/sight/singapore53/3662.html,"
                                (814条点评)",0
18,19,2,Marina Bay,/sight/singapore53/1711506.html,Marina Bay,滨海湾,Marina Bay,18.0,滨海湾,/sight/singapore53/1711506.html,"
                                (414条点评)",0
19,20,2,Singapore River,/sight/singapore53/25836.html,Singapore River,新加坡河,,19.0,新加坡河,/sight/singapore53/25836.html,"
                                (458条点评)",0
20,21,2,St Andrews Cathedral,/sight/singapore53/3659.html,St. Andrew's Church,圣安德烈教堂,St Andrews Cathedral,20.0,圣安德烈教堂,/sight/singapore53/3659.html,"
                                (462条点评)",0
21,22,2,Marina Bay Sands Sky Garden,/sight/singapore53/1484299.html,Marina Bay Sands Sky Garden,滨海湾金沙空中花园,,21.0,滨海湾金沙空中花园,/sight/singapore53/1484299.html,"
                                (736条点评)",0
22,23,2,Singapore National Gallery,/sight/singapore53/136896.html,Singapore National Gallery,新加坡国家美术馆,,22.0,新加坡国家美术馆,/sight/singapore53/136896.html,"
                                (573条点评)",0
23,24,2,River Ecological Park,/sight/singapore53/137344.html,River Ecological Park,河川生态园,,23.0,河川生态园,/sight/singapore53/137344.html,"
                                (1194条点评)",0
24,25,2,Marina Bay Sands Hotel Infinity Pool,/sight/singapore53/1407535.html,Marina Bay Sands Hotel Infinity Pool,滨海湾金沙酒店无边泳池,Marina Bay Sands Hotel Infinity Pool,24.0,滨海湾金沙酒店无边泳池,/sight/singapore53/1407535.html,"
                                (643条点评)",0
25,26,2,Wings of Time,/sight/singapore53/1411763.html,Wings of Time,时光之翼,,25.0,时光之翼,/sight/singapore53/1411763.html,"
                                (2570条点评)",0
26,27,2,Water Adventure Park,/sight/sentosa776/1486042.html,Water Adventure Park,水上探险乐园,,26.0,水上探险乐园,/sight/sentosa776/1486042.html,"
                                (2034条点评)",0
27,28,2,Palawan Beach,/sight/sentosa776/107848.html,Barra Bay Beach,巴拉湾海滩,Palawan Beach,27.0,巴拉湾海滩,/sight/sentosa776/107848.html,"
                                (405条点评)",0
28,29,2,Haji Lane,/sight/singapore53/108091.html,Haji Lane,哈芝巷,Haji Lane,28.0,哈芝巷,/sight/singapore53/108091.html,"
                                (374条点评)",0
29,30,2,Masjid Sultan,/sight/singapore53/3660.html,Sultan Mosque,苏丹清真寺,Masjid Sultan,29.0,苏丹清真寺,/sight/singapore53/3660.html,"
                                (274条点评)",0
30,31,2,Jurong Bird Park,/sight/jurong21393/3679.html,Jurong Bird Park,裕廊飞禽公园,,30.0,裕廊飞禽公园,/sight/jurong21393/3679.html,"
                                (888条点评)",0
31,32,2,Chijmes,/sight/singapore53/132423.html,Praise Place,赞美广场,Chijmes,31.0,赞美广场,/sight/singapore53/132423.html,"
                                (210条点评)",0
32,33,2,Siloso Beach,/sight/sentosa776/107849.html,Siloso Beach,西乐索海滩,Siloso Beach,32.0,西乐索海滩,/sight/sentosa776/107849.html,"
                                (302条点评)",0
33,34,2,Helix Bridge,/sight/singapore53/137357.html,Double Helix Bridge,双螺旋桥,Helix Bridge,33.0,双螺旋桥,/sight/singapore53/137357.html,"
                                (365条点评)",0
34,35,2,Sri Mariamman Temple,/sight/singapore53/25841.html,Mariamman Hindu Temple,马里安曼兴都庙,Sri Mariamman Temple,34.0,马里安曼兴都庙,/sight/singapore53/25841.html,"
                                (394条点评)",0
35,36,2,Singapore Art Museum,/sight/singapore53/1411252.html,Singapore Art Museum,新加坡艺术科学博物馆,,35.0,新加坡艺术科学博物馆,/sight/singapore53/1411252.html,"
                                (604条点评)",0
36,37,2,Singapore Cable Car,/sight/singapore53/1407536.html,Singapore Cable Car,新加坡缆车,,36.0,新加坡缆车,/sight/singapore53/1407536.html,"
                                (963条点评)",0
37,38,2,Kampong Glam,/sight/singapore53/25840.html,Kampong Glam,甘榜格南,Kampong Glam,37.0,甘榜格南,/sight/singapore53/25840.html,"
                                (254条点评)",0
38,39,2,East Coast Park,/sight/singapore53/7681.html,East Coast Park,东海岸公园,East Coast Park,38.0,东海岸公园,/sight/singapore53/7681.html,"
                                (284条点评)",0
39,40,2,Faber Park,/sight/singapore53/7676.html,Faber Park,花柏山公园,,39.0,花柏山公园,/sight/singapore53/7676.html,"
                                (296条点评)",0
40,41,2,Old Hill Street Police Station,/sight/singapore53/30010.html,Old Jubilee Street Police Station,旧禧街警察局,Old Hill Street Police Station,40.0,旧禧街警察局,/sight/singapore53/30010.html,"
                                (196条点评)",0
41,42,2,Buddha Tooth Relic Temple,/sight/singapore53/145844.html,Buddha Tooth Relic Temple in Singapore,新加坡佛牙寺龙华院,Buddha Tooth Relic Temple,41.0,新加坡佛牙寺龙华院,/sight/singapore53/145844.html,"
                                (287条点评)",0
42,43,2,National Universityof Singapore,/sight/singapore53/1409771.html,National University of Singapore,新加坡国立大学,National Universityof Singapore,42.0,新加坡国立大学,/sight/singapore53/1409771.html,"
                                (140条点评)",0
43,44,2,Geylang Serai,/sight/singapore53/7682.html,Geylang Serai,芽笼士乃,Geylang Serai,43.0,芽笼士乃,/sight/singapore53/7682.html,"
                                (173条点评)",0
44,45,2,National Orchid Garden,/sight/singapore53/1674015.html,National Orchid Garden,国家胡姬花园,,44.0,国家胡姬花园,/sight/singapore53/1674015.html,"
                                (396条点评)",0
45,46,2,Singapore Art Museum,/sight/singapore53/3661.html,Singapore Art Museum,新加坡艺术博物馆,Singapore Art Museum,45.0,新加坡艺术博物馆,/sight/singapore53/3661.html,"
                                (209条点评)",0
46,47,2,Dolphin Garden,/sight/sentosa776/1703716.html,Dolphin Garden,海豚园,,46.0,海豚园,/sight/sentosa776/1703716.html,"
                                (396条点评)",0
47,48,2,Nanyang Technological University,/sight/singapore53/1409766.html,"Nanyang Technological University, Singapore",新加坡南洋理工大学,Nanyang Technological University,47.0,新加坡南洋理工大学,/sight/singapore53/1409766.html,"
                                (188条点评)",0
48,49,2,Bukit Timah Nature Reserve,/sight/singapore53/7689.html,Bukit Timah Natural Reserve,武吉知马天然保护区,Bukit Timah Nature Reserve,48.0,武吉知马天然保护区,/sight/singapore53/7689.html,"
                                (150条点评)",0
49,50,2,Pulau Ubin,/sight/pulauubin21394/7684.html,Umin Island,乌敏岛,Pulau Ubin,49.0,乌敏岛,/sight/pulauubin21394/7684.html,"
                                (151条点评)",0
50,51,2,Red Dot Design Museum,/sight/singapore53/147110.html,Red Dot Design Museum,红点设计博物馆,,50.0,红点设计博物馆,/sight/singapore53/147110.html,"
                                (190条点评)",0
51,52,2,Victoria Theatre Victoria Concert Hall,/sight/singapore53/3674.html,Victoria Theatre & Concert Hall,维多利亚剧院与音乐厅,Victoria Theatre Victoria Concert Hall,51.0,维多利亚剧院与音乐厅,/sight/singapore53/3674.html,"
                                (140条点评)",0
52,53,2,Holland Village,/sight/singapore53/30072.html,Dutch Village,荷兰村,Holland Village,52.0,荷兰村,/sight/singapore53/30072.html,"
                                (122条点评)",0
53,54,2,The Arts House,/sight/singapore53/25848.html,Old Capitol Art House,旧国会大厦艺术之家,The Arts House,53.0,旧国会大厦艺术之家,/sight/singapore53/25848.html,"
                                (119条点评)",0
54,55,2,Bugis Village,/sight/singapore53/7674.html,Bugis Village,武吉士村,Bugis Village,54.0,武吉士村,/sight/singapore53/7674.html,"
                                (119条点评)",0
55,56,2,CITY TOUR Duck Boat,/sight/singapore53/2481730.html,CITY TOUR Duck Boat,CITY TOUR鸭子船,,55.0,CITY TOUR鸭子船,/sight/singapore53/2481730.html,"
                                (380条点评)",0
56,57,2,Fort Canning Park,/sight/singapore53/1710111.html,Fort Canning Park,福康宁公园,Fort Canning Park,56.0,福康宁公园,/sight/singapore53/1710111.html,"
                                (156条点评)",0
57,58,2,Singapore Philatelic Museum,/sight/singapore53/1409537.html,Singapore Philatelic Museum,新加坡集邮博物馆,Singapore Philatelic Museum,57.0,新加坡集邮博物馆,/sight/singapore53/1409537.html,"
                                (112条点评)",0
58,59,2,Asian Civilisations Museum,/sight/singapore53/1710133.html,Asian Civilisations Museum,亚洲文明博物馆,,58.0,亚洲文明博物馆,/sight/singapore53/1710133.html,"
                                (109条点评)",0
59,60,2,Jamae Mosque,/sight/singapore53/1486529.html,Jamey Muslim Church,詹美回教堂,Jamae Mosque,59.0,詹美回教堂,/sight/singapore53/1486529.html,"
                                (117条点评)",0
60,61,2,Waterfront Promenade,/sight/singapore53/1710078.html,Coastal Trail,滨海步道,Waterfront Promenade,60.0,滨海步道,/sight/singapore53/1710078.html,"
                                (94条点评)",0
61,62,2,Maijia Adventure Park,/sight/sentosa776/134485.html,Maijia Adventure Park,迈佳探险乐园,,61.0,迈佳探险乐园,/sight/sentosa776/134485.html,"
                                (107条点评)",0
62,63,2,IONSky,/sight/singapore53/1710137.html,ION Sky,ION天空,IONSky,62.0,ION天空,/sight/singapore53/1710137.html,"
                                (112条点评)",0
63,64,2,Trick Eye Museum,/sight/sentosa776/1417685.html,Trick Eye Museum,特丽爱3D美术馆,,63.0,特丽爱3D美术馆,/sight/sentosa776/1417685.html,"
                                (181条点评)",0
64,65,2,Punggol Beach,/sight/singapore53/1476722.html,Punggol Beach,榜鹅沙滩,Punggol Beach,64.0,榜鹅沙滩,/sight/singapore53/1476722.html,"
                                (71条点评)",0
65,66,2,Mac Ritchie Reservoir,/sight/singapore53/1710191.html,Macquarie Reservoir,麦里芝水库,Mac Ritchie Reservoir,65.0,麦里芝水库,/sight/singapore53/1710191.html,"
                                (62条点评)",0
66,67,2,Dempsey Hill,/sight/singapore53/30050.html,Dempsey Hill,登布西山,Dempsey Hill,66.0,登布西山,/sight/singapore53/30050.html,"
                                (69条点评)",0
67,68,2,Pasir Ris Park,/sight/singapore53/1710003.html,Pasir Ris Park,巴西立公园,Pasir Ris Park,67.0,巴西立公园,/sight/singapore53/1710003.html,"
                                (78条点评)",0
68,69,2,Peranakan Museum,/sight/singapore53/1711551.html,Peranakan Museum,土生华人博物馆,Peranakan Museum,68.0,土生华人博物馆,/sight/singapore53/1711551.html,"
                                (77条点评)",0
69,70,2,Funvee double-decker sightseeing bus,/sight/singapore53/2482154.html,Funvee double-decker sightseeing bus,Funvee双层观光巴士,,69.0,Funvee双层观光巴士,/sight/singapore53/2482154.html,"
                                (62条点评)",0
70,71,2,Henderson Waves,/sight/singapore53/1685434.html,Henderson Wave Bridge,亨德森波浪桥,Henderson Waves,70.0,亨德森波浪桥,/sight/singapore53/1685434.html,"
                                (54条点评)",0
71,72,2,Mac Ritchie Nature Trail,/sight/singapore53/1710140.html,MacRitchie Nature Trail,麦里芝自然小径,Mac Ritchie Nature Trail,71.0,麦里芝自然小径,/sight/singapore53/1710140.html,"
                                (41条点评)",0
72,73,2,Singapore City Gallery,/sight/singapore53/1711341.html,Singapore Urban Planning Exhibition Hall,新加坡城市规划展览馆,Singapore City Gallery,72.0,新加坡城市规划展览馆,/sight/singapore53/1711341.html,"
                                (54条点评)",0
73,74,2,Civil Defence Heritage Gallery,/sight/singapore53/1710052.html,Civil Defense and Fire History Museum,民防与消防历史博物廊,Civil Defence Heritage Gallery,73.0,民防与消防历史博物廊,/sight/singapore53/1710052.html,"
                                (67条点评)",0
74,75,2,Ducktours,/sight/singapore53/1407539.html,Ducktours,DUCKtours鸭子船,,74.0,DUCKtours鸭子船,/sight/singapore53/1407539.html,"
                                (1043条点评)",0
75,76,2,Emerald Hill,/sight/singapore53/1710144.html,Emerald Hill Road,翡翠山路,Emerald Hill,75.0,翡翠山路,/sight/singapore53/1710144.html,"
                                (67条点评)",0
76,77,2,Big Bus Singapore ...,/sight/singapore53/2482004.html,Big Bus Singapore ...,Big Bus Singapore新加坡观光大巴士,,76.0,Big Bus Singapore新加坡观光大巴士,/sight/singapore53/2482004.html,"
                                (13条点评)",0
77,78,2,STPICreative Workshop Gallery,/sight/singapore53/1710097.html,"Taylor's School of Graphic Arts, Singapore",新加坡泰勒纸印艺术学院,STPICreative Workshop Gallery,77.0,新加坡泰勒纸印艺术学院,/sight/singapore53/1710097.html,"
                                (33条点评)",0
78,79,2,Sentosa Beach,/sight/sentosa776/25859.html,Sentosa Beach,圣淘沙海滩,Sentosa Beach,78.0,圣淘沙海滩,/sight/sentosa776/25859.html,"
                                (310条点评)",0
79,80,2,Chinatown,/sight/singapore53/25846.html,Chinatown,牛车水原貌馆,,79.0,牛车水原貌馆,/sight/singapore53/25846.html,"
                                (283条点评)",0
80,81,2,Singapore Science Centre,/sight/singapore53/1409526.html,Singapore Science Centre,新加坡科学中心,,80.0,新加坡科学中心,/sight/singapore53/1409526.html,"
                                (635条点评)",0
81,82,2,Merlion Tower Sentosa,/sight/sentosa776/66797.html,Merlion Tower Sentosa,圣淘沙鱼尾狮塔,,81.0,圣淘沙鱼尾狮塔,/sight/sentosa776/66797.html,"
                                (470条点评)",0
82,83,2,Entertainment Deckof Changi Airport,/sight/singapore53/1681396.html,Changi Airport Entertainment District,樟宜机场娱乐区,Entertainment Deckof Changi Airport,82.0,樟宜机场娱乐区,/sight/singapore53/1681396.html,"
                                (161条点评)",0
83,84,2,Maritime Museum,/sight/singapore53/66806.html,Maritime Museum,海事博物馆,,83.0,海事博物馆,/sight/singapore53/66806.html,"
                                (201条点评)",0
84,85,2,Rainbow Cake Baking Course,/sight/singapore53/2482168.html,Rainbow Cake Baking Course,彩虹蛋糕烘焙课程,,84.0,彩虹蛋糕烘焙课程,/sight/singapore53/2482168.html,"
                                (9条点评)",0
85,86,2,Pineapple Stick Baking Course,/sight/singapore53/2482158.html,Pineapple Stick Baking Course,凤梨条手工烘焙课程,,85.0,凤梨条手工烘焙课程,/sight/singapore53/2482158.html,"
                                (5条点评)",0
86,87,2,SMU Parkour Training Course,/sight/singapore53/2482349.html,SMU Parkour Training Course,SMU跑酷训练课程,,86.0,SMU跑酷训练课程,/sight/singapore53/2482349.html,"
                                (2条点评)",0
87,88,2,Skate Park,/sight/singapore53/2482167.html,Skate Park Skateboarding Course,滑板公园滑板体验课程,Skate Park,87.0,滑板公园滑板体验课程,/sight/singapore53/2482167.html,"
                                (3条点评)",0
88,89,2,Singapore Turf Club,/sight/singapore53/2482565.html,Kranji Racecourse Experience,克兰芝马场体验,Singapore Turf Club,88.0,克兰芝马场体验,/sight/singapore53/2482565.html,"
                                (2条点评)",0
89,90,2,Open Farm Community Green Yoga Class,/sight/singapore53/2481738.html,Open Farm Community Green Yoga Class,开放式农场社区绿色瑜伽课程,,89.0,开放式农场社区绿色瑜伽课程,/sight/singapore53/2481738.html,"
                                (2条点评)",0
90,91,2,Festive Walk,/sight/sentosa776/1407846.html,Festival Boulevard,节庆大道,Festive Walk,90.0,节庆大道,/sight/sentosa776/1407846.html,"
                                (147条点评)",0
91,92,2,Madame Tussauds Singapore,/sight/singapore53/1480769.html,Madame Tussauds Singapore,新加坡杜莎夫人蜡像馆,,91.0,新加坡杜莎夫人蜡像馆,/sight/singapore53/1480769.html,"
                                (172条点评)",0
92,93,2,Imbiah,/sight/sentosa776/25865.html,Mount Imbio,英比奥山,Imbiah,92.0,英比奥山,/sight/sentosa776/25865.html,"
                                (120条点评)",0
93,94,2,Tanjong Beach,/sight/singapore53/107847.html,Tanjong Beach,丹戎海滩,Tanjong Beach,93.0,丹戎海滩,/sight/singapore53/107847.html,"
                                (133条点评)",0
94,95,2,Raffles Place,/sight/singapore53/30051.html,Raffles Place,莱佛士坊,Raffles Place,94.0,莱佛士坊,/sight/singapore53/30051.html,"
                                (99条点评)",0
95,96,2,Boat Quay,/sight/singapore53/25833.html,Boat Quay,驳船码头,Boat Quay,95.0,驳船码头,/sight/singapore53/25833.html,"
                                (127条点评)",0
96,97,2,Wing Chun Boxing Martial Arts Workshop,/sight/singapore53/2482476.html,Wing Chun Boxing Martial Arts Workshop,咏春拳武术工作坊课程,,96.0,咏春拳武术工作坊课程,/sight/singapore53/2482476.html,"
                                (1条点评)",1
97,98,2,Fountainof Wealth,/sight/singapore53/132965.html,Fountain of Wealth,财富喷泉,Fountainof Wealth,97.0,财富喷泉,/sight/singapore53/132965.html,"
                                (114条点评)",1
98,99,2,Cavenagh Bridge,/sight/singapore53/30008.html,Gavenna Bridge,加文纳桥,Cavenagh Bridge,98.0,加文纳桥,/sight/singapore53/30008.html,"
                                (133条点评)",1
99,100,2,The Slide T,/sight/singapore53/1681438.html,Changi Airport Slide @ T3,樟宜机场溜滑梯@T3,The Slide T,99.0,樟宜机场溜滑梯@T3,/sight/singapore53/1681438.html,"
                                (84条点评)",1
100,101,2,Mint Museumof Toys,/sight/singapore53/132422.html,MINT Toy Museum,MINT玩具博物馆,Mint Museumof Toys,100.0,MINT玩具博物馆,/sight/singapore53/132422.html,"
                                (174条点评)",1
101,102,2,Haw Par Villa Tiger Balm Gardens,/sight/singapore53/3680.html,Haw Par Villa,虎豹别墅,Haw Par Villa Tiger Balm Gardens,101.0,虎豹别墅,/sight/singapore53/3680.html,"
                                (99条点评)",1
102,103,2,Xperience Zoneof Changi Airport,/sight/singapore53/1681440.html,Changi Airport Experience Area,樟宜机场体验区,Xperience Zoneof Changi Airport,102.0,樟宜机场体验区,/sight/singapore53/1681440.html,"
                                (81条点评)",1
103,104,2,Fort Siloso,/sight/singapore53/66800.html,Siloso Battery,西乐索炮台,Fort Siloso,103.0,西乐索炮台,/sight/singapore53/66800.html,"
                                (110条点评)",1
104,105,2,Starlight Changi,/sight/singapore53/5254437.html,Starlight Changi,星耀樟宜,,104.0,星耀樟宜,/sight/singapore53/5254437.html,"
                                (79条点评)",1
105,106,2,Butterfly Park and Insect Kingdom,/sight/singapore53/66799.html,Butterfly Park and Insect Kingdom,蝴蝶公园与昆虫王国,,105.0,蝴蝶公园与昆虫王国,/sight/singapore53/66799.html,"
                                (159条点评)",1
106,107,2,Malay Cultural Museum,/sight/singapore53/1409536.html,Malay Cultural Museum,马来文化馆,,106.0,马来文化馆,/sight/singapore53/1409536.html,"
                                (100条点评)",1
107,108,2,Childrens Playgroundof Changi Airport,/sight/singapore53/1681376.html,Changi Airport Children's Park,樟宜机场儿童乐园,Childrens Playgroundof Changi Airport,107.0,樟宜机场儿童乐园,/sight/singapore53/1681376.html,"
                                (69条点评)",1
108,109,2,The Social Treeof Changi Airport,/sight/singapore53/1681362.html,Changi Airport Social Tree,樟宜机场社交树,The Social Treeof Changi Airport,108.0,樟宜机场社交树,/sight/singapore53/1681362.html,"
                                (65条点评)",1
109,110,2,Crane Danceat Resort World Sentosa,/sight/sentosa776/110026.html,Fairy Crane Ballet Performance,仙鹤芭蕾演出,Crane Danceat Resort World Sentosa,109.0,仙鹤芭蕾演出,/sight/sentosa776/110026.html,"
                                (82条点评)",1
110,111,2,Armenian Church,/sight/singapore53/7547.html,Armenian church,亚美尼亚教堂,Armenian Church,110.0,亚美尼亚教堂,/sight/singapore53/7547.html,"
                                (118条点评)",1
111,112,2,Wave House Sentosa,/sight/singapore53/134484.html,Sentosa surfing area,圣淘沙冲浪区,Wave House Sentosa,111.0,圣淘沙冲浪区,/sight/singapore53/134484.html,"
                                (77条点评)",1
112,113,2,Civilian War Memorial,/sight/singapore53/3669.html,Singapore Peace Monument,新加坡和平纪念碑,Civilian War Memorial,112.0,新加坡和平纪念碑,/sight/singapore53/3669.html,"
                                (139条点评)",1
113,114,2,Sungei Buloh Wetland Reserve,/sight/singapore53/1409527.html,Sungei Buloh Wetland Reserve,双溪布洛湿地保护区,Sungei Buloh Wetland Reserve,113.0,双溪布洛湿地保护区,/sight/singapore53/1409527.html,"
                                (76条点评)",1
114,115,2,Interactive Art Stationof Changi Airport,/sight/singapore53/1681411.html,Changi Airport Interactive Art Station,樟宜机场互动艺术站,Interactive Art Stationof Changi Airport,114.0,樟宜机场互动艺术站,/sight/singapore53/1681411.html,"
                                (46条点评)",1
115,116,2,Thian Hock Keng Temple,/sight/singapore53/25842.html,Tianfu Temple,天福宫,Thian Hock Keng Temple,115.0,天福宫,/sight/singapore53/25842.html,"
                                (100条点评)",1
116,117,2,Volcano Land,/sight/singapore53/66807.html,Flame mountain,火焰山,Volcano Land,116.0,火焰山,/sight/singapore53/66807.html,"
                                (57条点评)",1
117,118,2,iFly Wind Tunnel Flight,/sight/singapore53/1986765.html,iFly Wind Tunnel Flight,iFly风洞飞行,,117.0,iFly风洞飞行,/sight/singapore53/1986765.html,"
                                (138条点评)",1
118,119,2,One Fullerton,/sight/singapore53/137343.html,Fullerton One,浮尔顿一号,One Fullerton,118.0,浮尔顿一号,/sight/singapore53/137343.html,"
                                (98条点评)",1
119,120,2,St Johns Island,/sight/singapore53/3657.html,Saint john i.,圣约翰岛,St Johns Island,119.0,圣约翰岛,/sight/singapore53/3657.html,"
                                (50条点评)",1
120,121,2,Flower Dome,/sight/singapore53/2054208.html,Flower dome,花穹,Flower Dome,120.0,花穹,/sight/singapore53/2054208.html,"
                                (100条点评)",1
121,122,2,Joo Chiat Community Centre,/sight/singapore53/1410561.html,Katong Nyonya Cultural District,加东娘惹文化区,Joo Chiat Community Centre,121.0,加东娘惹文化区,/sight/singapore53/1410561.html,"
                                (81条点评)",1
122,123,2,Cloud Forest,/sight/singapore53/2054211.html,Cloud Forest Glass House,云雾森林玻璃屋,Cloud Forest,122.0,云雾森林玻璃屋,/sight/singapore53/2054211.html,"
                                (114条点评)",1
123,124,2,Singapore River Cruise,/sight/singapore53/2479213.html,Singapore River Cruise,新加坡河游船,,123.0,新加坡河游船,/sight/singapore53/2479213.html,"
                                (43条点评)",1
124,125,2,Raffles Landing Site,/sight/singapore53/3675.html,Raffles Landing Site,莱佛士爵士登岸遗址,Raffles Landing Site,124.0,莱佛士爵士登岸遗址,/sight/singapore53/3675.html,"
                                (126条点评)",1
125,126,2,Orchidville,/sight/singapore53/7685.html,Orchid Villa,胡姬山庄,Orchidville,125.0,胡姬山庄,/sight/singapore53/7685.html,"
                                (52条点评)",1
126,127,2,Herb Spice Garden,/sight/sentosa776/66804.html,Herbal Spice Garden,草药香料园,Herb Spice Garden,126.0,草药香料园,/sight/sentosa776/66804.html,"
                                (48条点评)",1
127,128,2,Sentosa 4D Adventure Park,/sight/singapore53/1418247.html,Sentosa 4D Adventure Park,圣淘沙4D探险乐园,,127.0,圣淘沙4D探险乐园,/sight/singapore53/1418247.html,"
                                (136条点评)",1
128,129,2,Sun Yat-sen Nanyang Memorial Hall,/sight/singapore53/7669.html,Sun Yat-sen Nanyang Memorial Hall,孙中山南洋纪念馆,,128.0,孙中山南洋纪念馆,/sight/singapore53/7669.html,"
                                (85条点评)",1
129,130,2,Singapore Discovery Centre,/sight/singapore53/3655.html,Chihsin Pavilion,知新馆,Singapore Discovery Centre,129.0,知新馆,/sight/singapore53/3655.html,"
                                (75条点评)",1
130,131,2,Timbre The Substation,/sight/singapore53/136825.html,The Substation,The Substation,Timbre The Substation,130.0,The Substation,/sight/singapore53/136825.html,"
                                (29条点评)",1
131,132,2,Vientiane Museum,/sight/singapore53/66803.html,Vientiane Museum,万象馆,,131.0,万象馆,/sight/singapore53/66803.html,"
                                (75条点评)",1
132,133,2,Istana,/sight/singapore53/1710192.html,Singapore Presidential Palace,新加坡总统府,Istana,132.0,新加坡总统府,/sight/singapore53/1710192.html,"
                                (128条点评)",1
133,134,2,Sentosa Nature Discovery,/sight/singapore53/134481.html,Sentosa Nature Discovery Centre,圣淘沙大自然探索中心,Sentosa Nature Discovery,133.0,圣淘沙大自然探索中心,/sight/singapore53/134481.html,"
                                (54条点评)",1
134,135,2,Shenton Way,/sight/singapore53/3682.html,Shenton Avenue,珊顿大道,Shenton Way,134.0,珊顿大道,/sight/singapore53/3682.html,"
                                (41条点评)",1
135,136,2,Cine Blast,/sight/sentosa776/25872.html,Motion Cinema,动感电影院,Cine Blast,135.0,动感电影院,/sight/sentosa776/25872.html,"
                                (46条点评)",1
136,137,2,Changi Village,/sight/singapore53/1683257.html,Changi Village,樟宜村,Changi Village,136.0,樟宜村,/sight/singapore53/1683257.html,"
                                (42条点评)",1
137,138,2,Abdul Gaffoor Mosque,/sight/singapore53/30009.html,Abdul Kaf Mosque,阿都卡夫清真寺,Abdul Gaffoor Mosque,137.0,阿都卡夫清真寺,/sight/singapore53/30009.html,"
                                (54条点评)",1
