POI_INDEX,POI_CHINESE_NAME,POI_RAW_NAME,URL,TOTAL_REVIEWS,POI_CHINESE_NAME_IS_ENGLISH,POI_NAME,POI_CHINESE_NAME_TRANSLATED,POI_NAME_IS_TRANSLATED,WEBSITE_INDEX
19,新加坡佛牙寺龙华院  ,Buddha Tooth Relic Temple & Museum,//place.qyer.com/poi/V2EJZlFvBzJTYA/,232,NA,Buddha Tooth Relic Temple & Museum,Buddha Tooth Relic Temple,0,4
20,新加坡S.E.A. 海洋馆  ,S.E.A. Aquarium,//place.qyer.com/poi/V2UJYlFuBzVTbVI_/,168,NA,S.E.A. Aquarium,Singapore SEA Aquarium,0,4
21,新加坡圣安德烈教堂  ,St. Andrew's Cathedral in Singapore,//place.qyer.com/poi/V2MJYFFuBz9TbA/,187,NA,St. Andrew's Cathedral in Singapore,St Andrew&#39;s Church Singapore,0,4
22,哈芝巷  ,Haji Lane,//place.qyer.com/poi/V2EJa1FmBzJTZw/,186,NA,Haji Lane,Haji Lane,0,4
23,新加坡总统府  ,Istana,//place.qyer.com/poi/V2EJZlFvBzRTYQ/,150,NA,Istana,Singapore Presidential Palace,0,4
24,艺术科学博物馆  ,ArtScience Museum,//place.qyer.com/poi/V2UJY1FuBzZTY1I5/,106,NA,ArtScience Museum,Museum of Arts and Sciences,0,4
25,新加坡小印度  ,Little India,//place.qyer.com/poi/V2AJa1FuBzBTZw/,777,NA,Little India,"Little India, Singapore",0,4
26,新加坡国家博物馆  ,National Museum of Singapore,//place.qyer.com/poi/V2wJZFFkBzJTZw/,134,NA,National Museum of Singapore,National Museum of Singapore,0,4
27,西罗索海滩  ,"Siloso Beach Resort, Sentosa",//place.qyer.com/poi/V2YJalFnBzFTYQ/,171,NA,"Siloso Beach Resort, Sentosa",Siloso Beach,0,4
28,新加坡马里安曼兴都庙  ,Sri Mariamman Temple,//place.qyer.com/poi/V2EJYFFmBzNTZg/,264,NA,Sri Mariamman Temple,"Mariamman Hindu Temple, Singapore",0,4
29,苏丹回教堂  ,Sultan Mosque,//place.qyer.com/poi/V2EJZlFvBzRTZg/,161,NA,Sultan Mosque,Sultan mosque,0,4
30,阿拉伯街  ,Arab Street,//place.qyer.com/poi/V2AJY1FmBzFTZg/,203,NA,Arab Street,Arab street,0,4
31,富丽敦酒店  ,The Fullerton Hotel,//place.qyer.com/poi/V2YJalFkBzNTZA/,114,NA,The Fullerton Hotel,The Fullerton Hotel,0,4
32,新加坡旧国会大厦  ,Old Parliament House / The Arts House,//place.qyer.com/poi/V2MJYFFuBz9TbQ/,88,NA,Old Parliament House / The Arts House,Singapore Old Parliament Building,0,4
33,新加坡东海岸公园  ,East Coast Park,//place.qyer.com/poi/V2wJYFFkBzVTZA/,81,NA,East Coast Park,"East Coast Park, Singapore",0,4
34,新加坡艺术博物馆  ,Singapore Art Museum,//place.qyer.com/poi/V2EJZlFvBzJTZQ/,84,NA,Singapore Art Museum,Singapore Art Museum,0,4
35,花柏山公园  ,Mt Faber Park,//place.qyer.com/poi/V2EJZlFhBz5TbA/,115,NA,Mt Faber Park,Faber Park,0,4
36,圣淘沙鱼尾狮塔  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI3Cmw/,15,NA,Sentosa Merlion Tower,Sentosa Merlion Tower,1,4
37,南洋理工大学  ,Nanyang Technological University,//place.qyer.com/poi/V2UJYVFnBzdTYFI9/,44,NA,Nanyang Technological University,Nanyang Technological University,0,4
38,新加坡新闻及艺术部大厦  ,MICA Building,//place.qyer.com/poi/V2AJa1FuBzZTbA/,106,NA,MICA Building,Singapore Press and Arts Building,0,4
39,丹达乌他帕尼兴都庙  ,Sri Thandayuthapani Temple,//place.qyer.com/poi/V2UJY1FkBz9TY1I8/,64,NA,Sri Thandayuthapani Temple,Danda Utapani Hindu Temple,0,4
40,莱佛士登岸遗址  ,Raffles Landing Site,//place.qyer.com/poi/V2UJY1FkBzFTY1I6/,54,NA,Raffles Landing Site,Raffles Landing Site,0,4
41,赞美广场  ,Chijmes,//place.qyer.com/poi/V2AJY1FnBzNTYw/,70,NA,Chijmes,Praise Square,0,4
42,万里胡姬花公园  ,Mandai Orchid Gardens,//place.qyer.com/poi/V2cJa1FjBzdTYw/,37,NA,Mandai Orchid Gardens,Wanli Orchid Flower Park,0,4
43,福康宁公园  ,Fort Canning Hill,//place.qyer.com/poi/V2EJYFFhBz9TYA/,62,NA,Fort Canning Hill,Fort Canning Park,0,4
44,鱼尾狮步行街  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI3Cm4/,15,NA,Merlion Walking Street,Merlion Walking Street,1,4
45,亚洲大陆最南点  ,Southernmost Point of Continental Asia,//place.qyer.com/poi/V2UJYVFiBzFTYVI4/,63,NA,Southernmost Point of Continental Asia,Southernmost point of the Asian continent,0,4
46,圣淘沙缆车站  ,NA,//place.qyer.com/poi/V2UJYVFnBzdTYVI3CmU/,8,NA,Sentosa cable car station,Sentosa cable car station,1,4
47,新加坡政府大厦  ,City Hall of SIngapore,//place.qyer.com/poi/V2UJY1FkBz9TZVI7/,56,NA,City Hall of SIngapore,Singapore government building,0,4
48,亚洲文明博物馆  ,Asian Civilisations Museum,//place.qyer.com/poi/V2EJZlFuBz5TZA/,56,NA,Asian Civilisations Museum,Asian Civilisations Museum,0,4
49,新加坡和平纪念碑  ,Civilian War Memorial,//place.qyer.com/poi/V2UJY1FkBz5TbFI_/,61,NA,Civilian War Memorial,Singapore Peace Monument,0,4
50,新加坡科学馆  ,Singapore Science Centre,//place.qyer.com/poi/V2AJZVFhBzdTZw/,43,NA,Singapore Science Centre,Singapore Science Museum,0,4
51,麦里芝蓄水池  ,MacRitchie Reservoir,//place.qyer.com/poi/V2EJYlFgBz9TbQ/,49,NA,MacRitchie Reservoir,MacRitchie Reservoir,0,4
52,乌敏岛  ,Pulau Ubin,//place.qyer.com/poi/V2EJZlFhBz5TYA/,56,NA,Pulau Ubin,Umin Island,0,4
53,巴拉湾海滩  ,Palawan Beach,//place.qyer.com/poi/V2UJYVFnBzFTZ1I9/,36,NA,Palawan Beach,Bara Bay Beach,0,4
54,新加坡集邮馆  ,Singapore Philatelic Museum,//place.qyer.com/poi/V2EJZlFiBzZTbA/,45,NA,Singapore Philatelic Museum,Singapore Philatelic Museum,0,4
55,双螺旋桥  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYlI4Cmk/,6,NA,Double helix bridge,Double helix bridge,1,4
56,新加坡亲子游  ,NA,//place.qyer.com/poi/V2UJYlFiBzVTYFI7Cm4/,9,NA,Singapore Family Tour,Singapore Family Tour,1,4
57,武吉知马自然保护区  ,Bukit Timah Nature Reserve,//place.qyer.com/poi/V2EJZFFlBzJTYg/,63,NA,Bukit Timah Nature Reserve,Bukit Timah Nature Reserve,0,4
58,新加坡海豚乐园  ,Dolphin Lagoon,//place.qyer.com/poi/V2EJa1FiBzZTYQ/,34,NA,Dolphin Lagoon,Singapore Dolphin Land,0,4
59,阵亡纪念碑  ,Cenotaph,//place.qyer.com/poi/V2UJY1FkBz9TZ1I4/,25,NA,Cenotaph,Memorial to the Fallen,0,4
60,新加坡国大博物馆  ,NUS Museum,//place.qyer.com/poi/V2EJY1FgBzZTZQ/,20,NA,NUS Museum,National University of Singapore,0,4
61,小印度  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYFI3Cms/,18,NA,Little India,Little India,1,4
62,新加坡红点设计博物馆  ,Red Dot Design Museum,//place.qyer.com/poi/V2UJY1FkBzNTY1I8/,63,NA,Red Dot Design Museum,Singapore Red Dot Design Museum,0,4
63,新加坡圣淘沙名胜世界  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI4Cmg/,1,NA,"Resorts World Sentosa, Singapore","Resorts World Sentosa, Singapore",1,4
64,新加坡国家美术馆  ,National Gallery Singapore,//place.qyer.com/poi/V2UJYlFiBzFTbVI2Cm0/,21,NA,National Gallery Singapore,National Gallery of Singapore,0,4
65,维拉玛卡里雅曼兴都庙  ,Sri Veeramakaliamman Temple,//place.qyer.com/poi/V2AJZVFgBzNTZQ/,35,NA,Sri Veeramakaliamman Temple,Vilamakariyaman temple,0,4
66,云雾森林玻璃屋  ,Cloud Forest,//place.qyer.com/poi/V2YJZVFuBzZTYFI8/,15,NA,Cloud Forest,Cloud Forest Glass House,0,4
67,Formula 1 Singapore Grand Prix新加坡站 (F1新加坡大奖赛)  ,Formula 1 Singapore Grand Prix,//place.qyer.com/poi/V2MJYFFvBzdTYw/,36,NA,Formula 1 Singapore Grand Prix,Formula 1 Singapore Grand Prix Singapore (F1 Singapore Grand Prix),0,4
68,新加坡南部山脊  ,The Southern Ridges,//place.qyer.com/poi/V2UJY1FlBzZTZVI8/,25,NA,The Southern Ridges,Southern Ridges of Singapore,0,4
69,新加坡国家兰花园  ,National Orchid Garden,//place.qyer.com/poi/V2UJYlFiBzVTZVI3Cm0/,9,NA,National Orchid Garden,National Orchid Garden,0,4
70,新加坡水上探险乐园  ,Adventure Cove Waterpark,//place.qyer.com/poi/V2EJa1FnBzRTZFI6/,19,NA,Adventure Cove Waterpark,Singapore Water Adventure Park,0,4
71,乌节路图书馆  ,library@orchard,//place.qyer.com/poi/V2YJY1FnBzVTZVI9/,15,NA,library@orchard,Orchard Road Library,0,4
72,观音堂佛祖庙  ,Kwan Im Thong Hood Cho Temple,//place.qyer.com/poi/V2AJZ1FgBzZTYA/,28,NA,Kwan Im Thong Hood Cho Temple,Guanyintang Buddha Temple,0,4
73,天福宫  ,Thian Hock Keng Temple,//place.qyer.com/poi/V2EJZVFnBz9TYA/,32,NA,Thian Hock Keng Temple,Tianfu Temple,0,4
74,亨德申波浪桥  ,Henderson Waves,//place.qyer.com/poi/V2UJYVFmBzBTY1I6/,24,NA,Henderson Waves,Henderson Wave Bridge,0,4
75,尼维沙伯鲁玛兴都庙  ,Sri Srinivasa Perumal Temple,//place.qyer.com/poi/V2AJZVFhBzNTYA/,26,NA,Sri Srinivasa Perumal Temple,Hindu Temple,0,4
76,安详山  ,Ann Siang Hill,//place.qyer.com/poi/V2UJY1FmBzNTZFI6/,32,NA,Ann Siang Hill,Anshan,0,4
77,双溪布洛湿地保护区  ,Sungei Buloh Wetland Reserve,//place.qyer.com/poi/V2AJa1FvBz9TZQ/,24,NA,Sungei Buloh Wetland Reserve,Sungei Buloh Wetland Reserve,0,4
78,四马路观音堂  ,Kwan Im Tng  Temple,//place.qyer.com/poi/V2EJZVFkBzZTYA/,29,NA,Kwan Im Tng  Temple,Guanyin Hall,0,4
79,詹美清真寺  ,Jamae Mosque,//place.qyer.com/poi/V2MJYFFvBzZTZw/,54,NA,Jamae Mosque,Jamey Mosque,0,4
80,武吉士街  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYFI3CmQ/,6,NA,Bugis Street,Bugis Street,1,4
81,裕华园  ,Chinese Garden,//place.qyer.com/poi/V2UJY1FkBzFTbFI9/,19,NA,Chinese Garden,Yuhuayuan,0,4
82,土生华人博物馆  ,Peranakan Museum,//place.qyer.com/poi/V2EJY1FhBzdTYA/,24,NA,Peranakan Museum,Peranakan Museum,0,4
83,圣安德烈教堂  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI8Cm4/,3,NA,St. Andrew&#39;s Church,St. Andrew&#39;s Church,1,4
84,芽笼  ,Geylang,//place.qyer.com/poi/V2UJYVFnBzFTYVI7CmU/,4,NA,Geylang,Geylang,0,4
85,新加坡亚美尼亚教堂  ,Armenian Church,//place.qyer.com/poi/V2EJYVFvBzZTYQ/,24,NA,Armenian Church,Armenian Church in Singapore,0,4
86,南洋理工大学学习中心  ,Learning Hub,//place.qyer.com/poi/V2EJa1FmBz5TY1I9/,6,NA,Learning Hub,Nanyang Technological University Learning Center,0,4
87,西乐索炮台  ,Fort Siloso,//place.qyer.com/poi/V2UJY1FkBz9TZFI_/,22,NA,Fort Siloso,Siloso Battery,0,4
88,河的子民雕塑群  ,People of the River,//place.qyer.com/poi/V2UJY1FkBz5TZlI6/,24,NA,People of the River,People&#39;s Sculpture Group of the River,0,4
89,裕廊花园  ,Jurong Gardens,//place.qyer.com/poi/V2EJZlFuBzNTbQ/,19,NA,Jurong Gardens,Jurong Garden,0,4
90,滨海堤坝  ,Marina Barrage,//place.qyer.com/poi/V2UJYVFiBzdTbFI6/,12,NA,Marina Barrage,Marina dike,0,4
91,翡翠山路  ,Emerald Hill Road,//place.qyer.com/poi/V2AJZ1FgBzRTYQ/,20,NA,Emerald Hill Road,Emerald Hill Road,0,4
92,新加坡滨海艺术中心--音乐厅  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI4Cm4/,1,NA,Singapore Esplanade-Concert Hall,Singapore Esplanade-Concert Hall,1,4
93,南洋理工大学艺术设计媒体学院  ,NTU-ADM,//place.qyer.com/poi/V2EJa1FmBz5TY1I7/,2,NA,NTU-ADM,"School of Art, Design and Media, Nanyang Technological University",0,4
94,丹戎海滩  ,Tanjong Beach,//place.qyer.com/poi/V2UJYVFnBzFTZ1I3/,12,NA,Tanjong Beach,Tanjong Beach,0,4
95,马来传统文化馆  ,Malay Heritage Centre,//place.qyer.com/poi/V2AJZ1FhBzVTZA/,22,NA,Malay Heritage Centre,Malay Traditional Culture Museum,0,4
96,英比奥山顶景区  ,Imbiah Lookout,//place.qyer.com/poi/V2MJYFFuBz9TYQ/,20,NA,Imbiah Lookout,Imbio Mountain Scenic Area,0,4
97,肯特岗公园  ,Kent Ridge Park,//place.qyer.com/poi/V2EJYFFjBzFTZA/,20,NA,Kent Ridge Park,Kent Ridge Park,0,4
98,民防与消防历史博物廊  ,Civil Defence Heritage Gallery,//place.qyer.com/poi/V2EJa1FmBzZTbA/,17,NA,Civil Defence Heritage Gallery,Civil Defense and Fire History Museum,0,4
99,圣淘沙天际线斜坡滑车  ,Skyline Sentosa Luge,//place.qyer.com/poi/V2UJYlFgBzVTZlI2Cmk/,7,NA,Skyline Sentosa Luge,Sentosa Skyline Slope Pulley,0,4
100,旧禧街警察局  ,Old Hill Street Police Station,//place.qyer.com/poi/V2UJYVFnBzFTYVI2Cm4/,2,NA,Old Hill Street Police Station,Old Jubilee Street Police Station,0,4
101,阿都卡夫回教堂  ,Masjid Abdul Gafoor,//place.qyer.com/poi/V2UJY1FkBz9TbFI8/,11,NA,Masjid Abdul Gafoor,Abdul Khaf mosque,0,4
102,新加坡特丽爱3D美术馆  ,Trick Eye Museum,//place.qyer.com/poi/V2UJYVFkBzRTZVI9/,11,NA,Trick Eye Museum,Trick Eye Museum Singapore,0,4
103,亚洲大陆最南端  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI4CmQ/,5,NA,Southernmost tip of the Asian continent,Southernmost tip of the Asian continent,1,4
104,拉柏多自然保护区  ,Labrador Nature Reserve,//place.qyer.com/poi/V2AJZVFgBzVTZQ/,12,NA,Labrador Nature Reserve,Labrador Nature Reserve,0,4
105,荷兰村  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI8Cms/,2,NA,Holland Village,Holland Village,1,4
106,大巴窑  ,Toa Payoh,//place.qyer.com/poi/V2UJYlFgBzdTZFI9Cm0/,2,NA,Toa Payoh,Toa Payoh,0,4
107,新加坡丹戎巴葛火车站  ,Tanjong Pagar Railway Station,//place.qyer.com/poi/V2YJY1FnBzVTZVI_/,8,NA,Tanjong Pagar Railway Station,"Tanjong Pagar Railway Station, Singapore",0,4
108,National Library of Singapore  ,NA,//place.qyer.com/poi/V2YJZVFuBzZTYlI9/,9,1,National Library of Singapore  ,National Library of Singapore,0,4
109,新加坡城市画廊  ,Singapore City Gallery,//place.qyer.com/poi/V2UJYVFnBz9TbVI8/,10,NA,Singapore City Gallery,Singapore City Gallery,0,4
110,罗拔申码头  ,Robertson Quay,//place.qyer.com/poi/V2AJalFmBzdTZA/,14,NA,Robertson Quay,Robertson Quay,0,4
111,樟宜海滨公园  ,Changi Beach Park,//place.qyer.com/poi/V2UJYlFvBzFTY1I6/,9,NA,Changi Beach Park,Changi Waterfront Park,0,4
112,孙中山南洋纪念馆  ,Sun Yat Sen Nanyang Memorial Hall,//place.qyer.com/poi/V2EJZlFuBzNTZA/,14,NA,Sun Yat Sen Nanyang Memorial Hall,Sun Yat-sen Nanyang Memorial Hall,0,4
113,东海岸快速公路  ,NA,//place.qyer.com/poi/V2UJZVFjBzdTZFI8/,11,NA,East coast expressway,East coast expressway,1,4
114,陈东龄故居  ,House of Tan Teng Niah,//place.qyer.com/poi/V2UJYVFmBzBTbFI9/,8,NA,House of Tan Teng Niah,Chen Dongling&#39;s Former Residence,0,4
115,坤成路  ,Koon Seng Road,//place.qyer.com/poi/V2UJYVFmBzBTY1I7/,10,NA,Koon Seng Road,Kuncheng Lu,0,4
116,达士岭组屋  ,The Pinnacle Duxton Skybridge,//place.qyer.com/poi/V2UJZ1FiBzBTYFI4CmQ/,3,NA,The Pinnacle Duxton Skybridge,Dusling HDB,0,4
117,麦里芝自然小径  ,MacRitchie Nature Trail,//place.qyer.com/poi/V2YJZVFuBzZTZ1I4/,4,NA,MacRitchie Nature Trail,MacRitchie Nature Trail,0,4
118,新加坡杜莎夫人蜡像馆  ,Madame Tussauds Singapore,//place.qyer.com/poi/V2YJY1FlBzJTbFI_/,9,NA,Madame Tussauds Singapore,Madame Tussauds Singapore,0,4
119,圣母圣诞堂  ,Church of the Nativity of the Blessed Virgin Mary,//place.qyer.com/poi/V2UJYlFiBzJTYlI4Cm0/,1,NA,Church of the Nativity of the Blessed Virgin Mary,Christmas Church of Our Lady,0,4
120,粤海清庙  ,Wak Hai Cheng Bio Temple,//place.qyer.com/poi/V2EJa1FiBzdTZg/,7,NA,Wak Hai Cheng Bio Temple,Guangdong Qing Temple,0,4
121,Flower Dome  ,NA,//place.qyer.com/poi/V2YJZVFuBzZTYFI_/,6,1,Flower Dome  ,Flower Dome,0,4
122,圣淘沙大自然探索中心  ,Sentosa Nature Discovery,//place.qyer.com/poi/V2UJYVFiBzFTYVI3/,9,NA,Sentosa Nature Discovery,Sentosa Nature Discovery Centre,0,4
123,上海玩具博物馆  ,Museum of Shanghai Toys,//place.qyer.com/poi/V2AJZ1FjBzVTbQ/,11,NA,Museum of Shanghai Toys,Shanghai Toy Museum,0,4
124,莱佛士滨海俱乐部  ,Raffles Marina,//place.qyer.com/poi/V2EJZlFuBz9TYQ/,5,NA,Raffles Marina,Raffles Marina Club,0,4
125,新加坡中华总商会  ,Singapore Chinese Chamber of Commerce,//place.qyer.com/poi/V2UJZVFiBzFTbFI3/,5,NA,Singapore Chinese Chamber of Commerce,Singapore Chinese Chamber of Commerce &amp; Industry,0,4
126,新加坡知新馆  ,S'pore Discovery Centre,//place.qyer.com/poi/V2UJY1FlBzZTbVI2/,9,NA,S'pore Discovery Centre,Singapore Knowledge Center,0,4
127,Orchard Road  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI8CmQ/,1,1,Orchard Road  ,Orchard Road,0,4
128,卡佩芝台和翡翠山  ,Cuppage Terrace & Emerald Hill,//place.qyer.com/poi/V2EJZlFuBzFTZw/,8,NA,Cuppage Terrace & Emerald Hill,Cape Chitai and Emerald Hill,0,4
129,登布西山  ,Dempsey Hill,//place.qyer.com/poi/V2YJY1FlBzJTbFI-/,4,NA,Dempsey Hill,"Dempsey, mt.",0,4
130,麦里芝水库/麦里芝蓄水池  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYFI3CmU/,2,NA,Mirizhi Reservoir / Mirizhi Reservoir,Mirizhi Reservoir / Mirizhi Reservoir,1,4
131,海豚园  ,NA,//place.qyer.com/poi/V2EJa1FnBz5TZ1I3/,4,NA,Dolphin Garden,Dolphin Garden,1,4
132,花柏山景  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI-CmQ/,1,NA,Faber Mountain View,Faber Mountain View,1,4
133,新加坡国立大学柏林墙  ,Berlin Wall In NUS,//place.qyer.com/poi/V2UJZ1FjBzZTYFI-Cms/,1,NA,Berlin Wall In NUS,National University of Singapore Berlin Wall,0,4
134,新加坡科技与设计大学  ,Singapore University of Technology andDesign,//place.qyer.com/poi/V2UJZ1FiBzBTYVI8CmQ/,2,NA,Singapore University of Technology andDesign,Singapore University of Technology and Design,0,4
135,新加坡艺术学院  ,School Of The Arts,//place.qyer.com/poi/V2UJZ1FiBzBTYFI3Cmw/,2,NA,School Of The Arts,Singapore Academy of Arts,0,4
136,新加坡圣若瑟堂  ,Saint Joseph's Church,//place.qyer.com/poi/V2YJY1FkBz5TZFI_/,3,NA,Saint Joseph's Church,"St. Joseph&#39;s Church, Singapore",0,4
137,莲山双林寺  ,Lian Shan Shuang Lin Monastery,//place.qyer.com/poi/V2AJZ1FgBzRTZA/,7,NA,Lian Shan Shuang Lin Monastery,Lianshan Shuanglin Temple,0,4
138,圣詹姆斯发电厂  ,St. James Power Station,//place.qyer.com/poi/V2MJYFFvBzdTbQ/,9,NA,St. James Power Station,St james power plant,0,4
139,科尼岛公园  ,Coney Island Park,//place.qyer.com/poi/V2UJYlFiBzZTYVI3Cms/,3,NA,Coney Island Park,Coney Island Park,0,4
140,新加坡西海岸公园  ,West Coast Park,//place.qyer.com/poi/V2EJalFiBz5TYg/,14,NA,West Coast Park,"West Coast Park, Singapore",0,4
141,亚历山大拱桥  ,Alexandra Arch,//place.qyer.com/poi/V2UJYVFmBzFTbVI-/,8,NA,Alexandra Arch,Alexander Arch Bridge,0,4
142,达豪施纪念碑  ,Dalhousie Obelisk,//place.qyer.com/poi/V2UJY1FkBz5TZlI4/,10,NA,Dalhousie Obelisk,Dachau Monument,0,4
143,拉萨尔设计学院  ,LASALLE College of the Arts,//place.qyer.com/poi/V2UJZVFlBz9TZVI2/,10,NA,LASALLE College of the Arts,LaSalle Design Institute,0,4
144,新加坡军事博物馆  ,Army Museum of Singapore,//place.qyer.com/poi/V2UJY1FkBz9TZVI-/,7,NA,Army Museum of Singapore,Singapore Military Museum,0,4
145,新加坡基督教青年会  ,YMCA Singapore,//place.qyer.com/poi/V2UJY1FkBz9TZ1I6/,4,NA,YMCA Singapore,Singapore YMCA,0,4
146,鸦片山岗战役纪念馆  ,Reflections at Bukit Chandu,//place.qyer.com/poi/V2EJYFFmBzVTZw/,8,NA,Reflections at Bukit Chandu,The Opium Hills Memorial,0,4
147,峇峇住宅  ,Baba House,//place.qyer.com/poi/V2UJY1FkBz5TY1I5/,9,NA,Baba House,峇 峇 Residence,0,4
148,良木园大酒店   ,Goodwood Park Hotel (Tower Block),//place.qyer.com/poi/V2UJYlFiBzJTZFI_CmU/,1,NA,Goodwood Park Hotel (Tower Block),Goodwood Park Hotel,0,4
149,新加坡国家档案馆  ,NATIONAL  ARCHIVES OF SINGAPORE,//place.qyer.com/poi/V2YJY1FhBzNTZFI4/,2,NA,NATIONAL  ARCHIVES OF SINGAPORE,National Archives of Singapore,0,4
150,圣约瑟教堂  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI9CmQ/,1,NA,St. Joseph&#39;s Church,St. Joseph&#39;s Church,1,4
151,新加坡圣约翰岛  ,San John's Island,//place.qyer.com/poi/V2YJY1FkBzBTY1I_/,1,NA,San John's Island,"Saint John Island, Singapore",0,4
152,Onsight 攀岩  ,Onsight Climbing,//place.qyer.com/poi/V2UJZ1FjBzVTZ1I7Cmo/,1,NA,Onsight Climbing,Onsight climbing,0,4
153,哈里德回教堂 清真寺  ,Masjid Khalid,//place.qyer.com/poi/V2UJZ1FiBz9TYlI6Cm8/,1,NA,Masjid Khalid,Harid mosque,0,4
154,新加坡新生水展览馆  ,NEWater Visitor Centre,//place.qyer.com/poi/V2UJZ1FiBz9TYlI6Cm0/,2,NA,NEWater Visitor Centre,Singapore Freshwater Exhibition Hall,0,4
155,凯文思大道  ,Cavenagh Road,//place.qyer.com/poi/V2EJZFFvBz9TZVI2/,1,NA,Cavenagh Road,Avenue avenue,0,4
156,新加坡国家体育场  ,Singapore National Stadium,//place.qyer.com/poi/V2UJYVFmBzFTbVI8Cmw/,6,NA,Singapore National Stadium,Singapore National Stadium,0,4
