POI_INDEX,TOTAL_REVIEWS,RANKING,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
242,5,685,Family,4.4,2,3,0,0,0,"Open Now
Hours Today: 10:00 AM - 10:00 PM
See all hours","154 West Coast Road West Coast Plaza, Singapore 127371, Singapore",2020-01-25 21:08:05.046345
242,2,685,Couples,5.0,2,0,0,0,0,"Open Now
Hours Today: 10:00 AM - 10:00 PM
See all hours","154 West Coast Road West Coast Plaza, Singapore 127371, Singapore",2020-01-25 21:08:22.871038
242,3,685,Solo,4.0,1,1,1,0,0,"Open Now
Hours Today: 10:00 AM - 10:00 PM
See all hours","154 West Coast Road West Coast Plaza, Singapore 127371, Singapore",2020-01-25 21:08:40.987771
242,0,685,Business,0,0,0,0,0,0,"Open Now
Hours Today: 10:00 AM - 10:00 PM
See all hours","154 West Coast Road West Coast Plaza, Singapore 127371, Singapore",2020-01-25 21:08:59.712328
242,2,685,Friends,4.5,1,1,0,0,0,"Open Now
Hours Today: 10:00 AM - 10:00 PM
See all hours","154 West Coast Road West Coast Plaza, Singapore 127371, Singapore",2020-01-25 21:09:14.761301
660,0,1248,Family,0,0,0,0,0,0,"Located in Gillman Barracks, the NTU Centre for Contemporary Art Singapore (NTU CCA Singapore) is a national research centre of Nanyang Technological University and is supported by a grant from the Economic Development Board, Singapore. The Centre is unique in its threefold constellation of research & academic programmes, international exhibitions, and residencies, positioning itself as a space for critical discourse and diverse forms of knowledge production.","Blk 43 Malan Road Gillman Barracks, Singapore 109443, Singapore",2020-01-25 21:09:35.467476
660,1,1248,Couples,5.0,1,0,0,0,0,"Located in Gillman Barracks, the NTU Centre for Contemporary Art Singapore (NTU CCA Singapore) is a national research centre of Nanyang Technological University and is supported by a grant from the Economic Development Board, Singapore. The Centre is unique in its threefold constellation of research & academic programmes, international exhibitions, and residencies, positioning itself as a space for critical discourse and diverse forms of knowledge production.","Blk 43 Malan Road Gillman Barracks, Singapore 109443, Singapore",2020-01-25 21:09:51.647654
660,1,1248,Solo,5.0,1,0,0,0,0,"Located in Gillman Barracks, the NTU Centre for Contemporary Art Singapore (NTU CCA Singapore) is a national research centre of Nanyang Technological University and is supported by a grant from the Economic Development Board, Singapore. The Centre is unique in its threefold constellation of research & academic programmes, international exhibitions, and residencies, positioning itself as a space for critical discourse and diverse forms of knowledge production.","Blk 43 Malan Road Gillman Barracks, Singapore 109443, Singapore",2020-01-25 21:10:10.857446
660,0,1248,Business,0,0,0,0,0,0,"Located in Gillman Barracks, the NTU Centre for Contemporary Art Singapore (NTU CCA Singapore) is a national research centre of Nanyang Technological University and is supported by a grant from the Economic Development Board, Singapore. The Centre is unique in its threefold constellation of research & academic programmes, international exhibitions, and residencies, positioning itself as a space for critical discourse and diverse forms of knowledge production.","Blk 43 Malan Road Gillman Barracks, Singapore 109443, Singapore",2020-01-25 21:10:27.377629
660,0,1248,Friends,0,0,0,0,0,0,"Located in Gillman Barracks, the NTU Centre for Contemporary Art Singapore (NTU CCA Singapore) is a national research centre of Nanyang Technological University and is supported by a grant from the Economic Development Board, Singapore. The Centre is unique in its threefold constellation of research & academic programmes, international exhibitions, and residencies, positioning itself as a space for critical discourse and diverse forms of knowledge production.","Blk 43 Malan Road Gillman Barracks, Singapore 109443, Singapore",2020-01-25 21:10:44.623793
