TEXT,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,ASPECT_CATEGORY_NAME,ASPECT_CATEGORY,REQUIRE_CONTEXT,ASPECT_SUB_CATEGORY_NAME
漂流,217,217,Activities,,,Ride
哈芝巷,216,218,POI/Places,,,NA
小动物,216,219,Sightseeing,,,Animals
捷运,216,220,Transportation and Accessibility,,,MRT
整体,216,221,NA,,1,NA
每天,214,222,NA,,,NA
在一起,212,223,Family/Children family/Friends,,1,NA
不想,210,224,NA,,,NA
中国,209,225,NA,,,NA
新加坡的地标,208,226,POI/Places,,,NA
一整天,207,227,NA,,,NA
空气,207,228,Environment and Ambiance,,,NA
兰花,205,229,Sightseeing,,,Flowers
宝宝,203,230,Family/Children family/Friends,,,Infants
沙名胜世界,203,231,POI/Places,,,NA
儿童,202,232,Family/Children family/Friends,,,Children
周边,202,233,Transportation and Accessibility,,,NA
知识,202,234,NA,,,NA
海水,201,235,Sightseeing,,,Sea
个小时,200,236,NA,,,NA
新元,200,237,Price,,,NA
人性化,199,238,Service,,,NA
出票快,199,239,Transportation and Accessibility,,,Tickets
新加坡一定,199,240,NA,,,NA
速度,199,241,NA,,1,NA
真心,196,242,NA,,,NA
中心,195,243,NA,,,NA
鸟类,195,244,Sightseeing,,,Animals
胜地,194,245,POI/Places,,,NA
非常适合,194,246,Experience,,1,NA
新加坡的历史,193,247,Arts and Culture,,,History
环境很好,193,248,Environment and Ambiance,,,NA
印象,192,249,Experience,,1,NA
颜色,192,250,NA,,,NA
分钟,190,251,NA,,,NA
游人,190,252,NA,,,NA
甘榜格,189,253,POI/Places,,,NA
节目,189,254,Activities,,,Shows
新加坡的唐人街,188,255,POI/Places,,,NA
电子票,188,256,Transportation and Accessibility,,,Tickets
新加坡人,187,257,NA,,,NA
大人小孩,186,258,Family/Children family/Friends,,,Family
新加坡植物园,186,259,POI/Places,,,NA
清真寺,186,260,Arts and Culture,,,Culture
特点,186,261,Arts and Culture,,,Culture
有人,185,262,NA,,1,NA
餐饮,185,263,F&B,,,NA
实惠,183,264,Price,,,NA
展品,183,265,Arts and Culture,,,Exhibits
花园城市,183,266,Environment and Ambiance,,,NA
游览车,182,267,Transportation and Accessibility,,,NA
过程,182,268,NA,,,NA
几次,181,269,NA,,,NA
二维码,180,270,Transportation and Accessibility,,,Accessibility
才能,180,271,NA,,,NA
餐馆,180,272,F&B,,,NA
中文小火车,179,273,Transportation and Accessibility,,,NA
就像,179,274,NA,,,NA
距离,179,275,Transportation and Accessibility,,,NA
两个,178,276,NA,,,NA
空间,178,277,Environment and Ambiance,,,NA
室内,177,278,Environment and Ambiance,,,NA
亚洲大陆,176,279,NA,,,NA
一遍,175,280,NA,,,NA
衣服,175,281,NA,,,NA
路线,175,282,Transportation and Accessibility,,,NA
河川生态园,174,283,POI/Places,,,NA
市中心,173,284,Transportation and Accessibility,,,NA
新加坡圣,173,285,NA,,,NA
路上,173,286,Transportation and Accessibility,,,NA
小的,172,287,NA,,,NA
一家,171,288,Family/Children family/Friends,,,Family
售票处,171,289,Transportation and Accessibility,,,Tickets
太阳,171,290,Environment and Ambiance,,,"Greenery, Nature"
烟花,171,291,Sightseeing,,,View
原来,170,292,NA,,,NA
樟宜机场,170,293,POI/Places,,,NA
优先票,169,294,Transportation and Accessibility,,,Tickets
景区,168,295,POI/Places,,,NA
老人,168,296,Family/Children family/Friends,,,Family
肉骨茶,167,297,F&B,,,Chinese
再来,166,298,NA,,,NA
造型,165,299,NA,,1,NA
名字,164,300,NA,,,NA
套票,164,301,Transportation and Accessibility,,,Tickets
新加坡旅游,164,302,NA,,,NA
榴莲,164,303,F&B,,,NA
店铺,163,304,Shopping,,,NA
纪念品,163,305,Shopping,,,Souvenior
规模,163,306,NA,,1,NA
主题,162,307,NA,,,NA
值得看,161,308,Price,,,NA
泳衣,161,309,NA,,,NA
空中花园,161,310,POI/Places,,,NA
当地,160,311,NA,,,NA
斜坡滑车,159,312,Activities,,,Ride
河边,158,313,Sightseeing,,,NA
比较好,157,314,NA,,1,NA
游戏,157,315,NA,,,NA
场所,156,316,NA,,1,NA
故事,156,317,NA,,,NA
亮点,155,318,Arts and Culture,,,NA
品种,155,319,NA,,,NA
日间动物园,155,320,POI/Places,,,NA
地址,154,321,Transportation and Accessibility,,,NA
山顶,154,322,NA,,1,NA
滨海艺术中心,154,323,POI/Places,,,NA
狮子,154,324,Sightseeing,,,Animals
馆内,154,325,Environment and Ambiance,,,NA
建筑物,153,326,Sightseeing,,1,Buildings
心情,153,327,NA,,,NA
一去的地方,151,328,NA,,,NA
房子,151,329,Sightseeing,,1,Buildings
景色不错,151,330,Sightseeing,,,View
阳光,151,331,Environment and Ambiance,,,"Greenery, Nature"
种类,150,332,Sightseeing,,,NA
不去,149,333,NA,,,NA
大海,149,334,Sightseeing,,,Sea
来说,149,335,NA,,,NA
上午,148,336,NA,,,NA
水族馆,148,337,POI/Places,,,NA
沙子,148,338,Environment and Ambiance,,,Beach
胡姬花,148,339,Sightseeing,,,Flowers
大榴莲,147,340,POI/Places,,,NA
海底世界,147,341,POI/Places,,,NA
马来西亚,147,342,NA,,,NA
场馆,146,343,NA,,,NA
海风,146,344,NA,,,NA
适合小朋友,145,345,Family/Children family/Friends,,,Children
座位,144,346,NA,,,NA
英语,144,347,NA,,,NA
中国人,143,348,NA,,,NA
地图,143,349,Facilities,,,Accessibility
网红,143,350,NA,,1,NA
通道,143,351,Transportation and Accessibility,,,Paths
场景,142,352,NA,,,NA
女儿,142,353,Family/Children family/Friends,,,Family
样子,142,354,NA,,,NA
亲子游,141,355,Family/Children family/Friends,,,Family
感兴趣,141,356,NA,,,NA
短信,141,357,NA,,,NA
成人,140,358,Family/Children family/Friends,,,NA
巴拉湾海滩,139,359,POI/Places,,,NA
双螺旋桥,138,360,POI/Places,,,NA
房间,138,361,NA,,,NA
日落,138,362,Environment and Ambiance,,,"Greenery, Nature"
标志性,138,363,Sightseeing,,,NA
公顷,137,364,NA,,,NA
几个,137,365,NA,,,NA
环境优美,137,366,Environment and Ambiance,,,"Greenery, Nature"
圣安德烈教堂,136,367,POI/Places,,,NA
总体来说,136,368,NA,,,NA
新加坡的夜景,136,369,Sightseeing,,,View
角度,136,370,NA,,,NA
一体,135,371,NA,,,NA
入口,135,372,Transportation and Accessibility,,,NA
公交,135,373,Transportation and Accessibility,,,Bus
大学,135,374,NA,,,NA
邮件,135,375,NA,,,NA
现代,134,376,NA,,,NA
陆地,134,377,NA,,,NA
关键,133,378,NA,,,NA
半个小时,133,379,NA,,,NA
海鲜,133,380,F&B,,,NA
地区,132,381,NA,,1,NA
猴子,132,382,Sightseeing,,,Animals
乐趣,131,383,NA,,,NA
外套,131,384,NA,,,NA
马路,131,385,Transportation and Accessibility,,,NA
两天,130,386,NA,,,NA
意义,130,387,NA,,,NA
沿途,130,388,NA,,,NA
白色,130,389,NA,,,NA
西乐索海滩,130,390,POI/Places,,,NA
海事博物馆,128,391,POI/Places,,,NA
住在,127,392,Transportation and Accessibility,,,NA
氛围,127,393,Environment and Ambiance,,,NA
狮城,126,394,NA,,,NA
交通方便,125,395,Transportation and Accessibility,,,NA
大自然,125,396,Sightseeing,,,"Greenery, Nature"
如今,125,397,NA,,,NA
气氛,125,398,Environment and Ambiance,,,NA
空中,125,399,NA,,,NA
品牌,124,400,NA,,1,NA
图片,124,401,NA,,,NA
花柏山,124,402,POI/Places,,,NA
队伍,124,403,Transportation and Accessibility,,1,NA
雕塑,123,404,Arts and Culture,,,Sculptures
小吃,122,405,F&B,,,NA
新加坡夜景,122,406,Sightseeing,,,View
水幕,122,407,Sightseeing,,,NA
重点,122,408,NA,,,NA
蝴蝶,121,409,Sightseeing,,,Animals
来的,120,410,NA,,,NA
麻烦,120,411,NA,,,NA
商品,119,412,Shopping,,,NA
热带雨林,119,413,Sightseeing,,,Plants
部分,119,414,NA,,,NA
食物,119,415,F&B,,,NA
价比高,118,416,Price,,,NA
新加坡历史,116,417,Arts and Culture,,,History
环境不错,116,418,Environment and Ambiance,,,NA
的很,116,419,NA,,,NA
做好,115,420,NA,,,NA
圣地,115,421,POI/Places,,,NA
鱼尾狮塔,115,422,POI/Places,,,NA
全球,114,423,NA,,,NA
公里,114,424,Transportation and Accessibility,,,NA
森林,114,425,Sightseeing,,,Plants
装修,114,426,NA,,,NA
鹦鹉,114,427,Sightseeing,,,Animals
新加坡滨海湾花园,113,428,POI/Places,,,NA
趣味性,113,429,Experience,,,NA
鱼类,113,430,Sightseeing,,,Animals
上海,112,431,NA,,,NA
水母,112,432,Sightseeing,,,Animals
福康宁,112,433,POI/Places,,,NA
空中走廊,112,434,POI/Places,,,NA
风景不错,112,435,Sightseeing,,,View
夜幕,111,436,NA,,,NA
苏丹,111,437,NA,,,NA
海洋,110,438,Sightseeing,,,Sea
亲子,109,439,Family/Children family/Friends,,,Family
马里安曼兴都庙,109,440,POI/Places,,,NA
每个项目,108,441,Activities,,,NA
烟火,108,442,Sightseeing,,,NA
程买票,108,443,Transportation and Accessibility,,,Tickets
趣味,108,444,Experience,,,NA
未来水世界,107,445,Activities,,,Shows
海南鸡饭,107,446,F&B,,,"Coffee Shops, Hawker Center"
空气清新,107,447,Environment and Ambiance,,,NA
世纪,106,448,NA,,,NA
新加坡地标,106,449,POI/Places,,,NA
河川,106,450,POI/Places,,,NA
占地,105,451,NA,,,NA
图书馆,105,452,Sightseeing,,,NA
更多,105,453,NA,,,NA
身边,105,454,NA,,,NA
大象,104,455,Sightseeing,,,Animals
学校,104,456,NA,,,NA
家人,104,457,Family/Children family/Friends,,,Family
热带植物,104,458,Sightseeing,,,Plants
玻璃,104,459,NA,,1,NA
老少皆宜,104,460,Family/Children family/Friends,,,Family
街上,104,461,NA,,,NA
鱼尾狮像,104,462,POI/Places,,,NA
东南亚,103,463,NA,,,NA
消费,103,464,Shopping,,,NA
牛车,103,465,POI/Places,,,NA
玩完,103,466,NA,,,NA
蜥蜴,103,467,Sightseeing,,,Animals
高空,103,468,NA,,1,NA
一小时,102,469,NA,,,NA
一楼,102,470,NA,,,NA
两个馆,102,471,NA,,,NA
印度庙,102,472,NA,,,NA
吊桥,102,473,NA,,,NA
旅游景点,102,474,POI/Places,,,NA
机会,102,475,NA,,,NA
滨海,102,476,POI/Places,,,NA
票机,102,477,NA,,,NA
色彩,102,478,NA,,,NA
座桥,101,479,NA,,,NA
护照,101,480,NA,,,NA
日本,101,481,NA,,,NA
海星,101,482,Sightseeing,,,Animals
科技,101,483,NA,,,NA
艺术中心,101,484,POI/Places,,,NA
平时,100,485,NA,,,NA
玩具,100,486,NA,,,NA
珍宝海鲜,100,487,F&B,,,NA
自行车,100,488,Transportation and Accessibility,,,NA
像是,99,489,NA,,,NA
大树,99,490,POI/Places,,,NA
纪念碑,99,491,POI/Places,,,NA
新加坡的象征,98,492,POI/Places,,,NA
晚餐,98,493,F&B,,,NA
绿化,98,494,Sightseeing,,,"Greenery, Nature"
佛牙寺,97,495,POI/Places,,,NA
好久,97,496,NA,,,NA
展馆,97,497,Facilities,,,Exhibits
影城,97,498,NA,,,NA
机器,97,499,NA,,,NA
海景,97,500,Sightseeing,,,Sea
象征,97,501,Sightseeing,,,NA
高楼,97,502,Facilities,,1,Buildings
鲨鱼,97,503,Sightseeing,,,Animals
全天,96,504,NA,,,NA
小店,96,505,Shopping,,,NA
梦幻,96,506,Experience,,1,NA
步道,96,507,Transportation and Accessibility,,,Paths
水陆,96,508,Transportation and Accessibility,,,NA
窗口,96,509,Service,,,Information
视觉,96,510,NA,,,NA
超级树,96,511,POI/Places,,,NA
周一,95,512,NA,,,NA
商业街,95,513,Shopping,,,NA
层楼,95,514,NA,,,NA
滨海花园,95,515,POI/Places,,,NA
第二天,95,516,NA,,,NA
经典,95,517,Experience,,,NA
视野,95,518,Sightseeing,,,View
动物种类,94,519,Sightseeing,,,Animals
去处,94,520,NA,,,NA
大牌,94,521,Shopping,,,NA
长时间,94,522,Transportation and Accessibility,,1,NA
兴趣,93,523,NA,,,NA
奢侈品,93,524,Shopping,,,NA
感觉一般,93,525,Experience,,,NA
科学,93,526,NA,,,NA
鲜花,93,527,Sightseeing,,,Flowers
了一,92,528,NA,,,NA
地理位置,92,529,Transportation and Accessibility,,,Position
小伙伴,92,530,Family/Children family/Friends,,,Friends
早餐,92,531,F&B,,,NA
现场买票,92,532,Transportation and Accessibility,,,Tickets
蚊子,92,533,Environment and Ambiance,,,NA
飞禽,92,534,Sightseeing,,,Animals
不错,91,535,Experience,,,NA
印度风情,91,536,Arts and Culture,,,Indian
大雨,91,537,Environment and Ambiance,,,Weather
新加坡河畔,91,538,POI/Places,,,NA
晚饭,91,539,F&B,,,NA
海豚亲密,91,540,Sightseeing,,,Animals
滨海湾金沙,91,541,POI/Places,,,NA
观景台,91,542,Facilities,,,View
作品,90,543,NA,,,NA
冷气,90,544,Environment and Ambiance,,,Air Conditioning
小船,90,545,NA,,,NA
年轻人,90,546,NA,,,NA
情况,90,547,NA,,,NA
新加坡国家美术馆,90,548,POI/Places,,,NA
方便,90,549,Transportation and Accessibility,,,NA
激光,90,550,NA,,,NA
玩水,90,551,Activities,,,NA
要求,90,552,NA,,,NA
个人感觉,89,553,Experience,,,NA
信徒,89,554,NA,,,NA
外国人,89,555,NA,,,NA
它的,89,556,NA,,,NA
新加坡的标志性,89,557,POI/Places,,,NA
方向,89,558,Transportation and Accessibility,,,NA
老公,89,559,Family/Children family/Friends,,,Spouse
设备,89,560,Facilities,,,NA
价钱,88,561,Price,,,NA
假期,88,562,NA,,,NA
几天,88,563,NA,,,NA
名胜世界,88,564,POI/Places,,,NA
周日,88,565,NA,,,NA
山上,88,566,NA,,,NA
新加坡最大,88,567,NA,,,NA
校园,88,568,NA,,,NA
环境好,88,569,Environment and Ambiance,,,NA
票点,88,570,NA,,,NA
远处,88,571,NA,,,NA
两场,87,572,NA,,,NA
人很少,87,573,Transportation and Accessibility,,,Queue
人群,87,574,Transportation and Accessibility,,1,Queue
客服,87,575,Service,,,Staff
拖鞋,87,576,NA,,,NA
滑道,87,577,Activities,,,Ride
环球,87,578,POI/Places,,,NA
胡姬花园,87,579,POI/Places,,,NA
苏丹清真寺,87,580,POI/Places,,,NA
香港,87,581,NA,,,NA
想再,86,582,NA,,,NA
新加坡国家博物馆,86,583,POI/Places,,,NA
方面,86,584,NA,,,NA
原因,85,585,NA,,,NA
新加坡著名,85,586,Sightseeing,,,NA
日间,85,587,NA,,,NA
游泳池,85,588,Facilities,,,Pool
现场便宜,85,589,Price,,,NA
草坪,85,590,Sightseeing,,,Grass
计划,85,591,NA,,,NA
义安城,84,592,Shopping,,,NA
天空,84,593,NA,,,NA
往前,84,594,Transportation and Accessibility,,,NA
每个,84,595,NA,,,NA
雕像,84,596,Arts and Culture,,,Sculptures
一刻,83,597,NA,,,NA
人也不多,83,598,Transportation and Accessibility,,,Queue
夕阳,83,599,Environment and Ambiance,,,"Greenery, Nature"
外形,83,600,NA,,,NA
建议晚上,83,601,NA,,,NA
快速通道,83,602,Service,,,Accessibility
滨海湾金沙酒店,83,603,POI/Places,,,NA
订单,83,604,NA,,,NA
马来人,83,605,NA,,,NA
不算,82,606,NA,,,NA
两个小时,82,607,NA,,,NA
公交车,82,608,Transportation and Accessibility,,,Bus
场地,82,609,NA,,,NA
夜间野生动物园,82,610,POI/Places,,,NA
怡丰城,82,611,Shopping,,,NA
风景很好,82,612,Sightseeing,,,View
一开始,81,613,NA,,,NA
四次,81,614,NA,,,NA
室外,81,615,NA,,,NA
本地人,81,616,NA,,,NA
树木,81,617,Sightseeing,,,Plants
水里,81,618,NA,,,NA
海湾,81,619,Sightseeing,,,NA
两边,80,620,NA,,,NA
岛内,80,621,NA,,,NA
涂鸦,80,622,Arts and Culture,,1,Art
物品,80,623,NA,,,NA
香火,80,624,NA,,,NA
一段,79,625,NA,,,NA
全世界,79,626,NA,,,NA
剧院,79,627,NA,,,NA
周六,79,628,NA,,,NA
大人孩子,79,629,Family/Children family/Friends,,,Family
大气,79,630,Experience,,,NA
客人,79,631,NA,,,NA
很满意,79,632,Experience,,,NA
时间充裕,79,633,NA,,,NA
海洋世界,79,634,POI/Places,,,NA
海洋动物,79,635,Sightseeing,,,Animals
游乐场,79,636,POI/Places,,,NA
艺术品,79,637,Arts and Culture,,,Art
莱佛士爵士,79,638,NA,,,NA
车厢,79,639,Transportation and Accessibility,,,NA
道路,79,640,Transportation and Accessibility,,,NA
高处,79,641,NA,,,NA
咖啡馆,78,642,F&B,,,Cafes
孔雀,78,643,Sightseeing,,,Animals
小径,78,644,Transportation and Accessibility,,,Paths
展厅,78,645,Facilities,,,Exhibits
新加坡真的,78,646,NA,,,NA
棒棒,78,647,Experience,,,NA
眼前,78,648,NA,,,NA
美的地方,78,649,POI/Places,,,NA
节庆大道,78,650,POI/Places,,,NA
适合孩子,78,651,Family/Children family/Friends,,,Children
全家,77,652,Family/Children family/Friends,,,Family
感觉不错,77,653,Experience,,,NA
耳机,77,654,NA,,,NA
背景,77,655,NA,,1,NA
邮箱,77,656,Facilities,,,NA
S.E.,77,657,NA,,,NA
一个多小时,76,658,NA,,,NA
一层,76,659,NA,,,NA
二楼,76,660,NA,,,NA
体力,76,661,NA,,,NA
印度的缩影,76,662,Arts and Culture,,,Indian
新达城,76,663,Shopping,,,NA
昆虫,76,664,NA,,1,NA
模式,76,665,NA,,,NA
河流,76,666,NA,,,NA
滑梯,76,667,Activities,,,Ride
节假日,76,668,NA,,,NA
非常满意,76,669,Experience,,,NA
风光,76,670,Sightseeing,,,View
出租车,75,671,Transportation and Accessibility,,,Taxi
妈妈,75,672,Family/Children family/Friends,,,Family
小盆友,75,673,Family/Children family/Friends,,,Children
新加坡的国花,75,674,Sightseeing,,,Flowers
珠海长,75,675,NA,,,NA
适合亲子游,75,676,Family/Children family/Friends,,,Family
酒吧街,75,677,Transportation and Accessibility,,,"Bars, Pubs"
金沙空中花园,75,678,POI/Places,,,NA
一番,74,679,NA,,,NA
岛屿,74,680,NA,,,NA
总体感觉,74,681,Experience,,,NA
情侣,74,682,Family/Children family/Friends,,,Couples
排长队,74,683,Transportation and Accessibility,,,Queue
晚上的时候,74,684,NA,,,NA
飞机,74,685,Transportation and Accessibility,,,NA
口味,73,686,F&B,,,NA
收获,73,687,NA,,,NA
新加坡摩天观景轮,73,688,POI/Places,,,NA
旅程,73,689,NA,,,NA
老外,73,690,NA,,,NA
裕廊飞禽公园,73,691,POI/Places,,,NA
不值得,72,692,Price,,,NA
中途,72,693,Transportation and Accessibility,,,NA
外墙,72,694,NA,,,NA
多年的历史,72,695,Arts and Culture,,,History
家庭,72,696,Family/Children family/Friends,,,Family
折扣,72,697,Price,,,NA
柜台,72,698,Facilities,,,NA
牛车水原貌馆,72,699,POI/Places,,,NA
珍宝,72,700,F&B,,1,NA
野生动物园,72,701,POI/Places,,,NA
门票价格,72,702,Transportation and Accessibility,,,Tickets
创意,71,703,NA,,,NA
原本,71,704,NA,,,NA
好多人,71,705,Transportation and Accessibility,,,Queue
新加坡全景,71,706,Sightseeing,,,View
热带,71,707,NA,,,NA
眼睛,71,708,NA,,,NA
自由行,71,709,NA,,,NA
路边,71,710,NA,,,NA
饮料,71,711,F&B,,,"Coffee, Tea"
人气,70,712,NA,,,NA
印象深刻,70,713,Experience,,1,NA
吃到,70,714,F&B,,,NA
夜色,70,715,NA,,,NA
