"POI_INDEX","URL","POI_RAW_NAME","POI_CHINESE_NAME","TOTAL_REVIEWS","POI_CHINESE_NAME_IS_ENGLISH","POI_NAME","POI_CHINESE_NAME_TRANSLATED","POI_NAME_IS_TRANSLATED","WEBSITE_INDEX"
59,"https://www.mafengwo.cn/poi/10955.html","Henderson Waves","亨德森波浪桥","70",NA,"Henderson Waves","Henderson Wave Bridge",0,3
60,"https://www.mafengwo.cn/poi/22040.html","Wild Wild Wet @ Downtown East","Wild Wild Wet水上乐园","32",NA,"Wild Wild Wet @ Downtown East","Wild Wild Wet",0,3
61,"https://www.mafengwo.cn/poi/11017.html","Istana","新加坡总统府","85",NA,"Istana","Singapore Presidential Palace",0,3
62,"https://www.mafengwo.cn/poi/10920.html","Sri Veeramakaliamman Temple","斯里-维拉玛卡里雅曼兴都庙","114",NA,"Sri Veeramakaliamman Temple","Sri-Villamakaliamman Temple",0,3
63,"https://www.mafengwo.cn/poi/7646143.html","The Southern Ridges","南部山脊","13",NA,"The Southern Ridges","Southern ridge",0,3
64,"https://www.mafengwo.cn/poi/11013.html","Victoria Theatre & Victoria Concert Hall","新加坡维多利亚剧院","42",NA,"Victoria Theatre & Victoria Concert Hall","Victoria Theatre Singapore",0,3
65,"https://www.mafengwo.cn/poi/20705.html","National Library of Singapore","新加坡国家图书馆","62",NA,"National Library of Singapore","National Library of Singapore",0,3
66,"https://www.mafengwo.cn/poi/6030466.html","Ann Siang Hill","安详山","60",NA,"Ann Siang Hill","Anshan",0,3
67,"https://www.mafengwo.cn/poi/11067.html","Anderson Bridge","安德逊桥","113",NA,"Anderson Bridge","Anderson bridge",0,3
68,"https://www.mafengwo.cn/poi/92950.html","Old Art House at the Old Parliament","旧议会大厦","37",NA,"Old Art House at the Old Parliament","Old parliament building",0,3
69,"https://www.mafengwo.cn/poi/20885.html","Singapore Philatelic Museum","新加坡集邮馆","105",NA,"Singapore Philatelic Museum","Singapore Philatelic Museum",0,3
70,"https://www.mafengwo.cn/poi/10470.html","Butterfly Park and Insect Kingdom","蝴蝶园与昆虫王国","26",NA,"Butterfly Park and Insect Kingdom","Butterfly Garden and Insect Kingdom",0,3
71,"https://www.mafengwo.cn/poi/20878.html","City Hall","新加坡市政厅","66",NA,"City Hall","Singapore City Hall",0,3
72,"https://www.mafengwo.cn/poi/6023414.html","MacRitchie Reservoir","麦里芝水库","31",NA,"MacRitchie Reservoir","Macridge res.",0,3
73,"https://www.mafengwo.cn/poi/13269069.html","Trick Eye Museum Singapore","新加坡特丽爱3D美术馆","20",NA,"Trick Eye Museum Singapore","Trick Eye Museum Singapore",0,3
74,"https://www.mafengwo.cn/poi/5422431.html","Chinese Garden","裕华园","28",NA,"Chinese Garden","Yuhuayuan",0,3
75,"https://www.mafengwo.cn/poi/186307.html","Peranakan Museum","土生华人博物馆","47",NA,"Peranakan Museum","Peranakan Museum",0,3
76,"https://www.mafengwo.cn/poi/6017931.html","Esplanade Park","滨海公园","35",NA,"Esplanade Park","Seaside park",0,3
77,"https://www.mafengwo.cn/poi/9961383.html","Garden Rhapsody","花园狂想曲 （Garden Rhapsody）","32",NA,"Garden Rhapsody","Garden Rhapsody",0,3
78,"https://www.mafengwo.cn/poi/6034033.html","Lake of Dreams","圣淘沙梦之湖","28",NA,"Lake of Dreams","Lake of Dreams, Sentosa",0,3
79,"https://www.mafengwo.cn/poi/5422949.html","Abdul Gaffoor Mosque","阿都卡夫清真寺","18",NA,"Abdul Gaffoor Mosque","Abdul Kaf Mosque",0,3
80,"https://www.mafengwo.cn/poi/6027825.html","Singapore City Gallery","新加坡城市规划展览馆","27",NA,"Singapore City Gallery","Singapore Urban Planning Exhibition Hall",0,3
81,"https://www.mafengwo.cn/poi/69409596.html","Art Science Museum","科学艺术博物馆","10",NA,"Art Science Museum","Museum of Science and Art",0,3
82,"https://www.mafengwo.cn/poi/5422419.html","Lasalle College of the Arts","拉萨尔设计学院","19",NA,"Lasalle College of the Arts","LaSalle Design Institute",0,3
83,"https://www.mafengwo.cn/poi/33799196.html","ION SKY","ION观景台","12",NA,"ION SKY","ION observation deck",0,3
84,"https://www.mafengwo.cn/poi/59242092.html","Revenge of the Mummy","木乃伊复仇记","32",NA,"Revenge of the Mummy","Mummy&#39;s Revenge",0,3
85,"https://www.mafengwo.cn/poi/11034.html","Tanjong Beach","丹戎海滩","34",NA,"Tanjong Beach","Tanjong Beach",0,3
86,"https://www.mafengwo.cn/poi/69409588.html",NA,"新加坡芽笼","10",NA,"Singapore Geylang","Singapore Geylang",1,3
87,"https://www.mafengwo.cn/poi/11011.html","Armenian Church","亚美尼亚教堂","38",NA,"Armenian Church","Armenian church",0,3
88,"https://www.mafengwo.cn/poi/34061732.html","Sentosa Beach","圣淘沙海滩","19",NA,"Sentosa Beach","Sentosa beach",0,3
89,"https://www.mafengwo.cn/poi/185989.html","Malay Heritage Centre","马来传统文化馆","33",NA,"Malay Heritage Centre","Malay Traditional Culture Museum",0,3
90,"https://www.mafengwo.cn/poi/74047984.html","Jewel Changi Airport","星耀樟宜","5",NA,"Jewel Changi Airport","Starlight Changi",0,3
91,"https://www.mafengwo.cn/poi/10936.html","Sungei Buloh Wetland Reserve","双溪布洛湿地保护区","16",NA,"Sungei Buloh Wetland Reserve","Sungei Buloh Wetland Reserve",0,3
92,"https://www.mafengwo.cn/poi/6018050.html","Civil Defence Heritage Gallery","消防博物馆","28",NA,"Civil Defence Heritage Gallery","Fire museum",0,3
93,"https://www.mafengwo.cn/poi/6018002.html","Jamae Mosque","詹美回教堂","41",NA,"Jamae Mosque","Jamey Mosque",0,3
94,"https://www.mafengwo.cn/poi/7645710.html","Thian Hock Keng Temple Mural","天福宫","21",NA,"Thian Hock Keng Temple Mural","Tianfu Temple",0,3
95,"https://www.mafengwo.cn/poi/20879.html","Old Supreme Court Building","旧高等法院","28",NA,"Old Supreme Court Building","Old high court",0,3
96,"https://www.mafengwo.cn/poi/5422958.html","Arab Street","亚拉街","21",NA,"Arab Street","Yarra Street",0,3
97,"https://www.mafengwo.cn/poi/6027819.html","House of Tan Teng Niah","陈东龄故居","37",NA,"House of Tan Teng Niah","Chen Dongling&#39;s Former Residence",0,3
98,"https://www.mafengwo.cn/poi/15528342.html","Madame Tussauds Singapore","新加坡杜莎夫人蜡像馆","16",NA,"Madame Tussauds Singapore","Madame Tussauds Singapore",0,3
99,"https://www.mafengwo.cn/poi/10971.html","Civilian War Memorial","平民战争纪念碑","47",NA,"Civilian War Memorial","Civil War Memorial",0,3
100,"https://www.mafengwo.cn/poi/11037.html","Fort Siloso","西罗索炮台","20",NA,"Fort Siloso","Siloso Battery",0,3
101,"https://www.mafengwo.cn/poi/10859.html","Fountain of Wealth","财富之源广场","53",NA,"Fountain of Wealth","Source of Wealth Square",0,3
102,"https://www.mafengwo.cn/poi/5422499.html","MacRitchie Reservoir","麦里芝蓄水池公园","20",NA,"MacRitchie Reservoir","MacRitchie Reservoir Park",0,3
103,"https://www.mafengwo.cn/poi/20903.html","Marina Barrage","滨海堤坝","24",NA,"Marina Barrage","Marina dike",0,3
104,"https://www.mafengwo.cn/poi/10915.html","Cavenagh Bridge","加纳文桥","90",NA,"Cavenagh Bridge","Ganaven bridge",0,3
105,"https://www.mafengwo.cn/poi/10995.html","Kwan Im Thong Hood Cho Temple","四马路观音堂","52",NA,"Kwan Im Thong Hood Cho Temple","Guanyin Hall",0,3
106,"https://www.mafengwo.cn/poi/5426166.html","Port of Lost Wonder","奇幻乐园","12",NA,"Port of Lost Wonder","Fantasyland",0,3
107,"https://www.mafengwo.cn/poi/6033958.html",NA,"丹戎巴葛保留区","16",NA,"Tanjong Pagar Reserve","Tanjong Pagar Reserve",1,3
108,"https://www.mafengwo.cn/poi/6030769.html","Singapore Management University","新加坡管理大学","48",NA,"Singapore Management University","Singapore Management University",0,3
109,"https://www.mafengwo.cn/poi/11038.html","Images of Singapore","新加坡万象馆","20",NA,"Images of Singapore","Vientiane Museum",0,3
110,"https://www.mafengwo.cn/poi/6027880.html","The Church Of Our Lady Of Lourdes","露德圣母教堂","10",NA,"The Church Of Our Lady Of Lourdes","Church of Our Lady of Lourdes",0,3
111,"https://www.mafengwo.cn/poi/6027832.html","Pasir Ris Park","巴西立公园","15",NA,"Pasir Ris Park","Pasir Ris Park",0,3
112,"https://www.mafengwo.cn/poi/5538178.html","Tiger Sky Tower","老虎天空塔","14",NA,"Tiger Sky Tower","Tiger Sky Tower",0,3
113,"https://www.mafengwo.cn/poi/8464022.html","Elgin Bridge","爱琴桥","23",NA,"Elgin Bridge","Aegean Bridge",0,3
114,"https://www.mafengwo.cn/poi/5541973.html","St Joseph's Church","圣约翰教堂","17",NA,"St Joseph's Church","St. John&#39;s Church",0,3
115,"https://www.mafengwo.cn/poi/34061588.html","Puss In Boots Giant Journey","鞋猫剑客历险记","32",NA,"Puss In Boots Giant Journey","Shoe Cat Swordsman Adventures",0,3
116,"https://www.mafengwo.cn/poi/5424270.html","School of the Arts Sinagpore","新加坡艺术学院","13",NA,"School of the Arts Sinagpore","Singapore Academy of Arts",0,3
117,"https://www.mafengwo.cn/poi/186206.html","Haw Par Villa","虎豹别墅","18",NA,"Haw Par Villa","Haw Par Villa",0,3
118,"https://www.mafengwo.cn/poi/11123.html","Sri Srinivasa Perumal Temple","里尼维沙伯鲁玛兴都庙","16",NA,"Sri Srinivasa Perumal Temple","Rinvesha Buruma Hindu Temple",0,3
119,"https://www.mafengwo.cn/poi/5543825.html","Boat Quay","驳船码头","37",NA,"Boat Quay","Boat Quay",0,3
120,"https://www.mafengwo.cn/poi/6017968.html","Kent Ridge Park","肯特岗公园","10",NA,"Kent Ridge Park","Kent Ridge Park",0,3
121,"https://www.mafengwo.cn/poi/5542950.html","The Float @ Marina Bay","滨海湾浮动舞台","10",NA,"The Float @ Marina Bay","Marina Bay Floating Stage",0,3
122,"https://www.mafengwo.cn/poi/5422963.html","Malay Village","马来文化村","11",NA,"Malay Village","Malay Cultural Village",0,3
123,"https://www.mafengwo.cn/poi/28805438.html",NA,NA,NA,NA,"NA","NA",1,3
124,"https://www.mafengwo.cn/poi/11054.html","Hort Park","园艺园林","10",NA,"Hort Park","Horticulture",0,3
125,"https://www.mafengwo.cn/poi/6018025.html","Raffles Landing Site","莱佛士登陆遗址","35",NA,"Raffles Landing Site","Raffles Landing Site",0,3
126,"https://www.mafengwo.cn/poi/10972.html","Sentosa Wax Museum","圣淘沙蜡像馆","15",NA,"Sentosa Wax Museum","Sentosa Wax Museum",0,3
127,"https://www.mafengwo.cn/poi/5422530.html","Club Street","客纳街","11",NA,"Club Street","Kena Street",0,3
128,"https://www.mafengwo.cn/poi/11060.html","Sun Yat Sen Nanyang Memorial Hal","晚晴园/孙中山故居","10",NA,"Sun Yat Sen Nanyang Memorial Hal","Evening Garden / Former Residence of Sun Yat-sen",0,3
129,"https://www.mafengwo.cn/poi/34171964.html",NA,"The Hive NTU","7",1,"The Hive NTU","The Hive NTU",0,3
130,"https://www.mafengwo.cn/poi/7646193.html","Bollywood Veggies","宝莱坞蔬菜农场","4",NA,"Bollywood Veggies","Bollywood Vegetable Farm",0,3
131,"https://www.mafengwo.cn/poi/7644799.html",NA,"新加坡国大博物馆","8",NA,"National University of Singapore","National University of Singapore",1,3
132,"https://www.mafengwo.cn/poi/6024797.html","Imbiah","英比奥山风景区","18",NA,"Imbiah","Mount Imbio Scenic Area",0,3
133,"https://www.mafengwo.cn/poi/29277942.html","Parliament of Singapore","新加坡国会大厦","6",NA,"Parliament of Singapore","Parliament building",0,3
134,"https://www.mafengwo.cn/poi/10930.html","West Coast Park","西海岸公园","14",NA,"West Coast Park","West coast park",0,3
135,"https://www.mafengwo.cn/poi/6027836.html","Bishan Park","碧山公园","13",NA,"Bishan Park","Bishan Park",0,3
136,"https://www.mafengwo.cn/poi/6027870.html","Saint John's Island","圣约翰岛","9",NA,"Saint John's Island","Saint john i.",0,3
137,"https://www.mafengwo.cn/poi/15476079.html","Changi Beach Park","樟宜海滨公园","2",NA,"Changi Beach Park","Changi Waterfront Park",0,3
138,"https://www.mafengwo.cn/poi/5540039.html","Sri Vadapathira Kaliamman Temple","维达帕提雅卡雅曼兴都庙","15",NA,"Sri Vadapathira Kaliamman Temple","Vidapati Kayaman Hindu Temple",0,3
139,"https://www.mafengwo.cn/poi/10917.html","Farrer Park","花拉公园","8",NA,"Farrer Park","Farrer Park",0,3
140,"https://www.mafengwo.cn/poi/6027872.html","Kusu Island","龟屿岛","6",NA,"Kusu Island","Guiyu Island",0,3
141,"https://www.mafengwo.cn/poi/6017967.html","Telak Blangah Hill Park","直落布兰雅山公园","4",NA,"Telak Blangah Hill Park","Telok Blangah Hill Park",0,3
142,"https://www.mafengwo.cn/poi/6034072.html",NA,"土生华人坊","2",NA,"Peranakan Chinese Square","Peranakan Chinese Square",1,3
143,"https://www.mafengwo.cn/poi/33182952.html","Emerald Hill","翡翠山","4",NA,"Emerald Hill","Emerald Mountain",0,3
144,"https://www.mafengwo.cn/poi/5544824.html","Labrador Nature Reserve","拉柏多自然保护区","6",NA,"Labrador Nature Reserve","Labrador Nature Reserve",0,3
145,"https://www.mafengwo.cn/poi/34101816.html","Singapore University of Technology and Design","新加坡科技设计大学","4",NA,"Singapore University of Technology and Design","Singapore University of Technology and Design",0,3
146,"https://www.mafengwo.cn/poi/33181912.html","The Intan","娘惹博物馆","1",NA,"The Intan","Nyonya Museum",0,3
147,"https://www.mafengwo.cn/poi/5541968.html","Cathedral of the Good Shepherd","善牧主教座堂","6",NA,"Cathedral of the Good Shepherd","Cathedral of the Good Shepherd",0,3
148,"https://www.mafengwo.cn/poi/66466304.html","Rainforest Lumina","幻光雨林之夜","1",NA,"Rainforest Lumina","Phantom Rainforest Night",0,3
149,"https://www.mafengwo.cn/poi/5544971.html","Sembawang Park","三巴旺公园","5",NA,"Sembawang Park","Sembawang Park",0,3
150,"https://www.mafengwo.cn/poi/7646674.html","The NEWater Visitor Centre","新生水展览馆","7",NA,"The NEWater Visitor Centre","Xinsheng Water Exhibition Hall",0,3
151,"https://www.mafengwo.cn/poi/6033983.html","Central Catchment Nature Reserve","中央集水区自然保护区","3",NA,"Central Catchment Nature Reserve","Central Watershed Nature Reserve",0,3
152,"https://www.mafengwo.cn/poi/7433562.html",NA,"Dempsey Hill","8",NA,"Dempsey Hill","Dempsey Hill",1,3
153,"https://www.mafengwo.cn/poi/11082.html","Bukit Batok Nature Park","武吉巴督自然公园","5",NA,"Bukit Batok Nature Park","Bukit Batok Nature Park",0,3
154,"https://www.mafengwo.cn/poi/33182896.html","Central Fire Station","中央消防局","4",NA,"Central Fire Station","Central Fire Station",0,3
155,"https://www.mafengwo.cn/poi/34809568.html","SBG Heritage Museum","新加坡植物园遗产博物馆","1",NA,"SBG Heritage Museum","Singapore Botanic Garden Heritage Museum",0,3
156,"https://www.mafengwo.cn/poi/34939400.html",NA,"仙人掌花园","3",NA,"Cactus garden","Cactus garden",1,3
157,"https://www.mafengwo.cn/poi/59099464.html","Palawan Pirate Ship","Palawan Pirate Ship - 停业","3",NA,"Palawan Pirate Ship","Palawan Pirate Ship-closed",0,3
158,"https://www.mafengwo.cn/poi/6028784.html","Marina Bay City Gallery","滨海湾城市规划展览馆","3",NA,"Marina Bay City Gallery","Marina Bay Urban Planning Exhibition Hall",0,3
159,"https://www.mafengwo.cn/poi/7646180.html","Fire Flies Health Farm","萤火虫健康蔬菜农场","2",NA,"Fire Flies Health Farm","Firefly Healthy Vegetable Farm",0,3
160,"https://www.mafengwo.cn/poi/7864552.html","Chek Jawa Wetlands","仄爪哇湿地","8",NA,"Chek Jawa Wetlands","仄 Java Wetland",0,3
161,"https://www.mafengwo.cn/poi/6027857.html","Nanyang Academy of Fine Arts","南洋艺术学院","7",NA,"Nanyang Academy of Fine Arts","Nanyang Academy of Arts",0,3
162,"https://www.mafengwo.cn/poi/50229796.html","Waterfront Promenade","滨海步道","4",NA,"Waterfront Promenade","Coastal walk",0,3
163,"https://www.mafengwo.cn/poi/50229792.html",NA,"Joo Chiat/Katong","1",1,"Joo Chiat/Katong","Joo Chiat / Katong",0,3
164,"https://www.mafengwo.cn/poi/10939.html","Kong Meng San Phor Kark See Temple","光明山普觉寺","4",NA,"Kong Meng San Phor Kark See Temple","Guangmingshan Pujue Temple",0,3
165,"https://www.mafengwo.cn/poi/52978332.html","National Stadium","新加坡国家体育场","4",NA,"National Stadium","Singapore National Stadium",0,3
166,"https://www.mafengwo.cn/poi/9421533.html","Urban Redevelopment Authority","新加坡市区重建局","2",NA,"Urban Redevelopment Authority","Singapore Urban Renewal Authority",0,3
167,"https://www.mafengwo.cn/poi/50228776.html","Mustafa Centre","慕达发购物中心","2",NA,"Mustafa Centre","Mustafa Shopping Centre",0,3
168,"https://www.mafengwo.cn/poi/186022.html","Air Force Museum","空军博物馆","6",NA,"Air Force Museum","Air Force Museum",0,3
169,"https://www.mafengwo.cn/poi/5536079.html","Punggol Park","榜鹅水道公园","5",NA,"Punggol Park","Punggol Waterway Park",0,3
170,"https://www.mafengwo.cn/poi/33182956.html",NA,"Maxwell Food Centre","1",1,"Maxwell Food Centre","Maxwell food centre",0,3
171,"https://www.mafengwo.cn/poi/50229120.html",NA,"OCBC Skyway","1",1,"OCBC Skyway","OCBC Skyway",0,3
172,"https://www.mafengwo.cn/poi/74039520.html","Palawan Island","巴拉湾岛","1",NA,"Palawan Island","Balawan i.",0,3
173,"https://www.mafengwo.cn/poi/33181856.html","The Arts House","旧国会大厦艺术之家","3",NA,"The Arts House","Old Capitol Art House",0,3
174,"https://www.mafengwo.cn/poi/74039452.html","Japanese Garden","星和园","1",NA,"Japanese Garden","Xingheyuan",0,3
175,"https://www.mafengwo.cn/poi/34031504.html","Ray Bay","魟鱼湾","2",NA,"Ray Bay","Sturgeon Bay",0,3
176,"https://www.mafengwo.cn/poi/6042301.html","Dalhousie Obelisk","达豪施纪念碑","7",NA,"Dalhousie Obelisk","Dachau Monument",0,3
177,"https://www.mafengwo.cn/poi/9431159.html","Loyang Tua Pek Kong Temple","洛阳大伯公宫","2",NA,"Loyang Tua Pek Kong Temple","Dayanggong Palace in Luoyang",0,3
178,"https://www.mafengwo.cn/poi/38277336.html","School of Art Design and Media","艺术、设计与媒体学院","3",NA,"School of Art Design and Media","School of Art, Design and Media",0,3
179,"https://www.mafengwo.cn/poi/33181796.html",NA,"NUS Museum","1",NA,"NUS Museum","NUS Museum",1,3
180,"https://www.mafengwo.cn/poi/186321.html","Church of Saints Peter and Paul","圣伯多禄圣保禄教堂","6",NA,"Church of Saints Peter and Paul","St. Peter&#39;s Church",0,3
181,"https://www.mafengwo.cn/poi/33750760.html",NA,"spectra","2",1,"spectra","spectra",0,3
182,"https://www.mafengwo.cn/poi/20881.html","Kranji War Memorial","克兰芝阵亡战士纪念碑","5",NA,"Kranji War Memorial","Kranji Memorial",0,3
183,"https://www.mafengwo.cn/poi/7645561.html","People of the River","河的子民","4",NA,"People of the River","People of the river",0,3
