"","name","tags","service","environment","taste","price","review_number","address","features","stars"
"11","喜茶(克拉码头DP店)","奶茶/果汁 ","9","9.1","9","49","138封点评","3A River Valley Rd, Clarke Quay, Blk A, #01-06, Singapore 179020
              +65-62588036
        ","18人推荐
咸蛋黄冰淇淋
14人推荐
芝芝莓莓
8人推荐
新加坡司令
","五星商户"
"12","亚坤(樟宜机场店)","面包甜点 小吃快餐 ","8.5","8.5","9","37","1222封点评","机场大道65樟宜机场3号航站楼#B2-LF3
              +65-62414341
        ","264人推荐
Kaya吐司
218人推荐
半熟蛋
160人推荐
奶茶
","五星商户"
"13","明辉活田鸡粥","中餐 ","7.3","7","9","142","1520封点评","新加坡芽笼19巷269/323
              +65-98422941
        ","370人推荐
田鸡粥
291人推荐
宫保田鸡
124人推荐
姜葱田鸡
","准五星商户"
"14","老娘惹","东南亚菜 娘惹菜 ","8.6","7.4","9","29","105封点评","卡达耶纳卢尔街1号麦士威食物中心一层04
              
        ","45人推荐
叻沙
11人推荐
仁当鸡饭
3人推荐
摩摩渣渣
","五星商户"
"0","话匣子餐厅","海南鸡饭 东南亚菜 ","8.9","9","8.6","175","890封点评","333 Orchard Road Level 5 @ Mandarin Orchard Singapore Singapore, 新加坡 238867
              +65-68316288
        ","270人推荐
海南鸡饭
265人推荐
龙虾叻沙
145人推荐
椰子冰淇淋
","准五星商户"
"1","松发肉骨茶(JEM店)","肉骨茶 小吃快餐 ","9.2","9.1","9.2","97","144封点评","裕廊商业区路JEM商场B1-09
              +65-62624818
        ","61人推荐
肉骨茶
37人推荐
油条
11人推荐
猪肚汤
","五星商户"
"2","Atlas","酒吧 ","9.2","9.4","9.2","446","218封点评","G/F, Parkview Square, 600 North Bridge Road, Singapore
              +65-63964466
        ","6人推荐
经典Martini
2人推荐
典玛格丽特披萨切片
1人推荐
atlas martini
","五星商户"
"3","威南记鸡饭餐室","中餐 粤菜 ","8.4","8.1","9","95","715封点评","莱佛士大道6号4层102b
              +65-63339830
        ","176人推荐
海南鸡饭
84人推荐
白切鸡
71人推荐
鸡饭套餐
","准五星商户"
"4","Lady M Cake Boutique(Scotts Sq...","甜点 ","9","9.2","9.1","107","430封点评","史格士路6号#01-06/07
              +65-64435717
        ","84人推荐
抹茶千层蛋糕
71人推荐
招牌千层蛋糕
43人推荐
玫瑰千层
","五星商户"
"5","文东记(马里士他店)","东南亚菜 新加坡菜 ","8.8","8.7","9","94","954封点评","Balestier Rd, 399 401 & 403, 新加坡 329801
              +65-62543937
        ","292人推荐
海南鸡
233人推荐
鸡油饭
127人推荐
薏米水
","五星商户"
"6","奈雪の茶","奶茶/果汁 ","8.9","8.9","8.7","44","78封点评","1 Harbourfront Walk，Singapore 098585
              
        ","15人推荐
霸气芝士草莓
5人推荐
菠菜肉骨头
3人推荐
厚厚生巧黑珍珠
","五星商户"
"7","Lady M Cake Boutique(South Bea...","甜点 ","7.8","9","8.7","97","442封点评","26 Beach Road #01-17 South Beach Avenue, Singapore 189768
              +65-67026735
        ","62人推荐
抹茶千层
54人推荐
伯爵千层
30人推荐
海盐焦糖千层
","准五星商户"
"8","新加坡美食街(樟宜机场T3店)","更多美食 ","8.1","8.3","8.4","67","370封点评","樟宜机场T3航站楼 3层大厅中部过境区域
              +65-62419939
        ","48人推荐
肉骨茶
34人推荐
叻沙
28人推荐
海南鸡饭
","准五星商户"
"9","小龙坎老火锅(武吉士店)","火锅 ","9.1","9.1","9.1","274","81封点评","200 Victoria St,Bugis Junction #02-54,Singapore 188021
              +65-69096458
        ","25人推荐
炸酥肉
24人推荐
毛肚
23人推荐
糍粑
","五星商户"
"10","PS.Cafe(Fullerton)","西餐 ","9.1","9.2","8.9","254","147封点评","1 Fullerton Road, #02-03B/04, One Fullerton, S 049213, 新加坡 038980
              
        ","55人推荐
松露薯条
26人推荐
虎虾意面
19人推荐
特色汉堡包
","五星商户"
"11","长堤海鲜酒楼(STEVENS)","东南亚菜 新加坡菜 ","9.3","9.1","9.1","525","64封点评","30 Stevens Rd, #01-10, 新加坡 257840
              +65-64458833
        ","18人推荐
黑胡椒蟹
10人推荐
蛋黄鱼皮
8人推荐
蒜蓉虾
","五星商户"
"12","香格里拉自助餐厅","自助餐 ","9.1","9.1","9","327","48封点评","22 Orange Grove Rd
              
        ","3人推荐
虾饺
2人推荐
煎鸡蛋
2人推荐
酸奶
","五星商户"
"13","黄亚细肉骨茶(圣陶沙名胜世界店)","东南亚菜 小吃快餐 ","8.1","8.4","8.2","100","834封点评","圣淘沙名胜世界，圣淘沙关口26负一层217/218
              +65-68357540
        ","220人推荐
招牌肉骨茶
94人推荐
卤大肠
86人推荐
招牌潮州卤猪手
","四星商户"
"14","亚坤(美芝路店)","面包甜点 咖啡厅 ","8.4","8.3","9","42","163封点评","美芝路345号
              +65-62993345
        ","65人推荐
咖椰牛油吐司套餐
41人推荐
温泉蛋
25人推荐
奶茶
","五星商户"
"0","旧机场路美食中心","小吃快餐 ","7.6","7.1","9","40","89封点评","旧机场路51号
              
        ","10人推荐
新美香卤面
8人推荐
炒稞条
5人推荐
百汇豆花仙草
","五星商户"
"1","同乐经典(乌节路店)","中餐 ","9.3","9.2","9.2","434","89封点评","Orchard Parade Hotel #02-18 1 Tanglin Road  Singapore 247905
              +65-68340660
        ","6人推荐
招牌辣椒螃蟹
4人推荐
米酒芹香䒱筍殼魚
3人推荐
鸭鹅肝素方薄饼鲜果冻
","五星商户"
"2","亚坤(中央广场店)","面包甜点 小吃快餐 ","8.2","8.3","9","23","359封点评","克拉码头中央广场尔东升街6号01-31
              +65-65347332
        ","109人推荐
咖耶黄油土司
67人推荐
鸡蛋
49人推荐
冰奶茶
","准五星商户"
"3","星洲老爷","东南亚菜 新加坡菜 ","9","9.2","8.8","422","62封点评","2 Bayfront Ave, Singapore 018972
              +65-66887722
        ","9人推荐
黑胡椒蟹
8人推荐
招牌鸭肝小笼包
8人推荐
招牌龙虾福建炒面
","准五星商户"
"4","吐司工坊(怡丰城2店)","东南亚菜 新加坡菜 ","8.1","8.6","8.6","39","93封点评","vivo city -2楼面包新语侧面
              
        ","18人推荐
花生酱牛油厚吐司
10人推荐
奶茶
8人推荐
火腿蛋芝士吐司
","准五星商户"
"5","老曾记(樟宜机场店)","小吃快餐 ","8.7","8.6","8.7","42","189封点评","#T3 B2-51, 65 Airport Boulevard, 819663
              +65-64478068
        ","42人推荐
咖喱饺
36人推荐
鱼丸
15人推荐
椰浆饭
","准五星商户"
"6","亚坤(城市广场店)","面包甜点 小吃快餐 ","8.6","8.2","9","27","114封点评","180 Kitchener Road #B2-K12/23
              65094031
        ","33人推荐
咖椰吐司
19人推荐
套餐A
8人推荐
咖啡
","五星商户"
"7","龙海鲜螃蟹王(宏茂桥店)","海鲜 亚洲菜 ","8.4","8.3","9.2","404","1173封点评","232 Ang Mo Kio Avenue 3, Street 22, #01-1222, Singapore 560232
              +65-62856762
        ","333人推荐
招牌螃蟹汤米粉
178人推荐
辣椒螃蟹
164人推荐
麦片虾
","五星商户"
"8","马来西亚美食街","东南亚菜 ","7.7","7.7","8.1","77","1173封点评","圣淘沙名胜世界，海滨坊1层
              +65-65776688
        ","213人推荐
炒粿条
128人推荐
沙爹串
103人推荐
巴生肉骨茶
","四星商户"
"9","發传人肉骨茶(桥南路店)","肉骨茶 小吃快餐 ","9","9","9","116","324封点评","桥南路42/46号
              +65-65359969
        ","169人推荐
肉骨茶
96人推荐
油条
54人推荐
薏仁水
","五星商户"
"10","白蘭閣街蝦麵","小吃快餐 ","8.5","7.9","9.1","55","97封点评","243 Beach Rd
              
        ","24人推荐
珍宝虾面
14人推荐
三合一
11人推荐
大虾面
","五星商户"
"11","三巡海南鸡饭","粤菜 中餐 ","7.4","7.4","7.7","61","127封点评","乌节湾2号爱雍·乌节商场大食代B4-03/04
              
        ","16人推荐
海南鸡烧鸡饭
11人推荐
双拼海南鸡饭
5人推荐
海南鸡饭单人套餐
","四星商户"
"12","小龙坎老火锅(史密斯街店)","火锅 ","9","9","9.1","236","61封点评","20 Smith St, Singapore 058934
              +65-66358789
        ","19人推荐
毛肚
12人推荐
酥肉
10人推荐
美国和牛
","五星商户"
"13","PS. Cafe(Harding Road)","咖啡厅 ","8.7","9.2","8.8","247","121封点评","28B Harding Rd,Singapore 249549,Singapore
              +65-90708782
        ","18人推荐
松露薯条
10人推荐
特色汉堡包
7人推荐
脆皮烤鸡
","五星商户"
"14","黄亚细肉骨茶(醉花林俱乐部店)","小吃快餐 东南亚菜 ","9","9","9","111","119封点评","纽顿醉花林俱乐部
              6562504537
        ","41人推荐
招牌肉骨茶
20人推荐
油条
10人推荐
卤猪蹄
","五星商户"
"0","超好面","面条 小吃快餐 ","8.3","7.4","9","51","115封点评","麦士威路7号1层39
              +65-90276289
        ","35人推荐
新加坡式拉面
17人推荐
炸土豆丝虾卷
17人推荐
溏心蛋
","五星商户"
"1","亚坤(远东商业中心店)","面包甜点 小吃快餐 ","8.1","7.7","9","26","65封点评","远东商业中心一层16
              +65-63419554
        ","13人推荐
吐司鸡肉
12人推荐
奶茶
10人推荐
温泉蛋
","准五星商户"
"2","大华猪肉粿条面","中餐 ","7.3","6.7","8.2","48","525封点评","哥罗福巷466座#01-12
              +65-62927477
        ","155人推荐
干肉脞面
84人推荐
粿条汤
33人推荐
紫菜汤
","四星商户"
"3","里喝(圣淘沙名胜世界店)","奶茶/果汁 ","8.4","8.3","8.4","31","123封点评","#01-208, 26 Sentosa Gateway, 098138
              +65-65709326
        ","26人推荐
芝士牛油果冰沙
14人推荐
黑糖珍珠鲜奶
11人推荐
新加坡水果茶
","准五星商户"
"4","老伴豆花(麦士威熟食中心店)","小吃快餐 ","8.4","7.8","9.2","12","1326封点评","麦士威熟食中心#01-91
              +65-82998211
        ","453人推荐
原味豆花
205人推荐
杏仁豆花
32人推荐
甜豆浆
","五星商户"
"5","无招牌海鲜餐厅(芽笼店)","海鲜 ","8.6","7.9","9","395","691封点评","芽笼路414号
              +65-68423415
        ","139人推荐
白胡椒蟹
94人推荐
辣椒螃蟹
89人推荐
麦片虾
","五星商户"
"6","松发肉骨茶(牛车水店)","东南亚菜 小吃快餐 ","9","8.9","9.1","87","2116封点评","133 新桥路1层04, 唐城坊 Chinatown Point
              +65-64431033
        ","654人推荐
招牌肉骨茶
255人推荐
油条
249人推荐
腐皮凤爪
","五星商户"
"7","亚坤(莱佛士城店)","面包甜点 小吃快餐 ","8.1","8","8.8","33","805封点评","252 North Bridge Rd, #B1-80, 新加坡 179103
              +65-63380026
        ","141人推荐
咖椰套餐
115人推荐
A餐咖椰吐司夹牛油
98人推荐
水波蛋
","准五星商户"
"8","Heavenly Wang","东南亚菜 ","8.3","8.4","8.6","43","70封点评","新加坡樟宜机场3号航站楼  一楼
              65430565
        ","15人推荐
叻沙
15人推荐
吐司
8人推荐
奶茶
","准五星商户"
"9","亚坤(100AM店)","面包甜点 小吃快餐 ","8.5","8.3","9","36","244封点评","#02-16 100AM, 100 Tras Street
              +65-65436628
        ","70人推荐
咖椰牛油吐司
39人推荐
奶茶
22人推荐
水波蛋
","准五星商户"
"10","纽顿熟食中心","小吃快餐 ","8.3","7.6","8.7","135","1281封点评","克里门梭北道500
              
        ","279人推荐
黑胡椒螃蟹
241人推荐
老虎虾
133人推荐
魔鬼鱼
","准五星商户"
"11","Ya Hua Bak Kut Teh(Raffles Cit...","中餐 ","7.9","8.3","8.1","113","80封点评","Raffles city B1-44B, 252 North Bridge Road
              +65-62647066
        ","25人推荐
肉骨茶
7人推荐
油條
6人推荐
薏米水
","四星商户"
"12","大诚•小厨(珍厨明苑)","中餐 ","9.1","9.1","9.1","139","45封点评","4 Craig Rd
              +65-69080569
        ","15人推荐
捞拌鲍鱼
15人推荐
飘香排骨
14人推荐
咸蛋黄焗虾
","五星商户"
"13","亚坤(爱雍·乌节店)","面包甜点 小吃快餐 ","8.2","8","9","37","434封点评","ION Orchard,2 Orchard Turn #B4-71/72
              +65-62380458
        ","89人推荐
咖椰雞蛋蒸吐司
84人推荐
水波蛋
63人推荐
丝滑奶茶
","五星商户"
"14","长城砂煲田鸡粥","中餐 ","7.2","6.9","8.8","67","151封点评","265 New Bridge Road
              62223911
        ","42人推荐
砂锅田鸡粥
20人推荐
宫保田鸡
12人推荐
卤豆腐
","准五星商户"
"0","探鱼","中餐 川菜 ","7.5","8.4","8.2","206","92封点评","313 Orchard Road，Somerset B3-30/31/32，238895 Singapore
              +65-65098887
        ","17人推荐
鸳鸯糍粑
14人推荐
重庆豆花烤鱼（凌波鱼）
11人推荐
鲜椒味清江鱼
","四星商户"
"1","老曾记(圣淘沙店)","小吃快餐 ","8.2","8.2","8.5","34","236封点评","#01-K7, Beach Station, 50 Beach View
              +65-62719434
        ","43人推荐
鱼丸
36人推荐
咖喱鸡肉饺
18人推荐
炸鸡翅
","准五星商户"
"2","黄亚细肉骨茶(滨海湾金沙店)","肉骨茶 小吃快餐 ","7.6","7.5","8.1","53","1264封点评","海湾大道2号滨海湾金沙购物区B2-50美食广场11号铺
              
        ","309人推荐
招牌肉骨茶
106人推荐
油条
93人推荐
卤大肠
","四星商户"
"3","328 加东叻沙(东海岸店)","东南亚菜 新加坡菜 ","7.8","7.9","8.7","23","779封点评","51 E Coast Rd, 新加坡 428770
              +65-97328163
        ","289人推荐
叻沙
68人推荐
乌打
67人推荐
柠檬汁
","准五星商户"
"4","海之味水族餐厅","海鲜 西餐 ","9.1","9.3","8.6","641","380封点评","圣淘沙名胜世界，S.E.A.海洋馆B1M层
              +65-65776869
        ","34人推荐
六道菜套餐（鱼肉）
25人推荐
香脆法式鸭肝
20人推荐
焖牛肋佐松露酱
","五星商户"
"5","发起人肉骨茶(庄家酒店)","小吃快餐 东南亚菜 ","9.2","9.2","9.1","91","1596封点评","500 Jalan Sultan #01-09
              
        ","528人推荐
发起人招牌肉骨茶
406人推荐
油条
325人推荐
发起人肉骨茶香料
","五星商户"
"6","DC 超级英雄主题餐厅(高岛屋店)","西餐 ","8.9","9","8.3","206","43封点评","391A 乌节路, #02-13 义安城
              +65-62621918
        ","8人推荐
黑骑士蝙蝠侠牛肉汉堡
4人推荐
超人烤鸡
3人推荐
蝙蝠侠拿铁
","准五星商户"
"7","莆田餐厅(Marina Square)","中餐 新加坡菜 ","9.1","8.9","9","254","187封点评","6 Raffles Boulevard, #02-205, S039594
              +65-63364068
        ","35人推荐
莆田卤面
26人推荐
百秒黄花鱼
17人推荐
荔枝肉
","五星商户"
"8","亚坤(新达城广场店)","面包甜点 咖啡厅 ","8.5","8.4","9","56","286封点评","淡马锡大道新达城广场B1-04
              +65-63376829
        ","85人推荐
咖椰土司
38人推荐
温泉蛋
35人推荐
奶茶
","五星商户"
"9","RISE RESTAURANT(滨海湾金沙店)","自助餐 ","9","9.1","8.9","420","148封点评","滨海湾金沙酒店大堂，1 号塔楼
              +65-66885525
        ","23人推荐
生蚝
21人推荐
海鲜大餐
10人推荐
周二海鲜主题
","五星商户"
"10","珍宝海鲜坊(东海岸海鲜中心店)","海鲜 ","8.4","8.6","9","589","1264封点评","东海岸公园道1206东海岸海鲜中心#01-07/08
              +65-64423435
        ","384人推荐
辣椒螃蟹
286人推荐
黑胡椒蟹
187人推荐
麦片虾
","五星商户"
"11","新加坡国立大学utown食堂","小吃快餐 ","8.9","9","9.1","30","52封点评","新加坡国立大学
              
        ","6人推荐
五谷渔粉
4人推荐
鸡肉叻沙
3人推荐
麻辣香锅
","五星商户"
"12","Nara Thai Cuisine(爱雍·乌节店...","东南亚菜 ","7.7","8.2","7.9","155","127封点评","乌节湾2号爱雍·乌节商场B3-21
              +65-66345787
        ","27人推荐
冬阴公汤
14人推荐
蓝茉莉饭
8人推荐
泰式鱼
","四星商户"
"13","Food Republic(Manulife)","小吃快餐 ","7.9","8.3","8","69","87封点评","51 Bras Basah Road | #01-03 | Manulife Centre | Singapore 189554
              +65-62381601
        ","13人推荐
土司工坊
13人推荐
海南鸡饭
5人推荐
叉烧鸡饭
","四星商户"
"14","空军山芭榴莲摊","水果生鲜 ","8.7","8.2","9.2","227","179封点评","249 Balestier Rd
              +65-92789928
        ","31人推荐
猫山王榴莲
23人推荐
猫山皇榴莲
10人推荐
金凤榴莲
","五星商户"
"0","乐天小香港(滨海湾金沙店)","粤菜 中餐 ","9.1","9.2","9.1","250","780封点评","滨海湾金沙购物商城，海湾层，L1-02
              +65-66887052
        ","135人推荐
猪仔流沙包
77人推荐
肠粉
59人推荐
虾饺
","五星商户"
"1","RENKU(滨海湾金沙店)","自助餐 ","9.1","9.1","9","395","51封点评","酒店大堂，Tower 1
              +65-66885568
        ","4人推荐
三文鱼刺身
4人推荐
生蚝
3人推荐
烤卤猪
","准五星商户"
"2","美芝律剪刀剪咖喱饭","小吃快餐 ","7.8","6.9","8.7","24","59封点评","231 Jalan Besar, Singapore 208905
              +65-62923593
        ","16人推荐
剪刀咖喱饭
15人推荐
白菜
11人推荐
咖喱鸡排
","五星商户"
"3","中峇鲁巴刹","美食广场 ","7.7","7.5","8.8","40","69封点评","168898,新加坡Seng Poh路30
              64384380
        ","5人推荐
海南鸡饭
3人推荐
海鲜炒饭
3人推荐
豆花水
","准五星商户"
"4","鼎泰丰(圣淘沙店)","小吃快餐 中餐 ","8.1","8.7","8.3","138","693封点评","圣淘沙关口26The Forum购物中心1层217
              +65-66863565
        ","178人推荐
小笼包
47人推荐
红烧牛肉面
33人推荐
虾仁蛋饭
","四星商户"
"5","新山亚明小厨","中餐 ","7.7","7.3","8.8","250","107封点评","新加坡芽龙三十巷532号
              67412418
        ","10人推荐
White Pepper Crab
6人推荐
Fried garlic chilli clams (lala)
4人推荐
Asparagus bean with lotus root
","准五星商户"
"6","亚华肉骨茶餐室","肉骨茶 小吃快餐 ","8.8","8","8.9","84","91封点评","593 Havelock Rd, Singapore 169641
              
        ","25人推荐
肉骨茶
15人推荐
油条
9人推荐
面线
","准五星商户"
"7","莆田餐厅(怡丰城店)","中餐 东南亚菜 ","9","9","9","232","280封点评","1 HarbourFront Walk, #02-131/132, S098585
              +65-63769358
        ","62人推荐
卤面
45人推荐
脆皮猪手
38人推荐
冬瓜薏仁水
","五星商户"
"8","DC 超级英雄主题餐厅(滨海湾金沙...","西餐 ","8.9","9.2","8.8","181","313封点评","滨海湾金沙购物商城，海湾层，L1-03
              +65-66887610
        ","75人推荐
汉堡
19人推荐
卷卷薯条
14人推荐
果汁
","五星商户"
"9","无招牌海鲜餐厅(怡丰城店)","海鲜 ","8.6","9","8.8","503","1101封点评","1 Harbourfront Walk, #03-02 Vivo City, 新加坡 098585
              +65-63769959
        ","214人推荐
麦片虾
171人推荐
辣椒螃蟹
106人推荐
炒蟹
","准五星商户"
"10","亚坤(313@索美赛店)","面包甜点 小吃快餐 ","8.3","8.1","9","40","526封点评","乌节路313索美赛购物中心一层32/33/34
              +65-62381872
        ","131人推荐
咖椰吐司套餐
58人推荐
半熟蛋
30人推荐
奶茶
","五星商户"
"11","吐司工坊(圣淘沙店)","东南亚菜 新加坡菜 ","8.4","8.6","8.8","59","591封点评","098138,新加坡圣淘沙关口26圣淘沙名胜世界#B1-203/204
              +65-66863764
        ","95人推荐
厚花生酱吐司
90人推荐
叻沙
67人推荐
薏仁水
","准五星商户"
"12","吐司工坊(french road)","东南亚菜 新加坡菜 ","8.7","9","9","68","80封点评","Blk 809 French Rd ,#01-32/33 Kitchener Complex ,S(200809)
              
        ","14人推荐
咖椰吐司
11人推荐
奶茶
6人推荐
花生酱吐司
","五星商户"
"13","发起人肉骨茶(马里士他店)","肉骨茶 小吃快餐 ","8.2","7.8","8.6","88","531封点评","马里士他路347号
              +65-63526192
        ","188人推荐
肉骨茶
84人推荐
油条
63人推荐
薏仁水
","准五星商户"
"14","维也纳海鲜餐馆","自助餐 ","8.5","8.6","8.8","181","86封点评","汤姆森路101-B1-01
              +65-62546686
        ","16人推荐
黑椒螃蟹
13人推荐
生蚝
9人推荐
芝士烤蝦婆
","准五星商户"
"0","Food Republic(Vivo City)","小吃快餐 ","7.9","8","8.3","76","737封点评","1 Harbourfront Walk | #03-01 | VivoCity | Singapore 098585
              +65-62760521
        ","63人推荐
海南鸡饭
43人推荐
福建虾面
33人推荐
嘟嘟糕
","准五星商户"
"1","鼎泰丰(滨海湾金沙店)","小吃快餐 中餐 ","8.3","8.6","8.6","154","316封点评","湾畔大道2号滨海湾金沙购物商城，运河层B1-01
              +65-66349969
        ","41人推荐
招牌小笼包
30人推荐
蟹黄小笼包
20人推荐
原盅鸡汤面
","准五星商户"
"2","1-Altitude摩天酒吧","酒吧 ","9","9.2","8.8","195","599封点评","莱佛士地1
              64380410
        ","12人推荐
新加坡司令
4人推荐
马天尼
4人推荐
玛格丽特
","五星商户"
"3","香天下火锅","火锅 ","9","9.1","9","331","50封点评","3B River Valley Road, Clarke Quay, Block B #01-06/07, Singapore 179021
              +65-62659777
        ","15人推荐
虾滑
14人推荐
芭比和牛
11人推荐
鲜毛肚
","五星商户"
