KEYWORD,CAT_INDEX,CAT_NAME
印度人,4,Experimentation
水上,9,Shopping
鸭子船,9,Shopping
一起,8,Service
意思,9,Shopping
新加坡动物园,5,F&B
条街,6,Family/Childre family/Friends
必要,5,F&B
大人,5,F&B
印度,7,Price
码头,1,Facilities
快捷票,5,F&B
艺术,4,Experimentation
区域,4,Experimentation
地标,1,Facilities
滑车,9,Shopping
亚洲,8,Service
华人,4,Experimentation
寺庙,4,Experimentation
市区,4,Experimentation
园内,5,F&B
不少,4,Experimentation
国家,4,Experimentation
无边泳池,8,Service
海边,8,Service
游船,1,Facilities
过去,4,Experimentation
导游,5,F&B
好去处,8,Service
花穹,9,Shopping
美景,8,Service
机场,4,Experimentation
后来,9,Shopping
玩得,9,Shopping
第二次,5,F&B
儿子,5,F&B
周围,7,Price
当时,4,Experimentation
英文,5,F&B
天堂,4,Experimentation
傍晚,8,Service
街道,4,Experimentation
人多,9,Shopping
小岛,9,Shopping
效果,9,Shopping
云雾林,9,Shopping
电影,8,Service
空调,9,Shopping
商店,4,Experimentation
地铁站,4,Experimentation
问题,3,Environment and Ambience
沙岛上,9,Shopping
广场,7,Price
地点,4,Experimentation
早上,8,Service
音乐,8,Service
味道,4,Experimentation
当天,5,F&B
票方便,9,Shopping
海洋生物,5,F&B
方式,4,Experimentation
景观,4,Experimentation
过山车,5,F&B
一路,9,Shopping
一种,4,Experimentation
新加坡环球影城,5,F&B
都会,4,Experimentation
票价,8,Service
人太多,5,F&B
面积,5,F&B
外观,7,Price
瀑布,9,Shopping
收费,4,Experimentation
泳池,8,Service
中午,8,Service
南端,9,Shopping
电梯,4,Experimentation
半天,5,F&B
旅游,4,Experimentation
总体,9,Shopping
手机,5,F&B
购物中心,4,Experimentation
唐人街,4,Experimentation
海豚园,5,F&B
人民币,4,Experimentation
文化,4,Experimentation
以前,4,Experimentation
展览,5,F&B
热情,9,Shopping
坐在,9,Shopping
全程,5,F&B
半小时,5,F&B
尝试,1,Facilities
巴士,4,Experimentation
当地人,4,Experimentation
今天,1,Facilities
木乃伊,5,F&B
了一圈,9,Shopping
天气,9,Shopping
美术馆,4,Experimentation
人少,9,Shopping
喷泉,7,Price
一个小时,5,F&B
周末,1,Facilities
内容,5,F&B
漂流,5,F&B
哈芝巷,6,Family/Childre family/Friends
小动物,5,F&B
捷运,8,Service
整体,9,Shopping
每天,4,Experimentation
在一起,8,Service
不想,8,Service
中国,4,Experimentation
新加坡的地标,6,Family/Childre family/Friends
一整天,8,Service
空气,1,Facilities
兰花,4,Experimentation
宝宝,5,F&B
沙名胜世界,5,F&B
儿童,5,F&B
周边,1,Facilities
知识,5,F&B
海水,7,Price
个小时,5,F&B
新元,4,Experimentation
人性化,9,Shopping
出票快,10,Sightseeing/Place
新加坡一定,8,Service
速度,9,Shopping
真心,8,Service
中心,7,Price
鸟类,5,F&B
胜地,8,Service
非常适合,1,Facilities
新加坡的历史,5,F&B
环境很好,1,Facilities
印象,4,Experimentation
颜色,4,Experimentation
分钟,4,Experimentation
游人,5,F&B
甘榜格,6,Family/Childre family/Friends
节目,9,Shopping
新加坡的唐人街,6,Family/Childre family/Friends
电子票,5,F&B
新加坡人,4,Experimentation
大人小孩,5,F&B
新加坡植物园,6,Family/Childre family/Friends
清真寺,6,Family/Childre family/Friends
特点,4,Experimentation
有人,9,Shopping
餐饮,4,Experimentation
实惠,3,Environment and Ambience
展品,4,Experimentation
花园城市,11,Transportation and Accessibility
游览车,9,Shopping
过程,5,F&B
几次,9,Shopping
二维码,5,F&B
才能,4,Experimentation
餐馆,4,Experimentation
中文小火车,5,F&B
就像,1,Facilities
距离,5,F&B
两个,9,Shopping
空间,4,Experimentation
室内,5,F&B
亚洲大陆,9,Shopping
一遍,5,F&B
衣服,4,Experimentation
路线,9,Shopping
河川生态园,9,Shopping
市中心,4,Experimentation
新加坡圣,8,Service
路上,4,Experimentation
小的,5,F&B
一家,4,Experimentation
售票处,3,Environment and Ambience
太阳,7,Price
烟花,9,Shopping
原来,4,Experimentation
樟宜机场,3,Environment and Ambience
优先票,5,F&B
景区,5,F&B
老人,5,F&B
肉骨茶,6,Family/Childre family/Friends
再来,11,Transportation and Accessibility
造型,1,Facilities
名字,4,Experimentation
套票,9,Shopping
新加坡旅游,8,Service
榴莲,10,Sightseeing/Place
店铺,4,Experimentation
纪念品,4,Experimentation
规模,4,Experimentation
主题,4,Experimentation
值得看,9,Shopping
泳衣,3,Environment and Ambience
空中花园,10,Sightseeing/Place
当地,4,Experimentation
斜坡滑车,9,Shopping
河边,1,Facilities
比较好,8,Service
游戏,9,Shopping
场所,8,Service
故事,9,Shopping
亮点,5,F&B
品种,5,F&B
日间动物园,9,Shopping
地址,4,Experimentation
山顶,9,Shopping
滨海艺术中心,6,Family/Childre family/Friends
狮子,9,Shopping
馆内,5,F&B
建筑物,4,Experimentation
心情,1,Facilities
一去的地方,8,Service
房子,4,Experimentation
景色不错,9,Shopping
阳光,7,Price
种类,8,Service
不去,9,Shopping
大海,7,Price
来说,8,Service
上午,9,Shopping
水族馆,5,F&B
沙子,9,Shopping
胡姬花,5,F&B
大榴莲,6,Family/Childre family/Friends
海底世界,9,Shopping
马来西亚,4,Experimentation
场馆,5,F&B
海风,7,Price
适合小朋友,9,Shopping
座位,4,Experimentation
英语,3,Environment and Ambience
中国人,4,Experimentation
地图,4,Experimentation
网红,1,Facilities
通道,5,F&B
场景,4,Experimentation
女儿,9,Shopping
样子,1,Facilities
亲子游,9,Shopping
感兴趣,9,Shopping
短信,5,F&B
成人,4,Experimentation
巴拉湾海滩,7,Price
双螺旋桥,6,Family/Childre family/Friends
房间,2,Activities
日落,8,Service
标志性,1,Facilities
公顷,4,Experimentation
几个,7,Price
环境优美,7,Price
圣安德烈教堂,10,Sightseeing/Place
总体来说,9,Shopping
新加坡的夜景,9,Shopping
角度,9,Shopping
一体,8,Service
入口,9,Shopping
公交,4,Experimentation
大学,7,Price
邮件,5,F&B
现代,7,Price
陆地,5,F&B
关键,4,Experimentation
半个小时,9,Shopping
海鲜,8,Service
地区,7,Price
猴子,7,Price
乐趣,8,Service
外套,9,Shopping
马路,4,Experimentation
两天,8,Service
意义,4,Experimentation
沿途,1,Facilities
白色,7,Price
西乐索海滩,7,Price
海事博物馆,5,F&B
住在,4,Experimentation
氛围,4,Experimentation
狮城,9,Shopping
交通方便,4,Experimentation
大自然,1,Facilities
如今,4,Experimentation
气氛,1,Facilities
空中,8,Service
品牌,4,Experimentation
图片,10,Sightseeing/Place
花柏山,9,Shopping
队伍,5,F&B
雕塑,7,Price
小吃,4,Experimentation
新加坡夜景,9,Shopping
水幕,9,Shopping
重点,8,Service
蝴蝶,5,F&B
来的,1,Facilities
麻烦,5,F&B
商品,4,Experimentation
热带雨林,9,Shopping
部分,4,Experimentation
食物,4,Experimentation
价比高,9,Shopping
新加坡历史,5,F&B
环境不错,5,F&B
的很,1,Facilities
做好,3,Environment and Ambience
圣地,8,Service
鱼尾狮塔,9,Shopping
全球,5,F&B
公里,7,Price
森林,1,Facilities
装修,7,Price
鹦鹉,5,F&B
新加坡滨海湾花园,6,Family/Childre family/Friends
趣味性,4,Experimentation
鱼类,9,Shopping
上海,8,Service
水母,9,Shopping
福康宁,7,Price
空中走廊,9,Shopping
风景不错,6,Family/Childre family/Friends
夜幕,1,Facilities
苏丹,6,Family/Childre family/Friends
海洋,5,F&B
亲子,5,F&B
马里安曼兴都庙,6,Family/Childre family/Friends
每个项目,5,F&B
烟火,7,Price
程买票,5,F&B
趣味,9,Shopping
未来水世界,5,F&B
海南鸡饭,4,Experimentation
空气清新,7,Price
世纪,4,Experimentation
新加坡地标,6,Family/Childre family/Friends
河川,9,Shopping
占地,4,Experimentation
图书馆,7,Price
更多,4,Experimentation
身边,7,Price
大象,5,F&B
学校,7,Price
家人,9,Shopping
热带植物,4,Experimentation
玻璃,9,Shopping
老少皆宜,9,Shopping
街上,7,Price
鱼尾狮像,6,Family/Childre family/Friends
东南亚,7,Price
消费,4,Experimentation
牛车,4,Experimentation
玩完,5,F&B
蜥蜴,7,Price
高空,9,Shopping
一小时,5,F&B
一楼,4,Experimentation
两个馆,9,Shopping
印度庙,6,Family/Childre family/Friends
吊桥,7,Price
旅游景点,9,Shopping
机会,5,F&B
滨海,4,Experimentation
票机,5,F&B
色彩,4,Experimentation
座桥,10,Sightseeing/Place
护照,3,Environment and Ambience
日本,11,Transportation and Accessibility
海星,5,F&B
科技,11,Transportation and Accessibility
艺术中心,6,Family/Childre family/Friends
平时,7,Price
玩具,5,F&B
珍宝海鲜,6,Family/Childre family/Friends
自行车,8,Service
像是,7,Price
大树,4,Experimentation
纪念碑,7,Price
新加坡的象征,6,Family/Childre family/Friends
晚餐,8,Service
绿化,4,Experimentation
佛牙寺,6,Family/Childre family/Friends
好久,9,Shopping
展馆,5,F&B
影城,9,Shopping
机器,5,F&B
海景,8,Service
象征,7,Price
高楼,1,Facilities
鲨鱼,5,F&B
全天,4,Experimentation
小店,4,Experimentation
梦幻,9,Shopping
步道,4,Experimentation
水陆,5,F&B
窗口,3,Environment and Ambience
视觉,4,Experimentation
超级树,9,Shopping
周一,4,Experimentation
商业街,4,Experimentation
层楼,4,Experimentation
滨海花园,9,Shopping
第二天,9,Shopping
经典,1,Facilities
视野,8,Service
动物种类,9,Shopping
去处,7,Price
大牌,4,Experimentation
长时间,3,Environment and Ambience
兴趣,5,F&B
奢侈品,4,Experimentation
感觉一般,9,Shopping
科学,1,Facilities
鲜花,4,Experimentation
了一,4,Experimentation
地理位置,1,Facilities
小伙伴,4,Experimentation
早餐,4,Experimentation
现场买票,5,F&B
蚊子,1,Facilities
飞禽,5,F&B
不错,9,Shopping
印度风情,6,Family/Childre family/Friends
大雨,9,Shopping
新加坡河畔,6,Family/Childre family/Friends
晚饭,8,Service
海豚亲密,5,F&B
滨海湾金沙,6,Family/Childre family/Friends
观景台,6,Family/Childre family/Friends
作品,4,Experimentation
冷气,9,Shopping
小船,1,Facilities
年轻人,4,Experimentation
情况,4,Experimentation
新加坡国家美术馆,5,F&B
方便,3,Environment and Ambience
激光,7,Price
玩水,9,Shopping
要求,9,Shopping
个人感觉,5,F&B
信徒,6,Family/Childre family/Friends
外国人,4,Experimentation
它的,7,Price
新加坡的标志性,6,Family/Childre family/Friends
方向,4,Experimentation
老公,1,Facilities
设备,5,F&B
价钱,4,Experimentation
假期,9,Shopping
几天,8,Service
名胜世界,8,Service
周日,4,Experimentation
山上,8,Service
新加坡最大,6,Family/Childre family/Friends
校园,7,Price
环境好,5,F&B
票点,9,Shopping
远处,7,Price
两场,9,Shopping
人很少,9,Shopping
人群,4,Experimentation
客服,10,Sightseeing/Place
拖鞋,3,Environment and Ambience
滑道,9,Shopping
环球,5,F&B
胡姬花园,5,F&B
苏丹清真寺,6,Family/Childre family/Friends
香港,4,Experimentation
想再,9,Shopping
新加坡国家博物馆,5,F&B
方面,4,Experimentation
原因,4,Experimentation
新加坡著名,6,Family/Childre family/Friends
日间,9,Shopping
游泳池,8,Service
现场便宜,5,F&B
草坪,4,Experimentation
计划,4,Experimentation
义安城,6,Family/Childre family/Friends
天空,7,Price
往前,4,Experimentation
每个,8,Service
雕像,4,Experimentation
一刻,5,F&B
人也不多,9,Shopping
夕阳,7,Price
外形,4,Experimentation
建议晚上,9,Shopping
快速通道,5,F&B
滨海湾金沙酒店,2,Activities
订单,5,F&B
马来人,6,Family/Childre family/Friends
不算,8,Service
两个小时,9,Shopping
公交车,4,Experimentation
场地,1,Facilities
夜间野生动物园,9,Shopping
怡丰城,5,F&B
风景很好,1,Facilities
一开始,5,F&B
四次,9,Shopping
室外,11,Transportation and Accessibility
本地人,1,Facilities
树木,7,Price
水里,5,F&B
海湾,7,Price
两边,4,Experimentation
岛内,4,Experimentation
涂鸦,7,Price
物品,4,Experimentation
香火,4,Experimentation
一段,5,F&B
全世界,7,Price
剧院,8,Service
周六,4,Experimentation
大人孩子,5,F&B
大气,1,Facilities
客人,4,Experimentation
很满意,9,Shopping
时间充裕,8,Service
海洋世界,5,F&B
海洋动物,5,F&B
游乐场,8,Service
艺术品,5,F&B
莱佛士爵士,10,Sightseeing/Place
车厢,9,Shopping
道路,4,Experimentation
高处,9,Shopping
咖啡馆,4,Experimentation
孔雀,7,Price
小径,5,F&B
展厅,5,F&B
新加坡真的,8,Service
棒棒,9,Shopping
眼前,9,Shopping
美的地方,11,Transportation and Accessibility
节庆大道,6,Family/Childre family/Friends
适合孩子,11,Transportation and Accessibility
全家,3,Environment and Ambience
感觉不错,9,Shopping
耳机,5,F&B
背景,4,Experimentation
邮箱,5,F&B
S.E.,5,F&B
一个多小时,9,Shopping
一层,4,Experimentation
二楼,10,Sightseeing/Place
体力,5,F&B
印度的缩影,6,Family/Childre family/Friends
新达城,4,Experimentation
昆虫,4,Experimentation
模式,5,F&B
河流,7,Price
滑梯,5,F&B
节假日,5,F&B
非常满意,3,Environment and Ambience
风光,4,Experimentation
出租车,4,Experimentation
妈妈,5,F&B
小盆友,5,F&B
新加坡的国花,5,F&B
珠海长,5,F&B
适合亲子游,9,Shopping
酒吧街,8,Service
金沙空中花园,6,Family/Childre family/Friends
一番,9,Shopping
岛屿,3,Environment and Ambience
总体感觉,9,Shopping
情侣,11,Transportation and Accessibility
排长队,9,Shopping
晚上的时候,7,Price
飞机,7,Price
口味,4,Experimentation
收获,1,Facilities
新加坡摩天观景轮,5,F&B
旅程,5,F&B
老外,8,Service
裕廊飞禽公园,5,F&B
不值得,4,Experimentation
中途,9,Shopping
外墙,7,Price
多年的历史,7,Price
家庭,9,Shopping
折扣,4,Experimentation
柜台,9,Shopping
牛车水原貌馆,6,Family/Childre family/Friends
珍宝,6,Family/Childre family/Friends
野生动物园,4,Experimentation
门票价格,5,F&B
创意,4,Experimentation
原本,4,Experimentation
好多人,6,Family/Childre family/Friends
新加坡全景,9,Shopping
热带,7,Price
眼睛,5,F&B
自由行,3,Environment and Ambience
路边,4,Experimentation
饮料,4,Experimentation
人气,4,Experimentation
印象深刻,5,F&B
吃到,4,Experimentation
夜色,1,Facilities
官网,4,Experimentation
对了,8,Service
市政厅,6,Family/Childre family/Friends
有一些,4,Experimentation
海底,1,Facilities
缺点,9,Shopping
花卉,4,Experimentation
野生动物,7,Price
香料,4,Experimentation
丹戎海滩,7,Price
人员,4,Experimentation
咖啡,4,Experimentation
实体票,3,Environment and Ambience
环节,9,Shopping
美食街,4,Experimentation
赛道,9,Shopping
音乐厅,7,Price
世界各地,9,Shopping
全英文,5,F&B
北京,5,F&B
夜间动物,9,Shopping
平台,4,Experimentation
每个人,4,Experimentation
沙捷运,5,F&B
自来水,4,Experimentation
饭店,4,Experimentation
世界十大,5,F&B
中的,3,Environment and Ambience
儿童乐园,5,F&B
吊椅,9,Shopping
孩子特别,5,F&B
广州长,5,F&B
感觉很好,5,F&B
新加坡华人,6,Family/Childre family/Friends
新加坡政府,6,Family/Childre family/Friends
景色优美,7,Price
期间,4,Experimentation
目前,7,Price
站在,1,Facilities
第一个,9,Shopping
线路,9,Shopping
飞禽公园,5,F&B
马达加斯加,5,F&B
一路上,4,Experimentation
专业,5,F&B
周五,4,Experimentation
学生,4,Experimentation
教练,5,F&B
春节,7,Price
结构,7,Price
视觉效果,10,Sightseeing/Place
车上,4,Experimentation
鞋子,4,Experimentation
鱼尾狮像公园,6,Family/Childre family/Friends
丛林,5,F&B
买买,4,Experimentation
价格便宜,11,Transportation and Accessibility
传统,4,Experimentation
全景,1,Facilities
午饭,4,Experimentation
场面,9,Shopping
大楼,8,Service
天气好,9,Shopping
天都,8,Service
年代,1,Facilities
年前,1,Facilities
异域风情,7,Price
态度,5,F&B
水世界,5,F&B
生态园,9,Shopping
螃蟹,8,Service
视频,4,Experimentation
这样的,4,Experimentation
一片,4,Experimentation
保护区,7,Price
修道院,7,Price
剧场,9,Shopping
地面,3,Environment and Ambience
声音,9,Shopping
大商场,10,Sightseeing/Place
尔顿酒店,6,Family/Childre family/Friends
就有,8,Service
工作,3,Environment and Ambience
布局,9,Shopping
成了,7,Price
晚上的灯光秀,9,Shopping
景色很好,9,Shopping
爱好者,4,Experimentation
目的地,5,F&B
空中吊椅,5,F&B
美味,4,Experimentation
音乐喷泉,6,Family/Childre family/Friends
三天,8,Service
个小,9,Shopping
也要,4,Experimentation
习惯,7,Price
事情,4,Experimentation
印度教,7,Price
吃完,8,Service
大桥,7,Price
大门,9,Shopping
孩子一起,5,F&B
庙宇,4,Experimentation
旧禧街警察局,1,Facilities
景色宜人,7,Price
水柱,7,Price
热闹非凡,8,Service
费用,5,F&B
顶楼,4,Experimentation
亚洲文明,4,Experimentation
人类,7,Price
暑假,5,F&B
有了,4,Experimentation
条路,6,Family/Childre family/Friends
温度,5,F&B
给人,7,Price
莱佛士,7,Price
蓝天白云,7,Price
行李,2,Activities
适合亲子,11,Transportation and Accessibility
一天时间,5,F&B
一带,4,Experimentation
加文纳桥,6,Family/Childre family/Friends
危险,9,Shopping
地上,9,Shopping
屋顶,4,Experimentation
岸边,7,Price
理念,4,Experimentation
秩序,7,Price
第一天,5,F&B
笼子,9,Shopping
绿树成荫,1,Facilities
螺旋桥,6,Family/Childre family/Friends
语言,5,F&B
走完,4,Experimentation
长颈鹿,5,F&B
一家人,9,Shopping
优势,4,Experimentation
国家博物馆,5,F&B
大厅,4,Experimentation
套餐,3,Environment and Ambience
好几次,1,Facilities
技术,11,Transportation and Accessibility
此行,9,Shopping
武吉,6,Family/Childre family/Friends
炮台,4,Experimentation
那就,8,Service
乌敏岛,8,Service
入口处,5,F&B
公众,4,Experimentation
兰花园,5,F&B
双轨过山车,5,F&B
司机,4,Experimentation
园子,9,Shopping
国外,1,Facilities
最近,11,Transportation and Accessibility
水果,4,Experimentation
点赞,5,F&B
环境非常好,5,F&B
相机,5,F&B
第一站,5,F&B
舞台,6,Family/Childre family/Friends
身体,5,F&B
通票,3,Environment and Ambience
驳船码头,6,Family/Childre family/Friends
魅力,7,Price
夜生活,1,Facilities
好评,9,Shopping
指示牌,4,Experimentation
文物,4,Experimentation
物种,9,Shopping
精神,10,Sightseeing/Place
超级棒,5,F&B
风景优美,10,Sightseeing/Place
鸟儿,5,F&B
信息,3,Environment and Ambience
免税店,4,Experimentation
国际,4,Experimentation
处处,9,Shopping
夏天,7,Price
多年,4,Experimentation
大半天,5,F&B
屏障,5,F&B
新加坡本岛,10,Sightseeing/Place
服装,4,Experimentation
滨海南花园,10,Sightseeing/Place
牌子,4,Experimentation
状态,9,Shopping
画面,1,Facilities
的时候人,5,F&B
五分钟,4,Experimentation
亚马逊,9,Shopping
什么的,9,Shopping
午餐,8,Service
场次,4,Experimentation
垃圾,7,Price
天福宫,6,Family/Childre family/Friends
好好玩,4,Experimentation
家长,11,Transportation and Accessibility
很好,1,Facilities
情调,8,Service
方法,5,F&B
时间短,11,Transportation and Accessibility
水幕电影,9,Shopping
票地点,5,F&B
街区,4,Experimentation
野餐,4,Experimentation
交通工具,9,Shopping
印度教寺庙,6,Family/Childre family/Friends
啤酒,4,Experimentation
宗教,4,Experimentation
气息,1,Facilities
气派,5,F&B
灵感,4,Experimentation
热门项目,5,F&B
穆斯林,4,Experimentation
联系,10,Sightseeing/Place
荷兰村,6,Family/Childre family/Friends
身高,5,F&B
高科技,1,Facilities
个多,5,F&B
中文导游,5,F&B
人流,8,Service
人,6,Family/Childre family/Friends
仙鹤芭蕾,9,Shopping
傍晚时分,6,Family/Childre family/Friends
四周,7,Price
故事情节,9,Shopping
栅栏,5,F&B
树林,7,Price
桥梁,7,Price
步行道,5,F&B
海滩站,6,Family/Childre family/Friends
珊瑚,5,F&B
看头,4,Experimentation
眼球,7,Price
绿色,1,Facilities
老虎,9,Shopping
遗址,7,Price
S.E.A.海洋馆,6,Family/Childre family/Friends
不来,8,Service
亚洲最大,9,Shopping
亚马逊漂流,9,Shopping
佛牙舍利,6,Family/Childre family/Friends
商业,4,Experimentation
宝贝,8,Service
工艺品,4,Experimentation
新加坡的标志性景点,6,Family/Childre family/Friends
时尚,4,Experimentation
沙海滩,7,Price
浪池,5,F&B
生物,5,F&B
程出票,5,F&B
红点,5,F&B
联票,5,F&B
英国,9,Shopping
莲花,10,Sightseeing/Place
运动,5,F&B
里边,5,F&B
鱼儿,5,F&B
上次,5,F&B
地下,4,Experimentation
孩子玩得,9,Shopping
当年,7,Price
微风,7,Price
政府,4,Experimentation
新加坡元,5,F&B
新加坡市区,6,Family/Childre family/Friends
新加坡面积最小的公园,6,Family/Childre family/Friends
樟宜,5,F&B
花花草草,1,Facilities
迪士尼,5,F&B
风景秀丽,7,Price
两圈,9,Shopping
光影,8,Service
园里,4,Experimentation
多,8,Service
大船,5,F&B
寺院,6,Family/Childre family/Friends
巷子,4,Experimentation
强烈建议,5,F&B
新加坡摩天轮,6,Family/Childre family/Friends
新加坡河边,6,Family/Childre family/Friends
新加坡的母亲河,6,Family/Childre family/Friends
新加坡的美景,9,Shopping
是有,4,Experimentation
服务人员,4,Experimentation
港湾站,5,F&B
电子,5,F&B
米高,4,Experimentation
红色,4,Experimentation
蜡像馆,7,Price
观景,9,Shopping
警察局,1,Facilities
超市,4,Experimentation
雨衣,5,F&B
风情,1,Facilities
鱼尾狮雕像,6,Family/Childre family/Friends
人也不,9,Shopping
优点,3,Environment and Ambience
剧情,9,Shopping
十点,5,F&B
商铺,4,Experimentation
奇花异草,4,Experimentation
室内瀑布,6,Family/Childre family/Friends
小商品,4,Experimentation
新加坡城市,6,Family/Childre family/Friends
海上,7,Price
火车,9,Shopping
詹美,6,Family/Childre family/Friends
顶层,7,Price
饮食,7,Price
一个半小时,5,F&B
两个冷,6,Family/Childre family/Friends
个大,7,Price
中国城,4,Experimentation
儿童票,4,Experimentation
动物近距离,5,F&B
小朋友玩得,5,F&B
总体不错,7,Price
慢慢的,2,Activities
拍到,9,Shopping
新加坡美术馆,5,F&B
椅子,10,Sightseeing/Place
楼下,10,Sightseeing/Place
水中,5,F&B
海洋公园,8,Service
现场买票便宜,11,Transportation and Accessibility
细节,4,Experimentation
芝麻街,5,F&B
超棒,9,Shopping
车子,5,F&B
邮票,4,Experimentation
闪光灯,9,Shopping
三个,5,F&B
二战,10,Sightseeing/Place
价格优惠,5,F&B
印度寺庙,6,Family/Childre family/Friends
吸引力,7,Price
吹吹海风,8,Service
咖啡厅,4,Experimentation
多分钟,9,Shopping
头顶,9,Shopping
寓教于乐,5,F&B
市场,4,Experimentation
异国风情,1,Facilities
新加坡的景色,9,Shopping
新意,9,Shopping
父母,5,F&B
经验,10,Sightseeing/Place
运气好,6,Family/Childre family/Friends
上岛,8,Service
人物,11,Transportation and Accessibility
动物园里,9,Shopping
国内便宜,3,Environment and Ambience
小鱼,5,F&B
展览馆,6,Family/Childre family/Friends
成人票,10,Sightseeing/Place
政府大厦,6,Family/Childre family/Friends
新加坡唯一,8,Service
新加坡最好,8,Service
时间长,5,F&B
楼上,4,Experimentation
没办法,9,Shopping
温室,9,Shopping
瞬间,3,Environment and Ambience
经济,3,Environment and Ambience
财富喷泉,6,Family/Childre family/Friends
魔鬼鱼,9,Shopping
今年,5,F&B
住在圣,5,F&B
先生,7,Price
变化,4,Experimentation
古埃及,5,F&B
咖喱,10,Sightseeing/Place
商业区,4,Experimentation
圣诞节,7,Price
坐上,9,Shopping
壁画,7,Price
大厦,7,Price
大熊猫,7,Price
异味,5,F&B
我不,8,Service
时间的话,9,Shopping
沿路,8,Service
游乐园,8,Service
画廊,4,Experimentation
窗户,1,Facilities
路程,8,Service
运气,5,F&B
雨林,5,F&B
露天,1,Facilities
下单,5,F&B
信仰,5,F&B
公司,4,Experimentation
南中国海,7,Price
历史悠久,6,Family/Childre family/Friends
去就,10,Sightseeing/Place
国家胡姬花园,6,Family/Childre family/Friends
大一小,10,Sightseeing/Place
大岛,6,Family/Childre family/Friends
小车,9,Shopping
形式,5,F&B
教育意义,5,F&B
条线,9,Shopping
楼顶,8,Service
活力,4,Experimentation
爸爸,5,F&B
物价,1,Facilities
环境优雅,10,Sightseeing/Place
生命,7,Price
莱佛士坊,6,Family/Childre family/Friends
行人,4,Experimentation
设施齐全,7,Price
身上,10,Sightseeing/Place
高等法院,6,Family/Childre family/Friends
云雾森林,6,Family/Childre family/Friends
亚美尼亚教堂,6,Family/Childre family/Friends
几个项目,5,F&B
占地面积,6,Family/Childre family/Friends
又能,7,Price
圣,5,F&B
坡国,2,Activities
对外开放,4,Experimentation
心里,1,Facilities
所有的,3,Environment and Ambience
新加坡市中心,6,Family/Childre family/Friends
服务员,5,F&B
次票,9,Shopping
灯光效果,9,Shopping
特别棒,5,F&B
草地,7,Price
设计师,1,Facilities
适合小孩子,6,Family/Childre family/Friends
集合,4,Experimentation
马来传统文化馆,6,Family/Childre family/Friends
两岸,7,Price
价格实惠,9,Shopping
冰淇淋,4,Experimentation
国人,4,Experimentation
国家美术馆,7,Price
外表,7,Price
夜景不错,9,Shopping
太晚,8,Service
我自己,4,Experimentation
新加坡缆车,9,Shopping
旅游胜地,6,Family/Childre family/Friends
晚上灯光,6,Family/Childre family/Friends
晚上的夜景,6,Family/Childre family/Friends
来的地方,6,Family/Childre family/Friends
松鼠,7,Price
水面,7,Price
海里,8,Service
港湾,6,Family/Childre family/Friends
珍宝蟹,6,Family/Childre family/Friends
用品,4,Experimentation
