KEYWORD,CAT_INDEX,CAT_NAME
人民币,7,Price
文化,2,Activities
以前,3,Environment and Ambience
展览,2,Activities
热情,8,Service
坐在,4,Experimentation
全程,8,Service
半小时,4,Experimentation
尝试,4,Experimentation
巴士,11,Transportation and Accessibility
当地人,3,Environment and Ambience
今天,3,Environment and Ambience
木乃伊,4,Experimentation
了一圈,4,Experimentation
天气,4,Experimentation
美术馆,2,Activities
人少,4,Experimentation
喷泉,3,Environment and Ambience
一个小时,8,Service
周末,3,Environment and Ambience
内容,8,Service
漂流,4,Experimentation
哈芝巷,9,Shopping
小动物,8,Service
捷运,11,Transportation and Accessibility
整体,3,Environment and Ambience
每天,1,Facilities
在一起,3,Environment and Ambience
不想,4,Experimentation
中国,2,Activities
新加坡的地标,3,Environment and Ambience
一整天,4,Experimentation
空气,3,Environment and Ambience
兰花,8,Service
宝宝,4,Experimentation
沙名胜世界,1,Facilities
儿童,6,Family/Childre family/Friends
周边,3,Environment and Ambience
知识,6,Family/Childre family/Friends
海水,4,Experimentation
个小时,4,Experimentation
新元,1,Facilities
人性化,8,Service
出票快,8,Service
新加坡一定,4,Experimentation
速度,4,Experimentation
真心,4,Experimentation
中心,3,Environment and Ambience
鸟类,3,Environment and Ambience
胜地,2,Activities
非常适合,3,Environment and Ambience
新加坡的历史,8,Service
环境很好,4,Experimentation
印象,2,Activities
颜色,3,Environment and Ambience
分钟,11,Transportation and Accessibility
游人,3,Environment and Ambience
甘榜格,3,Environment and Ambience
节目,3,Environment and Ambience
新加坡的唐人街,9,Shopping
电子票,1,Facilities
新加坡人,3,Environment and Ambience
大人小孩,4,Experimentation
新加坡植物园,1,Facilities
清真寺,3,Environment and Ambience
特点,3,Environment and Ambience
有人,3,Environment and Ambience
餐饮,9,Shopping
实惠,1,Facilities
展品,2,Activities
花园城市,3,Environment and Ambience
游览车,11,Transportation and Accessibility
过程,8,Service
几次,4,Experimentation
二维码,7,Price
才能,3,Environment and Ambience
餐馆,5,F&B
中文小火车,8,Service
就像,3,Environment and Ambience
距离,11,Transportation and Accessibility
两个,8,Service
空间,3,Environment and Ambience
室内,8,Service
亚洲大陆,4,Experimentation
一遍,4,Experimentation
衣服,9,Shopping
路线,4,Experimentation
河川生态园,8,Service
市中心,3,Environment and Ambience
新加坡圣,4,Experimentation
路上,8,Service
小的,2,Activities
一家,9,Shopping
售票处,7,Price
太阳,3,Environment and Ambience
烟花,3,Environment and Ambience
原来,2,Activities
樟宜机场,1,Facilities
优先票,4,Experimentation
景区,1,Facilities
老人,4,Experimentation
肉骨茶,5,F&B
再来,4,Experimentation
造型,3,Environment and Ambience
名字,3,Environment and Ambience
套票,1,Facilities
新加坡旅游,1,Facilities
榴莲,3,Environment and Ambience
店铺,9,Shopping
纪念品,9,Shopping
规模,8,Service
主题,2,Activities
值得看,4,Experimentation
泳衣,1,Facilities
空中花园,4,Experimentation
当地,3,Environment and Ambience
斜坡滑车,4,Experimentation
河边,5,F&B
比较好,3,Environment and Ambience
游戏,4,Experimentation
场所,9,Shopping
故事,4,Experimentation
亮点,4,Experimentation
品种,1,Facilities
日间动物园,8,Service
地址,11,Transportation and Accessibility
山顶,4,Experimentation
滨海艺术中心,3,Environment and Ambience
狮子,8,Service
馆内,2,Activities
建筑物,3,Environment and Ambience
心情,3,Environment and Ambience
一去的地方,4,Experimentation
房子,9,Shopping
景色不错,4,Experimentation
阳光,3,Environment and Ambience
种类,1,Facilities
不去,1,Facilities
大海,3,Environment and Ambience
来说,1,Facilities
上午,4,Experimentation
水族馆,4,Experimentation
沙子,4,Experimentation
胡姬花,8,Service
大榴莲,3,Environment and Ambience
海底世界,4,Experimentation
马来西亚,3,Environment and Ambience
场馆,8,Service
海风,3,Environment and Ambience
适合小朋友,4,Experimentation
座位,8,Service
英语,8,Service
中国人,9,Shopping
地图,11,Transportation and Accessibility
网红,3,Environment and Ambience
通道,4,Experimentation
场景,2,Activities
女儿,4,Experimentation
样子,3,Environment and Ambience
亲子游,4,Experimentation
感兴趣,4,Experimentation
短信,1,Facilities
成人,1,Facilities
巴拉湾海滩,4,Experimentation
双螺旋桥,3,Environment and Ambience
房间,1,Facilities
日落,4,Experimentation
标志性,3,Environment and Ambience
公顷,1,Facilities
几个,3,Environment and Ambience
环境优美,4,Experimentation
圣安德烈教堂,8,Service
总体来说,8,Service
新加坡的夜景,4,Experimentation
角度,3,Environment and Ambience
一体,3,Environment and Ambience
入口,1,Facilities
公交,11,Transportation and Accessibility
大学,3,Environment and Ambience
邮件,1,Facilities
现代,3,Environment and Ambience
陆地,8,Service
关键,1,Facilities
半个小时,8,Service
海鲜,5,F&B
地区,3,Environment and Ambience
猴子,3,Environment and Ambience
乐趣,4,Experimentation
外套,3,Environment and Ambience
马路,3,Environment and Ambience
两天,4,Experimentation
意义,8,Service
沿途,8,Service
白色,3,Environment and Ambience
西乐索海滩,4,Experimentation
海事博物馆,3,Environment and Ambience
住在,9,Shopping
氛围,3,Environment and Ambience
狮城,8,Service
交通方便,9,Shopping
大自然,3,Environment and Ambience
如今,9,Shopping
气氛,5,F&B
空中,4,Experimentation
品牌,9,Shopping
图片,1,Facilities
花柏山,4,Experimentation
队伍,4,Experimentation
雕塑,3,Environment and Ambience
小吃,9,Shopping
新加坡夜景,4,Experimentation
水幕,3,Environment and Ambience
重点,1,Facilities
蝴蝶,8,Service
来的,2,Activities
麻烦,1,Facilities
商品,9,Shopping
热带雨林,3,Environment and Ambience
部分,1,Facilities
食物,9,Shopping
价比高,4,Experimentation
新加坡历史,8,Service
环境不错,4,Experimentation
的很,4,Experimentation
做好,4,Experimentation
圣地,3,Environment and Ambience
鱼尾狮塔,1,Facilities
全球,2,Activities
公里,3,Environment and Ambience
森林,3,Environment and Ambience
装修,3,Environment and Ambience
鹦鹉,4,Experimentation
新加坡滨海湾花园,3,Environment and Ambience
趣味性,8,Service
鱼类,4,Experimentation
上海,2,Activities
水母,4,Experimentation
福康宁,3,Environment and Ambience
空中走廊,3,Environment and Ambience
风景不错,8,Service
夜幕,3,Environment and Ambience
苏丹,3,Environment and Ambience
海洋,4,Experimentation
亲子,4,Experimentation
马里安曼兴都庙,8,Service
每个项目,4,Experimentation
烟火,3,Environment and Ambience
程买票,4,Experimentation
趣味,3,Environment and Ambience
未来水世界,1,Facilities
海南鸡饭,9,Shopping
空气清新,4,Experimentation
世纪,8,Service
新加坡地标,3,Environment and Ambience
河川,4,Experimentation
占地,1,Facilities
图书馆,4,Experimentation
更多,8,Service
身边,4,Experimentation
大象,8,Service
学校,3,Environment and Ambience
家人,4,Experimentation
热带植物,3,Environment and Ambience
玻璃,3,Environment and Ambience
老少皆宜,4,Experimentation
街上,9,Shopping
鱼尾狮像,3,Environment and Ambience
东南亚,3,Environment and Ambience
消费,1,Facilities
牛车,9,Shopping
玩完,1,Facilities
蜥蜴,8,Service
高空,4,Experimentation
一小时,1,Facilities
一楼,1,Facilities
两个馆,4,Experimentation
印度庙,8,Service
吊桥,4,Experimentation
旅游景点,4,Experimentation
机会,4,Experimentation
滨海,9,Shopping
票机,1,Facilities
色彩,3,Environment and Ambience
座桥,3,Environment and Ambience
护照,1,Facilities
日本,4,Experimentation
海星,4,Experimentation
科技,3,Environment and Ambience
艺术中心,3,Environment and Ambience
平时,3,Environment and Ambience
玩具,8,Service
珍宝海鲜,5,F&B
自行车,9,Shopping
像是,3,Environment and Ambience
大树,3,Environment and Ambience
纪念碑,8,Service
新加坡的象征,4,Experimentation
晚餐,1,Facilities
绿化,3,Environment and Ambience
佛牙寺,9,Shopping
好久,4,Experimentation
展馆,8,Service
影城,1,Facilities
机器,1,Facilities
海景,4,Experimentation
象征,3,Environment and Ambience
高楼,3,Environment and Ambience
鲨鱼,4,Experimentation
全天,1,Facilities
小店,9,Shopping
梦幻,3,Environment and Ambience
步道,3,Environment and Ambience
水陆,8,Service
窗口,1,Facilities
视觉,8,Service
超级树,1,Facilities
周一,1,Facilities
商业街,9,Shopping
层楼,3,Environment and Ambience
滨海花园,1,Facilities
第二天,1,Facilities
经典,8,Service
视野,3,Environment and Ambience
动物种类,4,Experimentation
去处,4,Experimentation
大牌,9,Shopping
长时间,8,Service
兴趣,8,Service
奢侈品,9,Shopping
感觉一般,4,Experimentation
科学,2,Activities
鲜花,3,Environment and Ambience
了一,8,Service
地理位置,3,Environment and Ambience
小伙伴,2,Activities
早餐,9,Shopping
现场买票,4,Experimentation
蚊子,8,Service
飞禽,8,Service
不错,4,Experimentation
印度风情,3,Environment and Ambience
大雨,8,Service
新加坡河畔,5,F&B
晚饭,3,Environment and Ambience
海豚亲密,4,Experimentation
滨海湾金沙,4,Experimentation
观景台,4,Experimentation
作品,8,Service
冷气,8,Service
小船,8,Service
年轻人,3,Environment and Ambience
情况,1,Facilities
新加坡国家美术馆,8,Service
方便,1,Facilities
激光,3,Environment and Ambience
玩水,4,Experimentation
要求,4,Experimentation
个人感觉,4,Experimentation
信徒,8,Service
外国人,3,Environment and Ambience
它的,3,Environment and Ambience
新加坡的标志性,8,Service
方向,8,Service
老公,4,Experimentation
设备,8,Service
价钱,1,Facilities
假期,4,Experimentation
几天,4,Experimentation
名胜世界,4,Experimentation
周日,1,Facilities
山上,4,Experimentation
新加坡最大,3,Environment and Ambience
校园,3,Environment and Ambience
环境好,4,Experimentation
票点,4,Experimentation
远处,3,Environment and Ambience
两场,1,Facilities
人很少,4,Experimentation
人群,3,Environment and Ambience
客服,8,Service
拖鞋,8,Service
滑道,4,Experimentation
环球,4,Experimentation
胡姬花园,8,Service
苏丹清真寺,3,Environment and Ambience
香港,9,Shopping
想再,4,Experimentation
新加坡国家博物馆,8,Service
方面,1,Facilities
原因,2,Activities
新加坡著名,8,Service
日间,8,Service
游泳池,3,Environment and Ambience
现场便宜,1,Facilities
草坪,3,Environment and Ambience
计划,8,Service
义安城,9,Shopping
天空,3,Environment and Ambience
往前,8,Service
每个,4,Experimentation
雕像,8,Service
一刻,8,Service
人也不多,4,Experimentation
夕阳,3,Environment and Ambience
外形,3,Environment and Ambience
建议晚上,4,Experimentation
快速通道,4,Experimentation
滨海湾金沙酒店,4,Experimentation
订单,1,Facilities
马来人,8,Service
不算,3,Environment and Ambience
两个小时,4,Experimentation
公交车,11,Transportation and Accessibility
场地,2,Activities
夜间野生动物园,4,Experimentation
怡丰城,1,Facilities
风景很好,4,Experimentation
一开始,8,Service
四次,4,Experimentation
室外,8,Service
本地人,3,Environment and Ambience
树木,3,Environment and Ambience
水里,8,Service
海湾,3,Environment and Ambience
两边,9,Shopping
岛内,11,Transportation and Accessibility
涂鸦,9,Shopping
物品,1,Facilities
香火,8,Service
一段,1,Facilities
全世界,8,Service
剧院,9,Shopping
周六,1,Facilities
大人孩子,4,Experimentation
大气,3,Environment and Ambience
客人,1,Facilities
很满意,8,Service
时间充裕,4,Experimentation
海洋世界,4,Experimentation
海洋动物,4,Experimentation
游乐场,4,Experimentation
艺术品,8,Service
莱佛士爵士,4,Experimentation
车厢,4,Experimentation
道路,9,Shopping
高处,4,Experimentation
咖啡馆,5,F&B
孔雀,3,Environment and Ambience
小径,8,Service
展厅,8,Service
新加坡真的,4,Experimentation
棒棒,4,Experimentation
眼前,8,Service
美的地方,4,Experimentation
节庆大道,4,Experimentation
适合孩子,4,Experimentation
全家,4,Experimentation
感觉不错,4,Experimentation
耳机,8,Service
背景,3,Environment and Ambience
邮箱,1,Facilities
S.E.,4,Experimentation
一个多小时,4,Experimentation
一层,3,Environment and Ambience
二楼,8,Service
体力,8,Service
印度的缩影,9,Shopping
新达城,8,Service
昆虫,3,Environment and Ambience
模式,8,Service
河流,2,Activities
滑梯,4,Experimentation
节假日,4,Experimentation
非常满意,4,Experimentation
风光,3,Environment and Ambience
出租车,11,Transportation and Accessibility
妈妈,4,Experimentation
小盆友,4,Experimentation
新加坡的国花,8,Service
珠海长,4,Experimentation
适合亲子游,4,Experimentation
酒吧街,5,F&B
金沙空中花园,4,Experimentation
一番,8,Service
岛屿,1,Facilities
总体感觉,4,Experimentation
情侣,4,Experimentation
排长队,4,Experimentation
晚上的时候,3,Environment and Ambience
飞机,4,Experimentation
口味,9,Shopping
收获,4,Experimentation
新加坡摩天观景轮,4,Experimentation
旅程,4,Experimentation
老外,5,F&B
裕廊飞禽公园,4,Experimentation
不值得,8,Service
中途,4,Experimentation
外墙,8,Service
多年的历史,3,Environment and Ambience
家庭,4,Experimentation
折扣,9,Shopping
柜台,1,Facilities
牛车水原貌馆,8,Service
珍宝,5,F&B
野生动物园,3,Environment and Ambience
门票价格,1,Facilities
创意,8,Service
原本,8,Service
好多人,4,Experimentation
新加坡全景,4,Experimentation
热带,3,Environment and Ambience
眼睛,8,Service
自由行,8,Service
路边,8,Service
饮料,8,Service
人气,1,Facilities
印象深刻,4,Experimentation
吃到,9,Shopping
夜色,4,Experimentation
官网,1,Facilities
对了,4,Experimentation
市政厅,3,Environment and Ambience
有一些,8,Service
海底,3,Environment and Ambience
缺点,4,Experimentation
花卉,3,Environment and Ambience
野生动物,3,Environment and Ambience
香料,9,Shopping
丹戎海滩,4,Experimentation
人员,8,Service
咖啡,9,Shopping
实体票,4,Experimentation
环节,4,Experimentation
美食街,9,Shopping
赛道,4,Experimentation
音乐厅,9,Shopping
世界各地,4,Experimentation
全英文,8,Service
北京,4,Experimentation
夜间动物,4,Experimentation
平台,3,Environment and Ambience
每个人,8,Service
沙捷运,1,Facilities
自来水,9,Shopping
饭店,5,F&B
世界十大,8,Service
中的,1,Facilities
儿童乐园,1,Facilities
吊椅,4,Experimentation
孩子特别,4,Experimentation
广州长,4,Experimentation
感觉很好,8,Service
新加坡华人,9,Shopping
新加坡政府,1,Facilities
景色优美,4,Experimentation
期间,1,Facilities
目前,4,Experimentation
站在,3,Environment and Ambience
第一个,4,Experimentation
线路,8,Service
飞禽公园,4,Experimentation
马达加斯加,1,Facilities
一路上,3,Environment and Ambience
专业,8,Service
周五,1,Facilities
学生,3,Environment and Ambience
教练,8,Service
春节,4,Experimentation
结构,8,Service
视觉效果,4,Experimentation
车上,8,Service
鞋子,8,Service
鱼尾狮像公园,3,Environment and Ambience
丛林,4,Experimentation
买买,9,Shopping
价格便宜,4,Experimentation
传统,2,Activities
全景,4,Experimentation
午饭,1,Facilities
场面,4,Experimentation
大楼,3,Environment and Ambience
天气好,4,Experimentation
天都,4,Experimentation
年代,8,Service
年前,8,Service
异域风情,8,Service
态度,8,Service
水世界,4,Experimentation
生态园,8,Service
螃蟹,4,Experimentation
视频,8,Service
这样的,8,Service
一片,8,Service
保护区,3,Environment and Ambience
修道院,3,Environment and Ambience
剧场,4,Experimentation
地面,8,Service
声音,8,Service
大商场,9,Shopping
尔顿酒店,3,Environment and Ambience
就有,1,Facilities
工作,4,Experimentation
布局,8,Service
成了,4,Experimentation
晚上的灯光秀,4,Experimentation
景色很好,4,Experimentation
爱好者,8,Service
目的地,4,Experimentation
空中吊椅,4,Experimentation
美味,9,Shopping
音乐喷泉,4,Experimentation
三天,1,Facilities
个小,4,Experimentation
也要,2,Activities
习惯,4,Experimentation
事情,1,Facilities
印度教,3,Environment and Ambience
吃完,9,Shopping
大桥,3,Environment and Ambience
大门,8,Service
孩子一起,4,Experimentation
庙宇,3,Environment and Ambience
旧禧街警察局,4,Experimentation
景色宜人,4,Experimentation
水柱,3,Environment and Ambience
热闹非凡,2,Activities
费用,1,Facilities
顶楼,1,Facilities
亚洲文明,8,Service
人类,3,Environment and Ambience
暑假,4,Experimentation
有了,8,Service
条路,9,Shopping
温度,8,Service
给人,8,Service
莱佛士,3,Environment and Ambience
蓝天白云,3,Environment and Ambience
行李,1,Facilities
适合亲子,4,Experimentation
一天时间,4,Experimentation
一带,9,Shopping
加文纳桥,3,Environment and Ambience
危险,8,Service
地上,8,Service
屋顶,8,Service
岸边,4,Experimentation
理念,3,Environment and Ambience
秩序,8,Service
第一天,4,Experimentation
笼子,4,Experimentation
绿树成荫,3,Environment and Ambience
螺旋桥,4,Experimentation
语言,8,Service
走完,8,Service
长颈鹿,8,Service
一家人,4,Experimentation
优势,9,Shopping
国家博物馆,8,Service
大厅,8,Service
套餐,1,Facilities
好几次,4,Experimentation
技术,8,Service
此行,4,Experimentation
武吉,8,Service
炮台,9,Shopping
那就,3,Environment and Ambience
乌敏岛,4,Experimentation
入口处,8,Service
公众,8,Service
兰花园,1,Facilities
双轨过山车,1,Facilities
司机,8,Service
园子,4,Experimentation
国外,4,Experimentation
最近,4,Experimentation
水果,9,Shopping
点赞,8,Service
环境非常好,8,Service
相机,1,Facilities
第一站,4,Experimentation
舞台,9,Shopping
身体,8,Service
通票,1,Facilities
驳船码头,5,F&B
魅力,3,Environment and Ambience
夜生活,5,F&B
好评,4,Experimentation
指示牌,11,Transportation and Accessibility
文物,2,Activities
物种,4,Experimentation
精神,8,Service
超级棒,4,Experimentation
风景优美,8,Service
鸟儿,8,Service
信息,8,Service
免税店,9,Shopping
国际,8,Service
处处,8,Service
夏天,4,Experimentation
多年,8,Service
大半天,1,Facilities
屏障,8,Service
新加坡本岛,1,Facilities
服装,8,Service
滨海南花园,8,Service
牌子,9,Shopping
状态,8,Service
画面,3,Environment and Ambience
的时候人,4,Experimentation
五分钟,1,Facilities
亚马逊,8,Service
什么的,8,Service
午餐,1,Facilities
场次,8,Service
垃圾,8,Service
天福宫,8,Service
好好玩,1,Facilities
家长,4,Experimentation
很好,3,Environment and Ambience
情调,3,Environment and Ambience
方法,8,Service
时间短,4,Experimentation
水幕电影,4,Experimentation
票地点,8,Service
街区,9,Shopping
野餐,8,Service
交通工具,8,Service
印度教寺庙,8,Service
啤酒,5,F&B
宗教,8,Service
气息,3,Environment and Ambience
气派,8,Service
灵感,3,Environment and Ambience
热门项目,4,Experimentation
穆斯林,8,Service
联系,1,Facilities
荷兰村,9,Shopping
身高,1,Facilities
高科技,3,Environment and Ambience
个多,4,Experimentation
中文导游,8,Service
人流,8,Service
人,8,Service
仙鹤芭蕾,4,Experimentation
傍晚时分,4,Experimentation
四周,4,Experimentation
故事情节,4,Experimentation
栅栏,8,Service
树林,3,Environment and Ambience
桥梁,3,Environment and Ambience
步行道,1,Facilities
海滩站,1,Facilities
珊瑚,4,Experimentation
看头,8,Service
眼球,8,Service
绿色,8,Service
老虎,8,Service
遗址,4,Experimentation
S.E.A.海洋馆,1,Facilities
不来,4,Experimentation
亚洲最大,4,Experimentation
亚马逊漂流,8,Service
佛牙舍利,8,Service
商业,9,Shopping
宝贝,4,Experimentation
工艺品,8,Service
新加坡的标志性景点,4,Experimentation
时尚,9,Shopping
沙海滩,4,Experimentation
浪池,4,Experimentation
生物,4,Experimentation
程出票,4,Experimentation
红点,8,Service
联票,1,Facilities
英国,1,Facilities
莲花,3,Environment and Ambience
运动,8,Service
里边,8,Service
鱼儿,4,Experimentation
上次,4,Experimentation
地下,9,Shopping
孩子玩得,4,Experimentation
当年,3,Environment and Ambience
微风,3,Environment and Ambience
政府,3,Environment and Ambience
新加坡元,1,Facilities
新加坡市区,3,Environment and Ambience
新加坡面积最小的公园,4,Experimentation
樟宜,1,Facilities
花花草草,3,Environment and Ambience
迪士尼,4,Experimentation
风景秀丽,4,Experimentation
两圈,8,Service
光影,3,Environment and Ambience
园里,8,Service
多,4,Experimentation
大船,8,Service
寺院,8,Service
巷子,9,Shopping
强烈建议,4,Experimentation
新加坡摩天轮,4,Experimentation
新加坡河边,3,Environment and Ambience
新加坡的母亲河,3,Environment and Ambience
新加坡的美景,4,Experimentation
是有,8,Service
服务人员,8,Service
港湾站,1,Facilities
电子,1,Facilities
米高,3,Environment and Ambience
红色,2,Activities
蜡像馆,4,Experimentation
观景,1,Facilities
警察局,3,Environment and Ambience
超市,9,Shopping
雨衣,4,Experimentation
风情,8,Service
鱼尾狮雕像,4,Experimentation
人也不,4,Experimentation
优点,1,Facilities
剧情,4,Experimentation
十点,1,Facilities
商铺,9,Shopping
奇花异草,1,Facilities
室内瀑布,8,Service
小商品,9,Shopping
新加坡城市,8,Service
海上,4,Experimentation
火车,8,Service
詹美,8,Service
顶层,3,Environment and Ambience
饮食,9,Shopping
一个半小时,1,Facilities
两个冷,1,Facilities
个大,4,Experimentation
中国城,9,Shopping
儿童票,1,Facilities
动物近距离,4,Experimentation
小朋友玩得,4,Experimentation
总体不错,8,Service
慢慢的,4,Experimentation
拍到,8,Service
新加坡美术馆,8,Service
椅子,8,Service
楼下,9,Shopping
水中,8,Service
海洋公园,4,Experimentation
现场买票便宜,4,Experimentation
细节,8,Service
芝麻街,4,Experimentation
超棒,8,Service
车子,8,Service
邮票,8,Service
闪光灯,8,Service
三个,8,Service
二战,8,Service
价格优惠,8,Service
印度寺庙,9,Shopping
吸引力,3,Environment and Ambience
吹吹海风,4,Experimentation
咖啡厅,5,F&B
多分钟,4,Experimentation
头顶,4,Experimentation
寓教于乐,8,Service
市场,9,Shopping
异国风情,3,Environment and Ambience
新加坡的景色,4,Experimentation
新意,4,Experimentation
父母,4,Experimentation
经验,8,Service
运气好,8,Service
上岛,1,Facilities
人物,4,Experimentation
动物园里,8,Service
国内便宜,9,Shopping
小鱼,4,Experimentation
展览馆,8,Service
成人票,1,Facilities
政府大厦,8,Service
新加坡唯一,4,Experimentation
新加坡最好,4,Experimentation
时间长,4,Experimentation
楼上,3,Environment and Ambience
没办法,4,Experimentation
温室,3,Environment and Ambience
瞬间,8,Service
经济,1,Facilities
财富喷泉,3,Environment and Ambience
魔鬼鱼,4,Experimentation
今年,4,Experimentation
住在圣,4,Experimentation
先生,9,Shopping
变化,8,Service
古埃及,1,Facilities
咖喱,9,Shopping
商业区,9,Shopping
圣诞节,8,Service
坐上,8,Service
壁画,3,Environment and Ambience
大厦,9,Shopping
大熊猫,8,Service
异味,8,Service
我不,4,Experimentation
时间的话,4,Experimentation
沿路,3,Environment and Ambience
游乐园,4,Experimentation
画廊,8,Service
窗户,8,Service
路程,1,Facilities
运气,8,Service
雨林,8,Service
露天,4,Experimentation
下单,1,Facilities
信仰,8,Service
公司,9,Shopping
南中国海,4,Experimentation
历史悠久,8,Service
去就,4,Experimentation
国家胡姬花园,8,Service
大一小,1,Facilities
大岛,8,Service
小车,4,Experimentation
形式,8,Service
教育意义,8,Service
条线,4,Experimentation
楼顶,4,Experimentation
活力,8,Service
爸爸,4,Experimentation
物价,3,Environment and Ambience
环境优雅,8,Service
生命,8,Service
莱佛士坊,8,Service
行人,9,Shopping
设施齐全,4,Experimentation
身上,8,Service
高等法院,8,Service
云雾森林,8,Service
亚美尼亚教堂,8,Service
几个项目,4,Experimentation
占地面积,8,Service
又能,4,Experimentation
圣,1,Facilities
坡国,1,Facilities
对外开放,1,Facilities
心里,4,Experimentation
所有的,1,Facilities
新加坡市中心,4,Experimentation
服务员,8,Service
次票,4,Experimentation
灯光效果,4,Experimentation
