"TEXT","COUNT","SENTIMENT_KEYWORD_AGG_INDEX","ASPECT_CATEGORY_NAME","ASPECT_CATEGORY","REQUIRE_CONTEXT"
"艺术",319,124,"Arts and Culture",,
"区域",318,125,"NA",,
"地标",316,126,"Sightseeing",,
"滑车",316,127,"Activities",,
"亚洲",312,128,"NA",,
"华人",312,129,"NA",,
"寺庙",310,130,"Sightseeing",,
"市区",310,131,"Transportation and Accessibility",,
"园内",308,132,"Sightseeing",,
"不少",307,133,"NA",,
"国家",307,134,"NA",,
"无边泳池",307,135,"POI/Places",,
"海边",306,136,"Environment and Ambiance",,
"游船",305,137,"Activities",,
"过去",304,138,"NA",,
"导游",303,139,"Service",,
"好去处",302,140,"POI/Places",,
"花穹",295,141,"POI/Places",,
"美景",294,142,"Sightseeing",,
"机场",291,143,"Sightseeing",,
"后来",290,144,"NA",,
"玩得",289,145,"NA",,1
"第二次",286,146,"NA",,
"儿子",285,147,"Family/Children family/Friends",,
"周围",285,148,"NA",,
"当时",285,149,"NA",,
"英文",284,150,"NA",,
"天堂",281,151,"NA",,1
"傍晚",275,152,"NA",,
"街道",274,153,"NA",,1
"人多",270,154,"Transportation and Accessibility",,
"小岛",270,155,"Sightseeing",,
"效果",268,156,"NA",,
"云雾林",267,157,"POI/Places",,
"电影",267,158,"NA",,
"空调",267,159,"Environment and Ambiance",,
"商店",266,160,"Shopping",,
"地铁站",266,161,"Transportation and Accessibility",,
"问题",266,162,"NA",,
"沙岛上",264,163,"NA",,
"广场",263,164,"Sightseeing",,
"地点",261,165,"Transportation and Accessibility",,
"早上",261,166,"NA",,
"音乐",260,167,"NA",,
"味道",257,168,"F&B",,1
"当天",257,169,"NA",,
"票方便",256,170,"Transportation and Accessibility",,
"海洋生物",254,171,"Sightseeing",,
"方式",252,172,"NA",,
"景观",252,173,"Environment and Ambiance",,
"过山车",251,174,"Activities",,
"一路",250,175,"NA",,
"一种",249,176,"NA",,
"新加坡环球影城",249,177,"POI/Places",,
"都会",249,178,"NA",,
"票价",246,179,"Transportation and Accessibility",,
"人太多",245,180,"Transportation and Accessibility",,
"面积",245,181,"NA",,
"外观",244,182,"Environment and Ambiance",,
"瀑布",244,183,"Sightseeing",,
"收费",243,184,"Price",,
"泳池",242,185,"Facilities",,
"中午",240,186,"NA",,
"南端",240,187,"NA",,
"电梯",240,188,"Facilities",,
"半天",239,189,"NA",,
"旅游",239,190,"Sightseeing",,
"总体",238,191,"NA",,1
"手机",238,192,"Facilities",,1
"购物中心",238,193,"Shopping",,
"唐人街",236,194,"POI/Places",,
"海豚园",236,195,"POI/Places",,
"人民币",235,196,"Price",,
"文化",234,197,"Arts and Culture",,
"以前",229,198,"NA",,
"展览",229,199,"Activities",,
"热情",229,200,"Service",,
"坐在",228,201,"NA",,
"全程",227,202,"NA",,1
"半小时",227,203,"NA",,
"尝试",227,204,"NA",,
"巴士",226,205,"Transportation and Accessibility",,
"当地人",226,206,"NA",,
"今天",225,207,"NA",,
"木乃伊",225,208,"Activities",,
"了一圈",222,209,"NA",,
"天气",222,210,"Environment and Ambiance",,
"美术馆",222,211,"Sightseeing",,
"人少",219,212,"Transportation and Accessibility",,
"喷泉",219,213,"Sightseeing",,
"一个小时",218,214,"NA",,1
"周末",218,215,"NA",,
"内容",217,216,"NA",,
"漂流",217,217,"Activities",,
"哈芝巷",216,218,"POI/Places",,
"小动物",216,219,"Sightseeing",,
"捷运",216,220,"Transportation and Accessibility",,
"整体",216,221,"NA",,1
"每天",214,222,"NA",,
"在一起",212,223,"Family/Children family/Friends",,1
"不想",210,224,"NA",,
"中国",209,225,"NA",,
"新加坡的地标",208,226,"Sightseeing",,
"一整天",207,227,"NA",,
"空气",207,228,"Environment and Ambiance",,
"兰花",205,229,"Sightseeing",,
"宝宝",203,230,"Family/Children family/Friends",,
"沙名胜世界",203,231,"POI/Places",,
"儿童",202,232,"Family/Children family/Friends",,
"周边",202,233,"Transportation and Accessibility",,
"知识",202,234,"NA",,
"海水",201,235,"Sightseeing",,
"个小时",200,236,"NA",,
"新元",200,237,"Price",,
"人性化",199,238,"Service",,
"出票快",199,239,"Transportation and Accessibility",,
"新加坡一定",199,240,"NA",,
"速度",199,241,"NA",,1
"真心",196,242,"NA",,
"中心",195,243,"NA",,
"鸟类",195,244,"Sightseeing",,
"胜地",194,245,"POI/Places",,
"非常适合",194,246,"Experience",,1
"新加坡的历史",193,247,"Arts and Culture",,
"环境很好",193,248,"Environment and Ambiance",,
"印象",192,249,"Experience",,1
"颜色",192,250,"NA",,
"分钟",190,251,"NA",,
"游人",190,252,"NA",,
"甘榜格",189,253,"POI/Places",,
"节目",189,254,"Activities",,
"新加坡的唐人街",188,255,"POI/Places",,
"电子票",188,256,"Transportation and Accessibility",,
"新加坡人",187,257,"NA",,
"大人小孩",186,258,"Family/Children family/Friends",,
"新加坡植物园",186,259,"POI/Places",,
"清真寺",186,260,"Sightseeing",,
"特点",186,261,"Arts and Culture",,
"有人",185,262,"NA",,1
"餐饮",185,263,"F&B",,
"实惠",183,264,"Price",,
"展品",183,265,"Arts and Culture",,
"花园城市",183,266,"Environment and Ambiance",,
"游览车",182,267,"Transportation and Accessibility",,
"过程",182,268,"NA",,
"几次",181,269,"NA",,
"二维码",180,270,"Transportation and Accessibility",,
"才能",180,271,"NA",,
"餐馆",180,272,"F&B",,
"中文小火车",179,273,"Activities",,
"就像",179,274,"NA",,
"距离",179,275,"Transportation and Accessibility",,
"两个",178,276,"NA",,
"空间",178,277,"Environment and Ambiance",,
"室内",177,278,"Environment and Ambiance",,
"亚洲大陆",176,279,"NA",,
"一遍",175,280,"NA",,
"衣服",175,281,"NA",,
"路线",175,282,"Transportation and Accessibility",,
"河川生态园",174,283,"POI/Places",,
"市中心",173,284,"Transportation and Accessibility",,
"新加坡圣",173,285,"NA",,
"路上",173,286,"Transportation and Accessibility",,
"小的",172,287,"NA",,
"一家",171,288,"Family/Children family/Friends",,
"售票处",171,289,"Transportation and Accessibility",,
"太阳",171,290,"Environment and Ambiance",,
"烟花",171,291,"Sightseeing",,
"原来",170,292,"NA",,
"樟宜机场",170,293,"POI/Places",,
"优先票",169,294,"Transportation and Accessibility",,
"景区",168,295,"POI/Places",,
"老人",168,296,"Family/Children family/Friends",,
"肉骨茶",167,297,"F&B",,
"再来",166,298,"NA",,
"造型",165,299,"NA",,1
"名字",164,300,"NA",,
"套票",164,301,"Transportation and Accessibility",,
"新加坡旅游",164,302,"NA",,
"榴莲",164,303,"F&B",,
"店铺",163,304,"Shopping",,
"纪念品",163,305,"Shopping",,
"规模",163,306,"NA",,1
"主题",162,307,"NA",,
"值得看",161,308,"Price",,
"泳衣",161,309,"NA",,
"空中花园",161,310,"POI/Places",,
"当地",160,311,"NA",,
"斜坡滑车",159,312,"Activities",,
"河边",158,313,"Sightseeing",,
"比较好",157,314,"NA",,1
"游戏",157,315,"NA",,
"场所",156,316,"NA",,1
"故事",156,317,"NA",,
"亮点",155,318,"Arts and Culture",,
"品种",155,319,"NA",,
"日间动物园",155,320,"POI/Places",,
"地址",154,321,"Transportation and Accessibility",,
"山顶",154,322,"NA",,1
"滨海艺术中心",154,323,"POI/Places",,
"狮子",154,324,"Sightseeing",,
"馆内",154,325,"Environment and Ambiance",,
"建筑物",153,326,"Sightseeing",,1
"心情",153,327,"NA",,
"一去的地方",151,328,"NA",,
"房子",151,329,"Sightseeing",,1
"景色不错",151,330,"Sightseeing",,
"阳光",151,331,"Environment and Ambiance",,
"种类",150,332,"Sightseeing",,
"不去",149,333,"NA",,
"大海",149,334,"Sightseeing",,
"来说",149,335,"NA",,
"上午",148,336,"NA",,
"水族馆",148,337,"POI/Places",,
"沙子",148,338,"Environment and Ambiance",,
"胡姬花",148,339,"Sightseeing",,
"大榴莲",147,340,"POI/Places",,
"海底世界",147,341,"POI/Places",,
"马来西亚",147,342,"NA",,
"场馆",146,343,"NA",,
"海风",146,344,"NA",,
"适合小朋友",145,345,"Family/Children family/Friends",,
"座位",144,346,"NA",,
"英语",144,347,"NA",,
"中国人",143,348,"NA",,
"地图",143,349,"Facilities",,
"网红",143,350,"NA",,1
"通道",143,351,"Transportation and Accessibility",,
"场景",142,352,"NA",,
"女儿",142,353,"Family/Children family/Friends",,
"样子",142,354,"NA",,
"亲子游",141,355,"Family/Children family/Friends",,
"感兴趣",141,356,"NA",,
"短信",141,357,"NA",,
"成人",140,358,"Family/Children family/Friends",,
"巴拉湾海滩",139,359,"POI/Places",,
"双螺旋桥",138,360,"POI/Places",,
"房间",138,361,"NA",,
"日落",138,362,"Environment and Ambiance",,
"标志性",138,363,"Sightseeing",,
"公顷",137,364,"NA",,
"几个",137,365,"NA",,
"环境优美",137,366,"Environment and Ambiance",,
"圣安德烈教堂",136,367,"POI/Places",,
"总体来说",136,368,"NA",,
"新加坡的夜景",136,369,"Sightseeing",,
"角度",136,370,"NA",,
"一体",135,371,"NA",,
"入口",135,372,"Transportation and Accessibility",,
"公交",135,373,"Transportation and Accessibility",,
"大学",135,374,"NA",,
"邮件",135,375,"NA",,
"现代",134,376,"NA",,
"陆地",134,377,"NA",,
"关键",133,378,"NA",,
"半个小时",133,379,"NA",,
"海鲜",133,380,"F&B",,
"地区",132,381,"NA",,1
"猴子",132,382,"Sightseeing",,
"乐趣",131,383,"NA",,
"外套",131,384,"NA",,
"马路",131,385,"Transportation and Accessibility",,
"两天",130,386,"NA",,
"意义",130,387,"NA",,
"沿途",130,388,"NA",,
"白色",130,389,"NA",,
"西乐索海滩",130,390,"POI/Places",,
"海事博物馆",128,391,"POI/Places",,
"住在",127,392,"Transportation and Accessibility",,
"氛围",127,393,"Environment and Ambiance",,
"狮城",126,394,"NA",,
"交通方便",125,395,"Transportation and Accessibility",,
"大自然",125,396,"Sightseeing",,
"如今",125,397,"NA",,
"气氛",125,398,"Environment and Ambiance",,
"空中",125,399,"NA",,
"品牌",124,400,"NA",,1
"图片",124,401,"NA",,
"花柏山",124,402,"POI/Places",,
"队伍",124,403,"Transportation and Accessibility",,1
"雕塑",123,404,"Arts and Culture",,
"小吃",122,405,"F&B",,
"新加坡夜景",122,406,"Sightseeing",,
"水幕",122,407,"Sightseeing",,
"重点",122,408,"NA",,
"蝴蝶",121,409,"Sightseeing",,
"来的",120,410,"NA",,
"麻烦",120,411,"NA",,
"商品",119,412,"Shopping",,
"热带雨林",119,413,"Sightseeing",,
"部分",119,414,"NA",,
"食物",119,415,"F&B",,
"价比高",118,416,"Price",,
"新加坡历史",116,417,"Arts and Culture",,
"环境不错",116,418,"Environment and Ambiance",,
"的很",116,419,"NA",,
"做好",115,420,"NA",,
"圣地",115,421,"POI/Places",,
"鱼尾狮塔",115,422,"POI/Places",,
"全球",114,423,"NA",,
"公里",114,424,"Transportation and Accessibility",,
"森林",114,425,"Sightseeing",,
"装修",114,426,"NA",,
"鹦鹉",114,427,"Sightseeing",,
"新加坡滨海湾花园",113,428,"POI/Places",,
"趣味性",113,429,"Experience",,
"鱼类",113,430,"Sightseeing",,
"上海",112,431,"NA",,
"水母",112,432,"Sightseeing",,
"福康宁",112,433,"POI/Places",,
"空中走廊",112,434,"POI/Places",,
"风景不错",112,435,"Sightseeing",,
"夜幕",111,436,"NA",,
"苏丹",111,437,"NA",,
"海洋",110,438,"Sightseeing",,
"亲子",109,439,"Family/Children family/Friends",,
"马里安曼兴都庙",109,440,"POI/Places",,
"每个项目",108,441,"Activities",,
"烟火",108,442,"Sightseeing",,
"程买票",108,443,"Transportation and Accessibility",,
"趣味",108,444,"Experience",,
"未来水世界",107,445,"Activities",,
"海南鸡饭",107,446,"F&B",,
"空气清新",107,447,"Environment and Ambiance",,
"世纪",106,448,"NA",,
"新加坡地标",106,449,"Sightseeing",,
"河川",106,450,"Sightseeing",,
"占地",105,451,"NA",,
"图书馆",105,452,"Sightseeing",,
"更多",105,453,"NA",,
"身边",105,454,"NA",,
"大象",104,455,"Sightseeing",,
"学校",104,456,"NA",,
"家人",104,457,"Family/Children family/Friends",,
"热带植物",104,458,"Sightseeing",,
"玻璃",104,459,"NA",,1
"老少皆宜",104,460,"Family/Children family/Friends",,
"街上",104,461,"NA",,
"鱼尾狮像",104,462,"POI/Places",,
"东南亚",103,463,"NA",,
"消费",103,464,"Shopping",,
"牛车",103,465,"Sightseeing",,
"玩完",103,466,"NA",,
"蜥蜴",103,467,"Sightseeing",,
"高空",103,468,"NA",,1
"一小时",102,469,"NA",,
"一楼",102,470,"NA",,
"两个馆",102,471,"NA",,
"印度庙",102,472,"NA",,
"吊桥",102,473,"NA",,
"旅游景点",102,474,"Sightseeing",,
"机会",102,475,"NA",,
"滨海",102,476,"Sightseeing",,
"票机",102,477,"NA",,
"色彩",102,478,"NA",,
"座桥",101,479,"NA",,
"护照",101,480,"NA",,
"日本",101,481,"NA",,
"海星",101,482,"Sightseeing",,
"科技",101,483,"NA",,
"艺术中心",101,484,"Sightseeing",,
"平时",100,485,"NA",,
"玩具",100,486,"NA",,
"珍宝海鲜",100,487,"F&B",,
"自行车",100,488,"Transportation and Accessibility",,
"像是",99,489,"NA",,
"大树",99,490,"POI/Places",,
"纪念碑",99,491,"Sightseeing",,
"新加坡的象征",98,492,"Sightseeing",,
"晚餐",98,493,"F&B",,
"绿化",98,494,"Sightseeing",,
"佛牙寺",97,495,"POI/Places",,
"好久",97,496,"NA",,
"展馆",97,497,"Facilities",,
"影城",97,498,"Sightseeing",,
"机器",97,499,"NA",,
"海景",97,500,"Sightseeing",,
"象征",97,501,"Sightseeing",,
"高楼",97,502,"Facilities",,1
"鲨鱼",97,503,"Sightseeing",,
"全天",96,504,"NA",,
"小店",96,505,"Shopping",,
"梦幻",96,506,"Experience",,1
"步道",96,507,"Transportation and Accessibility",,
"水陆",96,508,"Transportation and Accessibility",,
"窗口",96,509,"Service",,
"视觉",96,510,"NA",,
"超级树",96,511,"POI/Places",,
"周一",95,512,"NA",,
"商业街",95,513,"Shopping",,
"层楼",95,514,"NA",,
"滨海花园",95,515,"POI/Places",,
"第二天",95,516,"NA",,
"经典",95,517,"Experience",,
"视野",95,518,"Sightseeing",,
"动物种类",94,519,"Sightseeing",,
"去处",94,520,"NA",,
"大牌",94,521,"Shopping",,
"长时间",94,522,"Transportation and Accessibility",,1
"兴趣",93,523,"NA",,
"奢侈品",93,524,"Shopping",,
"感觉一般",93,525,"Experience",,
"科学",93,526,"NA",,
"鲜花",93,527,"Sightseeing",,
"了一",92,528,"NA",,
"地理位置",92,529,"Transportation and Accessibility",,
"小伙伴",92,530,"Family/Children family/Friends",,
"早餐",92,531,"F&B",,
"现场买票",92,532,"Transportation and Accessibility",,
"蚊子",92,533,"Environment and Ambiance",,
"飞禽",92,534,"Sightseeing",,
"不错",91,535,"Experience",,
"印度风情",91,536,"Arts and Culture",,
"大雨",91,537,"Environment and Ambiance",,
"新加坡河畔",91,538,"POI/Places",,
"晚饭",91,539,"F&B",,
"海豚亲密",91,540,"Sightseeing",,
"滨海湾金沙",91,541,"POI/Places",,
"观景台",91,542,"Facilities",,
"作品",90,543,"NA",,
"冷气",90,544,"Environment and Ambiance",,
"小船",90,545,"NA",,
"年轻人",90,546,"NA",,
"情况",90,547,"NA",,
"新加坡国家美术馆",90,548,"POI/Places",,
"方便",90,549,"Transportation and Accessibility",,
"激光",90,550,"NA",,
"玩水",90,551,"Activities",,
"要求",90,552,"NA",,
"个人感觉",89,553,"Experience",,
"信徒",89,554,"NA",,
"外国人",89,555,"NA",,
"它的",89,556,"NA",,
"新加坡的标志性",89,557,"Sightseeing",,
"方向",89,558,"Transportation and Accessibility",,
"老公",89,559,"Family/Children family/Friends",,
"设备",89,560,"Facilities",,
"价钱",88,561,"Price",,
"假期",88,562,"NA",,
"几天",88,563,"NA",,
"名胜世界",88,564,"POI/Places",,
"周日",88,565,"NA",,
"山上",88,566,"NA",,
"新加坡最大",88,567,"NA",,
"校园",88,568,"NA",,
"环境好",88,569,"Environment and Ambiance",,
"票点",88,570,"NA",,
"远处",88,571,"NA",,
"两场",87,572,"NA",,
"人很少",87,573,"Transportation and Accessibility",,
"人群",87,574,"Transportation and Accessibility",,1
"客服",87,575,"Service",,
"拖鞋",87,576,"NA",,
"滑道",87,577,"Activities",,
"环球",87,578,"POI/Places",,
"胡姬花园",87,579,"POI/Places",,
"苏丹清真寺",87,580,"POI/Places",,
"香港",87,581,"NA",,
"想再",86,582,"NA",,
"新加坡国家博物馆",86,583,"POI/Places",,
"方面",86,584,"NA",,
"原因",85,585,"NA",,
"新加坡著名",85,586,"Sightseeing",,
"日间",85,587,"NA",,
"游泳池",85,588,"Facilities",,
"现场便宜",85,589,"Price",,
"草坪",85,590,"Sightseeing",,
"计划",85,591,"NA",,
"义安城",84,592,"Shopping",,
"天空",84,593,"NA",,
"往前",84,594,"Transportation and Accessibility",,
"每个",84,595,"NA",,
"雕像",84,596,"Arts and Culture",,
"一刻",83,597,"NA",,
"人也不多",83,598,"Transportation and Accessibility",,
"夕阳",83,599,"Environment and Ambiance",,
"外形",83,600,"NA",,
"建议晚上",83,601,"NA",,
"快速通道",83,602,"Service",,
"滨海湾金沙酒店",83,603,"POI/Places",,
"订单",83,604,"NA",,
"马来人",83,605,"NA",,
"不算",82,606,"NA",,
"两个小时",82,607,"NA",,
"公交车",82,608,"Transportation and Accessibility",,
"场地",82,609,"NA",,
"夜间野生动物园",82,610,"POI/Places",,
"怡丰城",82,611,"Shopping",,
"风景很好",82,612,"Sightseeing",,
"一开始",81,613,"NA",,
"四次",81,614,"NA",,
"室外",81,615,"NA",,
"本地人",81,616,"NA",,
"树木",81,617,"Sightseeing",,
"水里",81,618,"NA",,
"海湾",81,619,"Sightseeing",,
"两边",80,620,"NA",,
"岛内",80,621,"NA",,
"涂鸦",80,622,"Sightseeing",,1
"物品",80,623,"NA",,
"香火",80,624,"NA",,
"一段",79,625,"NA",,
"全世界",79,626,"NA",,
"剧院",79,627,"NA",,
"周六",79,628,"NA",,
"大人孩子",79,629,"Family/Children family/Friends",,
"大气",79,630,"Experience",,
"客人",79,631,"NA",,
"很满意",79,632,"Experience",,
"时间充裕",79,633,"NA",,
"海洋世界",79,634,"POI/Places",,
"海洋动物",79,635,"Sightseeing",,
"游乐场",79,636,"Sightseeing",,
"艺术品",79,637,"Sightseeing",,
"莱佛士爵士",79,638,"NA",,
"车厢",79,639,"Transportation and Accessibility",,
"道路",79,640,"Transportation and Accessibility",,
"高处",79,641,"NA",,
"咖啡馆",78,642,"F&B",,
"孔雀",78,643,"Sightseeing",,
"小径",78,644,"Transportation and Accessibility",,
"展厅",78,645,"Facilities",,
"新加坡真的",78,646,"NA",,
"棒棒",78,647,"Experience",,
"眼前",78,648,"NA",,
"美的地方",78,649,"Sightseeing",,
"节庆大道",78,650,"POI/Places",,
"适合孩子",78,651,"Family/Children family/Friends",,
"全家",77,652,"Family/Children family/Friends",,
"感觉不错",77,653,"Experience",,
"耳机",77,654,"NA",,
"背景",77,655,"NA",,1
"邮箱",77,656,"Facilities",,
"S.E.",77,657,"NA",,
"一个多小时",76,658,"NA",,
"一层",76,659,"NA",,
"二楼",76,660,"NA",,
"体力",76,661,"NA",,
"印度的缩影",76,662,"Arts and Culture",,
"新达城",76,663,"Shopping",,
"昆虫",76,664,"NA",,1
"模式",76,665,"NA",,
"河流",76,666,"NA",,
"滑梯",76,667,"Activities",,
"节假日",76,668,"NA",,
"非常满意",76,669,"Experience",,
"风光",76,670,"Sightseeing",,
"出租车",75,671,"Transportation and Accessibility",,
"妈妈",75,672,"Family/Children family/Friends",,
"小盆友",75,673,"Family/Children family/Friends",,
"新加坡的国花",75,674,"Sightseeing",,
"珠海长",75,675,"NA",,
"适合亲子游",75,676,"Family/Children family/Friends",,
"酒吧街",75,677,"Transportation and Accessibility",,
"金沙空中花园",75,678,"POI/Places",,
"一番",74,679,"NA",,
"岛屿",74,680,"NA",,
"总体感觉",74,681,"Experience",,
"情侣",74,682,"Family/Children family/Friends",,
"排长队",74,683,"Transportation and Accessibility",,
"晚上的时候",74,684,"NA",,
"飞机",74,685,"Transportation and Accessibility",,
"口味",73,686,"F&B",,
"收获",73,687,"NA",,
"新加坡摩天观景轮",73,688,"POI/Places",,
"旅程",73,689,"NA",,
"老外",73,690,"NA",,
"裕廊飞禽公园",73,691,"POI/Places",,
"不值得",72,692,"Price",,
"中途",72,693,"Transportation and Accessibility",,
"外墙",72,694,"NA",,
"多年的历史",72,695,"Arts and Culture",,
"家庭",72,696,"Family/Children family/Friends",,
"折扣",72,697,"Price",,
"柜台",72,698,"Facilities",,
"牛车水原貌馆",72,699,"POI/Places",,
"珍宝",72,700,"F&B",,1
"野生动物园",72,701,"POI/Places",,
"门票价格",72,702,"Transportation and Accessibility",,
"创意",71,703,"NA",,
"原本",71,704,"NA",,
"好多人",71,705,"Transportation and Accessibility",,
"新加坡全景",71,706,"Sightseeing",,
"热带",71,707,"NA",,
"眼睛",71,708,"NA",,
"自由行",71,709,"NA",,
"路边",71,710,"NA",,
"饮料",71,711,"F&B",,
"人气",70,712,"NA",,
"印象深刻",70,713,"Experience",,1
"吃到",70,714,"F&B",,
"夜色",70,715,"NA",,
"官网",70,716,"Transportation and Accessibility",,
"对了",70,717,"NA",,
"市政厅",70,718,"POI/Places",,
"有一些",70,719,"NA",,
"海底",70,720,"NA",,
"缺点",70,721,"NA",,
"花卉",70,722,"Sightseeing",,
"野生动物",70,723,"Sightseeing",,
"香料",70,724,"F&B",,
"丹戎海滩",69,725,"POI/Places",,
"人员",69,726,"NA",,
"咖啡",69,727,"F&B",,
"实体票",69,728,"Transportation and Accessibility",,
"环节",69,729,"Activities",,
"美食街",69,730,"Transportation and Accessibility",,
"赛道",69,731,"Activities",,1
"音乐厅",69,732,"Sightseeing",,
"世界各地",68,733,"NA",,
"全英文",68,734,"NA",,
"北京",68,735,"NA",,
"夜间动物",68,736,"Sightseeing",,
"平台",68,737,"NA",,
"每个人",68,738,"NA",,
"沙捷运",68,739,"Transportation and Accessibility",,
"自来水",68,740,"Facilities",,
"饭店",68,741,"F&B",,
"世界十大",67,742,"NA",,
"中的",67,743,"NA",,
"儿童乐园",67,744,"Facilities",,1
"吊椅",67,745,"Facilities",,
"孩子特别",67,746,"Family/Children family/Friends",,
"广州长",67,747,"NA",,
"感觉很好",67,748,"Experience",,
"新加坡华人",67,749,"NA",,
"新加坡政府",67,750,"NA",,
"景色优美",67,751,"Sightseeing",,
"期间",67,752,"NA",,
"目前",67,753,"NA",,
"站在",67,754,"NA",,
"第一个",67,755,"NA",,
"线路",67,756,"Transportation and Accessibility",,
"飞禽公园",67,757,"Sightseeing",,
"马达加斯加",67,758,"Activities",,
"一路上",66,759,"NA",,
"专业",66,760,"NA",,1
"周五",66,761,"NA",,
"学生",66,762,"NA",,
"教练",66,763,"NA",,
"春节",66,764,"NA",,
"结构",66,765,"NA",,
"视觉效果",66,766,"NA",,1
"车上",66,767,"Transportation and Accessibility",,
"鞋子",66,768,"NA",,
"鱼尾狮像公园",66,769,"POI/Places",,
"丛林",65,770,"Sightseeing",,
"买买",65,771,"Shopping",,
"价格便宜",65,772,"Price",,
"传统",65,773,"Arts and Culture",,
"全景",65,774,"Sightseeing",,
"午饭",65,775,"F&B",,
"场面",65,776,"NA",,
