TEXT,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,ASPECT_CATEGORY_NAME,COVID_RELATED
建筑物,112,135,,
天坛,112,136,,
现场,110,137,,
景山公园,110,138,,
电视塔,110,139,,
几次,108,140,,
博物馆,107,141,,
再来,107,142,,
景色优美,107,143,,
第二次,107,144,,
旋转餐厅,106,145,,
上海一定,106,146,,
天堂,105,147,,
场所,104,148,,
不少,104,149,,
工作人员,104,150,,
小吃,103,151,,
去处,103,152,,
平方米,103,153,,
心情,100,154,,
空气清新,100,155,,
好汉,99,156,,
环境很好,98,157,,
日光岩,98,158,,
风格,98,159,,
站在,97,160,,
东方明珠电视塔,97,161,,
游人,96,162,,
环境不错,96,163,,
当时,96,164,,
风景优美,96,165,,
上海迪士尼乐园,96,166,,
紫禁城,96,167,,
厦门大学,96,168,,
商业街,95,169,,
路线,94,170,,
大人,94,171,,
级旅游景区,93,172,,
个小时,93,173,,
景观,93,174,,
园林,93,175,,
周边,92,176,,
刷项目,92,177,,
价比高,92,178,,
基地,92,179,,
文化,92,180,,
一天刷,92,181,,
近距离,92,182,,
上海标志性,92,183,,
后来,91,184,,
夜晚,91,185,,
大自然,91,186,,
门口,91,187,,
皇家园林,90,188,,
风光,90,189,,
主要项目基本,90,190,,
动物种类,90,191,,
下午,90,192,,
太空舱,90,193,,
人流,90,194,,
七个小矮人矿山车业快,90,195,,
照片,89,196,,
公里,89,197,,
步行,88,198,,
门票价格,87,199,,
也有,87,200,,
中心,86,201,,
玩得,86,202,,
广场,86,203,,
才能,83,204,,
早上,83,205,,
夏天,83,206,,
食物,83,207,,
两天,83,208,,
地点,82,209,,
消费,82,210,,
万国,82,211,,
票价,82,212,,
北海公园,81,213,,
总体,81,214,,
灯光,81,215,,
标志性,80,216,,
全国,80,217,,
城隍庙,80,218,,
故事,80,219,,
故宫博物院,80,220,,
条街,80,221,,
季节,80,222,,
景色不错,79,223,,
位置,79,224,,
年前,78,225,,
灵隐寺,78,226,,
北京故宫,78,227,,
实惠,78,228,,
高楼,78,229,,
武侯祠,77,230,,
区域,77,231,,
溪湿地,76,232,,
平时,76,233,,
一点,76,234,,
上海著名,76,235,,
岛上,76,236,,
面积,75,237,,
自助餐,75,238,,
假期,75,239,,
趣味性,75,240,,
过山车,74,241,,
美的地方,74,242,,
往下,74,243,,
淡季,74,244,,
总体来说,74,245,,
每天,74,246,,
详细地址,74,247,,
一整天,73,248,,
附近,73,249,,
意思,73,250,,
交通方便,73,251,,
暑假,72,252,,
天坛公园,72,253,,
儿子,72,254,,
皇帝,72,255,,
杭州西湖,71,256,,
当天,71,257,,
商品,71,258,,
好久,71,259,,
寺庙,71,260,,
小时候,70,261,,
小熊猫,70,262,,
机会,70,263,,
身份证,70,264,,
圣地,70,265,,
单位,70,266,,
苏堤,69,267,,
想再,69,268,,
适合一家人在一起,69,269,,
梦幻,69,270,,
见证,69,271,,
宝宝,69,272,,
非常适合,68,273,,
人群,68,274,,
大气,68,275,,
占地面积,68,276,,
部分,67,277,,
浦东,67,278,,
餐厅,67,279,,
下次再来,67,280,,
味道,66,281,,
样子,66,282,,
园子,66,283,,
棒棒,66,284,,
一种,65,285,,
上午,65,286,,
天安门广场,65,287,,
孩子一起,64,288,,
千岛湖,64,289,,
风景不错,64,290,,
口罩,64,291,,
了一圈,64,292,,
街道,64,293,,
多年,63,294,,
商场,63,295,,
雷峰塔,63,296,,
亮点特色,62,297,,
人气,62,298,,
地址,62,299,,
国内,62,300,,
理由,61,301,,
朋友一起,61,302,,
中国人,61,303,,
现代,61,304,,
空气,61,305,,
国宝,60,306,,
人民广场,60,307,,
人超级多,60,308,,
原来,60,309,,
极速光轮,60,310,,
八达岭长城,59,311,,
去年,59,312,,
都江堰,59,313,,
香港,59,314,,
今年,58,315,,
一路,58,316,,
外滩的夜景,58,317,,
比较好,58,318,,
景山,58,319,,
陆家嘴,58,320,,
上海滩,57,321,,
沙滩,57,322,,
店铺,57,323,,
冬天,57,324,,
不想,56,325,,
全程,56,326,,
游船,56,327,,
青城山,56,328,,
整体,56,329,,
手机,56,330,,
游人如织,56,331,,
商店,55,332,,
收费,55,333,,
人特别多,55,334,,
必要,55,335,,
世界文化遗产,55,336,,
风景很好,54,337,,
经典,54,338,,
历史陈列馆,54,339,,
明珠塔,54,340,,
南京步行街,54,341,,
家人一起,54,342,,
做好,54,343,,
园内,54,344,,
占地,54,345,,
黄浦江畔,53,346,,
热闹非凡,53,347,,
游乐场,53,348,,
不去,53,349,,
古街,53,350,,
上海市,53,351,,
大海,53,352,,
江南,53,353,,
十里洋场,53,354,,
溪湿地公园,52,355,,
好地方好,52,356,,
最近,52,357,,
一个小时,52,358,,
文物,52,359,,
设施齐全,52,360,,
长颈鹿,52,361,,
旺季,52,362,,
风景秀丽,51,363,,
趣味性强,51,364,,
童年,51,365,,
山炮台,51,366,,
天安门,51,367,,
宽窄巷子,51,368,,
球体,50,369,,
刷身份证,50,370,,
场景,50,371,,
每个,50,372,,
上海的外滩,50,373,,
见识,49,374,,
一层,49,375,,
白堤,49,376,,
女儿,48,377,,
慢慢的,48,378,,
气派,48,379,,
去处好,48,380,,
两个小时,48,381,,
湿地公园,48,382,,
大殿,48,383,,
度假区,48,384,,
夕阳,48,385,,
很满意,48,386,,
体力,48,387,,
规模,48,388,,
童话世界,48,389,,
码头,48,390,,
全世界,48,391,,
一体,47,392,,
阳光,47,393,,
一家,47,394,,
长时间,47,395,,
天气好,47,396,,
长廊,46,397,,
普陀寺,46,398,,
老人,46,399,,
船票,46,400,,
联票,46,401,,
在外滩,46,402,,
水族馆,46,403,,
公交,46,404,,
小岛,46,405,,
亲子,46,406,,
的时候人,46,407,,
场馆,46,408,,
迪斯尼,46,409,,
点赞,45,410,,
内容,45,411,,
人很少,45,412,,
路上,45,413,,
热情,45,414,,
西湖美景,45,415,,
半天,45,416,,
电影,45,417,,
就像,45,418,,
回音壁,44,419,,
大人小孩,44,420,,
古代,44,421,,
老虎,44,422,,
展览,44,423,,
熊猫宝宝,44,424,,
中午,44,425,,
上海城市历史,44,426,,
特点,44,427,,
被誉,43,428,,
塔高,43,429,,
宫殿,43,430,,
缆车,43,431,,
宝贝,42,432,,
上海人,42,433,,
迪士尼小镇,42,434,,
麻烦,42,435,,
老上海,42,436,,
历史悠久,42,437,,
气势恢宏,42,438,,
印象,42,439,,
环境好,42,440,,
一个多小时,42,441,,
好几次,42,442,,
海边,42,443,,
景色迷人,41,444,,
品种,41,445,,
大都市,41,446,,
地图,41,447,,
杜甫草堂,40,448,,
真心,40,449,,
太阳,40,450,,
厦大,40,451,,
白渡桥,40,452,,
玻璃栈道,40,453,,
好评,40,454,,
上次,40,455,,
如今,40,456,,
乐趣,40,457,,
意义,40,458,,
适合孩子,40,459,,
脚下,40,460,,
看头,40,461,,
问题,40,462,,
几个,39,463,,
公元,39,464,,
视野,39,465,,
春熙,39,466,,
停车场,39,467,,
时光,39,468,,
一年四季,39,469,,
全家,38,470,,
游戏,38,471,,
人流量,38,472,,
儿童,38,473,,
中轴线,38,474,,
块钱,38,475,,
米奇大街,38,476,,
短信,38,477,,
适合亲子游,38,478,,
海洋生物,38,479,,
神武门,38,480,,
白塔,37,481,,
疫情过后,37,482,,
南京,37,483,,
外地人,37,484,,
二维码,37,485,,
更多,37,486,,
我国,37,487,,
父母,37,488,,
昆明湖,37,489,,
情侣,37,490,,
情况,37,491,,
江南园林,37,492,,
北海,37,493,,
价格实惠,37,494,,
祖国,37,495,,
教育,37,496,,
非常满意,36,497,,
仪式,36,498,,
人类,36,499,,
项目多,36,500,,
大门,36,501,,
游乐园,36,502,,
一家人,36,503,,
象征,36,504,,
出票,36,505,,
室内过山车,36,506,,
人挤人,36,507,,
成都大熊猫,36,508,,
斑马,36,509,,
魅力,36,510,,
全国重点文物,36,511,,
上海的标志性建筑物,35,512,,
下雨天,35,513,,
上海市中心,35,514,,
年代,35,515,,
标志性建筑物,35,516,,
斋宫,35,517,,
一番风味,35,518,,
大城市,35,519,,
设备,35,520,,
公顷,35,521,,
有人,35,522,,
精华,35,523,,
几个项目,34,524,,
淡妆浓,34,525,,
大象,34,526,,
外地游客,34,527,,
浦东新区陆家嘴,34,528,,
金丝猴,34,529,,
上海的历史,34,530,,
古人的智慧,34,531,,
市区,34,532,,
种类,34,533,,
公交车,34,534,,
上海十大,34,535,,
周围,34,536,,
加勒比海盗,34,537,,
距离,34,538,,
第二个球,34,539,,
的很,34,540,,
商业,34,541,,
外滩夜景,34,542,,
环境都是,33,543,,
傍晚,33,544,,
小雨,33,545,,
童话,33,546,,
名字,33,547,,
花园,33,548,,
收获,33,549,,
桃花,33,550,,
欢乐谷,33,551,,
总体感觉,33,552,,
节目,33,553,,
地面,33,554,,
半小时,33,555,,
万春亭,32,556,,
好多人,32,557,,
浦江两岸,32,558,,
西子,32,559,,
上海的标志性文化景观,32,560,,
多米,32,561,,
塔顶,32,562,,
建筑面积,32,563,,
杜甫,32,564,,
圜丘,32,565,,
湖面,32,566,,
迪士尼度假区,32,567,,
烟花,32,568,,
每个项目,32,569,,
科学,32,570,,
竹子,32,571,,
往日,32,572,,
餐饮,32,573,,
眼前,31,574,,
一小时,31,575,,
得名,31,576,,
态度很好,31,577,,
春节,31,578,,
田峪长城,31,579,,
形式,31,580,,
历史文化,31,581,,
工作日,31,582,,
上海老,31,583,,
个多,31,584,,
一楼,31,585,,
视野开阔,31,586,,
胜地,31,587,,
时间一定,31,588,,
五星酒店一般,31,589,,
大雄宝殿,30,590,,
电视,30,591,,
级景区,30,592,,
透明玻璃,30,593,,
外国人,30,594,,
名气,30,595,,
纪念品,30,596,,
爸妈,30,597,,
梦想,30,598,,
高处,30,599,,
六和塔,30,600,,
上海东方明珠塔,30,601,,
每个人,30,602,,
事情,30,603,,
城墙,30,604,,
第二天,30,605,,
植物园,30,606,,
上海的象征,30,607,,
动物种类多,30,608,,
目前,30,609,,
上海海洋水族馆,30,610,,
过程,30,611,,
草堂,30,612,,
北京中轴线的中心,30,613,,
方式,30,614,,
上海电视塔,30,615,,
阴天,30,616,,
妈妈,29,617,,
原因,29,618,,
国庆,29,619,,
感觉不错,29,620,,
校园,29,621,,
一天时间,29,622,,
潭印月,29,623,,
明朝,29,624,,
儿童的乐园,29,625,,
家长,29,626,,
也要,29,627,,
网上买票,29,628,,
上海的东方明珠,29,629,,
历史感,29,630,,
套票,29,631,,
当年,29,632,,
好多年,29,633,,
印象深刻,29,634,,
电瓶车,28,635,,
等疫情,28,636,,
上海浦东新区,28,637,,
天圆,28,638,,
珍宝馆,28,639,,
亭台楼阁,28,640,,
一去的景点,28,641,,
年轻人,28,642,,
孔桥,28,643,,
高峰,28,644,,
天王殿,28,645,,
海风,28,646,,
楼梯,28,647,,
动物种类繁多,28,648,,
变化,28,649,,
时间长,28,650,,
后人,28,651,,
熊猫基地,28,652,,
线路,28,653,,
女朋友,28,654,,
水利工程,28,655,,
方面,28,656,,
条步行街,28,657,,
的很愉快,28,658,,
市中心,28,659,,
外地,28,660,,
趣味性好,28,661,,
来的,28,662,,
上海全景,28,663,,
氛围,27,664,,
规模最大,27,665,,
商铺,27,666,,
特色小吃,27,667,,
它的,27,668,,
外观,27,669,,
静静的,27,670,,
电子票,27,671,,
期间,27,672,,
万寿山,27,673,,
未来,27,674,,
人生,27,675,,
大学,27,676,,
那么多,27,677,,
平湖秋月,27,678,,
花港,27,679,,
国际大都市,27,680,,
地理位置优越,27,681,,
美美,27,682,,
新景观,27,683,,
目的地,26,684,,
亮点,26,685,,
上海的标志性景点,26,686,,
几天,26,687,,
好好的,26,688,,
宝藏湾,26,689,,
人民大会堂,26,690,,
马路,26,691,,
晚上的夜景,26,692,,
学生,26,693,,
中国明清两代的皇家宫殿,26,694,,
寓教于乐,26,695,,
明日世界,26,696,,
山路,26,697,,
动物世界,26,698,,
高空,26,699,,
代表性,26,700,,
一生,26,701,,
曾厝垵,26,702,,
美誉,26,703,,
菽庄花园,26,704,,
明珠,26,705,,
古人,26,706,,
中华民族,26,707,,
上海的人,26,708,,
恭王府,25,709,,
山上,25,710,,
一遍,25,711,,
全球,25,712,,
环岛路,25,713,,
万国建筑群,25,714,,
速度,25,715,,
吃到,25,716,,
满分,25,717,,
狮子,25,718,,
气势,25,719,,
景象,25,720,,
感兴趣,25,721,,
著名景点,25,722,,
两边,25,723,,
周一,25,724,,
地铁站,25,725,,
高峰期,25,726,,
国人,25,727,,
里边,25,728,,
上海市人民政府,25,729,,
不值得,24,730,,
黑天鹅,24,731,,
梦幻世界,24,732,,
来说,24,733,,
大朋友,24,734,,
工程,24,735,,
高科技,24,736,,
天安门城楼,24,737,,
小店,24,738,,
人也不多,24,739,,
望远镜,24,740,,
皇家,24,741,,
科学知识,24,742,,
残雪,24,743,,
上海历史,24,744,,
条商业街,24,745,,
雷鸣山漂流,24,746,,
三个小时,24,747,,
安检,24,748,,
湿地,24,749,,
周家村,24,750,,
城堡,24,751,,
白犀牛,24,752,,
计划,24,753,,
钟表馆,24,754,,
太和殿,24,755,,
北京一定,24,756,,
午门,24,757,,
步行区,24,758,,
北京中轴线,24,759,,
队伍,24,760,,
作用,24,761,,
大小朋友,24,762,,
孩子特别,24,763,,
国旗,24,764,,
展馆,24,765,,
山顶,24,766,,
上海中心,24,767,,
再一次,24,768,,
乾清宫,24,769,,
空气好,24,770,,
分钟,24,771,,
植物,24,772,,
自行车,24,773,,
方便,24,774,,
新年,24,775,,
清晨,23,776,,
旅游胜地,23,777,,
周围环境,23,778,,
文化底蕴,23,779,,
全长,23,780,,
成人,23,781,,
雾霾,23,782,,
效果,23,783,,
票方便,23,784,,
环境非常好,23,785,,
樱花,23,786,,
人数,23,787,,
走完,23,788,,
地区,23,789,,
住在,23,790,,
大上海的地标,23,791,,
一片,23,792,,
个人感觉,23,793,,
第三次,23,794,,
小伙伴,23,795,,
产品,23,796,,
厦门旅游,23,797,,
万里长城,23,798,,
公众号,23,799,,
街区,23,800,,
上海南京路步行街,23,801,,
超级棒,23,802,,
小朋友一起,23,803,,
经济,23,804,,
网络,23,805,,
气氛,23,806,,
气息,23,807,,
西门,23,808,,
韵味,23,809,,
中华,23,810,,
商业步行街,23,811,,
吃完,23,812,,
售票处,23,813,,
眼界,23,814,,
游轮,23,815,,
晚上的时候,23,816,,
黄浦江边,23,817,,
建筑群,23,818,,
时代,23,819,,
泰殿,22,820,,
国家首批,22,821,,
一段,22,822,,
五老峰,22,823,,
圜丘坛,22,824,,
中国首座,22,825,,
刘备,22,826,,
传说,22,827,,
关键,22,828,,
值得看,22,829,,
平时人,22,830,,
毛羚牛,22,831,,
要求,22,832,,
坤宁宫,22,833,,
环境的旅游区,22,834,,
此行,22,835,,
错峰,22,836,,
坐在,22,837,,
门票贵,22,838,,
中国大陆第一座迪士尼度假区,22,839,,
羚羊,22,840,,
上海夜景,22,841,,
那就,22,842,,
玉玲珑,22,843,,
智慧,22,844,,
陈列馆等景观,22,845,,
平台,22,846,,
旧称紫禁城,22,847,,
景美,22,848,,
遗址,22,849,,
中西,22,850,,
通道,22,851,,
人头攒动,22,852,,
人潮,22,853,,
奇想花园,22,854,,
巷子,22,855,,
顺序,21,856,,
天空,21,857,,
亚洲,21,858,,
下次一定,21,859,,
建议晚上,21,860,,
南京东路,21,861,,
体温,21,862,,
公园面积,21,863,,
黄浦滩,21,864,,
特别是夜景,21,865,,
内容丰富,21,866,,
曲院风荷,21,867,,
不用说,21,868,,
晚饭,21,869,,
习惯,21,870,,
巴士,21,871,,
特别美,21,872,,
南门,21,873,,
处处,21,874,,
高端大气上档次,21,875,,
家里,21,876,,
买买,21,877,,
八达岭,21,878,,
香火,21,879,,
心中,21,880,,
在一起,21,881,,
节假日人,21,882,,
四周,21,883,,
空间,21,884,,
食品,21,885,,
景色好,21,886,,
蓝本,21,887,,
蓝天白云,21,888,,
缺点,21,889,,
远观,21,890,,
水面,21,891,,
远处,21,892,,
上海市的地标,21,893,,
上海东方明珠,21,894,,
感觉一般,21,895,,
康熙,20,896,,
一去的好地方,20,897,,
动物多,20,898,,
园中,20,899,,
像是,20,900,,
皇穹宇,20,901,,
早晨,20,902,,
厦门鼓浪屿,20,903,,
红墙,20,904,,
拍到,20,905,,
公路,20,906,,
别名,20,907,,
老外,20,908,,
地段,20,909,,
毛病,20,910,,
艺术,20,911,,
第一天,20,912,,
故宫神,20,913,,
大小宫殿,20,914,,
夜上海,20,915,,
假山,20,916,,
游览车,20,917,,
上海欢乐,20,918,,
博览会,20,919,,
皇宫,20,920,,
上海都会,20,921,,
苏东坡,20,922,,
诸葛亮,20,923,,
故宫全景,20,924,,
景色美,20,925,,
方便 整体来说很满意,20,926,,
服务人员,20,927,,
鼓浪石,20,928,,
多座,20,929,,
完好,20,930,,
节奏,20,931,,
海洋馆,20,932,,
上海市的标志性景点,20,933,,
苏堤春晓,20,934,,
多年的历史,20,935,,
晚上的烟花,20,936,,
等一会儿,20,937,,
真心不错,20,938,,
柳浪,20,939,,
品牌,20,940,,
万余只,20,941,,
一览众,20,942,,
的人太多,20,943,,
一年,20,944,,
成年人,20,945,,
上海的美景,20,946,,
一整天 半天时间,20,947,,
平日,20,948,,
佛香阁,20,949,,
身体,20,950,,
房屋,20,951,,
上海的夜景,20,952,,
国家博物馆,20,953,,
满满的,20,954,,
价格贵,20,955,,
萌萌,20,956,,
那时候,20,957,,
这样的,19,958,,
多平方米,19,959,,
时期,19,960,,
水平,19,961,,
讲解员,19,962,,
名片,19,963,,
真想,19,964,,
北路,19,965,,
角度,19,966,,
天鹅,19,967,,
岛屿,19,968,,
金茂大厦,19,969,,
上海外滩夜景,19,970,,
上海美景,19,971,,
黄浦江两岸,19,972,,
景色真的,19,973,,
平方千米,19,974,,
一刻,19,975,,
成人票,19,976,,
好,19,977,,
天下,19,978,,
天府之国,19,979,,
时尚,19,980,,
人民英雄纪念碑,19,981,,
上海的人都会,19,982,,
这次疫情,19,983,,
原本,19,984,,
中外,19,985,,
一站式,19,986,,
室外,19,987,,
门票也不贵,19,988,,
内心,19,989,,
古建筑,19,990,,
适合小朋友,19,991,,
周围环境不错,19,992,,
好用,19,993,,
炮台,18,994,,
出票快,18,995,,
风景真的,18,996,,
好美,18,997,,
热门项目,18,998,,
了一趟,18,999,,
好好玩,18,1000,,
轮渡,18,1001,,
语音,18,1002,,
细节,18,1003,,
皇天,18,1004,,
上海市浦东新区申,18,1005,,
步行街上,18,1006,,
站在外滩,18,1007,,
趣味性高,18,1008,,
上有天堂,18,1009,,
旅行团,18,1010,,
索道,18,1011,,
环球,18,1012,,
此次,18,1013,,
杨公堤,18,1014,,
别墅,18,1015,,
小程序,18,1016,,
图片,18,1017,,
湖泊,18,1018,,
南京路上好八连,18,1019,,
济公殿,18,1020,,
湖光山色,18,1021,,
美的风景,18,1022,,
套餐,18,1023,,
细节处,18,1024,,
国内外的珍稀野生动物,18,1025,,
湖水,18,1026,,
下有苏杭,18,1027,,
浙江省杭州市,18,1028,,
年卡,18,1029,,
程网,18,1030,,
重点,18,1031,,
迪斯尼乐园,18,1032,,
态度,18,1033,,
上海的南京路,18,1034,,
空中走廊,18,1035,,
浦东新区,18,1036,,
所有的项目,18,1037,,
灯光璀璨,18,1038,,
入口,18,1039,,
节假日人太多,18,1040,,
夜景真的,18,1041,,
月亮产房,18,1042,,
憨态可掬,18,1043,,
荷花,18,1044,,
公司同事,18,1045,,
故宫真的,18,1046,,
强烈建议,18,1047,,
周日,18,1048,,
微风,18,1049,,
尝试,18,1050,,
蜡像,18,1051,,
快速通道,18,1052,,
大宫,18,1053,,
现场买票,18,1054,,
景致,18,1055,,
动物品种,18,1056,,
窗口,18,1057,,
羊驼,18,1058,,
厦门市,18,1059,,
小刀,18,1060,,
天气不好,18,1061,,
九曲桥,18,1062,,
网友,17,1063,,
注意事项,17,1064,,
心里,17,1065,,
市民,17,1066,,
名胜古迹,17,1067,,
闺蜜,17,1068,,
座位,17,1069,,
平方公里,17,1070,,
同学,17,1071,,
传统,17,1072,,
杏花,17,1073,,
怎么说,17,1074,,
景色秀丽,17,1075,,
国外,17,1076,,
人不算多,17,1077,,
布局合理,17,1078,,
公众,17,1079,,
上海著名的旅游景点,17,1080,,
上海豫园,17,1081,,
上海知名,17,1082,,
费用,17,1083,,
晴天,17,1084,,
厦门曾厝垵,17,1085,,
上海市黄浦区的黄浦江畔,17,1086,,
行人,17,1087,,
上海市地标,17,1088,,
风情,17,1089,,
感觉很好,17,1090,,
大炮,17,1091,,
物有所值,17,1092,,
精神,17,1093,,
不少知识,17,1094,,
夜色,17,1095,,
大楼,17,1096,,
中国特色,17,1097,,
空调,17,1098,,
小桥流水,17,1099,,
棒,17,1100,,
米高,17,1101,,
郑成功,17,1102,,
眼睛,17,1103,,
一览,17,1104,,
人真的,17,1105,,
点小吃,17,1106,,
往前,17,1107,,
老公,17,1108,,
北京旅游,17,1109,,
远远的,17,1110,,
成都旅游,17,1111,,
散散心,17,1112,,
周五,17,1113,,
特别是晚上,17,1114,,
三国文化,17,1115,,
一段时间,17,1116,,
四川省成都市青羊区,17,1117,,
几个小时,16,1118,,
明成祖永乐,16,1119,,
我会,16,1120,,
上有天堂下有苏杭,16,1121,,
世纪,16,1122,,
猛兽区,16,1123,,
东京迪士尼度假区,16,1124,,
时间段,16,1125,,
中国古代宫廷,16,1126,,
全球第六个迪士尼度假区,16,1127,,
环境优雅,16,1128,,
美女,16,1129,,
东华门,16,1130,,
山小,16,1131,,
郑成功纪念馆,16,1132,,
西湖边,16,1133,,
范围,16,1134,,
房子,16,1135,,
西湖美景三月天,16,1136,,
公主梦,16,1137,,
神乐,16,1138,,
风景线,16,1139,,
最初,16,1140,,
祠庙,16,1141,,
清明节,16,1142,,
一带,16,1143,,
公主的游乐园,16,1144,,
姿势,16,1145,,
物价,16,1146,,
景区门票,16,1147,,
咖啡店,16,1148,,
儿童票,16,1149,,
一开始,16,1150,,
元年,16,1151,,
金茂,16,1152,,
上海历史陈列馆,16,1153,,
中华文化,16,1154,,
小镇,16,1155,,
深潭口码头,16,1156,,
大水法,16,1157,,
电子,16,1158,,
方便交通方便,16,1159,,
汉昭烈,16,1160,,
加州迪士尼乐园度假区,16,1161,,
院子,16,1162,,
宽巷子,16,1163,,
童话故事,16,1164,,
小盆友,16,1165,,
大雾,16,1166,,
集野生动物,16,1167,,
上海市老城厢,16,1168,,
雨中,16,1169,,
圆形,16,1170,,
奥兰多华特迪士尼世界度假区,16,1171,,
场地,16,1172,,
雨天,16,1173,,
第一个球,16,1174,,
什么的,16,1175,,
站上去,16,1176,,
两小时,16,1177,,
护城河,16,1178,,
大街,16,1179,,
安仁街,16,1180,,
老少皆宜,16,1181,,
橹船,16,1182,,
全方位,16,1183,,
东晋咸,16,1184,,
栩栩如生,16,1185,,
适合小孩子,16,1186,,
谷木,16,1187,,
东西宽,16,1188,,
海棠,16,1189,,
两个,16,1190,,
主题,16,1191,,
园内人,16,1192,,
街上,16,1193,,
营业时间,16,1194,,
台阶,16,1195,,
观景,16,1196,,
窄巷子,16,1197,,
药师殿,16,1198,,
赵公堤,16,1199,,
太阳产房,16,1200,,
火烈鸟,16,1201,,
南京路上,16,1202,,
洞穴的礁石,16,1203,,
中国唯一,16,1204,,
故宫全貌,16,1205,,
美极,16,1206,,
玩具,16,1207,,
钱塘江,16,1208,,
国务院,16,1209,,
上海繁华,16,1210,,
条路,16,1211,,
经典景点,16,1212,,
工作,16,1213,,
巴黎迪士尼乐园度假区,16,1214,,
昨天,16,1215,,
不出门,16,1216,,
室内,16,1217,,
历史博物馆,16,1218,,
一家三口,16,1219,,
武汉,16,1220,,
超棒,16,1221,,
配套设施完善,16,1222,,
酒吧,16,1223,,
半个小时,16,1224,,
午饭,16,1225,,
特殊时期,16,1226,,
三面环山,16,1227,,
背景,16,1228,,
南京故宫,16,1229,,
灯光秀,16,1230,,
上海迪斯尼乐园,16,1231,,
上海的野生动物园,16,1232,,
夜幕,16,1233,,
正阳门,16,1234,,
一块两米多高,16,1235,,
上海迪斯尼度假区,16,1236,,
正式对外开放,16,1237,,
不来,16,1238,,
夜晚的外滩,16,1239,,
旅程,15,1240,,
一番滋味,15,1241,,
厦门岛,15,1242,,
时间的话,15,1243,,
疫情的原因,15,1244,,
明代嘉靖,15,1245,,
上海博物馆,15,1246,,
直接刷身份证,15,1247,,
办法,15,1248,,
卫生,15,1249,,
指挥所点春堂,15,1250,,
万物,15,1251,,
美大学,15,1252,,
情调,15,1253,,
全国各地的朋友,15,1254,,
竹林,15,1255,,
大名石,15,1256,,
基础,15,1257,,
鸟类,15,1258,,
上海市民,15,1259,,
人性化,15,1260,,
一天的时间,15,1261,,
全景,15,1262,,
树上,15,1263,,
最早,15,1264,,
远方,15,1265,,
小姐姐,15,1266,,
意境,15,1267,,
四季,15,1268,,
官网,15,1269,,
人也不,15,1270,,
之时,15,1271,,
值回票价,15,1272,,
节日,15,1273,,
跟团,15,1274,,
