POI_INDEX,REVIEW_ID,REVIEW_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY
C1-5,821,旅游是很开心滴,4,2020-04-07,位于杭州西湖之滨，比邻花港观鱼公园，目前是收费的。
C1-5,822,龙猫2018,5,2020-04-05,雪峰塔是一个古老传说的地方，站在上边可以观赏西湖的全貌
C1-5,823,Saraxz,5,2020-04-04,一直觉得，欣赏湖光的最佳时间应该是寂静无人的夜里，有临水的亭台和溶溶的月光，独上西楼，月冷风清，幽然宛如梦境。“平湖秋月”之所以和“断桥残雪”、“雷锋夕照”一样名满华夏，大概就是将这种幽情雅兴发挥到了极致，可惜我来的时节正是雨季，很难遇到这样的胜景，只能在心里意淫一下。所幸的是，误打误撞领略了西湖的另一种动人风情，烟雨中的西湖，婉约的含着一股轻愁薄怨，宛如西子捧心，倾国倾城。
C1-5,824,林66同学,0,2020-04-04,探店日记‖藏在西湖边の仙境小店 TateIsland泰特岛 ，好看好吃也好拍，美翻！偶然发现的这家店，在核心景区雷峰塔附近，但坐拥西湖的同时仍然保留一定的私密空间。杭师大美术学院、丝绸博物馆和浙江美术馆就在附近把它包围，泰特岛本身也是简约的美术馆风格。 【探店攻略】 店名:泰特岛Tate Island 详细地址：西湖区阔石板路180号 特别注意：一定要记得至少提前1天预约哦，另外它的用餐区域有室外小院子里/一楼和二楼室内都有，天气好的话室外位置很抢手，预约の时候可以特别备注留位 人均消费：80元左右，简餐/甜点/饮品都有 推荐菜品：西班牙火腿班尼蛋/菠萝炒饭/芋头蛋糕/樱花拿铁，班尼蛋和芋头蛋糕让我念念不忘 餐厅环境：环境是真的很美啦，图2是他们开放式的厨房。二楼还有古着类的服饰和包包之类的，纯白色的楼梯也很适合出片。三楼偶尔会有小展览。 哇！真的超级推荐！对于像我这种出来玩一定要出片又是吃货的人来说太棒了 TateIsland泰特岛
C1-5,825,一路游来快乐伴随,5,2020-04-03,西湖的景色美，雷峰塔的传说美，所以必来打卡。不能进楼参观，遗憾。
C1-5,826,买牛奶的猪,5,2020-04-01,登上雷峰塔望西湖的景色，真的是太美太美了！第一次舍不得离开，想一直待下去的感觉！已经去过两次雷峰塔，在雷峰塔上看景色每一次都有不一样的体会！这一次是水天一色的情景！
C1-5,827,King-Box3,5,2020-03-30,特别好，风景很美，值得一去。除了堵之外，其他都很好。
C1-5,828,肥肥安大王,4,2020-03-29,雷峰新塔选在原塔址重建，并覆盖整个遗址，是遗址文物保护罩与塔结合一体的风景名胜建筑。塔的内部承重结构采用现代钢桁结构，创造内部宽敞的大空间，内设电梯、步行梯。副阶内底层下是雷峰塔遗址，底层设遗址玻璃防护罩，站在底层可直接观看遗址。 门票：40元（5月1日前，免费预约入园登塔） 开放时间：10:00-16:30 地址：杭州市西湖区南山路15号 公交：4、315、52、中意1314路、西湖内环线、西湖外环线、数字旅游2号线「净寺」站；4、4路区间、31、31B、87路「长桥」站；12、42、124、133路「阔石板」站。 停车费：10元/小时
C1-5,829,爱睡觉的猪01,5,2020-03-29,雷峰塔这边景色其实还是不错，站在上面整个能俯瞰整个西湖或湖中间的小岛什么的，都还是真的挺有看头的，就想啊，这西湖里面到底有多少鱼啊，看着真挺不错。
C1-5,830,288****887,5,2020-03-28,雷峰塔是重建的，但是从上到下俯瞰整个西湖还是很美
C1-5,831,xwbwx,4,2020-03-28,门票贵，还不能刷市民卡和公园卡，里面除了一堆黄土说是遗址，其他跟雷峰塔没啥关系，如果是冲雷峰塔去就算了，塔上风景倒是不错，西湖美景！
C1-5,832,_YX1****729,5,2020-03-27,在这里流传着一个美丽的神话故事，也吸引了众多的游客前来游玩，有的人可能想印证一下是否真的有白蛇被压在下面。
C1-5,833,轻快的行走脚步,5,2020-03-26,杭州西湖风景区的雷峰塔非常有名。这里是现代化的塔，有电梯直达塔顶，在塔顶可以俯瞰西湖全貌！雷峰塔内部有展览馆，可以值得参观！
C1-5,834,轻快的行走脚步,5,2020-03-24,雷峰塔是西湖风景区非常有名的景点！雷峰塔是新建的塔，旧塔遗址就在新塔内，电梯直达塔顶，这里视野开阔，是欣赏西湖全貌的好地方！
C1-5,835,闲来有趣,5,2020-03-22,雷峰夕照为西湖十景之一，因晚霞镀塔，佛光普照而闻名。所在的小山就叫做夕照山。因白娘子和法海的传说名声远扬。后来塔倒了，今雷峰塔为2000年重建，重建时在老塔基下发现大量佛教宝贝。 宋朝杨万里有诗云:日日南高峰，知我登小楼。笑回紫翠面，擎献新鲜秋。独将诗魂去，恣绕月胁游。得句寄与渠，月姊不敢搜。绝顶珥琼笔，仰空书银钩。今晨招不来，开窗得孤愁。折简呼屏翳，能为追亡不。
C1-5,836,288****887,5,2020-03-20,怎么说呢，原雷峰塔现在就剩个小土坡，在它基础上重建了现在这个，比较现代化了，在塔顶基本可以俯瞰整个西湖全貌，这点是很值得赞扬的。
C1-5,837,hpzhyj,4,2020-03-12,单体还是不错的，就是感觉和西湖不协调
C1-5,838,汽水八角鱼,5,2020-03-09,服务态度很好，游玩的很开心
C1-5,839,_WeCh****285589,4,2020-03-08,雷峰塔又叫皇妃塔，是追谥吴越忠懿王夫人孙氏而命名皇始塔。后因所在的山叫雷峰，所以称雷峰塔。最出名的是白蛇传中雷峰塔镇压白素贞，是西湖十景之一。
C1-5,840,grobb,4,2020-03-05,西湖边的雷峰塔，可以连在一起玩
C1-5,841,囧囧有神5685,4,2020-03-03,是2003年翻建的，但是总的来说它的历史底蕴比较深厚，还是值得去看一下。雷峰塔又名皇妃塔、西关砖塔，位于浙江省会杭州市西湖风景区南岸夕照山的雷峰上。雷峰塔初建于公元977年，是吴越忠懿王钱弘俶为供奉佛螺髻发舍利而建。因塔成之时恰逢北宋追谥钱弘俶逝去不久的夫人孙氏为“皇妃”，所以命名为“皇妃塔”。后来，因其所在的山峰叫“雷峰”，而逐渐被人们称为“雷峰塔”。中国民间故事《白蛇传》中，法海和尚骗许仙至金山，白娘子水漫金山救许仙，被法海镇在雷峰塔下。后小青苦练法力，终于打败了法海，雷峰塔倒塌，白素贞获救。旧雷峰塔于1924年倒塌，后重建，新建的雷峰塔为中国首座彩色铜雕宝塔。雷峰夕照为西湖十景之一是杭州市西湖著名旅游景点之一。
C1-5,842,埃尔滕司马颖,5,2020-03-03,白蛇传中赫赫有名的“雷峰塔”， 这里不仅有独特的景观，还有深厚的佛文化和新颖的建筑特色，是初游杭州的必打卡地，非常值得一看。
C1-5,843,居士9466,5,2020-03-02,神话故事，电视剧主题，必须去看看，。
C1-5,844,菜菜八,2,2020-03-02,雷峰塔都是新zhao的，推荐爬去保淑塔
C1-5,845,sxl****ss,4,2020-03-02,西湖边，去西湖应该都会去转转吧！
C1-5,846,1361130****,4,2020-03-01,雷峰塔是由吴越国王钱俶为祈求国泰民安而于北宋太平兴国二年（公元977年）在西湖南岸夕照山上建造的佛塔。清朝末年到民国初期，民间盛传雷峰塔砖具有“辟邪”、“宜男”、“利蚕”的特异功能，因而屡屡遭到盗挖，1924年9月25日，年久失修的雷峰塔砖塔身终于轰然坍塌。2002年10月25日，雷峰塔重建竣工正式落成。雷峰塔作为西湖南线的制高点，极目四眺，碧波荡漾的西湖、秀美端庄的汪庄、初见轮廓的南线新景点、绿意葱笼的湖心三岛一览无余。
C1-5,847,蓝色之梦2816,5,2020-02-28,有历史文化的地方，应该好好保护
C1-5,848,_WeCh****689258,5,2020-02-28,不错 总体感觉还是很好的 还有电梯 总体是不错的 第一次来！
C1-5,849,_WeCh****689258,5,2020-02-28,不错。还有电梯
C1-5,850,游走在地上的鱼,5,2020-02-28,这里的环境很优美的，假期到这里放松一下是最好的！
C1-5,851,_WeCh****242253,5,2020-02-28,身临情景就会有画面感，白蛇许仙小青的故事！
C1-5,852,码头1,5,2020-02-27,雷峰塔高高耸立，下面的白蛇娘子只是传说，
C1-5,853,小兔的旅行日记,5,2020-02-24,雷峰塔是西湖的标志景点，来西湖不能错过的就是雷峰塔。原建造在夕照山峰上，但民间因塔在雷峰之上，所以称为雷峰塔。雷峰塔，重檐飞栋 ，窗户洞达，非常壮观。西湖周围都是都茂盛翠绿的树木，夏夜在湖边树下散步，晚风吹拂，让人幸福万分。雷峰西照为西湖十景之一，特别美，让人流连忘返。
C1-5,854,顾弋丶,0,2020-02-24,雷峰塔又名皇妃塔，又称西关砖塔。在西湖南岸夕照山的雷峰上，南屏山日慧峰下净慈寺前。雷峰塔为吴越国王钱俶因黄妃得子建，初名“皇妃塔”因地建于雷峰，后人改称“雷峰塔”。在汉族民间故事《白蛇传》中，法海和尚骗许仙至金山，白娘子水漫金山救许仙，被法海镇在雷峰塔下。后其子祭塔，雷峰塔倒塌，终遇救。旧雷峰塔已于1924年倒塌，现已重建。新建的雷峰塔为中国铜领域第一人朱炳仁担纲铜总工艺师，使这座塔成为了中国首座彩色铜雕宝塔。
C1-5,855,天樾龙门,5,2020-02-23,美丽的传说，美丽的西湖，美丽的幻想，登塔许个美丽的愿望吧！
C1-5,856,139****7735,5,2020-02-23,非常非常的好玩
C1-5,857,kentyangor,5,2020-02-18,白娘子和许仙的爱情传说，让人不由得来到这里一探究竟
C1-5,858,xwbwx,3,2020-02-15,周边景色还是可以的，就是雷峰塔本身不好玩，门票贵，还不能使用市民卡
C1-5,859,e08****68,5,2020-02-13,老塔早已坍塌，新塔很雄伟，在西湖南岸，夜景更美丽
C1-5,860,_WeCh****19053,5,2020-02-12,值得一看，还能看到三潭映月
C1-5,861,爱睡觉的猪01,5,2020-02-12,雷峰塔呢，其实周边没有什么特别玩的啊，下面有个白娘子啊，上面一个大电梯，总体感觉就这么回事吧，孩子不是特别喜欢，嗯，我对这个景点也稍微打个小问号。
C1-5,862,幸运的小老鼠,4,2020-02-11,雷峰塔是西湖有名的景点了，现在的雷峰塔是新建的，趣味性不高，但是第一次来杭州的可以去看看
C1-5,863,D10****902,3,2020-02-11,杭州雷锋塔是后修的，西湖边南山路上，离花港观鱼不远，在塔下看看就可以了，没必要进去。
C1-5,864,M49****629,5,2020-02-10,雷峰塔景区，就是位于大名鼎鼎的西湖风景名胜区之内。这边的景色真的太美了，而雷峰塔也是源于白娘娘的传说，整个风景区值得好好逛逛。
C1-5,865,_WeCh****29272,5,2020-02-08,好的地方，还会再去，好评
C1-5,866,Allsuccess,5,2020-02-07,雷峰塔上边有一个大型木雕——讲述雷峰塔和白娘子许仙的故事。做得非常精美，强烈推荐去看一下。
C1-5,867,鲁兰,5,2020-02-07,方便、整体挺好
C1-5,868,牛奶海,4,2020-02-06,冬日里抽空又去次雷峰塔景区，由于时间的问题，并没有上到塔顶，而是在外围拍了几张，今年冬日里的雷峰塔游客比较少，因而显现出了一点佛系的宁静。
C1-5,869,juli****uan16,5,2020-02-05,一次不错的旅行
C1-5,870,182****5377,5,2020-02-05,不虚此行！
C1-5,871,乌伤狂徒,5,2020-02-04,去西湖玩就要去的人几个景点之一感觉还不错
C1-5,872,M57****637,5,2020-02-03,门票便宜，累了可以在塔下面咖啡厅休息
C1-5,873,M15****658,5,2020-01-31,还行吧，很好
C1-5,874,_cft0****3104,5,2020-01-31,雷峰塔虽然是后建的，感觉也是很好，可以看见西湖
C1-5,875,cheng-pla,5,2020-01-29,半座塔，也是新的，成就一个景区
C1-5,876,M19****082,4,2020-01-27,鲁迅写了一篇文章叫《论雷峰塔的倒掉》，用隐语代表了对某些事情的看法。 【景色】 【趣味】 【性价比】
C1-5,877,灰狼,4,2020-01-26,游船码头离雷峰塔较远，步行差不多15-20分钟，游船仅到中心岛往返，时间较短，中心岛环境挺好的，整体还不错，游船时间长点就更好了。
C1-5,878,奥利奥和阿福,4,2020-01-24,还是小时候从电视剧新白娘子传奇里面看到这个的，不错哦。大爱西湖
C1-5,879,62****183,5,2020-01-24,平时值得一游，避开高峰
C1-5,880,185****1609,4,2020-01-24,去玩的话应该提前一日买票避免重复路线。如今的雷峰塔好像是倒乐两次重新建的。相对比较新而且还有电梯方便行动不便的游客。。。
