"","Chinese_name","English_name","open_time","phone_number","website","introduction","address","review_number","review_keywords"
"10","Candylicious(圣淘沙店)","Candylicious","","+65-66862100","","","新加坡圣淘沙关口26圣淘沙名胜世界#01-225-230(近环球影城)","760.0","有图 (354条)好评（655条）中评（99条）差评（6条）圣淘沙环球影城（94人提及）有很多糖果（72人提及）价格不便（29人提及）号称亚洲（28人提及）适合拍照（14人提及）金牌点评 (4条)"
"11","新加坡植物园","Singapore Botanic Gardens","['05:00-次日00:00,08:30-19:00(国家兰花园),08:00-19:00(雅各布巴拉斯儿童花园),05:00-19:30(治疗花园),09:00-18:00(SBG文化博物馆/CDL绿色画廊/民族植物学中心),09:00-17:00(植物学和园艺图书馆) (1月1日-12月31日 周一-周日)', '\ntips:', '\n各小景点休息日有所不同，详情参考官网', '展开全部>']","","https://www.nparks.gov.sg/sbg","['\n                        ·紧邻市中心，十分钟车程就能从乌节闹区进入植物园，是新加坡的缩影。', '\n·以研究和收集热带植物、园艺花卉而著称，有天然原始森林和特色花园。', '\n·其中国家胡姬园有许多胡姬花和珍奇的中南美洲凤梨科植物。', '\n·游客可到公园里的高级法国餐厅，在绿荫下享受全城数一数二的法国佳肴。\xa0\n                    ']","1 Cluny Rd, Singapore 259569","640.0","有图 (307条)好评（587条）中评（44条）差评（9条）值得去（41人提及）逛一天（15人提及）交通方便（12人提及）人很多（10人提及）适合小朋友（8人提及）金牌点评 (6条)"
"12","夜间野生动物园","Night Safari","['19:15-次日00:00；停止入场时间:23:15 (1月1日-12月31日 周一-周日)', '\ntips:', '\n入场时段为19:15, 20:15, 21:15, 22:15']","","https://www.wrs.com.sg/en/night-safari/","['\n                        ·世界上第一个专为夜间动物而设立的野生动物园，园区内居住着超过2500只动物。', '\n·可乘坐游览车，穿梭于世界7个不同地理区域，从崎岖的喜马拉雅山麓到亚洲河区森林的沼泽河岸。', '\n·游览车无法到达的地方，游客可徒步在雨林中蜿蜒的步行道上，与花豹、渔猫、马来大狐蝠、沙袋鼠等近距离接触。', '\n·露天圆型剧场里可以看表演，有婆罗洲土著部落表演，勇猛的战士展现出令人瞪目结舌的喷火技能。', '\n·《夜晚的精灵》是动物的互动表演，以娱乐方式配合舞台灯光呈现夜间动物特有的自然习性。\xa0\n                    ']","80 Mandai Lake Rd, Singapore 729826","1077.0","有图 (370条)好评（876条）中评（159条）差评（42条）动物表演（145人提及）人很多（57人提及）7点开门（43人提及）不能开闪光灯（33人提及）值得去（27人提及）金牌点评 (32条)"
"13","滨海湾","Marina Bay","['全天', '\n', '\n']","","","['\n                        ·新加坡的地标之一，也是新加坡最繁华的地区，设计规划非常整洁美丽，夜景尤为绚丽。', '\n·著名的金沙酒店、滨海湾花园、鱼尾狮公园、大榴莲、飞行者摩天轮等都分布在这一带。', '\n·这里白天视野开阔，晚上灯火辉煌。可以环绕整个滨海湾走一走，看看从白到黑的景色变化。\n                    ']","Marina Boulevard, Singapore 018980, Singapore","1181.0","有图 (430条)好评（1103条）中评（69条）差评（9条）新加坡地标（132人提及）值得去（29人提及）人很多（27人提及）适合拍照（10人提及）有餐厅（8人提及）金牌点评 (10条)"
"14","巴拉湾海滩","Palawan Beach","['全天', '\n', '\n']","","https://www.sentosa.com.sg/explore/beaches/palawan-beach","['\n                        ·位于圣淘沙岛南侧，在西乐索海滩和丹戎海滩之间。', '\n·吸引力在于它的地理位置和舒适的沙滩，海面有连接一方小岛的吊桥。', '\n·是亚洲大陆的最南端，亚洲最接近赤道的地方，可以看到美丽的夕阳。\xa0\n                    ']","Palawan Beach Sentosa Island, Singapore 099981","347.0","有图 (214条)好评（323条）中评（21条）差评（3条）适合家庭（12人提及）玩半天（7人提及）值得去（5人提及）圣淘沙岛边（3人提及）尽收眼底（3人提及）金牌点评 (2条)"
"15","圣安德烈教堂","St. Andrew's Cathedral","['09:00-16:30；停止入场时间:16:00 (1月1日-12月31日 周一-周三,周五)15:00-16:30；停止入场时间:16:00 (1月1日-12月31日 周四)不对外开放 (1月1日-12月31日 周六-周日)', '\ntips:', '\n· 周六仅接待10人以上团体入内参观', '\n· 周日不对外开放', '\n· 公众假期不对外开放', '展开全部>']","","https://cathedral.org.sg/","['\n                        ·一座洁白的歌特式教堂，洁白亮丽的外墙是圣安德烈教堂最傲人的特点之一。', '\n·建造教堂的初衷是为了给英国的侨民一个做崇拜的圣殿，后来渐渐转变为向本地各民族居民传播福音。', '\n·现在圣安德烈座堂已经成为新加坡地区最有宗教影响的教堂之一，也是新加坡最大的教堂。\n                    ']","11 St Andrew's Rd, 178959,Singapore","668.0","有图 (404条)好评（577条）中评（86条）差评（5条）哥特式建筑（38人提及）交通方便（16人提及）值得去（7人提及）适合拍照（7人提及）下午5点关门（4人提及）金牌点评 (4条)"
"16","哈芝巷","Haji Lane","","","http://www.singapore-guide.com/singapore-shopping/5-stores-on-haji-lane.htm","['\n                        哈芝巷曾经是一条两旁矗立着战前房屋的空荡街道，如今大批本土设计师和年轻创业者的进驻已使这条旧巷重获新生。', '\n现在，哈芝巷内墙壁上的涂鸦使得整个街道透露出艺术区的风格，是许多旅客和当地人的比打卡之地。', '\n蜂蜂可以在这里找到古着服饰、限量出售的家居饰品等等，也能抽出时间在这儿慢慢的享受下午茶。\n                    ']","Haji Lane, Singapore","604.0","有图 (391条)好评（503条）中评（96条）差评（5条）适合拍照（54人提及）人很多（15人提及）网红打卡（10人提及）离小印度很近（9人提及）打卡地（8人提及）金牌点评 (4条)"
"17","新加坡国家博物馆","National Museum of Singapore","['10:00-18:00(新加坡历史展馆),10:00-20:00(新加坡生活展馆)；停止入场时间:17:30,19:30 (1月1日-12月31日 周一-周日)', '\n']","","https://www.visitsingapore.com.cn/see-do-singapore/history/history-museums/national-museum-of-singapore/","['\n                        ·坐落于城市中心位置，以其浓厚的新古典主义建筑风格成为博物馆中的佼佼者。', '\n·内有6个永久性陈列馆，主要展现14世纪以来新加坡的生活及风俗习惯的演变过程，特别是华人早期移民的生活。', '\n·还有历史馆和4间生活文化馆，和传统美食、时尚潮流、摄影技术和电影戏剧4个主题，它们从各个角度呈现今天新加坡民众的生活。\xa0', '\n·馆内提供电子音频视频向导，里面会详细介绍每个展品，还会有不定期导游。\n                    ']","93 Stamford Road, Singapore 178897, Singapore","381.0","有图 (196条)好评（321条）中评（51条）差评（9条）强烈推荐（21人提及）有中文讲解（14人提及）逛半天（5人提及）适合小朋友（5人提及）交通方便（5人提及）金牌点评 (7条)"
"18","圣淘沙名胜世界","Resorts World Sentosa","['全天 (1月1日-12月31日 周一-周日)', '\ntips:', '\n景点、餐厅等营业时间各不相同，具体请参照官网']","","http://www.rwsentosa.com.cn/","['\n                        圣淘沙名胜世界集食住行游购娱于一身，是世界级综合度假胜地和新加坡首屈一指的顶级综合娱乐城。它由云顶新加坡耗资70亿新元（约350 亿元人民币）兴建，占地49万平方米，位于圣淘沙岛上的黄金地段，拥有诸多世界级的游乐景点。不仅如此，圣淘沙名胜世界更拥有六家风格迥异的奢华酒店，总客房数超过1500间，新加坡最大型的水疗度假村ESPA圣淘沙名胜世界亦坐落于此，大型宴会厅和多个会议中心可同时接待 1.2万宾客，充分满足度假及商旅人士的全面需求。这里常年风景秀美，气候宜人，建筑与自然达到了一种共生共荣的和谐状态，使所有到此休闲度假的宾客都能获得一份“结庐在人境，而无车马喧”的悠然心境。除此之外，作为新加坡汇集最多米其林星的美食胜地，圣淘沙名胜世界力邀世界顶级名厨，源源不断地为宾客奉上不同风味的饕餮盛宴。\n                    ']","新加坡圣淘沙岛","302.0","有图 (103条)好评（285条）中评（17条）值得去（13人提及）玩一天（13人提及）适合家庭（9人提及）有小吃（8人提及）人很多（4人提及）金牌点评 (3条)"
"19","甘榜格南","Kampong Glam","['全天', '\n', '\n']","","https://www.visitsingapore.com/see-do-singapore/places-to-see/kampong-glam/?TAHotelCode=125","['\n                        ·是新加坡穆斯林的聚居区，是感受马来文化和伊斯兰文化的好地方。', '\n·整个区域有着美轮美奂的建筑、异国情调的商店和可口精致的美食，还有时尚新潮的小巷子。', '\n·斋月期间，周边到处都是小吃摊位和文化表演，晚上的节日氛围更令人沉浸。\n                    ']","Kampong Glam, Singapore","183.0","有图 (111条)好评（165条）中评（18条）适合拍照（9人提及）哈芝巷附近（5人提及）人很多（4人提及）值得来（4人提及）有饭馆（3人提及）金牌点评 (1条)"
"20","新加坡动物园","Singapore Zoo","['08:30-18:00；停止售票时间:17:30 (1月1日-12月31日 周一-周日)', '\n']","","https://www.wrs.com.sg/en/singapore-zoo/","['\n                        ·占地28.3公顷，采用全开放式的模式，园区内以天然屏障代替栅栏，为各种动物创造天然的生活环境。', '\n·有超过3,600种鸟兽，其中不乏濒危物种，如白犀牛、科莫多巨蜥、孟加拉白虎、人猿等。', '\n·动物园还安排有骑乘、露营、与动物共餐及合影等互动式特色项目。\n                    ']","80 Mandai Lake Rd, Singapore 729826","1357.0","有图 (697条)好评（1251条）中评（90条）差评（16条）动物表演（215人提及）适合小朋友（73人提及）值得去（52人提及）玩一天（49人提及）有餐厅（17人提及）金牌点评 (44条)"
"21","裕廊飞禽公园","Jurong Bird Park","['08:30-18:00；停止售票时间:17:30 (1月1日-12月31日 周一-周日)', '\n']","","http://www.wrs.com.sg/en/jurong-bird-park.html?cmp=www|mp|awa|trt|visit_website|ta||listing|&utm_campaign=trt&utm_medium=visit_website&utm_source=ta&","['\n                        裕廊飞禽公园坐落在裕廊山上，这里最大的看点莫过于东南亚珍禽屋，可以模仿热带雨林生态环境，每天中午都会下一场雷阵雨，在这里可以见到东南亚地区几乎所有的珍禽和濒临绝种的鸟类。\n                    ']","2 Jurong HillSingapore 628925","295.0","有图 (132条)好评（261条）中评（29条）差评（5条）鹦鹉表演（25人提及）适合小朋友（17人提及）值得去（9人提及）交通方便（8人提及）玩一天（6人提及）金牌点评 (8条)"
"22","河川生态园","River Safari","['09:00-19:00；停止入场时间:18:00 (1月1日-12月31日 周一-周日)', '\ntips:', '\n具体请以景区公示为准']","","http://www.riversafari.com.sg/","['\n                        ·河川生态园是亚洲首个也是唯一一个以河川为主题的野生动物园，园内拥有 5,000 个海洋、陆地生物，种类达 300 多种。', '\n·游览八大淡水栖息地，与巨型动物面对面，如巨型水獭、娃娃鱼以及湄公河巨鲶。', '\n·漫步淡水画廊，在河川动物栖息地展览中了解独特的野生动物世界。\n                    ']","80 Mandai Lake RoadSingapore 729826","165.0","有图 (82条)好评（148条）中评（17条）适合小孩（8人提及）新加坡动物园旁边（5人提及）有小吃（5人提及）强烈推荐（4人提及）需要预约（3人提及）"
"23","滨海湾金沙艺术科学博物馆","ArtScience Museum","['10:00-19:00；停止入场时间:18:00 (1月1日-12月31日 周一-周日)', '\n']","","http://www.marinabaysands.com/ArtScienceMuseum","['\n                        这个独特的博物馆幸如一朵莲花，展示着它对访客的欢迎，是新加坡举办世界著名展品大型国际巡回展览的最佳地点，在这里走入时光隧道，在13个艺廊重温泰坦尼克号的经典传奇。\n                    ']","6 Bayfront Ave, New Delhi 018974","206.0","有图 (92条)好评（181条）中评（25条）适合小朋友（16人提及）新加坡地标（11人提及）玩两个小时（4人提及）新加坡河边（3人提及）值得来（3人提及）金牌点评 (2条)"
"24","新加坡南洋理工大学","Nanyang Technological University","['全天 (1月1日-12月31日 周一-周日)', '\n']","","http://www.ntu.edu.sg/Pages/home.aspx","['\n                        南洋理工大学，英文Nanyang Technological University，缩写为NTU，简称“南大” ，是一所享誉国际，位列全球大学50强的高等教育学府，是国际商学院联合会AACSB International认证的大学，为全球科技大学联盟成员和创始校。1991年，南洋理工学院进行重组，正式将国立教育学院纳入旗下，更名为南洋理工大学。校园被誉为世界最美丽的大学校园之一，它为教授提供自由教学和研究的最好环境。它是全世界最出色的工程学府之一，在纳米材料、生物材料、功能性陶瓷和高分子材料等许多领域的研究。\n                    ']","50 Nanyang AveSingapore 639798","155.0","有图 (60条)好评（143条）中评（11条）差评（1条）离市区远（6人提及）标志性建筑（3人提及）人挺多（2人提及）值得来（2人提及）有餐厅（2人提及）金牌点评 (3条)"
"25","云雾林","Cloud Forest","['09:00-21:00；停止售票时间:20:00；停止入场时间:20:30 (1月1日-12月31日 周一-周日)', '\n']","","http://www.gardensbythebay.com.sg/en/the-gardens/attractions/cloud-forest.html","","18 Marina Gardens Dr, Singapore 018953","235.0","有图 (146条)好评（231条）中评（4条）恐高（10人提及）值得去（6人提及）花穹出口（5人提及）人很多（4人提及）适合凹造型（2人提及）金牌点评 (4条)"
"26","新加坡国立大学","National University of Singapore","['全天 (1月1日-12月31日 周一-周日)', '\n']","","http://www.nus.edu.sg/","['\n                        新加坡国立大学主校园位于肯特岗（Kent Ridge），位于新加坡西南部，离市中心12公里，距东郊樟宜机场（Changi Airport）30分钟车程。\n                    ']","21 Lower Kent Ridge RdSingapore 119077","188.0","有图 (71条)好评（164条）中评（21条）差评（3条）交通方便（3人提及）离市中心远（3人提及）值得去（2人提及）人很多（1人提及）玩一天（1人提及）金牌点评 (3条)"
"27","金沙天空公园","Sands Sky Park","['09:30-22:00 (1月1日-12月31日 周一-周四)09:30-23:00 (1月1日-12月31日 周五-周日)', '\n']","","https://zh.marinabaysands.com/sands-skypark.html","['\n                        ·位于号称当今世上最昂贵的酒店——金沙酒店顶层，可以俯瞰新加坡的城市景观。', '\n·举目远眺，无论明媚阳光下的碧蓝海水，还是静谧夜空下的Spectra水幕灯光秀的盛景，高空观景台是很好的观景台。', '\n·来到新加坡，登上高耸入云的金沙空中花园观景台，俯瞰新加坡最美的风景，才算不虚此行。', '\n·周边还有饮料小吃，一边吃美食，一边欣赏美景，体验一次非常惬意。', '\n·天空公园和无边泳池是分开的，花园买票即可观景。\n                    ']","10 Bayfront Ave, Singapore 018956","204.0","有图 (110条)好评（188条）中评（14条）差评（2条）尽收眼底（13人提及）标志性建筑（6人提及）值得去（5人提及）有小吃（4人提及）人超级多（3人提及）金牌点评 (8条)"
"28","马里安曼兴都庙","Sri Mariamman Temple","['09:00-17:00 (1月1日-12月31日 周一-周六)09:45-17:00 (1月1日-12月31日 周三)09:00-13:30 (1月1日-12月31日 周日)', '\n']","","http://www.smt.org.sg/","['\n                        ·马里安曼兴都庙是新加坡最古老的兴都庙，专门供奉驱逐霍乱、瘟疫等传染病的马里安曼女神。', '\n·此庙不仅是朝拜圣地，在殖民地时代，这里也是举办社区活动的重要场所。当年马里安曼兴都庙甚至还是兴都教的婚姻注册局，因为当时只有这座庙才有权主持兴都教徒的婚礼。', '\n·兴度庙塔共六层，放置了神灵、神兽和其他神物的雕像。蜂蜂还能看到身穿英国统治时期暗绿色军装的印度士兵。庙门入口是高耸的塔楼，雕刻着数不尽的印度神明，是标准的南印度庙建筑风格。\n                    ']","244 South Bridge Rd,Singapore 058793","606.0","有图 (258条)好评（439条）中评（149条）差评（18条）印度教寺庙（52人提及）牛车水附近（29人提及）不能拍照（16人提及）人很多（12人提及）小印度边（5人提及）金牌点评 (2条)"
"29","新加坡国家美术馆","National Gallery Singapore","['10:00-21:00 (1月1日-12月31日 周五)', '\n10:00-19:00 (1月1日-12月31日 周六-周四)', '\n']","","http://www.nationalgallery.sg","['\n                        国家美术馆是由新加坡两座深具代表性的重要历史建筑——政府大厦和前最高法院改建而成，志在成为将新加坡、东南亚地区及世界各地的美术接轨，并持续鼓舞和启发群众的顶尖视觉艺术机构。', '\n馆内典藏了多件新加坡及东南亚的美术作品，集中展示从19世纪至今的新加坡及东南亚艺术，呈现新加坡和区域文化的社会，经济和政治的历史。\n                    ']","1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957, Singapore","102.0","有图 (80条)好评（96条）中评（5条）差评（1条）玩半天（7人提及）值得去（6人提及）适合小朋友（5人提及）适合拍照（4人提及）新加坡代表（4人提及）金牌点评 (5条)"
"30","双螺旋桥","Helix Bridge","['全天', '\n', '\n']","","","['\n                        ·位于新加坡滨海湾新市区，是世界上首座曲线桥，2010年4月24日通行。', '\n·全桥有长280米的步行通道，结构非常精密，很类似人体的DNA结构。', '\n·大桥有5座观景平台，位置十分优越，是水上运动和烟花表演的最佳观景台。', '\n·双螺旋的形式象征了“生生不息”、“复兴”、“永远繁荣”、“成长”。\n                    ']","Linking between Marina Bay and Marina Centre, Singapore 038981, Singapore","466.0","有图 (199条)好评（399条）中评（65条）差评（2条）夜景很美（17人提及）滨海湾边（8人提及）烟花表演（6人提及）适合拍照（6人提及）人很多（3人提及）金牌点评 (5条)"
"31","苏丹回教堂","Masjid Sultan","['周一-周四、周六-周日10:00-12:00，14:00-16:00；周五14:30-16:00。']","","http://sultanmosque.sg/","['\n                        苏丹回教堂（Masjid Sultan）位于新加坡甘榜格南区的马斯喀特街与桥北路，是新加坡最重要的清真寺之一。', '\n到20世纪初，新加坡已成为一个伊斯兰商业、文化和艺术中心。由于伊斯兰社区发展迅速，苏丹回教堂很快变得太小。1924年，清真寺建立一百周年，批准了一项计划，建立一座新的清真寺。1928年完成。老清真寺也陷入失修状态。', '\n苏丹回教堂自建成以来一直基本保持不变，只有在20世纪60年代进行维修。1975年3月14日列为新加坡国家古迹。\n                    ']","3 Muscat Street 新加坡","328.0","有图 (193条)好评（287条）中评（39条）差评（2条）标志性建筑（9人提及）哈芝巷附近（9人提及）阿拉伯街附近（8人提及）有餐厅（4人提及）适合拍照（4人提及）金牌点评 (3条)"
"32","海豚园","Dolphin Island","['10:00-18:00 (1月1日-12月31日 周一-周日)', '\n']","","http://www.rwsentosa.com.cn/Tour-DolphinIsland","['\n                        ·坐落于水上探险乐园，栖息着可爱的印度太平洋樽鼻海豚，由 11个泻湖连成一体。', '\n·项目都经过巧思设计，能与海豚近距离互动交流，打造专属的难忘体验。', '\n·培训员及主持人会分享与海豚有关的知识，包括它们的栖息地、食物、身体构造及迁移模式。', '\n·所有海豚互动体验均包括水上探险乐园单日门票，提供潜水衣，须穿合适泳装。', '\n\n                    ']","8 Sentosa Gateway, Sentosa Island, Singapore 098269","91.0","有图 (51条)好评（85条）中评（4条）差评（2条）需要预约（11人提及）海豚表演（8人提及）适合小朋友（6人提及）值得推荐（4人提及）不能拍照（3人提及）金牌点评 (8条)"
"33","滨海艺术中心音乐厅","EsplanadeTheatres on the Bay","['12:00-22:30 (1月1日-12月31日 周一-周日)', '\ntips:', '\n凡演出在12:00前开演的,售票处会提前在开演前一小时开放', '\n凡演出在晚上20:30后开演的,售票处则会延迟至开演后半小时才结束。', '展开全部>']","","http://www.esplanade.com/","['\n                        ·滨海艺术中心是新加坡首屈一指的艺术表演场地，造型独特的圆顶为它赢得了“大榴莲”的称号。', '\n·滨海艺术中心毗邻滨海湾，艺术中心内有音乐厅、剧院、演奏厅和排练室，还有户外表演空间。', '\n·此外，这里还有购物中心、国际风味餐馆及新加坡首家艺术图书馆——滨海艺术中心图书馆，馆内收藏了大量关于音乐、舞蹈、电影和戏剧的书籍和多媒体资料。\n                    ']","1 Esplanade Dr,Singapore 038981","428.0","有图 (163条)好评（368条）中评（54条）差评（6条）新加坡地标（46人提及）鱼尾狮公园旁边（9人提及）新加坡河边（7人提及）交通方便（6人提及）滨海湾边（4人提及）金牌点评 (1条)"
