KEYWORDS,FREQUENCY
滨海湾,1185
于,1184
泳池,1183
船,1180
也有,1173
最好,1173
金沙酒店,1172
服务,1163
中心,1160
一座,1151
热闹,1150
有意思,1139
不要,1136
一圈,1132
下来,1127
已经,1126
克拉码头,1124
工作,1120
进入,1119
海豚,1119
朋友,1118
少,1110
买票,1106
完,1099
有趣,1099
不少,1096
交通,1092
以,1090
震撼,1090
开心,1084
有特色,1081
快捷,1080
位置,1071
有些,1068
好看,1065
个人,1059
步行,1056
亚洲,1052
一点,1052
先,1051
风格,1047
算,1045
只是,1043
现在,1037
太多,1037
啦,1025
一样,1023
还不错,1017
华人,1016
除了,1015
只,1015
活动,1012
基本,1007
进,993
新,993
国家,992
排,990
他们,989
介绍,985
几个,982
过去,980
住,969
寺庙,967
蛮,960
尤其,958
不会,957
一定,956
他,956
不能,951
下次,951
上去,950
入园,943
新币,939
岛,939
了解,937
打卡,935
花,932
商场,931
来到,927
应该,927
楼,924
效果,922
第一次,922
呢,920
干净,908
那个,907
区域,904
各,902
大人,901
或,901
确实,901
金沙,900
真是,897
讲解,895
区,889
性价比,883
快,882
影城,880
座,878
店,877
环球,875
找,875
十分,875
购买,873
岛上,873
只有,869
娱乐,866
绝对,865
夜晚,861
可能,860
路,858
这边,858
乘坐,853
那里,853
精彩,852
以及,851
这样,850
演出,845
很开心,839
离,838
另外,832
种类,828
一直,823
完全,820
开始,820
植物园,814
不太,812
享受,810
近,808
丰富,805
哈哈,801
那么,801
只能,799
码头,797
所有,796
订票,795
聚集,791
大概,788
儿童,786
休闲,786
周围,785
地标,782
秀,781
全,780
一条,772
生活,768
差不多,766
热,763
园区,763
错过,762
滑车,760
发现,759
开,759
无边,758
电影,755
或者,755
赞,755
对面,752
最后,751
一起,747
订,745
美景,744
每个,743
上面,743
过来,743
当然,741
超,738
挺好,735
之后,733
都会,733
必须,733
下午,732
这次,731
很快,729
滨海湾花园,725
小孩子,721
其中,720
接触,719
及,714
英文,713
繁华,711
由,709
味道,709
出票,705
孩子们,704
观赏,704
一家,703
左右,702
一看,702
就能,697
许多,692
热带,692
回,690
非常棒,689
近距离,687
还会,684
面积,682
不够,682
观看,682
实在,672
不一样,672
好地方,672
快速,671
展示,671
可惜,670
怎么,666
唐人街,663
来说,661
起来,659
据说,658
一种,656
新加坡河,656
室内,655
卖,652
无,651
过山车,650
鱼,645
有名,644
天气,643
吸引,643
园,641
空中,641
并,641
主题,640
作为,638
成,637
这些,633
以后,631
音乐,631
自然,630
远,629
好好,628
使用,628
整体,621
别,619
算是,615
游船,615
网上,611
商店,609
逛逛,609
海洋,608
对于,606
鸭子,604
互动,603
相当,602
品种,602
景观,600
周边,596
啥,595
找到,590
转,590
还能,588
喷泉,586
河,586
空气,585
听,585
标志性,585
扫,583
安排,580
街,576
外面,576
吃饭,575
两次,573
好像,573
俯瞰,573
展览,572
散步,572
壮观,571
大型,569
距离,569
机场,569
码,567
到处,566
机会,563
为了,563
独特,563
累,561
标志,560
总体,557
边,557
海边,557
风情,555
导游,554
优美,554
傍晚,552
重要,552
看着,552
到达,551
通道,548
造型,548
这种,547
度假,546
晒,545
哈,543
很多人,543
游乐,539
去过,536
注意,535
行,534
能看到,534
桥,534
包括,530
1,528
却,528
海洋生物,528
走走,525
沿着,525
海鲜,524
街道,522
住在,521
世界上,521
记得,520
唯一,519
游泳,519
好吃,518
兑换,516
探险,515
慢慢,514
购票,512
不知道,510
成为,510
漂流,509
由于,508
预定,507
些,504
所,504
外,503
等等,503
够,502
拥有,500
叫,499
提供,498
几乎,497
这么,497
地铁站,497
旅行,496
知识,493
时光,491
上海,491
还要,488
行程,488
巨大,487
新加坡动物园,487
加,486
下车,485
东南亚,484
选,484
将,484
瀑布,484
每,483
好去处,482
喝,480
海,480
云雾,479
色彩,478
市区,478
钱,477
方式,477
最高,476
最喜欢,476
结果,475
才能,475
划算,474
很高,474
每天,474
全球,473
充满,473
牛车,473
刷,471
定,469
花穹,468
不好,467
捷运,464
晚,463
经过,463
巴士,462
正好,461
小岛,460
全程,459
家,459
可爱,458
半天,458
三个,458
能够,458
还好,458
休息,456
广场,455
亲子,455
清楚,455
手机,454
穿,453
打印,452
外观,452
很干净,448
如,447
惬意,447
入,446
同时,445
白色,445
地点,444
当天,442
意思,442
印象,439
内容,439
精致,438
品牌,438
馆,435
意义,432
2,431
当时,431
通过,430
电子,429
发展,428
想象,427
票价,427
不到,426
颜色,425
购物中心,425
周末,424
儿子,423
后面,423
后来,421
以前,419
真心,419
值,418
优惠,417
看见,417
安全,416
全部,415
一边,414
空调,414
清真寺,414
然,412
条,412
名字,412
不如,411
传统,408
其,408
前往,407
玻璃,406
来自,405
3,404
知道,403
简直,402
亲子游,402
老人,401
令人,401
宝宝,400
起,400
建筑物,400
专门,399
规模,398
差,397
鸟类,397
连,396
强,396
就像,394
餐馆,394
论,393
打,391
普通,389
部分,389
本来,386
天堂,385
纪念品,384
很舒服,384
大部分,383
合理,382
兰花,382
小吃,381
纪念,380
很好看,380
现代,380
安静,380
完美,378
S,377
短,375
约,375
三次,375
中间,374
很少,374
赶上,373
商品,373
海水,371
基本上,370
很久,369
相对,369
作品,369
各地,368
一场,368
不仅,368
游人,368
之前,367
餐饮,366
收费,366
迷人,366
过瘾,365
水幕,364
乘,363
更好,362
榴莲,362
经常,360
珍宝,360
哈芝巷,360
结合,359
已,358
马来西亚,357
拿,356
衣服,356
处,355
下雨,355
更加,355
预订,355
河边,355
就好,354
就会,354
至,353
第二次,353
人们,353
景区,351
不需要,351
简单,350
雕塑,350
呀,350
属于,349
强烈推荐,348
速度,348
雕像,348
视觉,347
灯光秀,347
故事,346
再来,346
店铺,346
气氛,345
满,345
内部,345
人民币,345
地区,344
随便,344
看不到,344
变形,343
漫步,343
路线,343
一张,342
中午,342
发,342
园内,342
她,341
鱼尾狮公园,341
舒适,340
解说,340
氛围,339
喂食,339
具有,338
观光,338
今天,337
舒服,337
学习,337
可是,336
早上,336
分,335
并不,334
英国,334
全景,334
展品,334
看起来,333
一处,333
有着,333
只要,332
类似,332
币,332
见过,332
打车,331
第一,331
根本,331
热情,330
则,330
遇到,330
众多,330
在一起,330
4,329
甚至,328
问,328
Singapore,328
放松,327
希望,327
一片,327
翼,326
森林,325
遗憾,325
空间,323
探索,323
生态,323
建,323
仿佛,322
风光,322
气息,321
毕竟,320
惊喜,320
南端,320
下面,319
滑,319
以上,318
停,318
林立,318
优先,317
坐落,317
两边,317
林,317
本身,316
比较好,316
海豚园,316
必要,315
成人,315
每次,315
即可,315
攻略,314
樟宜机场,313
即,312
边上,312
半小时,311
那边,310
象征,310
最多,309
很赞,308
市中心,308
并且,308
游戏,307
齐全,307
一整天,306
各种各样,305
期间,305
还行,305
角度,304
不远,303
五颜六色,303
清新,303
尝试,302
曾经,302
科学,302
英语,301
一个小时,301
路过,300
不贵,298
那种,298
美术馆,298
娃,297
售票处,297
几次,297
高楼,297
烟花,296
准备,295
金刚,294
问题,294
坐船,294
入口,293
一条街,293
居然,292
连接,292
久,291
旅,291
挺不错,290
讲,290
二维码,290
房间,290
比如,289
特点,289
往,289
树,289
爽,288
原来,288
小店,288
鱼尾,288
老,287
大约,287
还算,287
商业,287
节目,286
时期,286
家庭,285
悠闲,285
狮子,285
座位,284
总,283
早点,283
便,283
预约,283
出名,283
印度教,283
绿化,282
装饰,282
吹,281
太阳,281
怕,280
场所,280
山顶,280
刚,279
地理,279
亲密,278
大陆,278
新加坡植物园,278
一个人,277
开门,277
相比,277
太热,277
线,277
超过,277
肯定,276
亮点,276
集中,276
任何,276
新鲜,276
此,276
更多,275
5,275
冷,275
小动物,275
经典,274
浪费,274
场景,274
当,274
供,274
亚马逊,274
两岸,274
有许多,273
早,273
人工,273
确认,273
满意,273
E,273
融合,273
入场,272
之间,272
玩具,271
树木,271
单,270
进行,270
担心,270
房子,270
日本,269
失望,269
感兴趣,269
送,269
回来,268
A,268
心情,268
出行,268
走廊,268
棒棒哒,268
较,267
一共,267
下水,267
建造,266
那些,266
过程,265
日间动物园,265
玩儿,264
红,264
地图,264
想要,264
最古老,264
变形金刚,263
黑,263
至少,263
见到,263
结束,263
样子,262
保护,262
足够,261
看完,261
水族馆,261
场馆,261
10,260
最佳,260
甘榜,260
低,259
鸟,259
进门,257
靠,257
套票,257
入住,257
外套,257
且,256
那天,256
香港,256
买到,255
队,254
客服,254
空中花园,253
显得,253
规划,253
靠近,253
斜坡,253
沿途,253
山,253
游览车,253
爱,252
有人,252
公交,252
可以说,251
饭,251
该,251
组成,251
巴拉湾,251
非常好玩,250
20分钟,250
跑,250
总之,250
刚好,250
光,250
期待,249
沙子,249
海风,248
极,248
拍摄,247
影响,247
估计,247
感受到,247
离开,246
整,246
河畔,246
决定,244
惊艳,244
佛牙寺,244
继续,243
人性化,243
国际,243
整洁,243
应有,242
古老,242
宗教,242
消费,241
卡,241
花卉,241
地下,241
胡姬花,241
长隆,240
狮城,240
浪漫,240
最美,240
时尚,240
深刻,239
绿色,239
呆,239
蝴蝶,239
大楼,239
创意,238
馆内,238
激光,238
既,237
食物,236
它们,236
如此,236
游泳池,236
逛街,236
一段,235
自由,235
否则,235
小小,235
收,235
观景,235
香料,235
合适,234
女儿,234
一番,234
向,233
因此,233
搭乘,233
阳光,232
民族,232
得到,231
日落,231
大自然,231
以为,230
凉快,230
鱼类,230
天,229
便利,229
天然,229
搭,228
走路,228
露天,228
精美,228
一层,228
电梯,228
河川生态园,228
不懂,227
步道,227
徒步,227
格南,227
浮潜,227
详细,226
尽有,226
线路,226
校园,226
热门,225
真正,225
全家,225
代表,225
岛屿,225
坐车,225
移民,225
放,224
网,224
20,224
并没有,224
倒是,224
大厦,224
莱佛士,224
河川,224
哪里,223
二,223
慢,223
加上,223
管理,223
绕,223
《,222
雨,222
单独,222
另,221
上午,221
听说,221
同,221
视野,221
高度,220
风,220
动物们,220
科技,220
庙,220
前面,219
年轻人,219
满足,219
现代化,219
尾狮,219
展馆,219
无聊,218
一只,218
的确,218
胜地,218
学校,217
一般般,217
方向,217
吊桥,217
泳衣,217
来玩,216
两天,216
保留,216
名胜,215
未来,215
玩耍,215
鞋,215
大学,215
人物,214
哪,214
多次,214
不得不,214
自行车,214
根据,213
大小,213
室外,213
要买,213
马路,213
小径,213
设备,212
多少,212
张,212
门,212
千万,212
美好,212
大树,212
方面,211
竟然,211
圣淘沙名胜世界,211
租,211
乐趣,211
品尝,211
坐地铁,211
+,210
轻松,210
一遍,210
合影,210
地址,210
平台,210
涂鸦,210
经历,209
旁,209
夜生活,209
照,208
无法,208
彩色,208
海底世界,208
照相,207
一体,207
之类,206
宁静,206
展出,206
市场,206
奢侈品,206
全世界,205
自助,205
足,205
二战,205
等待,204
置身,204
一起去,204
喷水,204
吊椅,204
飞禽,204
供奉,204
果然,203
首先,203
来这里,203
悠久,203
结构,203
大牌,203
前来,202
出去,202
烟火,202
于是,202
风味,202
剧场,201
图片,201
早期,201
城,200
玩水,200
凭,200
半个小时,200
占地,200
草坪,200
队伍,199
正,199
河流,198
趣味性,198
其它,197
原因,197
每年,197
布置,197
下去,197
画,197
出发,195
生物,195
关于,195
配合,195
穿梭,195
建筑风格,195
猴子,195
高空,194
木乃伊,194
最爱,194
观察,194
热带雨林,194
在此,194
和谐,194
景,194
水世界,193
吗,193
是因为,193
机器,193
短信,193
称为,193
教,193
螃蟹,193
鹦鹉,193
早餐,191
凉爽,191
神奇,191
喂,191
没想到,190
第一个,190
而已,190
设有,190
包含,190
路上,190
苏丹,190
特意,189
害怕,189
随意,189
如今,189
兴都庙,189
强烈,188
不敢,188
认为,188
变成,188
留念,188
解决,187
打造,187
分别,187
兴趣,187
为什么,187
邮件,187
布局,187
那么多,186
海湾,186
圣安德烈教堂,186
考虑,185
情况,185
为主,185
昆虫,185
水母,185
野生动物园,185
很一般,184
传说,184
一带,184
回到,183
假期,183
总体来说,183
窗口,183
态度,183
仔细,183
胜,183
要求,182
走过,182
看一下,182
有点像,182
大海,182
每一个,181
来看,181
趣味,181
出现,181
一趟,181
装修,181
魅力,181
脱,181
人造,181
滑道,181
实惠,180
妈妈,180
直达,180
反正,180
走进,180
出口,180
金融,180
出游,179
回去,179
一件,179
吃喝玩乐,179
丛林,179
脚,178
留下,178
圣地,178
15,178
温室,178
展厅,178
图书馆,178
学生,178
北京,177
重点,177
各国,177
信息,177
便捷,177
很容易,177
还在,177
陆地,177
穿过,176
图,176
道,176
关键,176
家人,176
冷气,176
尽兴,175
留,175
各类,175
客人,175
梦幻,175
大多数,175
远处,175
花柏山,175
口味,174
愉快,174
鲨鱼,174
按,174
开放式,174
建于,174
文艺,174
庙宇,174
带来,173
在那里,173
海上,173
顺便,173
如何,173
the,173
看上去,173
远远,173
天空,173
上车,172
飞机,172
本地,172
灯,172
爵士,172
再次,171
平时,171
终于,171
是不是,171
一杯,171
狮,171
典型,171
允许,170
操作,170
老少,170
大门,170
省,170
口,170
艺术品,170
手,170
不可,169
超赞,169
30,169
写,169
两,169
稍微,169
收藏,169
教育,169
很安静,169
海景,169
帮,168
后悔,168
程,168
兴奋,168
就要,168
哟,168
建设,168
大量,168
汇集,168
豪华,168
居民,168
体会,167
您,167
旧,167
尽收眼底,167
居住,167
街区,167
两旁,167
分为,166
关门,166
扫描,166
晚餐,166
收到,166
T,165
骑,165
举办,165
之外,165
需,165
间,165
展现,165
蓝色,164
不管,164
大多,164
春节,164
文物,164
地标性,164
滨海艺术中心,164
出门,163
跟着,163
小型,163
全天,163
繁多,163
一切,162
人气,162
请,162
饮料,162
接,162
明显,162
每人,162
名,162
很可爱,162
岸边,162
马来人,162
美味,161
般,161
订单,161
打开,161
顶楼,161
售票,161
南洋,161
观景台,161
小商品,161
穆斯林,161
游乐场,160
飞,160
这家,160
轻轨,160
提醒,160
不虚此行,160
一流,160
摸,160
计划,159
略,159
气候,159
当年,159
看一看,159
呈现,159
冲浪,159
晚饭,158
而是,158
另一个,157
背景,157
套餐,157
体现,157
一会,157
受,157
新奇,157
感,157
两条,156
赶,156
难忘,156
按照,156
容易,156
最近,156
花草,156
红色,155
种,155
爱好者,155
包,155
难得,155
公交车,155
愧,155
更有,154
次,154
来回,154
心,154
很好吃,154
火车,154
名牌,154
开发,154
光影,154
螺旋桥,154
首选,153
买好,153
鸡,153
远眺,153
佛教,153
殖民,153
邮票,153
参加,152
一位,152
元素,152
临时,152
语言,152
感到,152
举行,152
头,152
路边,152
冷室,152
跑步,152
曾,152
洁白,152
以下,151
7,151
大片,151
小朋友们,151
扫码,151
携,151
知名,151
节日,151
望,151
宜人,151
纪念碑,151
做好,150
30分钟,150
专业,150
清,150
情侣,150
庄严,150
顺利,149
物品,149
第二天,149
称,149
采用,149
小船,148
集,148
外形,148
登上,148
容纳,148
窗户,148
南,148
眺望,148
声音,147
不行,147
外国人,147
四个,147
马上,147
清澈,147
桥梁,147
十足,146
防晒,146
似乎,146
摆,146
温度,146
鲜花,146
香火,146
区别,145
一半,145
懂,145
造,145
见,145
声,145
缩影,145
人流,144
一晚,144
超大,144
寺院,144
逼真,143
玩玩,143
运气,143
同样,143
说明,143
2次,143
改造,143
各色,143
一部分,143
超值,143
双,143
超级树,143
云雾林,143
运动,143
散,143
试,142
嗨,142
冰淇淋,142
真实,142
人群,142
沿,142
主,142
顶层,142
屋顶,142
技术,141
多种,141
尽情,141
到此,141
接近,141
提示,141
宏伟,141
滑梯,141
惊险,140
玩完,140
也许,140
皆宜,140
目前,140
认真,140
有种,140
很远,140
花钱,140
贵宾,140
重新,139
王国,139
即使,139
3次,139
街头,139
墙,139
街上,139
四周,139
人文,139
车厢,139
巷子,139
配,138
关闭,138
总是,138
因,138
两场,138
么,138
碰到,138
清晰,138
恐高,138
设计师,138
珍贵,138
4D,137
那样,137
旺,137
拉,137
满满,137
·,137
本,137
8,137
公共,137
新颖,137
大气,137
蜥蜴,137
最早,137
种植,137
精品,137
新加坡环球影城,136
遍,136
穿着,136
两种,136
10分钟,136
小时,136
联系,136
护照,136
价钱,136
亮,136
外墙,136
大象,136
就算,135
随着,135
认识,135
神秘,135
一块,135
总统府,135
你们,134
滨海,134
进场,134
待,134
稍,134
一份,134
赛道,134
不怕,134
躺,134
几天,134
五彩,134
赞美,134
非,133
吓人,133
户外,133
欢乐,133
先进,133
优雅,133
身临其境,132
体力,132
名气,132
接受,132
好评,132
错,132
提,132
说实话,132
美轮美奂,132
建立,132
物种,132
奇妙,132
身边,131
0,131
越,131
暑假,131
车上,131
好久,131
大厅,131
片,131
国外,131
麻烦,131
使,131
友好,131
修建,131
of,131
分享,130
形式,130
耐心,130
楼顶,130
泡,130
正在,130
柜台,130
好在,130
船上,130
往返,130
先生,130
司机,130
炮台,130
印度庙,130
马里安曼,130
冲,129
偏,129
出示,129
古迹,129
第二,128
节省,128
餐,128
号称,128
场地,128
鲜艳,128
夜幕,128
桥上,128
讲述,128
法院,128
喝酒,128
水陆,128
360度,127
各式各样,127
还没有,127
2个,127
很难,127
滨海花园,127
浓郁,127
巨型,127
小鱼,127
朋友们,126
地面,126
却是,126
这儿,126
抵达,126
山上,126
道路,126
马来,126
苏丹清真寺,126
拥挤,125
一会儿,125
实际,125
C,125
上来,125
华丽,125
走道,125
而成,125
新年,124
对比,124
虽,124
命名,124
知,124
夜色,124
新加坡市,124
植被,124
理念,124
开阔,124
政府,124
夕阳,124
服饰,124
各式,124
本地人,124
雕刻,124
生态园,124
进来,123
大大,123
四,123
40分钟,123
入口处,123
不容,123
搞,123
15分钟,123
特殊,123
地带,123
岛内,123
蚊子,123
利用,123
住宿,123
折扣,123
美妙,123
高档,123
殖民地,123
野生动物,123
多玩,122
大道,122
比起,122
建成,122
出租车,122
细,122
浓厚,122
相当于,122
难,122
不得,122
年,122
浏览,122
倒,121
地上,121
咖啡,121
付费,121
老公,121
以外,121
费用,121
导览,121
试试,121
制作,121
舞台,121
摩天观景轮,121
商铺,121
胡姬,121
隔壁,120
变化,120
6,120
流连忘返,120
迪士尼,120
旅程,120
两个小时,120
show,120
依然,120
给力,120
参与,120
保存,120
一家人,120
事情,120
正宗,120
秀丽,120
水果,120
海事博物馆,120
国庆,119
乐,119
第一天,119
太短,119
老外,119
似,119
招牌,119
天际,119
养,119
一栋,119
西乐索海滩,119
身高,118
一小时,118
嘛,118
状态,118
人家,118
一点点,118
场次,118
节庆,118
服装,118
绚丽,118
滨海湾金沙酒店,118
海星,118
国家博物馆,118
福康宁公园,118
视频,117
产品,117
物价,117
充裕,117
耳机,117
告知,117
处处,117
一起玩,117
宽敞,117
搭配,117
高大,117
一览,117
新加坡国家美术馆,117
保护区,117
原始,116
便是,116
无限,116
这点,116
关系,116
熟悉,116
可能会,116
里边,116
年轻,116
呵呵,116
当场,116
景象,116
独立,116
绿树,116
最小,115
转转,115
小伙伴,115
不断,115
紧张,115
拖鞋,115
收获,115
乱,115
坑,115
卫生,115
爸爸,115
高处,115
优先票,115
人民,115
事,115
挨着,115
教练,115
上山,115
程度,114
犹如,114
吐,114
听到,114
马,114
蛮好,114
瞬间,114
周日,114
画廊,114
周一,114
饮食,114
无敌,114
经济,114
咖啡馆,114
随处可见,114
奇特,114
暗,114
打折,114
两座,114
云集,114
聚居,114
理解,113
免,113
无比,113
右边,113
city,113
游客们,113
牌子,113
艳丽,113
圆顶,113
财富,113
日间,113
随,112
形象,112
浓浓,112
配套,112
完善,112
哪个,112
一应俱全,112
逛一逛,112
宽,112
通行,111
人类,111
怡丰城,111
有限,111
环保,111
指示,111
帮助,111
蜡像,111
楼下,111
野生,111
大桥,111
下载,110
节假日,110
特地,110
街边,110
半,110
睡觉,110
菜,110
观光车,110
特效,109
质量,109
尽量,109
人和,109
顶级,109
设置,109
来了,109
打算,109
明星,109
新加坡人,109
水平,109
到位,109
等到,109
闲逛,109
条街,109
去处,109
很满意,109
费,109
的牛,109
一大,108
几,108
亲切,108
紧,108
场,108
白,108
隔,108
欧洲,108
现,108
重,108
观,108
警察局,108
信徒,108
拿着,107
挤,107
画面,107
眼睛,107
完成,107
公司,107
场面,107
眼前,107
水中,107
没意思,107
四次,107
而来,107
绝佳,107
形成,107
眼底,107
学到,107
市政厅,107
两张,106
一开始,106
模拟,106
夏天,106
维护,106
邮箱,106
斑斓,106
忘,106
某,106
有兴趣,106
奇,106
实际上,106
8点,106
含,106
垃圾,106
模式,106
所在,106
非凡,106
珊瑚,106
饭店,105
高科技,105
领,105
别人,105
办,105
退,105
地道,105
凉,105
出售,105
塔,105
国花,105
孔雀,105
胡姬花园,105
信仰,105
消防,105
首个,104
无需,104
炎热,104
随时,104
立体,104
房,104
不在,104
大雨,104
珍稀,104
件,104
亲近,104
一路上,104
海底,104
本土,104
美术,104
想到,103
没法,103
优势,103
惊叹,103
海事,103
降临,103
双螺旋桥,103
咖喱,103
旋转,102
推,102
闺蜜,102
7点,102
才是,102
狮塔,102
领略,102
一辆,102
每晚,102
景致,102
在于,102
了解到,102
ION,102
讲解员,102
深,101
迅速,101
快乐,101
观众,101
游园,101
大船,101
12,101
酒,101
告诉,101
4次,101
摊位,101
陈列,101
楼上,101
树林,101
西乐索,101
限制,100
上下,100
意外,100
显示,100
美国,100
不亦乐乎,100
谁,100
不知,100
午餐,100
成功,100
控制,100
团,100
喜爱,100
貌似,100
厅,100
溜达,99
等候,99
至于,99
喔,99
紧凑,99
外国,99
F,99
nice,99
本人,99
自由行,99
锻炼,99
十分钟,99
有关,99
退税,99
静静,99
食品,99
鸟瞰,99
展,99
海南,99
金碧辉煌,99
对岸,99
资料,99
三层,99
高大上,99
水族,99
突然,98
用餐,98
掉,98
官网,98
所谓,98
时分,98
女,98
一个多小时,98
异,98
数量,98
2小时,98
儿,98
璀璨,98
欢迎,98
一间,98
一股,98
夜市,98
精神,98
科普,98
交通工具,98
免税店,98
幸福,97
玩乐,97
环节,97
分布,97
相机,97
忘记,97
特,97
很兴奋,97
形容,97
环绕,97
行走,97
Road,97
鱼缸,97
裕廊飞禽公园,97
看来,96
M,96
3D,96
身体,96
有必要,96
具体,96
10点,96
身上,96
挂,96
帮忙,96
搞定,96
圈,96
运,96
触摸,96
美女,96
40,96
保持,96
展区,96
松发肉骨茶,96
驳船,96
原貌馆,96
游乐园,95
受欢迎,95
不足,95
仍然,95
面,95
5分钟,95
母亲,95
习惯,95
服务态度,95
可见,95
放弃,95
多元,95
车站,95
最具,95
见识,95
层,95
超美,95
栖息,95
荷兰村,95
大熊猫,95
乌敏岛,95
东海岸公园,95
一人,94
好多人,94
湿,94
马达加斯加,94
回忆,94
跳,94
差点,94
电话,94
段,94
Bay,94
壁画,94
辣椒,94
科技馆,94
神圣,94
尽管,93
再加上,93
原本,93
买东西,93
家长,93
噢,93
妨,93
沟通,93
才会,93
蓝天,93
没问题,93
类似于,93
草地,93
园林,93
改建,93
全貌,93
荷兰,93
塑像,93
作,92
而言,92
室,92
愿意,92
仅,92
增加,92
情,92
是否,92
新加坡市区,92
好奇,92
摄影,92
工艺品,92
超市,92
稳,92
大商场,92
小巷,92
到底,91
今年,91
停留,91
珠海,91
营业,91
最为,91
动,91
表示,91
一眼,91
站点,91
寻找,91
吸引力,91
浓,91
改,91
黄金,91
高高,91
一道,91
欧式,91
古典,91
爬,91
获得,90
这么多,90
鞋子,90
礼品,90
周六,90
充分,90
上岛,90
艺术家,90
偶尔,90
价值,90
河岸,90
小路,90
茂盛,90
巧妙,90
生命,90
细节,89
飞行,89
方法,89
死,89
放在,89
三天,89
目的地,89
泰国,89
一进门,89
几张,89
就坐,89
综合,89
面包,89
生动,89
相连,89
栩栩如生,89
喷,89
打的,89
走一走,89
感觉到,89
天桥,89
舱,89
广州,89
土地,89
金沙空中花园,89
灯火,89
一顿,89
行人,89
乘船,89
亚美尼亚,89
路程,88
公众,88
汇聚,88
变,88
顺着,88
自动,88
几分钟,88
人生,88
用心,88
日,88
三,88
中途,88
元,88
不容易,88
生长,88
树上,88
戏水,88
至今,88
百年,88
水库,88
夜游,88
高兴,87
18,87
看好,87
咯,87
尽,87
换乘,87
B,87
国,87
关,87
提早,87
用来,87
不值,87
感谢,87
查,87
午饭,87
25,87
代表性,87
水池,87
几家,87
踩,87
虔诚,87
此外,86
车子,86
小车,86
一来,86
贴,86
评价,86
反而,86
平稳,86
共,86
激动,86
更喜欢,86
赠送,86
园子,86
大巴,86
仙鹤,86
往下,86
誉为,86
完整,86
高耸,86
港口,86
观景窗,86
味,86
新达城,86
祈祷,86
一早,85
避免,85
秒,85
导致,85
占,85
五彩缤纷,85
相关,85
美食街,85
宝贝,85
回家,85
实体,85
自助机,85
格外,85
9,85
原生态,85
于此,85
草,85
看不清,85
