"POI_INDEX","POI_CHINESE_NAME","URL","TOTAL_REVIEWS","POI_NAME","WEBSITE_INDEX"
70,"Funvee双层观光巴士","/sight/singapore53/2482154.html",62,"Funvee double-decker sightseeing bus",2
71,"亨德森波浪桥","/sight/singapore53/1685434.html",54,"Henderson Wave Bridge",2
72,"麦里芝自然小径","/sight/singapore53/1710140.html",41,"MacRitchie Nature Trail",2
73,"新加坡城市规划展览馆","/sight/singapore53/1711341.html",54,"Singapore Urban Planning Exhibition Hall",2
74,"民防与消防历史博物廊","/sight/singapore53/1710052.html",67,"Civil Defense and Fire History Museum",2
75,"DUCKtours鸭子船","/sight/singapore53/1407539.html",1043,"Ducktours",2
76,"翡翠山路","/sight/singapore53/1710144.html",67,"Emerald Hill Road",2
77,"Big Bus Singapore新加坡观光大巴士","/sight/singapore53/2482004.html",13,"Big Bus Singapore ...",2
78,"新加坡泰勒纸印艺术学院","/sight/singapore53/1710097.html",33,"Taylor's School of Graphic Arts, Singapore",2
79,"圣淘沙海滩","/sight/sentosa776/25859.html",310,"Sentosa Beach",2
80,"牛车水原貌馆","/sight/singapore53/25846.html",283,"Chinatown",2
81,"新加坡科学中心","/sight/singapore53/1409526.html",635,"Singapore Science Centre",2
82,"圣淘沙鱼尾狮塔","/sight/sentosa776/66797.html",470,"Merlion Tower Sentosa",2
83,"樟宜机场娱乐区","/sight/singapore53/1681396.html",161,"Changi Airport Entertainment District",2
84,"海事博物馆","/sight/singapore53/66806.html",201,"Maritime Museum",2
85,"彩虹蛋糕烘焙课程","/sight/singapore53/2482168.html",9,"Rainbow Cake Baking Course",2
86,"凤梨条手工烘焙课程","/sight/singapore53/2482158.html",5,"Pineapple Stick Baking Course",2
87,"SMU跑酷训练课程","/sight/singapore53/2482349.html",2,"SMU Parkour Training Course",2
88,"滑板公园滑板体验课程","/sight/singapore53/2482167.html",3,"Skate Park Skateboarding Course",2
89,"克兰芝马场体验","/sight/singapore53/2482565.html",2,"Kranji Racecourse Experience",2
90,"开放式农场社区绿色瑜伽课程","/sight/singapore53/2481738.html",2,"Open Farm Community Green Yoga Class",2
91,"节庆大道","/sight/sentosa776/1407846.html",147,"Festival Boulevard",2
92,"新加坡杜莎夫人蜡像馆","/sight/singapore53/1480769.html",172,"Madame Tussauds Singapore",2
93,"英比奥山","/sight/sentosa776/25865.html",120,"Mount Imbio",2
94,"丹戎海滩","/sight/singapore53/107847.html",133,"Tanjong Beach",2
95,"莱佛士坊","/sight/singapore53/30051.html",99,"Raffles Place",2
96,"驳船码头","/sight/singapore53/25833.html",127,"Boat Quay",2
97,"咏春拳武术工作坊课程","/sight/singapore53/2482476.html",1,"Wing Chun Boxing Martial Arts Workshop",2
98,"财富喷泉","/sight/singapore53/132965.html",114,"Fountain of Wealth",2
99,"加文纳桥","/sight/singapore53/30008.html",133,"Gavenna Bridge",2
100,"樟宜机场溜滑梯@T3","/sight/singapore53/1681438.html",84,"Changi Airport Slide @ T3",2
101,"MINT玩具博物馆","/sight/singapore53/132422.html",174,"MINT Toy Museum",2
102,"虎豹别墅","/sight/singapore53/3680.html",99,"Haw Par Villa",2
103,"樟宜机场体验区","/sight/singapore53/1681440.html",81,"Changi Airport Experience Area",2
104,"西乐索炮台","/sight/singapore53/66800.html",110,"Siloso Battery",2
105,"星耀樟宜","/sight/singapore53/5254437.html",79,"Starlight Changi",2
106,"蝴蝶公园与昆虫王国","/sight/singapore53/66799.html",159,"Butterfly Park and Insect Kingdom",2
107,"马来文化馆","/sight/singapore53/1409536.html",100,"Malay Cultural Museum",2
108,"樟宜机场儿童乐园","/sight/singapore53/1681376.html",69,"Changi Airport Children's Park",2
109,"樟宜机场社交树","/sight/singapore53/1681362.html",65,"Changi Airport Social Tree",2
110,"仙鹤芭蕾演出","/sight/sentosa776/110026.html",82,"Fairy Crane Ballet Performance",2
111,"亚美尼亚教堂","/sight/singapore53/7547.html",118,"Armenian church",2
112,"圣淘沙冲浪区","/sight/singapore53/134484.html",77,"Sentosa surfing area",2
113,"新加坡和平纪念碑","/sight/singapore53/3669.html",139,"Singapore Peace Monument",2
114,"双溪布洛湿地保护区","/sight/singapore53/1409527.html",76,"Sungei Buloh Wetland Reserve",2
115,"樟宜机场互动艺术站","/sight/singapore53/1681411.html",46,"Changi Airport Interactive Art Station",2
116,"天福宫","/sight/singapore53/25842.html",100,"Tianfu Temple",2
117,"火焰山","/sight/singapore53/66807.html",57,"Flame mountain",2
118,"iFly风洞飞行","/sight/singapore53/1986765.html",138,"iFly Wind Tunnel Flight",2
119,"浮尔顿一号","/sight/singapore53/137343.html",98,"Fullerton One",2
120,"圣约翰岛","/sight/singapore53/3657.html",50,"Saint john i.",2
121,"花穹","/sight/singapore53/2054208.html",100,"Flower dome",2
122,"加东娘惹文化区","/sight/singapore53/1410561.html",81,"Katong Nyonya Cultural District",2
123,"云雾森林玻璃屋","/sight/singapore53/2054211.html",114,"Cloud Forest Glass House",2
124,"新加坡河游船","/sight/singapore53/2479213.html",43,"Singapore River Cruise",2
125,"莱佛士爵士登岸遗址","/sight/singapore53/3675.html",126,"Raffles Landing Site",2
126,"胡姬山庄","/sight/singapore53/7685.html",52,"Orchid Villa",2
127,"草药香料园","/sight/sentosa776/66804.html",48,"Herbal Spice Garden",2
128,"圣淘沙4D探险乐园","/sight/singapore53/1418247.html",136,"Sentosa 4D Adventure Park",2
129,"孙中山南洋纪念馆","/sight/singapore53/7669.html",85,"Sun Yat-sen Nanyang Memorial Hall",2
130,"知新馆","/sight/singapore53/3655.html",75,"Chihsin Pavilion",2
131,"The Substation","/sight/singapore53/136825.html",29,"The Substation",2
132,"万象馆","/sight/singapore53/66803.html",75,"Vientiane Museum",2
133,"新加坡总统府","/sight/singapore53/1710192.html",128,"Singapore Presidential Palace",2
134,"圣淘沙大自然探索中心","/sight/singapore53/134481.html",54,"Sentosa Nature Discovery Centre",2
135,"珊顿大道","/sight/singapore53/3682.html",41,"Shenton Avenue",2
136,"动感电影院","/sight/sentosa776/25872.html",46,"Motion Cinema",2
137,"樟宜村","/sight/singapore53/1683257.html",42,"Changi Village",2
138,"阿都卡夫清真寺","/sight/singapore53/30009.html",54,"Abdul Kaf Mosque",2
139,"南部山脊","/sight/singapore53/1710114.html",27,"Southern ridge",2
140,"樟宜机场Canopy游乐场","/sight/singapore53/1681462.html",31,"Canopy Playground, Changi Airport",2
141,"新加坡管理大学","/sight/singapore53/1409772.html",45,"Singapore Management University",2
142,"樟宜海滩","/sight/singapore53/1683227.html",44,"Changi Beach",2
143,"擎天大树林","/sight/singapore53/2056193.html",66,"Great Forest",2
144,"乌节路图书馆","/sight/singapore53/1710211.html",75,"Orchard Road Library",2
145,"千灯寺院","/sight/singapore53/25844.html",39,"Qiandeng Temple",2
146,"Gogreen思维车探险旅程","/sight/sentosa776/134483.html",37,"Gogreen Thinking Car Adventure",2
147,"龟屿岛","/sight/singapore53/3685.html",56,"Guiyu Island",2
148,"克兰芝烈士纪念碑","/sight/singapore53/7686.html",50,"Kranji Martyrs Monument",2
149,"樟宜博物馆","/sight/singapore53/7683.html",47,"Changi Museum",2
150,"裕廊湖花园","/sight/singapore53/1710044.html",30,"Jurong Lake Garden",2
151,"新达城会展中心","/sight/singapore53/1710088.html",43,"Suntec City Convention and Exhibition Center",2
152,"趣志尼亚（KidZania）新加坡","/sight/singapore53/1929966.html",96,"KidZania Singapore",2
153,"观音堂佛祖庙","/sight/singapore53/1710045.html",37,"Guanyintang Buddha Temple",2
154,"马拉巴清真寺","/sight/singapore53/1486932.html",33,"Maraba Mosque",2
155,"新加坡国家图书馆","/sight/singapore53/1711293.html",91,"National Library of Singapore",2
156,"可兰芝农场","/sight/singapore53/1407538.html",24,"Kranji Farm",2
157,"圣淘沙自行车环岛","/sight/singapore53/2478999.html",17,"Sentosa Bike Roundabout",2
158,"樟宜机场Zone X游戏室","/sight/singapore53/1681466.html",37,"Changi Airport Zone X Games Room",2
159,"F1新加坡大奖赛","/sight/singapore53/2479057.html",21,"F1 Singapore Grand Prix",2
160,"范克里夫水族馆","/sight/singapore53/3684.html",50,"Vancliff Aquarium",2
161,"老巴刹祭亭","/sight/singapore53/1710055.html",60,"Old Pasar Festival Pavilion",2
162,"OCBC Skyway","/sight/singapore53/2050758.html",32,"OCBC Skyway",2
163,"善特主教座堂","/sight/singapore53/132424.html",31,"Shante Cathedral",2
164,"滨海广场","/sight/singapore53/108080.html",11,"Marina Square",2
165,"丹戎巴葛","/sight/singapore53/1711521.html",35,"Tanjong Pagar",2
166,"中央商业区","/sight/singapore53/1710150.html",51,"Central Business District",2
167,"宏茂桥","/sight/singapore53/1710059.html",20,"Ang Mo Kio",2
168,"安德逊桥","/sight/singapore53/1711259.html",51,"Anderson bridge",2
169,"The Luxe House","/sight/singapore53/1485601.html",19,"The Luxe House",2
170,"中央消防局","/sight/singapore53/1710117.html",48,"Central Fire Station",2
171,"肯特岗公园","/sight/singapore53/1710183.html",19,"Kent Ridge Park",2
172,"幻彩生辉灯光秀","/sight/singapore53/2483503.html",28,"Symphony of Lights",2
173,"光明山普觉禅寺","/sight/singapore53/1484710.html",34,"Guangmingshan Pujue Temple",2
174,"幻光雨林之夜","/sight/singapore53/4729341.html",33,"Phantom Rainforest Night",2
175,"勿洛水库公园","/sight/singapore53/1710082.html",26,"Bedok Reservoir Park",2
176,"莲山双林寺","/sight/singapore53/1710149.html",24,"Lianshan Shuanglin Temple",2
177,"哈查花蒂玛清真寺","/sight/singapore53/1486916.html",33,"Hacha Fatima Mosque",2
178,"Zouk","/sight/singapore53/1827434.html",16,"Zouk",2
179,"Kids STOP儿童站","/sight/singapore53/1710103.html",41,"Kids STOP",2
180,"未来水世界","/sight/singapore53/2855626.html",19,"Future Water World",2
181,"Jurong Eco-Garden","/sight/singapore53/1710202.html",23,"Jurong Eco-Garden",2
182,"李光前自然历史博物馆","/sight/singapore53/1710053.html",17,"Li Guangqian Natural History Museum",2
183,"魟鱼湾","/sight/singapore53/1710142.html",34,"Sturgeon Bay",2
184,"新加坡达那美拉码头（通往民丹岛）","/sight/singapore53/1412477.html",18,"Singapore's Tanah Merah Pier (access to Bintan Island ...",2
185,"梦之湖演出","/sight/sentosa776/1558054.html",24,"Lake of Dreams Performance",2
186,"新加坡雪城","/sight/singapore53/1558257.html",15,"Syracuse, Singapore",2
187,"花园狂想曲","/sight/singapore53/2483300.html",21,"Garden Rhapsody",2
188,"樟宜时空体验馆","/sight/singapore53/5619359.html",5,"Changi Space Time Museum",2
189,"新加坡室内体育馆","/sight/singapore53/1711310.html",11,"Singapore Indoor Stadium",2
190,"AJ Hackett圣淘沙","/sight/sentosa776/2512560.html",11,"AJ Hackett Sentosa",2
191,"滨海堤坝","/sight/singapore53/1711404.html",57,"Marina dike",2
192,"国家设计中心","/sight/singapore53/1710161.html",17,"National Design Center",2
193,"印度文化中心","/sight/singapore53/2055866.html",6,"Indian Cultural Center",2
194,"政府大厦大草场","/sight/singapore53/1711439.html",36,"Government Building Large Pasture",2
195,"兀兰","/sight/singapore53/1710087.html",10,"Woodlands",2
196,"拉柏多自然保护区","/sight/singapore53/1710147.html",20,"Labrador Nature Reserve",2
197,"圣心天主堂","/sight/singapore53/1710186.html",19,"Sacred Heart Cathedral",2
198,"姐妹岛","/sight/singapore53/1710077.html",9,"Sister island",2
199,"纪念碑","/sight/singapore53/1711538.html",26,"monument",2
200,"露德圣母堂","/sight/singapore53/1710154.html",16,"Our Lady of Lourdes",2
201,"柔佛炮台","/sight/singapore53/1683247.html",25,"Johor Fort",2
202,"乌敏岛骑行","/sight/singapore53/1988787.html",6,"Umin Island Cycling",2
203,"光之魅影- 数字光影幻彩画幕","/sight/singapore53/5101503.html",2,"Phantom of Light-Digital Light and Shadow Symphony",2
204,"实里达水库下段","/sight/singapore53/1710172.html",14,"Lower Seletar Reservoir",2
205,"亚拉街","/sight/singapore53/108130.html",4,"Yarra Street",2
206,"舢舨船体验","/sight/singapore53/5244341.html",2,"Barge experience",2
207,"ELO WATER高氧浴水疗中心","/sight/singapore53/5100543.html",2,"ELO WATER Nitrox Spa",2
208,"1-Altitude摩天酒吧观景台","/sight/singapore53/1989245.html",22,"1-Altitude Skydeck Observation Deck",2
209,"凤山寺","/sight/singapore53/1711498.html",10,"Fengshan Temple",2
210,"新加坡体育城","/sight/singapore53/1685655.html",4,"Singapore Sports City",2
211,"HeadRock VR主题乐园","/sight/singapore53/5099482.html",16,"HeadRock VR Theme Park",2
212,"圣淘沙K-live","/sight/singapore53/1973045.html",38,"K-live in Sentosa",2
213,"新加坡茶赏体验","/sight/singapore53/1998118.html",10,"Singapore Tea Experience",2
214,"Airzone悬空游乐场","/sight/singapore53/5058343.html",3,"Airzone suspended playground",2
215,"Temple Street","/sight/singapore53/2051598.html",15,"Temple street",2
216,"Flight Experience飞行体验","/sight/singapore53/1558111.html",14,"Flight Experience",2
217,"四马路观音堂","/sight/singapore53/3150463.html",15,"Guanyin Hall",2
218,"ArtSpace Museum","/sight/singapore53/1711317.html",23,"ArtSpace Museum",2
219,"最高法院","/sight/singapore53/1710132.html",25,"Supreme Court",2
220,"Elgin Bridge","/sight/singapore53/4932192.html",1,"Elgin Bridge",2
221,"新加坡缅甸玉佛寺","/sight/singapore53/1710143.html",25,"Singapore Jade Buddha Temple",2
222,"新加坡碉堡博物馆","/sight/singapore53/3148719.html",3,"Bunker Museum, Singapore",2
223,"皇后坊","/sight/singapore53/1710104.html",28,"Queen's Place",2
224,"斯里-维拉玛卡里雅曼兴都庙","/sight/singapore53/5127237.html",4,"Sri-Villamakaliamman Temple",2
225,"直落亚逸街","/sight/singapore53/2053773.html",13,"Telok Ayer Street",2
226,"圣伯多禄圣保禄堂","/sight/singapore53/1710129.html",16,"St. Peter's Church",2
227,"Wild Wild Wet水上乐园","/sight/singapore53/2085776.html",11,"Wild Wild Wet",2
228,"新加坡科学中心欧姆尼剧院","/sight/singapore53/1711356.html",17,"Omniscience Theatre, Singapore Science Centre",2
229,"达豪施纪念碑","/sight/singapore53/1710095.html",17,"Dachau Monument",2
230,"新达城鸭子船","/sight/singapore53/4034206.html",18,"Suntec Duck Boat",2
231,"新加坡弹跳乐园","/sight/singapore53/2117144.html",2,"Singapore Bounce Park",2
232,"Bollywood Veggies","/sight/singapore53/2053327.html",7,"Bollywood Veggies",2
233,"晚晴园","/sight/singapore53/2742680.html",5,"Evening Garden",2
234,"Singapore Musical Box Museum","/sight/singapore53/2056451.html",6,"Singapore Musical Box Museum",2
235,"新加坡天际线","/sight/singapore53/4025052.html",7,"Singapore skyline",2
236,"OCBC Aquatic Centre","/sight/singapore53/1710002.html",16,"OCBC Aquatic Centre",2
237,"大华银行大厦","/sight/singapore53/1711454.html",22,"United Overseas Bank Building",2
238,"克里斯南兴都庙","/sight/singapore53/1711527.html",20,"Chris Nan Hindu Temple",2
239,"滨海公园","/sight/singapore53/2053659.html",24,"Seaside park",2
240,"The Cathay Gallery","/sight/singapore53/1710124.html",14,"The Cathay Gallery",2
241,"美年径室内滑雪课程","/sight/singapore53/2478791.html",3,"Midland Trail Indoor Skiing Course",2
242,"XD剧院","/sight/singapore53/1998388.html",18,"XD Theater",2
243,"警察文物中心","/sight/singapore53/1711260.html",13,"Police Heritage Centre",2
244,"Yueh Hai Ching Temple","/sight/singapore53/1710127.html",19,"Yueh Hai Ching Temple",2
245,"新加坡超级跳","/sight/sentosa776/1991617.html",15,"Singapore Super Jump",2
246,"马达加斯加：木箱漂流记(马达加斯加)","/sight/singapore53/2855706.html",16,"Madagascar: Wooden Box Drifting (Madagascar ...",2
247,"Lazarus码头私人游艇出海","/sight/singapore53/2478889.html",1,"Lazarus pier private yacht goes to sea",2
248,"三巴旺公园","/sight/singapore53/1710206.html",34,"Sembawang Park",2
249,"新加坡军事博物馆","/sight/singapore53/1711549.html",15,"Singapore Military Museum",2
250,"乌敏岛皮划艇体验","/sight/singapore53/2479002.html",1,"Kayaking Experience on Umin Island",2
251,"Opera Gallery","/sight/singapore53/2053845.html",15,"Opera Gallery",2
252,"Istana Woodneuk","/sight/singapore53/1710131.html",11,"Istana Woodneuk",2
253,"Tour About Singapore","/sight/singapore53/2050922.html",19,"Tour About Singapore",2
254,"都城隍庙","/sight/singapore53/1710072.html",21,"Capital city temple",2
255,"梦思","/sight/singapore53/1992588.html",11,"Dream",2
256,"Chinese Heritage Museum","/sight/singapore53/2826468.html",1,"Chinese Heritage Museum",2
257,"福德祠博物馆","/sight/singapore53/1710093.html",18,"Ford Temple Museum",2
258,"宝露露小企鹅游乐园","/sight/singapore53/2013454.html",12,"Baolulu Little Penguin Amusement Park",2
259,"峇峇住宅","/sight/singapore53/1710085.html",17,"峇 峇 Residence",2
260,"三巴旺温泉","/sight/singapore53/1710067.html",17,"Sembawang Hot Spring",2
261,"贝当路","/sight/singapore53/1710005.html",11,"Bedang Road",2
262,"Jubilee Bridge","/sight/singapore53/5218852.html",3,"Jubilee Bridge",2
263,"圣若瑟堂","/sight/singapore53/1710181.html",15,"St. Joseph's Church",2
264,"雀替尔印度寺庙","/sight/singapore53/1711343.html",15,"Chettiar Hindu Temple",2
265,"新加坡自由行","/sight/singapore53/2050709.html",12,"Freedom in Singapore",2
266,"The Rink at JCube","/sight/singapore53/1711254.html",13,"The Rink at JCube",2
267,"Changi Beach Boardwalk","/sight/singapore53/2050618.html",3,"Changi Beach Boardwalk",2
268,"Miaja Gallery","/sight/singapore53/2056565.html",6,"Miaja Gallery",2
269,"The Other Room","/sight/singapore53/2118279.html",10,"The Other Room",2
270,"阿尔阿布拉回教堂","/sight/singapore53/1710136.html",16,"Al abra mosque",2
271,"Grand Theater","/sight/singapore53/2118530.html",1,"Grand theater",2
272,"Far East Organization Children's Garden","/sight/singapore53/5457245.html",1,"Far East Organization Children ...",2
273,"国家体育场","/sight/singapore53/1710152.html",12,"National Sport Stadium",2
274,"Punggol Waterway Park","/sight/singapore53/2056425.html",2,"Punggol Waterway Park",2
275,"Sengkang Swimming Complex","/sight/singapore53/4880938.html",NA,"Sengkang Swimming Complex",2
276,"Sunflower Garden","/sight/singapore53/5189617.html",1,"Sunflower Garden",2
277,"雅格巴拉斯儿童花园","/sight/singapore53/1711548.html",15,"Jagbaras Children's Garden",2
278,"华裔馆","/sight/singapore53/3148817.html",2,"Chinese Pavilion",2
279,"新加坡板球俱乐部","/sight/singapore53/1558070.html",5,"Singapore Cricket Club",2
280,"国家文物局","/sight/singapore53/3148712.html",2,"National cultural relics bureau",2
281,"Downtown East","/sight/singapore53/1710139.html",11,"Downtown East",2
282,"林谋盛纪念塔","/sight/singapore53/1710074.html",13,"Lin Mousheng Memorial Tower",2
283,"洛阳大伯公宫","/sight/singapore53/2511990.html",7,"Dayanggong Palace in Luoyang",2
284,"真光堂","/sight/singapore53/1710058.html",16,"True Light Hall",2
285,"Church of the Nativity of the Blessed Virgin Mary","/sight/singapore53/4853164.html",1,"Church of the Nativity of the ...",2
286,"Telok Ayer Market","/sight/singapore53/2055813.html",10,"Telok Ayer Market",2
287,"Standard Chartered Marathon Singapore","/sight/singapore53/2116675.html",8,"Standard Chartered Marathon Si ...",2
288,"Art Plural Gallery","/sight/singapore53/2053739.html",8,"Art Plural Gallery",2
289,"纳哥德卡殿","/sight/singapore53/1710156.html",17,"Nagodka",2
290,"Kreta Ayer Square","/sight/singapore53/2051756.html",8,"Kreta Ayer Square",2
291,"Parliament of Singapore","/sight/singapore53/4076450.html",2,"Parliament of Singapore",2
292,"Coney Island Park","/sight/singapore53/5197667.html",NA,"Coney Island Park",2
293,"Fish@Big Splash","/sight/singapore53/1710201.html",8,"Fish @ Big Splash",2
294,"里尼维沙伯鲁玛兴都庙","/sight/singapore53/1710060.html",12,"Rinvesha Buruma Hindu Temple",2
295,"海底世界","/sight/singapore53/2527135.html",18,"The underwater world",2
296,"Laichun Yuen Theatre","/sight/singapore53/2051554.html",7,"Laichun Yuen Theatre",2
297,"新加坡小巨人","/sight/singapore53/2025086.html",4,"Singapore Little Giant",2
298,"Singapore Pinacothèque de Paris","/sight/singapore53/2056001.html",6,"Singapore Pinacothèque de Par ...",2
299,"Bedok Jetty","/sight/singapore53/2051602.html",9,"Bedok Jetty",2
300,"Ann Siang Hill Park","/sight/singapore53/2056063.html",8,"Ann Siang Hill Park",2
301,"Ode To Art","/sight/singapore53/2053291.html",5,"Ode To Art",2
302,"The Cat Cafe","/sight/singapore53/1711250.html",14,"The Cat Cafe",2
303,"虎牌啤酒厂","/sight/singapore53/1949134.html",2,"Tiger Brewery",2
304,"Jalan Besar Stadium","/sight/singapore53/2050748.html",6,"Jalan Besar Stadium",2
305,"金丝燕园林博物馆","/sight/singapore53/1710196.html",7,"Golden Swallow Garden Museum",2
306,"Asian Art Platform","/sight/singapore53/2051366.html",10,"Asian Art Platform",2
307,"Robertson Quay","/sight/singapore53/1710115.html",12,"Robertson Quay",2
308,"新加坡国大博物馆","/sight/singapore53/1710118.html",17,"National University of Singapore",2
309,"The Bicycle Hut","/sight/singapore53/2119206.html",5,"The Bicycle Hut",2
310,"Jurong Central Park","/sight/singapore53/2054238.html",14,"Jurong Central Park",2
311,"Piece of Peace","/sight/singapore53/4034757.html",1,"Piece of Peace",2
312,"Kallang Ice World ","/sight/singapore53/1710075.html",7,"Kallang Ice World ",2
313,"金沙维也纳渡船","/sight/singapore53/2858004.html",1,"Golden Sands Vienna Ferry",2
314,"Sri Senpaga Vinayagar Temple","/sight/singapore53/1711322.html",8,"Sri Senpaga Vinayagar Temple",2
315,"新加坡河Water B游船","/sight/singapore53/4858912.html",2,"Singapore River Water B Cruise",2
316,"Native","/sight/singapore53/2118153.html",5,"Native",2
317,"HSBC Singapore Rugby Sevens","/sight/singapore53/2117077.html",5,"HSBC Singapore Rugby Sevens",2
318,"Little Guilin","/sight/singapore53/2118965.html",8,"Little Guilin",2
319,"Polar Bear Gallery","/sight/singapore53/2050648.html",3,"Polar Bear Gallery",2
