review_index,sentiment,aspect,adjective
46,POS,景色,壮观
47,POS,灯光不错,
47,POS,灯光,好看
48,POS,感觉,方便
48,POS,植物,美
48,POS,设计不错,
48,POS,带孩子,好
48,POS,孩子,好
51,POS,地方,地方不错
51,POS,管理,好
52,POS,票价便宜,
54,POS,岁月,静好
55,POS,设计不错,
55,POS,人生,美好
55,POS,感觉,可爱
55,POS,价格,实惠
56,POS,展览不错,
57,POS,造型,独特
57,POS,视角,棒
58,POS,景点不错,
58,POS,地方,近
59,POS,景点不错,
60,POS,城市,棒
60,NEU,气温,高
60,POS,感觉,不错
60,POS,海湾,漂亮
60,POS,日出,美
60,POS,灯光不错,
60,POS,夜景,好看
61,POS,花园,大
61,POS,造型不错,
62,POS,天气不错,
63,POS,地方不错,
63,POS,地方,好看
63,POS,瀑布,壮观
63,POS,瀑布,棒
63,POS,月份,美
63,POS,景色,美丽
64,POS,造型不错,
66,POS,景点不错,
68,POS,花园,美
68,POS,海湾,漂亮
69,POS,瀑布,壮观
69,POS,感觉,舒服
70,POS,花园,美
70,POS,地方,美
70,POS,景观不错,
71,POS,花园,美
71,POS,景观不错,
72,POS,天空,美
72,POS,位置不错,
73,POS,感觉,浪漫
75,POS,地方不错,
75,POS,地方不错,
75,POS,灯光,美
76,NEU,性价比,一般
77,POS,灯光不错,
78,POS,票,方便
78,POS,森林不错,
78,POS,灯光,还可以
79,POS,观景,好
79,POS,体力,好
79,POS,感觉,满意
79,POS,感觉,方便
80,POS,花园,大
81,POS,确实,好看
81,POS,灯光不错,
82,POS,瀑布,壮观
82,NEU,温度,低
83,POS,物种,多
85,POS,景区,大
85,POS,景区,大
86,POS,景色,美丽
86,POS,外滩不错,
86,POS,感觉,赞
87,POS,植物种类,多
87,POS,种类,多
89,POS,景点,好
90,NEU,面积,小
90,POS,感觉,喜欢
91,POS,地方不错,
91,POS,确实,好看
91,POS,灯,舒服
92,NEU,空间,不大
93,POS,花园,大
93,POS,景色,美丽
93,POS,门票便宜,
96,NEU,公园,没大
96,POS,体验,不错
97,POS,票价便宜,
98,POS,天气,凉快
98,POS,绿化,好
98,POS,公园,多
99,POS,夜景,好看
100,POS,景色,美
100,POS,感觉,不错
102,POS,花园,大
103,POS,森林不错,
103,POS,景色,美丽
104,POS,灯光,好看
105,POS,灯光不错,
106,POS,日照,强烈
108,POS,海湾,漂亮
108,POS,景色,美丽
108,POS,照片,好看
109,POS,景色,景色不错
110,POS,灯光不错,
111,POS,色彩不错,
114,POS,感觉,不错
114,POS,灯光不错,
115,POS,人,喜欢
116,POS,花园,美
116,POS,景观,美
116,POS,小孩,喜欢
118,POS,感觉,喜欢
118,POS,照片,好
118,POS,照片,很好
118,POS,景色,自然
119,POS,温室,赞
119,POS,瀑布,高
119,POS,体验,非常好
120,POS,世界,大
120,POS,色彩,鲜艳
120,POS,世界,大
120,POS,美景不错,
120,POS,灯光不错,
121,POS,票,方便
121,POS,取票,方便
121,NEU,票价,贵
121,NEU,景点,一般
121,POS,品种,多
121,POS,植物品种,多
123,POS,整体不错,
123,POS,感觉,开心
124,POS,城市,大
124,POS,规划,良好
124,POS,景点不错,
126,POS,花园,大
126,POS,总体不错,
126,POS,灯光不错,
127,POS,风景,宜人
127,POS,环境,美
127,POS,灯光不错,
129,POS,逛逛,好
131,POS,时间,充足
133,NEU,花园,不大
133,POS,感觉,不错
134,POS,花园,美
134,POS,感觉,舒服
135,POS,景点不错,
136,POS,植物,好看
136,POS,瀑布,美
138,POS,感觉,舒服
138,POS,景点不错,
138,NEU,人流,不多
138,POS,位置不错,
138,POS,阳光不错,
138,POS,感觉,喜欢
138,POS,公园,大
138,POS,森林不错,
138,POS,温度,舒服
138,POS,布局,好
138,POS,种类,多
138,NEU,感觉,乱
139,POS,灯光不错,
139,POS,灯光不错,
140,POS,拍照,好看
141,POS,没,还好
142,POS,海湾,漂亮
143,POS,绿化不错,
144,POS,景点不错,
145,POS,花园,美
145,POS,花园,美
146,POS,感觉,惬意
147,POS,感觉,美好
147,POS,票,方便
147,POS,确实,好看
148,POS,公园,美
149,POS,感觉,漂亮
149,POS,感觉,值
153,POS,感觉,棒
153,POS,环境不错,
153,POS,景色,棒
153,POS,散步,好
154,POS,花园,美
154,POS,灯光不错,
154,POS,感觉,方便
155,POS,景色,美
156,POS,订票,方便
156,POS,造型,独特
157,POS,感觉,方便
157,POS,设计不错,
158,POS,地方不错,
158,POS,植物,多
160,POS,灯光不错,
161,POS,感觉,方便
161,POS,气氛不错,
161,POS,感觉,开心
162,POS,地方,美丽
162,POS,地方,美丽
163,POS,景点不错,
163,POS,华人,强大
164,POS,气候,潮湿
164,NEU,气候,干燥
166,POS,世界,大
166,POS,花园,大
166,POS,灯光,美
166,POS,确实,有名
166,POS,瀑布,壮观
166,POS,植物,多
166,POS,植物,好看
166,POS,花园,大
167,POS,地方不错,
167,POS,灯光不错,
167,POS,地方不错,
168,POS,灯光不错,
168,POS,避暑,好
168,POS,规划,好
168,POS,植物,美
168,POS,讲解,还可以
168,NEU,排队,久
169,POS,世界,大
169,POS,花园,大
169,POS,灯光,美
169,POS,确实,有名
169,POS,瀑布,壮观
169,POS,植物,多
169,POS,植物,好看
169,POS,花园,大
170,POS,海鲜,好吃
170,POS,森林不错,
171,POS,景色,美
171,POS,灯光不错,
171,POS,景点不错,
173,POS,景点不错,
174,POS,景色,美丽
174,POS,美景不错,
176,POS,美景不错,
177,POS,感觉,方便
177,POS,感觉,漂亮
177,POS,空调,足
177,POS,灯光不错,
178,POS,景色,美丽
178,POS,感觉,漂亮
179,POS,花园,喜欢
181,POS,环境,好
182,POS,夜景,壮观
182,POS,设计,好
184,POS,感觉,漂亮
184,POS,感觉,赞
184,POS,冰淇淋,好吃
185,POS,感觉,漂亮
185,POS,布局不错,
186,POS,品种,多
186,POS,感觉,喜欢
186,POS,感觉,不错
187,POS,公园,美
187,POS,整体,安静
188,POS,外形,漂亮
189,POS,感觉,喜欢
189,POS,夜景,美
190,POS,植物种类,多
190,POS,种类,多
190,POS,景色,自然
190,POS,酒店,近
190,POS,感觉,值
191,POS,花园,美
191,POS,感觉,喜欢
191,POS,睡莲,漂亮
191,POS,睡莲,漂亮
192,POS,景点,好
193,POS,公园,美
193,POS,地方,地方不错
194,POS,灯光,美
195,POS,感觉,棒
196,POS,环境,好
196,POS,景点不错,
198,POS,花园,美
199,POS,票,方便
200,POS,地方不错,
200,POS,景色,自然
200,POS,景色,美
201,POS,设计,巧妙
201,POS,植物种类,多
201,POS,种类,多
201,NEU,表演,一般
202,POS,司机,热情
202,POS,感觉,方便
203,POS,感觉,漂亮
204,POS,夜景不错,
204,POS,感觉,不错
204,POS,景点,经典
204,POS,门票便宜,
204,POS,选择,合适
204,POS,票价,不贵
204,POS,地址,详细
205,POS,夜景,美
205,POS,夜景,美
206,POS,灯光不错,
206,POS,岁月,静好
207,POS,仙境,一般
207,POS,瀑布,壮观
207,POS,造型不错,
208,POS,景点,美
208,POS,公园,大
208,POS,戏水,不错
209,POS,世界,大
209,POS,朋友,喜欢
210,POS,感觉,喜欢
210,POS,外景,可爱
210,POS,灯光不错,
211,POS,订票,方便
211,POS,整体,好
212,POS,森林不错,
214,POS,地方不错,
214,POS,地方,好
215,POS,感觉,方便
216,POS,交通,方便
216,POS,服务不错,
216,POS,感觉,喜欢
217,NEU,景致,一般
217,POS,效果,棒
217,NEU,天气,一般
218,POS,确实,好看
218,POS,地方不错,
219,POS,景点,好
219,POS,个人,喜欢
220,POS,美景,独特
222,POS,景色,美
222,NEU,价格,贵
224,POS,灯光,还可以
226,POS,灯光不错,
226,POS,感觉,舒服
227,POS,地方,好
227,POS,空气,清新
228,POS,森林,不错
228,POS,感觉,不错
228,POS,灯光不错,
232,POS,确实,好看
233,POS,地方不错,
234,POS,确实,好看
235,POS,环境,美
236,POS,环境,美
237,POS,感觉,漂亮
237,POS,景点不错,
237,POS,空气,清新
238,POS,景点不错,
241,NEU,排队,恶心
242,NEU,总体感觉,一般
243,POS,风格,独特
243,POS,美景不错,
243,POS,设计,独特
243,POS,景色,景色不错
244,POS,景点不错,
245,POS,美景不错,
245,NEU,天色,暗
245,POS,灯光,美
246,POS,夜景,美
248,POS,夜市不错,
249,POS,夜景不错,
251,POS,感觉,喜欢
252,POS,水平,高
252,POS,服务不错,
252,POS,感觉,棒
253,POS,确实,好看
253,POS,灯光不错,
254,POS,景点不错,
255,POS,花园,大
255,POS,植物,美
256,POS,环境,环境不错
257,POS,感觉,不错
258,POS,感觉,棒
259,POS,植物,美
260,POS,朋友,喜欢
263,POS,环境,美
263,POS,风格,独特
264,POS,植物,美
265,POS,感觉,方便
267,POS,温度,还可以
268,POS,设计,棒
271,POS,感觉,方便
272,POS,感觉,漂亮
274,POS,入园,顺畅
275,POS,感觉,漂亮
276,NEU,总体感觉,一般
276,NEU,总体,一般
276,POS,感觉,值
277,POS,世界,大
277,POS,花园,大
278,POS,花园,美
278,POS,设计,棒
279,POS,位置不错,
280,POS,灯光不错,
281,POS,设计不错,
282,POS,感觉,喜欢
282,POS,确实,好看
283,POS,大自然,神奇
284,NEU,花园,不大
284,POS,植被,多
284,POS,感觉,方便
285,POS,景点,美
286,POS,地方,地方不错
286,POS,位置,好
286,POS,景色不错,
286,POS,仙境,一般
287,POS,灯光,美丽
287,POS,选择,非常好
287,POS,环境,棒
287,POS,环境,舒服
287,POS,感觉,不错
287,POS,城市,干净
287,POS,空气,清新
287,POS,美食不错,
288,POS,交通,方便
288,POS,感觉,赞
289,POS,性价比,高
290,POS,花园,美
291,POS,总体不错,
293,POS,感觉,不错
293,POS,景色,美
293,POS,风景,还不错
294,POS,感觉,方便
295,POS,感觉,不错
296,POS,美景,美
296,POS,美景,美
297,POS,感觉,赞
300,POS,夜景,好看
300,POS,灯光,好看
301,POS,地方,美
302,POS,花园,大
302,POS,植物,多
302,POS,湖泊,大
302,POS,植物,美
302,POS,散步,好
303,POS,天气不错,
303,POS,灯光,好
304,POS,感觉,漂亮
305,POS,票价便宜,
307,POS,往下,刺激
308,POS,景点不错,
310,POS,定票,方便
311,POS,感觉,方便
312,POS,景点不错,
313,POS,环境,好
314,POS,好玩,好玩
314,POS,地方,好玩
314,POS,孩子,喜欢
314,POS,地方不错,
315,POS,取票,方便
315,POS,品种,多
315,POS,多肉,可爱
316,NEU,花园,不大
316,POS,感觉,不错
317,NEU,花园,不大
317,POS,感觉,不错
318,NEU,花园,不大
318,POS,感觉,不错
319,NEU,花园,不大
319,POS,感觉,不错
320,POS,酒店,近
321,POS,景点不错,
321,NEU,服务一般,
322,POS,瀑布,美
322,POS,地方,地方不错
323,POS,瀑布,美
323,POS,地方,地方不错
324,POS,感觉,方便
324,POS,地方,多
324,POS,景点,多
326,POS,花园,挺好
327,POS,景点不错,
328,POS,确实,好看
329,POS,花园,大
329,POS,落差,大
330,POS,景色,美丽
330,POS,植被,茂盛
330,POS,花园,大
330,POS,风景不错,
330,POS,地理位置,绝佳
330,POS,美食不错,
331,POS,门票,便宜
331,POS,夜景,美
331,POS,景色,景色不错
332,POS,景色,美丽
332,POS,景色,美
332,POS,避暑,好
332,POS,感觉,漂亮
333,POS,景点不错,
333,POS,造景,棒
333,POS,景点不错,
334,POS,树,赞
334,NEU,地方,一般
334,POS,地铁,方便
335,POS,感觉,漂亮
336,POS,感觉,喜欢
336,POS,感觉,赞
337,POS,感觉,喜欢
337,POS,感觉,赞
338,POS,环境,舒服
338,POS,环境,舒服
339,POS,世界,大
340,POS,景点不错,
340,POS,门票便宜,
341,POS,感觉,漂亮
344,POS,夜景,美
345,POS,花园,大
345,POS,风格,不同
346,POS,感觉,漂亮
346,POS,感觉,漂亮
346,POS,感觉,浪漫
347,POS,花园,大
347,POS,感觉,喜欢
348,POS,花园,美
350,POS,确实,好看
350,POS,夜景,美
351,POS,地方不错,
353,POS,景点不错,
353,POS,景点,壮观
353,POS,景观不错,
355,POS,瀑布,美
355,POS,温度,舒服
356,POS,夜景不错,
357,POS,确实,好吃
357,POS,感觉,开心
357,POS,孩子,开心
358,POS,地方,好
358,POS,演出不错,
359,POS,感觉,棒
359,POS,景点不错,
361,POS,灯光不错,
362,POS,规模,大
362,POS,环境,环境不错
363,POS,景色,美
363,POS,景色,美
364,POS,世界,好看
364,POS,感觉,喜欢
364,POS,感觉,方便
364,POS,瀑布,棒
364,POS,确实,好看
364,POS,灯光不错,
365,POS,景色,美
365,POS,风景,还不错
365,NEU,距离,远
365,POS,票,方便
366,POS,弧线,流畅
366,POS,感觉,漂亮
369,POS,景色,美
369,POS,世界,大
369,NEU,气候,干燥
369,POS,景致不错,
369,POS,展览不错,
369,POS,感觉,喜欢
369,POS,地方,地方不错
369,POS,景色,自然
369,POS,感觉,可爱
370,POS,环境,美
370,POS,味道,棒
370,POS,环境,棒
370,POS,感觉,舒服
370,POS,距离,合适
370,POS,服务,好
370,NEU,上菜,慢
370,POS,位置不错,
371,POS,地方不错,
371,POS,交通,方便
371,POS,地方,好玩
371,POS,景点,著名
371,POS,地方不错,
371,POS,好玩,好玩
371,POS,美食不错,
373,POS,景色,美
374,POS,体验,不错
374,POS,出票,方便
374,POS,服务不错,
374,POS,感觉,方便
375,POS,地方,好玩
375,POS,地方,地方不错
375,POS,灯光不错,
375,POS,景点,好
375,POS,房子,多
375,POS,感觉,不错
375,POS,地方,好吃
376,NEU,气候,干燥
377,POS,花园,大
378,POS,规模小,
378,POS,确实,好看
378,NEU,气温,低
378,POS,阳光不错,
378,POS,整体不错,
378,POS,气候,潮湿
381,POS,确实,好吃
381,POS,森林不错,
381,POS,灯光不错,
381,POS,口感,棒
381,POS,灯光不错,
381,POS,感觉,值
381,POS,海鲜好吃,
381,POS,生意,好
381,POS,虾,好吃
381,NEU,价格,贵
381,POS,风格,美
381,POS,建筑风格,美
382,POS,森林不错,
382,POS,景色,自然
382,POS,拍照,好看
382,POS,灰,惬意
383,POS,景点不错,
384,NEU,气候,干燥
385,POS,花园,不错
385,POS,花园,还不错
385,POS,温室,不错
386,POS,感觉,赞
386,POS,拍照,好
387,POS,灯光不错,
388,POS,门票,多
388,POS,夜景,美
390,POS,华人,多
390,POS,地方不错,
390,POS,夜景,好看
390,POS,灯光不错,
392,POS,门票便宜,
392,POS,感觉,方便
392,POS,感觉,开心
393,POS,灯光不错,
393,POS,大自然,神奇
393,POS,感觉,棒
393,POS,瀑布,美
394,POS,景色,自然
395,POS,设计不错,
395,POS,感觉,方便
396,POS,设计不错,
396,POS,感觉,方便
397,POS,景点不错,
400,POS,景点,美
401,POS,景点,好
401,POS,灯光不错,
402,POS,夜景,美
403,POS,感觉,赞
403,POS,景色,美
403,POS,景色,美
403,POS,感觉,赞
404,POS,海湾,漂亮
405,POS,地方,好
406,POS,花园,美
406,POS,大瀑布,壮观
407,POS,感觉,喜欢
407,POS,设计不错,
408,POS,感觉,方便
408,POS,景区不错,
410,POS,感觉,不错
410,POS,花花草草,漂亮
410,POS,景色,美丽
410,POS,朋友,喜欢
411,POS,景色,美
411,POS,设计不错,
412,POS,地方不错,
412,POS,灯光不错,
413,POS,景点不错,
413,NEU,天气,炎热
413,POS,夜景不错,
413,NEU,夜景,美
414,POS,花园,大
414,POS,景色,美
415,POS,花园,大
415,POS,灯光不错,
416,POS,植物,美
416,POS,灯光不错,
416,NEU,温度,低
417,POS,感觉,棒
417,POS,灯光不错,
418,POS,灯光不错,
419,POS,票价便宜,
420,POS,forest,漂亮
421,POS,地方,地方不错
422,POS,感觉,方便
422,POS,环境,好
422,POS,景观,好
423,POS,感觉,值
423,POS,花花草草,非常好
423,POS,地方,好找
425,POS,环境,好
426,POS,灯光,美
426,POS,身心,愉悦
427,POS,景点不错,
428,POS,公园,大
429,POS,灯光不错,
432,POS,感觉,方便
432,POS,价格,便宜
432,POS,感觉,赞
433,POS,景点不错,
434,POS,总体,好
434,POS,灯光,好
435,POS,维护,好
436,POS,景色,壮观
436,POS,景色,景色不错
436,POS,拍照,好
437,POS,景点不错,
438,POS,地方,舒服
438,POS,地方,棒
438,POS,灯光不错,
440,POS,景点,好
440,POS,问题,没大
440,POS,景点不错,
441,POS,感觉,喜欢
442,POS,景色,美
442,POS,确实,好吃
442,NEU,消费,贵
443,POS,地方不错,
443,POS,景色,美
446,POS,花园,大
449,POS,设计,独特
450,POS,灯光不错,
451,POS,地方不错,
451,POS,景色,美
454,POS,景色,美
454,POS,感觉,方便
456,POS,好玩,好玩
456,POS,老人家,满意
460,POS,景色,美丽
462,POS,买票,非常好
463,POS,买票,非常好
464,POS,花园,美
464,POS,感觉,喜欢
465,POS,夜景不错,
466,POS,品种,多
466,POS,花园,美
466,POS,灯光不错,
466,POS,灯光,好看
467,POS,品种,多
467,POS,花园,美
467,POS,灯光不错,
467,POS,灯光,好看
468,POS,品种,多
468,POS,花园,美
468,POS,灯光不错,
469,POS,公园,美
469,POS,拍照,美
471,POS,地方不错,
471,POS,灯光,美
472,POS,景色,景色不错
472,POS,价格,便宜
473,POS,灯光不错,
473,POS,景点,棒
474,POS,景点不错,
474,POS,朋友,喜欢
475,POS,地方,地方不错
476,POS,瀑布,大
476,POS,景色,美
476,POS,感觉,方便
479,POS,位置不错,
480,POS,环境,美
480,POS,景色,美
481,NEU,温度,低
481,POS,孩子,好
481,POS,公园,棒
482,POS,阳光不错,
482,NEU,阳光,灿烂
482,POS,阳光不错,
482,POS,螃蟹,大
485,POS,瀑布,壮观
486,POS,瀑布,美
486,POS,地方,好
487,POS,灯光不错,
488,POS,感觉,漂亮
488,POS,灯光不错,
488,POS,服务不错,
488,POS,感觉,赞
488,POS,美景不错,
490,POS,价格,便宜
491,POS,感觉,喜欢
491,POS,交通,方便
493,NEU,面积,不算大
493,NEU,植物,一般
497,POS,感觉,漂亮
497,POS,景区不错,
497,POS,灯光,美
498,POS,植物,多
498,POS,地方,大
499,POS,感觉,棒
499,POS,景色,美丽
500,POS,感觉,棒
501,POS,人,喜欢
504,POS,管理不错,
506,POS,感觉,不错
509,POS,景点不错,
510,POS,感觉,赞
511,POS,地方,多
511,POS,外国游客,多
511,NEU,游客,多
512,POS,感觉,方便
512,POS,票,方便
512,POS,取票,方便
512,POS,总体不错,
512,POS,景点不错,
513,POS,景点不错,
513,POS,灯光不错,
514,POS,灯光不错,
515,POS,感觉,漂亮
516,POS,服务,良好
517,POS,夜景,美
518,POS,环境,好
518,NEU,空调,足
519,POS,人,喜欢
520,POS,景色,美
520,POS,景色,美丽
521,POS,景点不错,
521,POS,景点,美
521,POS,确实,好吃
521,POS,整体,安静
522,NEU,档次,不高
522,POS,花园,美
523,POS,鲜花,棒
524,POS,感觉,喜欢
524,POS,个人,喜欢
526,POS,票,方便
526,POS,取票,方便
526,NEU,价格,高
526,NEU,排队,长
526,NEU,排队时间,长
527,POS,瀑布,壮观
527,POS,色彩,好看
528,POS,感觉,不错
528,POS,维护,良好
528,POS,景色,美
528,POS,景色,还不错
529,POS,花园,美
529,POS,地方不错,
529,POS,票,方便
530,POS,环境,好
530,POS,环境,美丽
530,POS,设计不错,
531,POS,灯光,好
532,POS,植物,大
533,POS,布局,合理
535,POS,植物,多
536,NEU,排队时间,长
537,POS,面积,大
537,POS,景色,美
537,POS,灯光,美
538,POS,风景,宜人
539,POS,地方不错,
539,POS,瀑布,壮观
540,NEU,气温,低
541,POS,环境,清新
541,POS,餐饮,丰富
542,POS,感觉,不错
544,POS,灯光不错,
545,POS,面积,大
545,POS,景色,美
546,POS,设计不错,
546,POS,景点,著名
547,POS,景点不错,
549,POS,节假日,多
551,POS,孩子,喜欢
552,POS,感觉,方便
553,POS,灯光不错,
554,POS,感觉,方便
554,POS,地方,美
554,POS,花园,美
557,NEU,景点,少
558,POS,人气,旺
558,POS,夜景,美
560,POS,感觉,漂亮
560,NEU,感觉,冷
561,POS,海湾,漂亮
561,POS,感觉,喜欢
562,POS,地方不错,
564,POS,灯光不错,
565,POS,确实,好看
565,POS,树,漂亮
567,POS,感觉,方便
568,POS,感觉,不错
569,POS,感觉,漂亮
570,POS,景色,美
571,POS,地方不错,
571,POS,环境,环境不错
572,POS,环境,好
572,POS,灯光,绚丽
572,POS,景色,美
573,POS,感觉,棒
573,POS,设计不错,
574,POS,瀑布,壮观
574,POS,瀑布,壮观
576,POS,摩天轮,不错
578,POS,地方,好
579,POS,感觉,不错
579,POS,感觉,不错
580,POS,环境,好
580,POS,夜景,美
582,POS,订票,方便
582,POS,票,方便
582,POS,取票,方便
584,POS,景点不错,
584,POS,灯光不错,
585,POS,感觉,漂亮
586,POS,感觉,不错
588,POS,灯光,美
588,POS,园区,大
589,POS,好玩,好玩
589,POS,孩子,开心
589,POS,地方不错,
590,POS,灯光,好
591,POS,景点,好
592,POS,景色,自然
593,POS,地方,美
593,POS,植物,茂盛
593,POS,花朵,漂亮
593,POS,绿化,棒
593,POS,环境,干净
594,POS,造型,独特
594,POS,植物,美
594,NEU,排队,长
594,NEU,排队时间,长
595,POS,地方不错,
595,POS,地方,美
596,POS,环境,好
597,POS,景色,美
598,POS,感觉,喜欢
598,POS,感觉,棒
599,POS,门票,便宜
600,POS,景色,美
601,POS,景色,美
601,POS,感觉,赞
601,POS,票,方便
601,POS,取票,方便
601,POS,灯光,好看
602,POS,感觉,喜欢
602,POS,可玩性,高
602,POS,样样,齐全
604,POS,设计不错,
604,POS,观赏性,强
605,POS,夜景,美
605,POS,灯光不错,
607,POS,灯光,好
608,POS,灯光不错,
608,POS,灯光不错,
609,POS,景色,壮观
610,POS,商业,繁华
610,NEU,范围,不大
611,POS,感觉,漂亮
611,POS,樱花不错,
611,POS,感觉,赞
612,POS,坐車,方便
613,POS,景点不错,
613,POS,价格,合理
613,NEU,天气,炎热
615,POS,感觉,棒
615,POS,夜景,美
616,POS,夜景,美
617,POS,感觉,漂亮
617,POS,感觉,漂亮
618,POS,景点,美
619,POS,入园,方便
619,POS,景点不错,
619,POS,公园,大
619,POS,环境不错,
620,POS,花园,大
621,POS,表演,很好
623,POS,灯光,美
625,POS,景色,秀丽
625,POS,空气,非常好
625,POS,空气,清新
626,POS,感觉,漂亮
629,POS,公园,好
630,POS,灯光,好
630,POS,灯光效果,好
631,POS,感觉,漂亮
632,POS,地方,地方不错
633,POS,地方,美
634,POS,地方,美丽
636,POS,感觉,漂亮
637,POS,景观,美
638,POS,夜景,美
640,POS,海湾,漂亮
640,POS,灯光不错,
640,POS,位置,好
640,NEU,游客,多
641,POS,地方不错,
642,POS,公园,大
642,POS,景色,美
642,POS,展览不错,
642,POS,公园,棒
644,POS,夜景不错,
645,POS,感觉,喜欢
645,POS,夜景,美
649,POS,植物,美
650,POS,感觉,喜欢
651,POS,感觉,喜欢
653,POS,花园,大
653,POS,总体感觉,好
653,NEU,感觉,冷
656,POS,映像,深刻
656,POS,夜景,美
657,POS,感觉,漂亮
657,POS,设计不错,
657,POS,建筑风格不错,
659,POS,场馆,大
660,POS,地理位置,好
660,POS,位置,好
660,POS,服务,好
660,POS,景点,近
661,POS,景色,美
661,POS,空气,清新
662,POS,感觉,不错
663,NEU,温度,低
665,POS,价格,便宜
666,POS,票价,便宜
666,POS,秩序,好
667,POS,总体不错,
668,POS,感觉,方便
668,POS,感觉,棒
669,POS,景色不错,
670,POS,景点不错,
671,POS,感觉,惬意
671,POS,樱花不错,
673,POS,云雾,很好
673,NEU,票,方便
673,NEU,取票,方便
676,POS,感觉,不错
676,POS,景点不错,
678,POS,感觉,不错
678,POS,景色,美丽
679,POS,感觉,不错
679,POS,植物,美
680,POS,游客,少
681,POS,温度,舒适
681,POS,景点不错,
682,POS,造型,不错
683,POS,景色,自然
686,POS,感觉,方便
686,POS,孩子,喜欢
686,POS,孩子,开心
687,POS,感觉,漂亮
688,POS,感觉,漂亮
689,POS,出票,快
690,NEU,总体感觉,一般
690,NEU,总体,一般
692,POS,地方,大
692,POS,植物,美
692,NEU,价格,高
692,NEU,门票,贵
694,POS,感觉,漂亮
694,POS,景色,景色不错
696,POS,确实,好看
696,POS,运气,好
696,POS,灯光,好看
698,POS,朋友,喜欢
698,POS,价格,实惠
699,POS,灯光不错,
699,POS,位置,好
700,POS,森林不错,
703,POS,感觉,方便
705,POS,冷气,充足
705,POS,感觉,赞
707,POS,避暑,好
708,POS,确实,好看
708,POS,确实,好看
708,POS,确实,好看
711,POS,瀑布,美
712,POS,感觉,漂亮
714,POS,感觉,不错
716,POS,感觉,方便
717,POS,感觉,方便
719,POS,感觉,方便
719,POS,感觉,方便
719,POS,感觉,赞
720,POS,景点不错,
721,POS,景色,美
722,POS,景色,美
722,POS,夜景,美
723,POS,景色,美丽
723,POS,拍出来,好看
723,POS,灯光,绚烂
723,POS,感觉,不错
723,POS,好玩,好玩
725,POS,环境,好
725,POS,空气,清新
726,NEU,内容,少
728,POS,订票,方便
729,NEU,票价,贵
730,POS,景点,大
731,POS,景色,美
732,POS,景点不错,
734,POS,景点不错,
734,POS,设计不错,
734,NEU,优惠,不多
734,POS,感觉,好
736,POS,地方,美
736,NEU,性价比,低
738,POS,世界,大
739,POS,瀑布,美
739,POS,植物,多
740,POS,感觉,漂亮
740,POS,地方不错,
741,POS,价格,便宜
741,POS,感觉,方便
742,POS,好玩,好玩
744,POS,花园,大
744,POS,氛围不错,
744,POS,环境,美
744,POS,美景不错,
745,POS,感觉,喜欢
745,POS,地方不错,
745,POS,设计不错,
746,POS,花园,大
746,POS,美景,自然
746,POS,景色,自然
746,POS,气候不错,
746,POS,美景不错,
746,POS,位置,好
746,POS,衣服不错,
746,NEU,温度,低
746,POS,感觉,赞
747,POS,气候不错,
747,POS,世界,大
747,POS,瀑布,壮观
747,POS,风光不错,
747,POS,灯光不错,
747,POS,感觉,华丽
748,POS,面积,大
748,POS,花园,大
748,POS,气候不错,
748,POS,仙境,一般
