POI_INDEX,ASPECTS,ASPECTS_CRAWLED_TIME
5,climate change,2020-02-15 07:46:11.345053
5,different levels,2020-02-15 07:46:11.361523
5,plant life,2020-02-15 07:46:11.378097
5,beautiful plants,2020-02-15 07:46:11.394303
5,afraid of heights,2020-02-15 07:46:11.411781
5,air conditioned,2020-02-15 07:46:11.429855
5,take your time,2020-02-15 07:46:11.446280
5,visiting singapore,2020-02-15 07:46:11.464993
5,bay,2020-02-15 07:46:11.482785
5,flowers,2020-02-15 07:46:11.497992
5,misting,2020-02-15 07:46:11.514523
5,nature,2020-02-15 07:46:11.531618
5,misty,2020-02-15 07:46:11.548244
5,heat,2020-02-15 07:46:11.565473
5,structure,2020-02-15 07:46:11.581670
5,flora,2020-02-15 07:46:11.597653
5,domes,2020-02-15 07:46:11.614646
5,jacket,2020-02-15 07:46:11.632566
5,conservatory,2020-02-15 07:46:11.648285
6,infinity pool,2020-02-15 07:46:24.753687
6,observation deck,2020-02-15 07:46:24.772698
6,hotel guests,2020-02-15 07:46:24.798707
6,sky park,2020-02-15 07:46:24.818893
6,la vie,2020-02-15 07:46:24.838001
6,marina bay sands,2020-02-15 07:46:24.854790
6,views are amazing,2020-02-15 07:46:24.873663
6,singapore flyer,2020-02-15 07:46:24.891873
6,night view,2020-02-15 07:46:24.911817
6,rooftop bar,2020-02-15 07:46:24.931640
6,laser show,2020-02-15 07:46:24.957202
6,light show,2020-02-15 07:46:24.975120
6,tower,2020-02-15 07:46:25.001720
6,skyline,2020-02-15 07:46:25.022145
6,mbs,2020-02-15 07:46:25.041683
6,ships,2020-02-15 07:46:25.064101
6,sgd,2020-02-15 07:46:25.085133
6,landmark,2020-02-15 07:46:25.106450
6,structure,2020-02-15 07:46:25.124299
7,london eye,2020-02-15 07:46:38.475491
7,ferris wheel,2020-02-15 07:46:38.491149
7,eye view,2020-02-15 07:46:38.507244
7,entire city,2020-02-15 07:46:38.524482
7,city lights,2020-02-15 07:46:38.541722
7,marina bay sands,2020-02-15 07:46:38.560313
7,afraid of heights,2020-02-15 07:46:38.579391
7,night view,2020-02-15 07:46:38.596512
7,air conditioned,2020-02-15 07:46:38.612534
7,take photos,2020-02-15 07:46:38.627777
7,capsule,2020-02-15 07:46:38.644264
7,ride,2020-02-15 07:46:38.662338
7,rotating,2020-02-15 07:46:38.684210
7,queue,2020-02-15 07:46:38.703043
7,skyline,2020-02-15 07:46:38.720574
7,carriage,2020-02-15 07:46:38.738488
7,movement,2020-02-15 07:46:38.756860
7,dusk,2020-02-15 07:46:38.775382
7,track,2020-02-15 07:46:38.791351
7,circuit,2020-02-15 07:46:38.807765
7,ships,2020-02-15 07:46:38.824496
7,sgd,2020-02-15 07:46:38.841402
8,transport system,2020-02-15 07:46:52.469701
8,always on time,2020-02-15 07:46:52.485189
8,ez link card,2020-02-15 07:46:52.500503
8,unlimited travel,2020-02-15 07:46:52.516533
8,travel card,2020-02-15 07:46:52.531981
8,tourist card,2020-02-15 07:46:52.547711
8,trains run,2020-02-15 07:46:52.564262
8,day pass,2020-02-15 07:46:52.580422
8,mrt stations,2020-02-15 07:46:52.596146
8,changi airport,2020-02-15 07:46:52.612336
8,air conditioned,2020-02-15 07:46:52.627871
8,network,2020-02-15 07:46:52.643533
8,systems,2020-02-15 07:46:52.660399
8,commuters,2020-02-15 07:46:52.677229
8,user,2020-02-15 07:46:52.692589
8,frequency,2020-02-15 07:46:52.708081
8,connectivity,2020-02-15 07:46:52.723524
8,passes,2020-02-15 07:46:52.738957
8,efficiency,2020-02-15 07:46:52.755280
8,platform,2020-02-15 07:46:52.774641
8,taxis,2020-02-15 07:46:52.792673
8,punctual,2020-02-15 07:46:52.808393
9,lory loft,2020-02-15 07:47:06.501738
9,waterfall aviary,2020-02-15 07:47:06.516971
9,high flyers show,2020-02-15 07:47:06.533810
9,lorry loft,2020-02-15 07:47:06.549582
9,penguin feeding,2020-02-15 07:47:06.566000
9,penguin coast,2020-02-15 07:47:06.584361
9,tram ride,2020-02-15 07:47:06.601239
9,different species,2020-02-15 07:47:06.618909
9,singapore zoo,2020-02-15 07:47:06.638543
9,night safari,2020-02-15 07:47:06.656435
9,must visit place,2020-02-15 07:47:06.673981
9,public transport,2020-02-15 07:47:06.692160
9,parrots,2020-02-15 07:47:06.710728
9,aviaries,2020-02-15 07:47:06.729344
9,boon,2020-02-15 07:47:06.745948
9,hawk,2020-02-15 07:47:06.762593
9,sails,2020-02-15 07:47:06.779182
9,cage,2020-02-15 07:47:06.796866
9,nature,2020-02-15 07:47:06.813702
9,collection,2020-02-15 07:47:06.829951
9,mrt,2020-02-15 07:47:06.846800
9,habitat,2020-02-15 07:47:06.863876
10,light show,2020-02-15 07:47:19.667110
10,super trees,2020-02-15 07:47:19.719906
10,sky walk,2020-02-15 07:47:19.785556
10,garden rhapsody,2020-02-15 07:47:19.827497
10,elevated walkway,2020-02-15 07:47:19.880736
10,ocbc skyway,2020-02-15 07:47:19.924423
10,every evening,2020-02-15 07:47:19.982803
10,lit up at night,2020-02-15 07:47:20.039933
10,beautiful at night,2020-02-15 07:47:20.104973
10,marina bay sands,2020-02-15 07:47:20.161452
10,visiting singapore,2020-02-15 07:47:20.214634
10,cloud forest,2020-02-15 07:47:20.258501
10,lightshow,2020-02-15 07:47:20.314374
10,avatar,2020-02-15 07:47:20.361575
10,dusk,2020-02-15 07:47:20.408826
10,daylight,2020-02-15 07:47:20.460048
10,daytime,2020-02-15 07:47:20.508536
10,plants,2020-02-15 07:47:20.558287
10,8pm,2020-02-15 07:47:20.616560
10,domes,2020-02-15 07:47:20.662414
10,mrt,2020-02-15 07:47:20.727637
11,sentosa island,2020-02-15 07:47:33.951413
11,mount faber,2020-02-15 07:47:33.994831
11,harbour front,2020-02-15 07:47:34.035522
11,nice ride,2020-02-15 07:47:34.078366
11,aerial view,2020-02-15 07:47:34.119856
11,eye view,2020-02-15 07:47:34.171695
11,vivo city,2020-02-15 07:47:34.256092
11,scared of heights,2020-02-15 07:47:34.313279
11,views are amazing,2020-02-15 07:47:34.362266
11,day pass,2020-02-15 07:47:34.411659
11,cars,2020-02-15 07:47:34.459436
11,harbourfront,2020-02-15 07:47:34.495311
11,attractions,2020-02-15 07:47:34.543572
11,ships,2020-02-15 07:47:34.586808
11,journey,2020-02-15 07:47:34.627664
11,peak,2020-02-15 07:47:34.670981
11,sgd,2020-02-15 07:47:34.711280
11,mrt,2020-02-15 07:47:34.747199
11,bay,2020-02-15 07:47:34.786381
12,lee kuan yew,2020-02-15 07:47:48.777346
12,japanese occupation,2020-02-15 07:47:48.959359
12,beautiful building,2020-02-15 07:47:49.199701
12,special exhibit,2020-02-15 07:47:49.411984
12,interesting history,2020-02-15 07:47:49.633547
12,guided tour,2020-02-15 07:47:49.836171
12,fort canning park,2020-02-15 07:47:49.983494
12,few hours,2020-02-15 07:47:50.182014
12,couple of hours,2020-02-15 07:47:50.353479
12,worth a visit,2020-02-15 07:47:50.579418
12,rainy day,2020-02-15 07:47:50.788280
12,on display,2020-02-15 07:47:51.101393
12,entrance fee,2020-02-15 07:47:51.292923
12,exhibits,2020-02-15 07:47:51.442946
12,rotunda,2020-02-15 07:47:51.639208
12,galleries,2020-02-15 07:47:51.867375
12,independence,2020-02-15 07:47:52.088692
12,culture,2020-02-15 07:47:52.267826
12,founding,2020-02-15 07:47:52.423553
12,singapura,2020-02-15 07:47:52.592443
12,development,2020-02-15 07:47:52.779270
12,film,2020-02-15 07:47:52.995868
13,chinese new year,2020-02-15 07:48:08.889187
13,food street,2020-02-15 07:48:08.922366
13,smith street,2020-02-15 07:48:08.949329
13,chinese food,2020-02-15 07:48:08.980795
13,china towns,2020-02-15 07:48:09.010542
13,cheap souvenirs,2020-02-15 07:48:09.043687
13,people's park,2020-02-15 07:48:09.077554
13,market stalls,2020-02-15 07:48:09.110039
13,souvenir shopping,2020-02-15 07:48:09.142727
13,pagoda street,2020-02-15 07:48:09.176184
13,buddha tooth relic temple,2020-02-15 07:48:09.210505
13,for sale,2020-02-15 07:48:09.252239
13,lots of shops,2020-02-15 07:48:09.293196
13,worth a visit,2020-02-15 07:48:09.327757
13,great place to visit,2020-02-15 07:48:09.360701
13,mrt station,2020-02-15 07:48:09.394374
13,food court,2020-02-15 07:48:09.427846
13,little india,2020-02-15 07:48:09.465858
13,walk around,2020-02-15 07:48:09.509436
13,bargains,2020-02-15 07:48:09.548526
13,gifts,2020-02-15 07:48:09.577757
13,culture,2020-02-15 07:48:09.611199
14,indoor waterfall,2020-02-15 07:48:22.532161
14,canopy park,2020-02-15 07:48:22.562173
14,early check,2020-02-15 07:48:22.603412
14,forest valley,2020-02-15 07:48:22.636117
14,shopping mall,2020-02-15 07:48:22.669513
14,hedge maze,2020-02-15 07:48:22.703219
14,through immigration,2020-02-15 07:48:22.737237
14,latest attraction,2020-02-15 07:48:22.767415
14,last minute shopping,2020-02-15 07:48:22.802317
14,amazing waterfall,2020-02-15 07:48:22.835360
14,between flights,2020-02-15 07:48:22.868003
14,the main attraction,2020-02-15 07:48:22.892571
14,few hours,2020-02-15 07:48:22.921219
14,f b,2020-02-15 07:48:22.956041
14,lots of shops,2020-02-15 07:48:22.989989
14,light show,2020-02-15 07:48:23.024564
14,different levels,2020-02-15 07:48:23.057697
14,food court,2020-02-15 07:48:23.093603
14,food outlets,2020-02-15 07:48:23.121530
14,must visit place,2020-02-15 07:48:23.154032
14,,2020-02-15 07:48:23.187910
14,,2020-02-15 07:48:23.220942
15,light show,2020-02-15 07:48:35.920521
15,laser show,2020-02-15 07:48:35.959492
15,helix bridge,2020-02-15 07:48:35.988730
15,water show,2020-02-15 07:48:36.021865
15,fullerton hotel,2020-02-15 07:48:36.053984
15,shopping mall,2020-02-15 07:48:36.087040
15,singapore flyer,2020-02-15 07:48:36.123147
15,merlion park,2020-02-15 07:48:36.154580
15,infinity pool,2020-02-15 07:48:36.189615
15,nice walk,2020-02-15 07:48:36.221606
15,walk around,2020-02-15 07:48:36.253523
15,observation deck,2020-02-15 07:48:36.287701
15,boat ride,2020-02-15 07:48:36.325171
15,food court,2020-02-15 07:48:36.355533
15,singapore river,2020-02-15 07:48:36.387284
15,clarke quay,2020-02-15 07:48:36.420211
15,skyline,2020-02-15 07:48:36.452286
15,skyscrapers,2020-02-15 07:48:36.480934
15,architecture,2020-02-15 07:48:36.512280
15,stroll,2020-02-15 07:48:36.540890
15,sights,2020-02-15 07:48:36.571271
15,8pm,2020-02-15 07:48:36.603942
16,treetop walk,2020-02-15 07:48:49.648916
16,suspension bridge,2020-02-15 07:48:49.678660
16,venus drive,2020-02-15 07:48:49.708056
16,ranger station,2020-02-15 07:48:49.731899
16,wild monkeys,2020-02-15 07:48:49.761845
16,jelutong tower,2020-02-15 07:48:49.784212
16,great hike,2020-02-15 07:48:49.810845
16,monitor lizards,2020-02-15 07:48:49.836182
16,bring water,2020-02-15 07:48:49.861613
16,concrete jungle,2020-02-15 07:48:49.882599
16,bukit timah,2020-02-15 07:48:49.910067
16,beautiful walk,2020-02-15 07:48:49.930767
16,flora and fauna,2020-02-15 07:48:49.955271
16,heat and humidity,2020-02-15 07:48:49.978658
16,reservoir,2020-02-15 07:48:50.003311
16,trek,2020-02-15 07:48:50.030479
16,11km,2020-02-15 07:48:50.061510
16,exercise,2020-02-15 07:48:50.084697
16,hsbc,2020-02-15 07:48:50.111974
16,canoeing,2020-02-15 07:48:50.135518
16,route,2020-02-15 07:48:50.162812
16,trees,2020-02-15 07:48:50.188607
17,rooftop garden,2020-02-15 07:49:04.001526
17,main hall,2020-02-15 07:49:04.110162
17,monks chanting,2020-02-15 07:49:04.232972
17,fourth floor,2020-02-15 07:49:04.297996
17,buddhist culture,2020-02-15 07:49:04.362648
17,wearing shorts,2020-02-15 07:49:04.412526
17,visiting chinatown,2020-02-15 07:49:04.446543
17,chinatown area,2020-02-15 07:49:04.496313
17,peaceful place,2020-02-15 07:49:04.541828
17,worth a visit,2020-02-15 07:49:04.585205
17,interesting place,2020-02-15 07:49:04.682547
17,take photos,2020-02-15 07:49:04.802114
17,chinese new year,2020-02-15 07:49:04.883468
17,statues,2020-02-15 07:49:04.922950
17,meditation,2020-02-15 07:49:04.957787
17,replica,2020-02-15 07:49:04.997469
17,wheel,2020-02-15 07:49:05.035834
17,donation,2020-02-15 07:49:05.070680
17,worship,2020-02-15 07:49:05.104246
17,incense,2020-02-15 07:49:05.138156
17,sarong,2020-02-15 07:49:05.172649
17,ceremonies,2020-02-15 07:49:05.207692
18,cloud forest,2020-02-15 07:49:18.862956
18,flowers and plants,2020-02-15 07:49:19.038715
18,flower lovers,2020-02-15 07:49:19.216551
18,air conditioned,2020-02-15 07:49:19.379038
18,chinese new year,2020-02-15 07:49:19.537461
18,on display,2020-02-15 07:49:19.696851
18,cactus,2020-02-15 07:49:19.851891
18,bay,2020-02-15 07:49:19.988687
18,baobab,2020-02-15 07:49:20.147666
18,pollen,2020-02-15 07:49:20.322629
18,flora,2020-02-15 07:49:20.477109
18,greenhouse,2020-02-15 07:49:20.592166
18,gardeners,2020-02-15 07:49:20.770296
18,climate,2020-02-15 07:49:20.899169
18,heat,2020-02-15 07:49:21.055432
18,varieties,2020-02-15 07:49:21.212566
18,nature,2020-02-15 07:49:21.399302
18,conservatory,2020-02-15 07:49:21.536013
18,species,2020-02-15 07:49:21.683953
18,thousands,2020-02-15 07:49:21.810988
18,exhibition,2020-02-15 07:49:21.948614
18,structure,2020-02-15 07:49:22.091439
19,singapore river,2020-02-15 07:49:36.280690
19,reverse bungee,2020-02-15 07:49:36.321373
19,river cruise,2020-02-15 07:49:36.370894
19,must visit place,2020-02-15 07:49:36.407383
19,marina bay,2020-02-15 07:49:36.450079
19,walk around,2020-02-15 07:49:36.488860
19,hooters,2020-02-15 07:49:36.526963
19,boats,2020-02-15 07:49:36.564531
19,bridge,2020-02-15 07:49:36.596106
19,expats,2020-02-15 07:49:36.641610
19,stroll,2020-02-15 07:49:36.678262
19,shopping,2020-02-15 07:49:36.711801
19,mrt,2020-02-15 07:49:36.755157
19,indian,2020-02-15 07:49:36.780919
19,chinatown,2020-02-15 07:49:36.813351
20,marina bay sands,2020-02-15 07:49:51.543364
20,half lion,2020-02-15 07:49:51.646998
20,singapore icon,2020-02-15 07:49:51.742160
20,fullerton hotel,2020-02-15 07:49:51.847949
20,iconic statue,2020-02-15 07:49:51.978220
20,photo opportunity,2020-02-15 07:49:52.096681
20,singapore river,2020-02-15 07:49:52.179506
20,take pictures,2020-02-15 07:49:52.239008
20,must visit place,2020-02-15 07:49:52.295778
20,laser show,2020-02-15 07:49:52.376010
20,river cruise,2020-02-15 07:49:52.440808
20,visit singapore,2020-02-15 07:49:52.530525
20,helix bridge,2020-02-15 07:49:52.615674
20,sentosa island,2020-02-15 07:49:52.675484
20,clarke quay,2020-02-15 07:49:52.727113
20,light show,2020-02-15 07:49:52.781501
20,symbol,2020-02-15 07:49:52.822742
20,tourists,2020-02-15 07:49:52.864319
20,selfie,2020-02-15 07:49:52.906091
20,pics,2020-02-15 07:49:52.957750
20,backdrop,2020-02-15 07:49:52.997852
20,fountain,2020-02-15 07:49:53.039885
21,shoppers paradise,2020-02-15 07:50:07.133241
21,shop till you drop,2020-02-15 07:50:07.170286
21,shopping street,2020-02-15 07:50:07.199567
21,high end,2020-02-15 07:50:07.233588
21,shopping heaven,2020-02-15 07:50:07.350268
21,lucky plaza,2020-02-15 07:50:07.430904
21,christmas lights,2020-02-15 07:50:07.500724
21,great shopping,2020-02-15 07:50:07.596089
21,designer shops,2020-02-15 07:50:07.679867
21,international brands,2020-02-15 07:50:07.747326
21,ngee ann city,2020-02-15 07:50:07.816070
21,shopping experience,2020-02-15 07:50:07.897640
21,both sides,2020-02-15 07:50:08.022394
21,lots of shops,2020-02-15 07:50:08.161066
21,food court,2020-02-15 07:50:08.299019
21,takashimaya,2020-02-15 07:50:08.435960
21,gucci,2020-02-15 07:50:08.546021
21,somerset,2020-02-15 07:50:08.654119
21,shopaholic,2020-02-15 07:50:08.817095
21,bargains,2020-02-15 07:50:09.000256
21,tunas,2020-02-15 07:50:09.156784
21,,2020-02-15 07:50:09.307022
22,boat ride,2020-02-15 07:50:23.269418
22,giant pandas,2020-02-15 07:50:23.289173
22,red panda,2020-02-15 07:50:23.308992
22,singapore zoo,2020-02-15 07:50:23.326530
22,jia jia,2020-02-15 07:50:23.344453
22,panda exhibit,2020-02-15 07:50:23.360563
22,amazon flooded forest,2020-02-15 07:50:23.397337
22,quest ride,2020-02-15 07:50:23.414303
22,aquatic animals,2020-02-15 07:50:23.431339
22,sea creatures,2020-02-15 07:50:23.458393
22,main zoo,2020-02-15 07:50:23.479828
22,park hopper,2020-02-15 07:50:23.497410
22,theme park,2020-02-15 07:50:23.513514
22,air conditioned,2020-02-15 07:50:23.532081
22,jurong bird park,2020-02-15 07:50:23.548822
22,aquarium,2020-02-15 07:50:23.565334
22,cruise,2020-02-15 07:50:23.581132
22,jaguar,2020-02-15 07:50:23.597837
22,exhibits,2020-02-15 07:50:23.613374
22,kai,2020-02-15 07:50:23.629768
22,yangtze,2020-02-15 07:50:23.647274
22,freshwater,2020-02-15 07:50:23.663462
23,street art,2020-02-15 07:50:36.741584
23,boutique shops,2020-02-15 07:50:36.772684
23,arab quarter,2020-02-15 07:50:36.808945
23,cool shops,2020-02-15 07:50:36.839065
23,bugis station,2020-02-15 07:50:36.895348
23,kampong glam,2020-02-15 07:50:36.928888
23,sultan mosque,2020-02-15 07:50:36.962973
23,shops selling,2020-02-15 07:50:37.003818
23,both sides,2020-02-15 07:50:37.037127
23,worth a visit,2020-02-15 07:50:37.070197
23,take photos,2020-02-15 07:50:37.101073
23,great place to visit,2020-02-15 07:50:37.136553
23,little india,2020-02-15 07:50:37.168878
23,graffiti,2020-02-15 07:50:37.201775
23,shopping,2020-02-15 07:50:37.235497
23,selfie,2020-02-15 07:50:37.266614
23,paintings,2020-02-15 07:50:37.293763
23,stroll,2020-02-15 07:50:37.322891
23,arts,2020-02-15 07:50:37.354213
23,culture,2020-02-15 07:50:37.383836
23,clothing,2020-02-15 07:50:37.418092
23,trinkets,2020-02-15 07:50:37.451162
24,asian art,2020-02-15 07:50:50.355747
24,supreme court,2020-02-15 07:50:50.387298
24,city hall,2020-02-15 07:50:50.420155
24,holding cells,2020-02-15 07:50:50.451859
24,art pieces,2020-02-15 07:50:50.477429
24,permanent collection,2020-02-15 07:50:50.515133
24,art education,2020-02-15 07:50:50.554642
24,juan luna,2020-02-15 07:50:50.586742
24,local artists,2020-02-15 07:50:50.620012
24,special exhibition,2020-02-15 07:50:50.655747
24,high court,2020-02-15 07:50:50.690322
24,wonderful building,2020-02-15 07:50:50.730969
24,south east asia,2020-02-15 07:50:50.763695
24,works of art,2020-02-15 07:50:50.797132
24,roof garden,2020-02-15 07:50:50.842984
24,on display,2020-02-15 07:50:50.875542
24,amazing architecture,2020-02-15 07:50:50.911271
24,modern architecture,2020-02-15 07:50:50.942588
24,rooftop bar,2020-02-15 07:50:50.975705
24,free admission,2020-02-15 07:50:51.008965
24,few hours,2020-02-15 07:50:51.040486
24,,2020-02-15 07:50:51.072329
25,battle box,2020-02-15 07:51:04.389769
25,guided tour,2020-02-15 07:51:04.416343
25,underground bunker,2020-02-15 07:51:04.445458
25,fort canning park,2020-02-15 07:51:04.467435
25,military history,2020-02-15 07:51:04.497582
25,world war,2020-02-15 07:51:04.527345
25,excellent tour,2020-02-15 07:51:04.550655
25,wax figures,2020-02-15 07:51:04.580038
25,allied forces,2020-02-15 07:51:04.602085
25,events leading up,2020-02-15 07:51:04.632076
25,japanese invasion,2020-02-15 07:51:04.658360
25,british army,2020-02-15 07:51:04.683097
25,knowledgeable guide,2020-02-15 07:51:04.708398
25,self guided,2020-02-15 07:51:04.732792
25,fascinating insight,2020-02-15 07:51:04.761824
25,singapore history,2020-02-15 07:51:04.785797
25,highly recommend this tour,2020-02-15 07:51:04.817188
25,great guide,2020-02-15 07:51:04.844175
25,,2020-02-15 07:51:04.867850
25,,2020-02-15 07:51:04.895502
25,,2020-02-15 07:51:04.916939
25,,2020-02-15 07:51:04.940240
26,hawker centre,2020-02-15 07:51:17.817684
26,hainanese chicken rice,2020-02-15 07:51:17.851320
26,porridge,2020-02-15 07:51:17.882461
26,tian tian,2020-02-15 07:51:17.917014
26,local food,2020-02-15 07:51:17.951836
26,carrot cake,2020-02-15 07:51:17.985391
26,anthony bourdain,2020-02-15 07:51:18.019763
26,rojak,2020-02-15 07:51:18.058032
26,tapioca,2020-02-15 07:51:18.093304
26,fritters,2020-02-15 07:51:18.130305
26,bee hoon,2020-02-15 07:51:18.168242
26,longest queue,2020-02-15 07:51:18.210505
26,sugar cane juice,2020-02-15 07:51:18.243479
26,cheap eats,2020-02-15 07:51:18.274996
26,cheap food,2020-02-15 07:51:18.308280
26,office workers,2020-02-15 07:51:18.344658
26,stalls selling,2020-02-15 07:51:18.402207
26,chinatown area,2020-02-15 07:51:18.438434
26,food court,2020-02-15 07:51:18.497078
26,buddha tooth relic temple,2020-02-15 07:51:18.562846
26,mrt station,2020-02-15 07:51:18.663121
26,,2020-02-15 07:51:18.769485
27,kent ridge park,2020-02-15 07:51:31.571019
27,henderson waves,2020-02-15 07:51:31.603697
27,hort park,2020-02-15 07:51:31.629321
27,forest walk,2020-02-15 07:51:31.655949
27,mount faber,2020-02-15 07:51:31.676569
27,alexandra arch,2020-02-15 07:51:31.700372
27,marang trail,2020-02-15 07:51:31.728823
27,great walk,2020-02-15 07:51:31.753112
27,harbourfront mrt,2020-02-15 07:51:31.778617
27,science park,2020-02-15 07:51:31.799347
27,bukit chandu,2020-02-15 07:51:31.828631
27,telok blangah,2020-02-15 07:51:31.850129
27,cable car,2020-02-15 07:51:31.878588
27,harbour front,2020-02-15 07:51:31.900299
27,jewel box,2020-02-15 07:51:31.928198
27,urban jungle,2020-02-15 07:51:31.950430
27,elevated walkway,2020-02-15 07:51:31.977070
27,bring water,2020-02-15 07:51:31.997198
27,enjoyable walk,2020-02-15 07:51:32.018051
27,pedestrian bridge,2020-02-15 07:51:32.046604
27,lots of water,2020-02-15 07:51:32.070794
27,,2020-02-15 07:51:32.092618
28,south east asia,2020-02-15 07:51:45.724470
28,tang dynasty,2020-02-15 07:51:45.758589
28,se asia,2020-02-15 07:51:45.791877
28,free guided tour,2020-02-15 07:51:45.824464
28,singapore river,2020-02-15 07:51:45.856949
28,special exhibition,2020-02-15 07:51:45.888735
28,different cultures,2020-02-15 07:51:45.920358
28,interesting exhibits,2020-02-15 07:51:45.945780
28,on display,2020-02-15 07:51:45.976614
28,beautiful building,2020-02-15 07:51:46.008811
28,fullerton hotel,2020-02-15 07:51:46.042884
28,singapore history,2020-02-15 07:51:46.074944
28,worth a visit,2020-02-15 07:51:46.109378
28,couple of hours,2020-02-15 07:51:46.141786
28,boat quay,2020-02-15 07:51:46.176405
28,few hours,2020-02-15 07:51:46.214993
28,entrance fee,2020-02-15 07:51:46.341534
28,shipwreck,2020-02-15 07:51:46.435855
28,ceramics,2020-02-15 07:51:46.473774
28,civilization,2020-02-15 07:51:46.505129
28,galleries,2020-02-15 07:51:46.538772
28,,2020-02-15 07:51:46.572356
29,light show,2020-02-15 07:51:59.869917
29,marina bay sands,2020-02-15 07:51:59.894676
29,supertree grove,2020-02-15 07:51:59.931363
29,super tree grove,2020-02-15 07:51:59.969375
29,fear of heights,2020-02-15 07:51:59.997782
29,offers great views,2020-02-15 07:52:00.033139
29,different perspective,2020-02-15 07:52:00.056084
29,garden rhapsody,2020-02-15 07:52:00.087886
29,buy tickets,2020-02-15 07:52:00.117693
