POI,link,num_reviews
Kuan Yin Thong Hood Cho Temple,/Attraction_Review-g294265-d386878-Reviews-Kuan_Yin_Thong_Hood_Cho_Temple-Singapore.html,"
175 reviews
"
Lee Kong Chian Natural History Museum,/Attraction_Review-g294265-d8015325-Reviews-Lee_Kong_Chian_Natural_History_Museum-Singapore.html,"
138 reviews
"
The Changi Museum,/Attraction_Review-g294265-d324543-Reviews-The_Changi_Museum-Singapore.html,"
2,050 reviews
"
Plaza Singapura,/Attraction_Review-g294265-d1640639-Reviews-Plaza_Singapura-Singapore.html,"
318 reviews
"
Singapore Visitor Centre,/Attraction_Review-g294265-d8572446-Reviews-Singapore_Visitor_Centre-Singapore.html,"
651 reviews
"
City Square Mall,/Attraction_Review-g294265-d2139492-Reviews-City_Square_Mall-Singapore.html,"
315 reviews
"
Labrador Nature Reserve,/Attraction_Review-g294265-d2344142-Reviews-Labrador_Nature_Reserve-Singapore.html,"
199 reviews
"
Kusu Island,/Attraction_Review-g294265-d317438-Reviews-Kusu_Island-Singapore.html,"
104 reviews
"
Chinatown Point,/Attraction_Review-g294265-d8015310-Reviews-Chinatown_Point-Singapore.html,"
145 reviews
"
Sri Mariamman Temple,/Attraction_Review-g294265-d324753-Reviews-Sri_Mariamman_Temple-Singapore.html,"
1,019 reviews
"
Faber Peak,/Attraction_Review-g294265-d7221059-Reviews-Faber_Peak-Singapore.html,"
96 reviews
"
Library @ Orchard,/Attraction_Review-g294265-d7254973-Reviews-Library_Orchard-Singapore.html,"
68 reviews
"
Esplanade Park,/Attraction_Review-g294265-d317427-Reviews-Esplanade_Park-Singapore.html,"
433 reviews
"
Hort Park,/Attraction_Review-g294265-d2344355-Reviews-Hort_Park-Singapore.html,"
126 reviews
"
Marina Square,/Attraction_Review-g294265-d2139528-Reviews-Marina_Square-Singapore.html,"
264 reviews
"
Thian Hock Keng Temple,/Attraction_Review-g294265-d317402-Reviews-Thian_Hock_Keng_Temple-Singapore.html,"
297 reviews
"
Marina Bay Sands Casino,/Attraction_Review-g294265-d1062119-Reviews-Marina_Bay_Sands_Casino-Singapore.html,"
1,291 reviews
"
Changi Beach,/Attraction_Review-g294265-d3459679-Reviews-Changi_Beach-Singapore.html,"
144 reviews
"
Raffles Hotel Arcade,/Attraction_Review-g294265-d1492403-Reviews-Raffles_Hotel_Arcade-Singapore.html,"
1,712 reviews
"
Tanjong Pagar,/Attraction_Review-g294265-d3915753-Reviews-Tanjong_Pagar-Singapore.html,"
86 reviews
"
Geylang Serai,/Attraction_Review-g294265-d2049172-Reviews-Geylang_Serai-Singapore.html,"
127 reviews
"
Joo Chiat/Katong,/Attraction_Review-g294265-d2344138-Reviews-Joo_Chiat_Katong-Singapore.html,"
99 reviews
"
Robertson Quay,/Attraction_Review-g294265-d3460002-Reviews-Robertson_Quay-Singapore.html,"
226 reviews
"
Geylang Serai New Market,/Attraction_Review-g294265-d317432-Reviews-Geylang_Serai_New_Market-Singapore.html,"
102 reviews
"
Tekka Centre,/Attraction_Review-g294265-d2338971-Reviews-Tekka_Centre-Singapore.html,"
268 reviews
"
Lucky Plaza,/Attraction_Review-g294265-d317458-Reviews-Lucky_Plaza-Singapore.html,"
668 reviews
"
Bukit Brown Cemetery,/Attraction_Review-g294265-d2547770-Reviews-Bukit_Brown_Cemetery-Singapore.html,"
218 reviews
"
Jurong Point Shopping Mall,/Attraction_Review-g294265-d6981762-Reviews-Jurong_Point_Shopping_Mall-Singapore.html,"
121 reviews
"
People's Park Complex,/Attraction_Review-g294265-d8015306-Reviews-People_s_Park_Complex-Singapore.html,"
147 reviews
"
Kong Meng San Phor Kark See Temple,/Attraction_Review-g294265-d386876-Reviews-Kong_Meng_San_Phor_Kark_See_Temple-Singapore.html,"
101 reviews
"
Pasir Ris Town Park,/Attraction_Review-g294265-d591382-Reviews-Pasir_Ris_Town_Park-Singapore.html,"
123 reviews
"
Marina Bay Cruise Centre,/Attraction_Review-g294265-d6844331-Reviews-Marina_Bay_Cruise_Centre-Singapore.html,"
162 reviews
"
IMM Outlet Mall,/Attraction_Review-g294265-d4717342-Reviews-IMM_Outlet_Mall-Singapore.html,"
336 reviews
"
Holland Village,/Attraction_Review-g294265-d2062367-Reviews-Holland_Village-Singapore.html,"
337 reviews
"
Chinese New Year (China Town),/Attraction_Review-g294265-d8820414-Reviews-Chinese_New_Year_China_Town-Singapore.html,"
86 reviews
"
St Andrew's Cathedral,/Attraction_Review-g294265-d446427-Reviews-St_Andrew_s_Cathedral-Singapore.html,"
392 reviews
"
Tangs Plaza,/Attraction_Review-g294265-d8574463-Reviews-Tangs_Plaza-Singapore.html,"
116 reviews
"
Fountain of Wealth,/Attraction_Review-g294265-d317428-Reviews-Fountain_of_Wealth-Singapore.html,"
638 reviews
"
Jacob Ballas Children's Garden,/Attraction_Review-g294265-d4355521-Reviews-Jacob_Ballas_Children_s_Garden-Singapore.html,"
88 reviews
"
Cathedral of the Good Shepherd,/Attraction_Review-g294265-d379341-Reviews-Cathedral_of_the_Good_Shepherd-Singapore.html,"
66 reviews
"
Indian Heritage Centre,/Attraction_Review-g294265-d8072555-Reviews-Indian_Heritage_Centre-Singapore.html,"
122 reviews
"
Pagoda Street,/Attraction_Review-g294265-d8399607-Reviews-Pagoda_Street-Singapore.html,"
91 reviews
"
Lazarus Island,/Attraction_Review-g294265-d12105952-Reviews-Lazarus_Island-Singapore.html,"
27 reviews
"
313@somerset,/Attraction_Review-g294265-d2139475-Reviews-313_somerset-Singapore.html,"
257 reviews
"
Far East Organization Children's Garden,/Attraction_Review-g294265-d10040709-Reviews-Far_East_Organization_Children_s_Garden-Singapore.html,"
56 reviews
"
Ngee Ann City,/Attraction_Review-g294265-d2139551-Reviews-Ngee_Ann_City-Singapore.html,"
171 reviews
"
Mint Museum of Toys,/Attraction_Review-g294265-d1452075-Reviews-Mint_Museum_of_Toys-Singapore.html,"
268 reviews
"
NUS Baba House,/Attraction_Review-g294265-d1857193-Reviews-NUS_Baba_House-Singapore.html,"
115 reviews
"
Malay Heritage Centre,/Attraction_Review-g294265-d1371240-Reviews-Malay_Heritage_Centre-Singapore.html,"
165 reviews
"
Bukit Batok Nature Park,/Attraction_Review-g294265-d591455-Reviews-Bukit_Batok_Nature_Park-Singapore.html,"
71 reviews
"
Lian Shan Shuang Lin Temple,/Attraction_Review-g294265-d446424-Reviews-Lian_Shan_Shuang_Lin_Temple-Singapore.html,"
36 reviews
"
Singapore Turf Club,/Attraction_Review-g294265-d562954-Reviews-Singapore_Turf_Club-Singapore.html,"
146 reviews
"
Victoria Theatre & Victoria Concert Hall,/Attraction_Review-g294265-d446443-Reviews-Victoria_Theatre_Victoria_Concert_Hall-Singapore.html,"
96 reviews
"
Jurong East Swimming Complex,/Attraction_Review-g294265-d2258396-Reviews-Jurong_East_Swimming_Complex-Singapore.html,"
121 reviews
"
Isetan Scotts,/Attraction_Review-g294265-d1892450-Reviews-Isetan_Scotts-Singapore.html,"
141 reviews
"
Tanah Merah Ferry Terminal,/Attraction_Review-g294265-d1638636-Reviews-Tanah_Merah_Ferry_Terminal-Singapore.html,"
177 reviews
"
Singapore Philatelic Museum,/Attraction_Review-g294265-d446422-Reviews-Singapore_Philatelic_Museum-Singapore.html,"
245 reviews
"
Bishan Ang Mo Kio Park,/Attraction_Review-g294265-d4578243-Reviews-Bishan_Ang_Mo_Kio_Park-Singapore.html,"
70 reviews
"
Admiralty Park,/Attraction_Review-g294265-d7396418-Reviews-Admiralty_Park-Singapore.html,"
34 reviews
"
HarbourFront Centre,/Attraction_Review-g294265-d7797836-Reviews-HarbourFront_Centre-Singapore.html,"
133 reviews
"
West Coast Park,/Attraction_Review-g294265-d2587912-Reviews-West_Coast_Park-Singapore.html,"
80 reviews
"
Telok Ayer Street,/Attraction_Review-g294265-d324751-Reviews-Telok_Ayer_Street-Singapore.html,"
68 reviews
"
Former Ford Factory,/Attraction_Review-g294265-d14149881-Reviews-Former_Ford_Factory-Singapore.html,"
50 reviews
"
St John's Island,/Attraction_Review-g294265-d2344433-Reviews-St_John_s_Island-Singapore.html,"
108 reviews
"
Red Dot Design Museum,/Attraction_Review-g294265-d1937005-Reviews-Red_Dot_Design_Museum-Singapore.html,"
236 reviews
"
Air Force Museum,/Attraction_Review-g294265-d562179-Reviews-Air_Force_Museum-Singapore.html,"
63 reviews
"
Suntec Singapore Convention & Exhibition Centre,/Attraction_Review-g294265-d1419989-Reviews-Suntec_Singapore_Convention_Exhibition_Centre-Singapore.html,"
202 reviews
"
Changi Point Boardwalk,/Attraction_Review-g294265-d8010699-Reviews-Changi_Point_Boardwalk-Singapore.html,"
46 reviews
"
Resorts World Sentosa Casino,/Attraction_Review-g294265-d1994850-Reviews-Resorts_World_Sentosa_Casino-Singapore.html,"
419 reviews
"
Singapore Cricket Club,/Attraction_Review-g294265-d591520-Reviews-Singapore_Cricket_Club-Singapore.html,"
164 reviews
"
Surviving the Japanese Occupation: War and Its Legacies,/Attraction_Review-g294265-d1583427-Reviews-Surviving_the_Japanese_Occupation_War_and_Its_Legacies-Singapore.html,"
175 reviews
"
i Light Marina Bay,/Attraction_Review-g294265-d10020483-Reviews-I_Light_Marina_Bay-Singapore.html,"
49 reviews
"
Floral Fantasy,/Attraction_Review-g294265-d17434131-Reviews-Floral_Fantasy-Singapore.html,"
37 reviews
"
Funan,/Attraction_Review-g294265-d2139508-Reviews-Funan-Singapore.html,"
201 reviews
"
ION Sky,/Attraction_Review-g294265-d2280987-Reviews-ION_Sky-Singapore.html,"
332 reviews
"
Singapore Art Museum,/Attraction_Review-g294265-d310899-Reviews-Singapore_Art_Museum-Singapore.html,"
517 reviews
"
Cavenagh Bridge,/Attraction_Review-g294265-d591456-Reviews-Cavenagh_Bridge-Singapore.html,"
273 reviews
"
River Hongbao,/Attraction_Review-g294265-d8820412-Reviews-River_Hongbao-Singapore.html,"
31 reviews
"
Nex,/Attraction_Review-g294265-d4355205-Reviews-Nex-Singapore.html,"
97 reviews
"
Riverside Point,/Attraction_Review-g294265-d10491239-Reviews-Riverside_Point-Singapore.html,"
41 reviews
"
Marina Bay Singapore Countdown,/Attraction_Review-g294265-d10411295-Reviews-Marina_Bay_Singapore_Countdown-Singapore.html,"
23 reviews
"
Singapore Night Festival,/Attraction_Review-g294265-d8820417-Reviews-Singapore_Night_Festival-Singapore.html,"
31 reviews
"
Orchard Central,/Attraction_Review-g294265-d2139558-Reviews-Orchard_Central-Singapore.html,"
136 reviews
"
House of Tan Teng Niah,/Attraction_Review-g294265-d13147635-Reviews-House_of_Tan_Teng_Niah-Singapore.html,"
31 reviews
"
Sri Krishnan Temple,/Attraction_Review-g294265-d1888871-Reviews-Sri_Krishnan_Temple-Singapore.html,"
94 reviews
"
Bollywood Veggies,/Attraction_Review-g294265-d2344448-Reviews-Bollywood_Veggies-Singapore.html,"
158 reviews
"
The NEWater Visitor Centre,/Attraction_Review-g294265-d1993200-Reviews-The_NEWater_Visitor_Centre-Singapore.html,"
39 reviews
"
HSBC Rain Vortex,/Attraction_Review-g294265-d16824897-Reviews-HSBC_Rain_Vortex-Singapore.html,"
33 reviews
"
Liang Court,/Attraction_Review-g294265-d8653636-Reviews-Liang_Court-Singapore.html,"
66 reviews
"
Central Fire Station,/Attraction_Review-g294265-d591532-Reviews-Central_Fire_Station-Singapore.html,"
103 reviews
"
Sri Srinivasa Perumal Temple,/Attraction_Review-g294265-d317471-Reviews-Sri_Srinivasa_Perumal_Temple-Singapore.html,"
142 reviews
"
Singapore Indoor Stadium,/Attraction_Review-g294265-d2348984-Reviews-Singapore_Indoor_Stadium-Singapore.html,"
58 reviews
"
Coney Island Park,/Attraction_Review-g294265-d8720312-Reviews-Coney_Island_Park-Singapore.html,"
74 reviews
"
Bedok Reservoir Park,/Attraction_Review-g294265-d8010667-Reviews-Bedok_Reservoir_Park-Singapore.html,"
52 reviews
"
Temple Street,/Attraction_Review-g294265-d10850321-Reviews-Temple_Street-Singapore.html,"
44 reviews
"
Istana,/Attraction_Review-g294265-d446430-Reviews-Istana-Singapore.html,"
97 reviews
"
Great World,/Attraction_Review-g294265-d2338979-Reviews-Great_World-Singapore.html,"
150 reviews
"
Gillman Barracks,/Attraction_Review-g294265-d4355460-Reviews-Gillman_Barracks-Singapore.html,"
57 reviews
"
Church of St. Alphonsus,/Attraction_Review-g294265-d12967606-Reviews-Church_of_St_Alphonsus-Singapore.html,"
24 reviews
"
Central Business District,/Attraction_Review-g294265-d317414-Reviews-Central_Business_District-Singapore.html,"
127 reviews
"
Sands Expo and Convention Center,/Attraction_Review-g294265-d8561913-Reviews-Sands_Expo_and_Convention_Center-Singapore.html,"
39 reviews
"
Lower Peirce Reservoir Park,/Attraction_Review-g294265-d8772713-Reviews-Lower_Peirce_Reservoir_Park-Singapore.html,"
26 reviews
"
Tiong Bahru Estate,/Attraction_Review-g294265-d2371793-Reviews-Tiong_Bahru_Estate-Singapore.html,"
99 reviews
"
Punggol Waterway Park,/Attraction_Review-g294265-d9580678-Reviews-Punggol_Waterway_Park-Singapore.html,"
52 reviews
"
Jubilee Bridge,/Attraction_Review-g294265-d11843969-Reviews-Jubilee_Bridge-Singapore.html,"
75 reviews
"
Christmas Wonderland at Gardens By The Bay,/Attraction_Review-g294265-d10020481-Reviews-Christmas_Wonderland_at_Gardens_By_The_Bay-Singapore.html,"
95 reviews
"
Bugis+,/Attraction_Review-g294265-d9990227-Reviews-Bugis-Singapore.html,"
111 reviews
"
Parkview Museum,/Attraction_Review-g294265-d12287411-Reviews-Parkview_Museum-Singapore.html,"
27 reviews
"
Singapore Musical Box Museum,/Attraction_Review-g294265-d9604652-Reviews-Singapore_Musical_Box_Museum-Singapore.html,"
36 reviews
"
Thow Kwang Pottery Jungle and Dragon Kiln,/Attraction_Review-g294265-d5770223-Reviews-Thow_Kwang_Pottery_Jungle_and_Dragon_Kiln-Singapore.html,"
45 reviews
"
The Centrepoint,/Attraction_Review-g294265-d2139485-Reviews-The_Centrepoint-Singapore.html,"
76 reviews
"
Snow City Singapore,/Attraction_Review-g294265-d1550566-Reviews-Snow_City_Singapore-Singapore.html,"
280 reviews
"
The Animal Resort,/Attraction_Review-g294265-d7189348-Reviews-The_Animal_Resort-Singapore.html,"
23 reviews
"
Tanglin Mall Bazaar,/Attraction_Review-g294265-d2338946-Reviews-Tanglin_Mall_Bazaar-Singapore.html,"
76 reviews
"
Orchard Gateway,/Attraction_Review-g294265-d8565683-Reviews-Orchard_Gateway-Singapore.html,"
81 reviews
"
Kallang Wave Mall,/Attraction_Review-g294265-d8452085-Reviews-Kallang_Wave_Mall-Singapore.html,"
69 reviews
"
Sun Yat Sen Nanyang Memorial Hall,/Attraction_Review-g294265-d338367-Reviews-Sun_Yat_Sen_Nanyang_Memorial_Hall-Singapore.html,"
81 reviews
"
National University of Singapore,/Attraction_Review-g294265-d10181429-Reviews-National_University_of_Singapore-Singapore.html,"
32 reviews
"
People of the River,/Attraction_Review-g294265-d2341762-Reviews-People_of_the_River-Singapore.html,"
91 reviews
"
Chingay Parade,/Attraction_Review-g294265-d8820413-Reviews-Chingay_Parade-Singapore.html,"
22 reviews
"
The Arts House,/Attraction_Review-g294265-d317457-Reviews-The_Arts_House-Singapore.html,"
65 reviews
"
Boon Tat St,/Attraction_Review-g294265-d1516755-Reviews-Boon_Tat_St-Singapore.html,"
76 reviews
"
Our Tampines Hub,/Attraction_Review-g294265-d15579001-Reviews-Our_Tampines_Hub-Singapore.html,"
16 reviews
"
Marine Cove Playground,/Attraction_Review-g294265-d10532196-Reviews-Marine_Cove_Playground-Singapore.html,"
24 reviews
"
Statue of Raffles,/Attraction_Review-g294265-d446429-Reviews-Statue_of_Raffles-Singapore.html,"
274 reviews
"
Sri Vadapathira Kaliamman Temple,/Attraction_Review-g294265-d10000540-Reviews-Sri_Vadapathira_Kaliamman_Temple-Singapore.html,"
41 reviews
"
Singapore Discovery Centre,/Attraction_Review-g294265-d446421-Reviews-Singapore_Discovery_Centre-Singapore.html,"
79 reviews
"
Wisma Atria Shopping Centre,/Attraction_Review-g294265-d1516753-Reviews-Wisma_Atria_Shopping_Centre-Singapore.html,"
125 reviews
"
Coney Island Park,/Attraction_Review-g294265-d8720288-Reviews-Coney_Island_Park-Singapore.html,"
29 reviews
"
The Live Turtle and Tortoise Museum,/Attraction_Review-g294265-d1138048-Reviews-The_Live_Turtle_and_Tortoise_Museum-Singapore.html,"
96 reviews
"
Hill Street Building,/Attraction_Review-g294265-d379351-Reviews-Hill_Street_Building-Singapore.html,"
63 reviews
"
Kent Ridge Park,/Attraction_Review-g294265-d2291384-Reviews-Kent_Ridge_Park-Singapore.html,"
57 reviews
"
Sri Senpaga Vinayagar Temple,/Attraction_Review-g294265-d2341794-Reviews-Sri_Senpaga_Vinayagar_Temple-Singapore.html,"
42 reviews
"
Sembawang Hot Spring,/Attraction_Review-g294265-d6538922-Reviews-Sembawang_Hot_Spring-Singapore.html,"
32 reviews
"
Horizon Fast Ferry,/Attraction_Review-g294265-d9787725-Reviews-Horizon_Fast_Ferry-Singapore.html,"
66 reviews
"
GX-5 Xtreme Swing,/Attraction_Review-g294265-d2344540-Reviews-GX_5_Xtreme_Swing-Singapore.html,"
46 reviews
"
Raffles Place Skyscraper Buildings,/Attraction_Review-g294265-d8399830-Reviews-Raffles_Place_Skyscraper_Buildings-Singapore.html,"
76 reviews
"
The Green Corridor,/Attraction_Review-g294265-d7393386-Reviews-The_Green_Corridor-Singapore.html,"
33 reviews
"
Masjid Abdul Gafoor,/Attraction_Review-g294265-d2341783-Reviews-Masjid_Abdul_Gafoor-Singapore.html,"
53 reviews
"
Tampines Mall,/Attraction_Review-g294265-d10538832-Reviews-Tampines_Mall-Singapore.html,"
49 reviews
"
Anderson Bridge,/Attraction_Review-g294265-d591431-Reviews-Anderson_Bridge-Singapore.html,"
126 reviews
"
Vintage Camera Museum,/Attraction_Review-g294265-d12505397-Reviews-Vintage_Camera_Museum-Singapore.html,"
17 reviews
"
Sembawang Park,/Attraction_Review-g294265-d623071-Reviews-Sembawang_Park-Singapore.html,"
35 reviews
"
Chestnut Nature Park,/Attraction_Review-g294265-d12345257-Reviews-Chestnut_Nature_Park-Singapore.html,"
16 reviews
"
Istana Park,/Attraction_Review-g294265-d8124760-Reviews-Istana_Park-Singapore.html,"
45 reviews
"
New Creation Church,/Attraction_Review-g294265-d13150066-Reviews-New_Creation_Church-Singapore.html,"
8 reviews
"
Waterway Point,/Attraction_Review-g294265-d10000725-Reviews-Waterway_Point-Singapore.html,"
52 reviews
"
G-MAX Reverse Bungy,/Attraction_Review-g294265-d941492-Reviews-G_MAX_Reverse_Bungy-Singapore.html,"
156 reviews
"
