"POI_INDEX","WEBSITE_INDEX","POI_NAME","URL","POI_GOOGLE_TRANSLATE_ENGLISH_NAME","POI_CHINESE_NAME","ENG_NAME_SPACE"
68,2,"Pasir Ris Park","/sight/singapore53/1710003.html","Pasir Ris Park","巴西立公园","Pasir Ris Park"
69,2,"Peranakan Museum","/sight/singapore53/1711551.html","Peranakan Museum","土生华人博物馆","Peranakan Museum"
70,2,"Funvee double-decker sightseeing bus","/sight/singapore53/2482154.html","Funvee double-decker sightseeing bus","Funvee双层观光巴士",NA
71,2,"Henderson Waves","/sight/singapore53/1685434.html","Henderson Wave Bridge","亨德森波浪桥","Henderson Waves"
72,2,"Mac Ritchie Nature Trail","/sight/singapore53/1710140.html","MacRitchie Nature Trail","麦里芝自然小径","Mac Ritchie Nature Trail"
73,2,"Singapore City Gallery","/sight/singapore53/1711341.html","Singapore Urban Planning Exhibition Hall","新加坡城市规划展览馆","Singapore City Gallery"
74,2,"Civil Defence Heritage Gallery","/sight/singapore53/1710052.html","Civil Defense and Fire History Museum","民防与消防历史博物廊","Civil Defence Heritage Gallery"
75,2,"Ducktours","/sight/singapore53/1407539.html","Ducktours","DUCKtours鸭子船",NA
76,2,"Emerald Hill","/sight/singapore53/1710144.html","Emerald Hill Road","翡翠山路","Emerald Hill"
77,2,"Big Bus Singapore ...","/sight/singapore53/2482004.html","Big Bus Singapore ...","Big Bus Singapore新加坡观光大巴士",NA
78,2,"STPICreative Workshop Gallery","/sight/singapore53/1710097.html","Taylor's School of Graphic Arts, Singapore","新加坡泰勒纸印艺术学院","STPICreative Workshop Gallery"
79,2,"Sentosa Beach","/sight/sentosa776/25859.html","Sentosa Beach","圣淘沙海滩","Sentosa Beach"
80,2,"Chinatown","/sight/singapore53/25846.html","Chinatown","牛车水原貌馆",NA
81,2,"Singapore Science Centre","/sight/singapore53/1409526.html","Singapore Science Centre","新加坡科学中心",NA
82,2,"Merlion Tower Sentosa","/sight/sentosa776/66797.html","Merlion Tower Sentosa","圣淘沙鱼尾狮塔",NA
83,2,"Entertainment Deckof Changi Airport","/sight/singapore53/1681396.html","Changi Airport Entertainment District","樟宜机场娱乐区","Entertainment Deckof Changi Airport"
84,2,"Maritime Museum","/sight/singapore53/66806.html","Maritime Museum","海事博物馆",NA
85,2,"Rainbow Cake Baking Course","/sight/singapore53/2482168.html","Rainbow Cake Baking Course","彩虹蛋糕烘焙课程",NA
86,2,"Pineapple Stick Baking Course","/sight/singapore53/2482158.html","Pineapple Stick Baking Course","凤梨条手工烘焙课程",NA
87,2,"SMU Parkour Training Course","/sight/singapore53/2482349.html","SMU Parkour Training Course","SMU跑酷训练课程",NA
88,2,"Skate Park","/sight/singapore53/2482167.html","Skate Park Skateboarding Course","滑板公园滑板体验课程","Skate Park"
89,2,"Singapore Turf Club","/sight/singapore53/2482565.html","Kranji Racecourse Experience","克兰芝马场体验","Singapore Turf Club"
90,2,"Open Farm Community Green Yoga Class","/sight/singapore53/2481738.html","Open Farm Community Green Yoga Class","开放式农场社区绿色瑜伽课程",NA
91,2,"Festive Walk","/sight/sentosa776/1407846.html","Festival Boulevard","节庆大道","Festive Walk"
92,2,"Madame Tussauds Singapore","/sight/singapore53/1480769.html","Madame Tussauds Singapore","新加坡杜莎夫人蜡像馆",NA
93,2,"Imbiah","/sight/sentosa776/25865.html","Mount Imbio","英比奥山","Imbiah"
94,2,"Tanjong Beach","/sight/singapore53/107847.html","Tanjong Beach","丹戎海滩","Tanjong Beach"
95,2,"Raffles Place","/sight/singapore53/30051.html","Raffles Place","莱佛士坊","Raffles Place"
96,2,"Boat Quay","/sight/singapore53/25833.html","Boat Quay","驳船码头","Boat Quay"
97,2,"Wing Chun Boxing Martial Arts Workshop","/sight/singapore53/2482476.html","Wing Chun Boxing Martial Arts Workshop","咏春拳武术工作坊课程",NA
98,2,"Fountainof Wealth","/sight/singapore53/132965.html","Fountain of Wealth","财富喷泉","Fountainof Wealth"
99,2,"Cavenagh Bridge","/sight/singapore53/30008.html","Gavenna Bridge","加文纳桥","Cavenagh Bridge"
100,2,"The Slide T","/sight/singapore53/1681438.html","Changi Airport Slide @ T3","樟宜机场溜滑梯@T3","The Slide T"
101,2,"Mint Museumof Toys","/sight/singapore53/132422.html","MINT Toy Museum","MINT玩具博物馆","Mint Museumof Toys"
102,2,"Haw Par Villa Tiger Balm Gardens","/sight/singapore53/3680.html","Haw Par Villa","虎豹别墅","Haw Par Villa Tiger Balm Gardens"
103,2,"Xperience Zoneof Changi Airport","/sight/singapore53/1681440.html","Changi Airport Experience Area","樟宜机场体验区","Xperience Zoneof Changi Airport"
104,2,"Fort Siloso","/sight/singapore53/66800.html","Siloso Battery","西乐索炮台","Fort Siloso"
105,2,"Starlight Changi","/sight/singapore53/5254437.html","Starlight Changi","星耀樟宜",NA
106,2,"Butterfly Park and Insect Kingdom","/sight/singapore53/66799.html","Butterfly Park and Insect Kingdom","蝴蝶公园与昆虫王国",NA
107,2,"Malay Cultural Museum","/sight/singapore53/1409536.html","Malay Cultural Museum","马来文化馆",NA
108,2,"Childrens Playgroundof Changi Airport","/sight/singapore53/1681376.html","Changi Airport Children's Park","樟宜机场儿童乐园","Childrens Playgroundof Changi Airport"
109,2,"The Social Treeof Changi Airport","/sight/singapore53/1681362.html","Changi Airport Social Tree","樟宜机场社交树","The Social Treeof Changi Airport"
110,2,"Crane Danceat Resort World Sentosa","/sight/sentosa776/110026.html","Fairy Crane Ballet Performance","仙鹤芭蕾演出","Crane Danceat Resort World Sentosa"
111,2,"Armenian Church","/sight/singapore53/7547.html","Armenian church","亚美尼亚教堂","Armenian Church"
112,2,"Wave House Sentosa","/sight/singapore53/134484.html","Sentosa surfing area","圣淘沙冲浪区","Wave House Sentosa"
113,2,"Civilian War Memorial","/sight/singapore53/3669.html","Singapore Peace Monument","新加坡和平纪念碑","Civilian War Memorial"
114,2,"Sungei Buloh Wetland Reserve","/sight/singapore53/1409527.html","Sungei Buloh Wetland Reserve","双溪布洛湿地保护区","Sungei Buloh Wetland Reserve"
115,2,"Interactive Art Stationof Changi Airport","/sight/singapore53/1681411.html","Changi Airport Interactive Art Station","樟宜机场互动艺术站","Interactive Art Stationof Changi Airport"
116,2,"Thian Hock Keng Temple","/sight/singapore53/25842.html","Tianfu Temple","天福宫","Thian Hock Keng Temple"
117,2,"Volcano Land","/sight/singapore53/66807.html","Flame mountain","火焰山","Volcano Land"
118,2,"iFly Wind Tunnel Flight","/sight/singapore53/1986765.html","iFly Wind Tunnel Flight","iFly风洞飞行",NA
119,2,"One Fullerton","/sight/singapore53/137343.html","Fullerton One","浮尔顿一号","One Fullerton"
120,2,"St Johns Island","/sight/singapore53/3657.html","Saint john i.","圣约翰岛","St Johns Island"
121,2,"Flower Dome","/sight/singapore53/2054208.html","Flower dome","花穹","Flower Dome"
122,2,"Joo Chiat Community Centre","/sight/singapore53/1410561.html","Katong Nyonya Cultural District","加东娘惹文化区","Joo Chiat Community Centre"
123,2,"Cloud Forest","/sight/singapore53/2054211.html","Cloud Forest Glass House","云雾森林玻璃屋","Cloud Forest"
124,2,"Singapore River Cruise","/sight/singapore53/2479213.html","Singapore River Cruise","新加坡河游船",NA
125,2,"Raffles Landing Site","/sight/singapore53/3675.html","Raffles Landing Site","莱佛士爵士登岸遗址","Raffles Landing Site"
126,2,"Orchidville","/sight/singapore53/7685.html","Orchid Villa","胡姬山庄","Orchidville"
127,2,"Herb Spice Garden","/sight/sentosa776/66804.html","Herbal Spice Garden","草药香料园","Herb Spice Garden"
128,2,"Sentosa 4D Adventure Park","/sight/singapore53/1418247.html","Sentosa 4D Adventure Park","圣淘沙4D探险乐园",NA
129,2,"Sun Yat-sen Nanyang Memorial Hall","/sight/singapore53/7669.html","Sun Yat-sen Nanyang Memorial Hall","孙中山南洋纪念馆",NA
130,2,"Singapore Discovery Centre","/sight/singapore53/3655.html","Chihsin Pavilion","知新馆","Singapore Discovery Centre"
131,2,"Timbre The Substation","/sight/singapore53/136825.html","The Substation","The Substation","Timbre The Substation"
132,2,"Vientiane Museum","/sight/singapore53/66803.html","Vientiane Museum","万象馆",NA
133,2,"Istana","/sight/singapore53/1710192.html","Singapore Presidential Palace","新加坡总统府","Istana"
134,2,"Sentosa Nature Discovery","/sight/singapore53/134481.html","Sentosa Nature Discovery Centre","圣淘沙大自然探索中心","Sentosa Nature Discovery"
135,2,"Shenton Way","/sight/singapore53/3682.html","Shenton Avenue","珊顿大道","Shenton Way"
136,2,"Cine Blast","/sight/sentosa776/25872.html","Motion Cinema","动感电影院","Cine Blast"
137,2,"Changi Village","/sight/singapore53/1683257.html","Changi Village","樟宜村","Changi Village"
138,2,"Abdul Gaffoor Mosque","/sight/singapore53/30009.html","Abdul Kaf Mosque","阿都卡夫清真寺","Abdul Gaffoor Mosque"
139,2,"The Southern Ridges","/sight/singapore53/1710114.html","Southern ridge","南部山脊","The Southern Ridges"
140,2,"Canopy Playgroundof Changi Airport","/sight/singapore53/1681462.html","Canopy Playground, Changi Airport","樟宜机场Canopy游乐场","Canopy Playgroundof Changi Airport"
141,2,"Singapore Management University","/sight/singapore53/1409772.html","Singapore Management University","新加坡管理大学","Singapore Management University"
142,2,"Changi Beach","/sight/singapore53/1683227.html","Changi Beach","樟宜海滩","Changi Beach"
143,2,"Supertree Grove","/sight/singapore53/2056193.html","Great Forest","擎天大树林","Supertree Grove"
144,2,"Library Orchard","/sight/singapore53/1710211.html","Orchard Road Library","乌节路图书馆","Library Orchard"
145,2,"Sakya Muni Buddha Gaya Temple","/sight/singapore53/25844.html","Qiandeng Temple","千灯寺院","Sakya Muni Buddha Gaya Temple"
146,2,"Gogreen Thinking Car Adventure","/sight/sentosa776/134483.html","Gogreen Thinking Car Adventure","Gogreen思维车探险旅程",NA
147,2,"Kusu Island","/sight/singapore53/3685.html","Guiyu Island","龟屿岛","Kusu Island"
148,2,"Kranji War Memorial","/sight/singapore53/7686.html","Kranji Martyrs Monument","克兰芝烈士纪念碑","Kranji War Memorial"
149,2,"The Changi Museum","/sight/singapore53/7683.html","Changi Museum","樟宜博物馆","The Changi Museum"
150,2,"Jurong Lake Gardens","/sight/singapore53/1710044.html","Jurong Lake Garden","裕廊湖花园","Jurong Lake Gardens"
151,2,"Suntec Singapore International Conventionand Exhibition Centre","/sight/singapore53/1710088.html","Suntec City Convention and Exhibition Center","新达城会展中心","Suntec Singapore International Conventionand Exhibition Centre"
152,2,"KidZania Singapore","/sight/singapore53/1929966.html","KidZania Singapore","趣志尼亚（KidZania）新加坡",NA
153,2,"Kuan Im Thong Hood Cho Temple","/sight/singapore53/1710045.html","Guanyintang Buddha Temple","观音堂佛祖庙","Kuan Im Thong Hood Cho Temple"
154,2,"Malabar Mosque","/sight/singapore53/1486932.html","Maraba Mosque","马拉巴清真寺","Malabar Mosque"
155,2,"National Libraryof Singapore","/sight/singapore53/1711293.html","National Library of Singapore","新加坡国家图书馆","National Libraryof Singapore"
156,2,"Kranji Farm","/sight/singapore53/1407538.html","Kranji Farm","可兰芝农场","Kranji Farm"
157,2,"Gogreen Bicycle Rental","/sight/singapore53/2478999.html","Sentosa Bike Roundabout","圣淘沙自行车环岛","Gogreen Bicycle Rental"
158,2,"Zone Xof Changi Airport","/sight/singapore53/1681466.html","Changi Airport Zone X Games Room","樟宜机场Zone X游戏室","Zone Xof Changi Airport"
159,2,"Formula Singapore Grand Prix","/sight/singapore53/2479057.html","F1 Singapore Grand Prix","F1新加坡大奖赛","Formula Singapore Grand Prix"
160,2,"Van Kleef Aquarium","/sight/singapore53/3684.html","Vancliff Aquarium","范克里夫水族馆","Van Kleef Aquarium"
161,2,"Lau Pa Sat","/sight/singapore53/1710055.html","Old Pasar Festival Pavilion","老巴刹祭亭","Lau Pa Sat"
162,2,"OCBCSkyway","/sight/singapore53/2050758.html","OCBC Skyway","OCBC Skyway","OCBCSkyway"
163,2,"Cathedralofthe Good Shepherd","/sight/singapore53/132424.html","Shante Cathedral","善特主教座堂","Cathedralofthe Good Shepherd"
164,2,"Marina Square","/sight/singapore53/108080.html","Marina Square","滨海广场","Marina Square"
165,2,"Tanjong Pagar","/sight/singapore53/1711521.html","Tanjong Pagar","丹戎巴葛","Tanjong Pagar"
166,2,"Central Business District","/sight/singapore53/1710150.html","Central Business District","中央商业区","Central Business District"
167,2,"Ang Mo Kio Town","/sight/singapore53/1710059.html","Ang Mo Kio","宏茂桥","Ang Mo Kio Town"
168,2,"Anderson Bridge","/sight/singapore53/1711259.html","Anderson bridge","安德逊桥","Anderson Bridge"
169,2,"The Luxe House","/sight/singapore53/1485601.html","The Luxe House","The Luxe House","The Luxe House"
170,2,"Central Fire Station","/sight/singapore53/1710117.html","Central Fire Station","中央消防局","Central Fire Station"
171,2,"Kent Ridge Park","/sight/singapore53/1710183.html","Kent Ridge Park","肯特岗公园","Kent Ridge Park"
172,2,"Spectra","/sight/singapore53/2483503.html","Symphony of Lights","幻彩生辉灯光秀","Spectra"
173,2,"Kong Meng San Phor Kark See Temple","/sight/singapore53/1484710.html","Guangmingshan Pujue Temple","光明山普觉禅寺","Kong Meng San Phor Kark See Temple"
174,2,"Rain Forest Lumina","/sight/singapore53/4729341.html","Phantom Rainforest Night","幻光雨林之夜","Rain Forest Lumina"
175,2,"Bedok Reservoir Park","/sight/singapore53/1710082.html","Bedok Reservoir Park","勿洛水库公园","Bedok Reservoir Park"
176,2,"Lian Shan Shuang Lin Temple","/sight/singapore53/1710149.html","Lianshan Shuanglin Temple","莲山双林寺","Lian Shan Shuang Lin Temple"
177,2,"Hajjah Fatimah Mosque","/sight/singapore53/1486916.html","Hacha Fatima Mosque","哈查花蒂玛清真寺","Hajjah Fatimah Mosque"
178,2,"Zouk","/sight/singapore53/1827434.html","Zouk","Zouk","Zouk"
179,2,"Kids STOP","/sight/singapore53/1710103.html","Kids STOP","Kids STOP儿童站",NA
180,2,"Water World","/sight/singapore53/2855626.html","Future Water World","未来水世界","Water World"
181,2,"Jurong Eco Garden","/sight/singapore53/1710202.html","Jurong Eco-Garden","Jurong Eco-Garden","Jurong Eco Garden"
182,2,"Li Guangqian Natural History Museum","/sight/singapore53/1710053.html","Li Guangqian Natural History Museum","李光前自然历史博物馆",NA
183,2,"Sturgeon Bay","/sight/singapore53/1710142.html","Sturgeon Bay","魟鱼湾",NA
184,2,"Tanah Merah Ferry Terminal","/sight/singapore53/1412477.html","Singapore's Tanah Merah Pier (access to Bintan Island ...","新加坡达那美拉码头（通往民丹岛）","Tanah Merah Ferry Terminal"
185,2,"Lakeof Dreams","/sight/sentosa776/1558054.html","Lake of Dreams Performance","梦之湖演出","Lakeof Dreams"
186,2,"Syracuse, Singapore","/sight/singapore53/1558257.html","Syracuse, Singapore","新加坡雪城",NA
187,2,"Garden Rhapsody","/sight/singapore53/2483300.html","Garden Rhapsody","花园狂想曲","Garden Rhapsody"
188,2,"Changi Space Time Museum","/sight/singapore53/5619359.html","Changi Space Time Museum","樟宜时空体验馆",NA
189,2,"Singapore Indoor Stadium","/sight/singapore53/1711310.html","Singapore Indoor Stadium","新加坡室内体育馆","Singapore Indoor Stadium"
190,2,"AJ Hackett Sentosa","/sight/sentosa776/2512560.html","AJ Hackett Sentosa","AJ Hackett圣淘沙",NA
191,2,"Marina Barrage","/sight/singapore53/1711404.html","Marina dike","滨海堤坝","Marina Barrage"
192,2,"National Design Centre","/sight/singapore53/1710161.html","National Design Center","国家设计中心","National Design Centre"
193,2,"Indian Cultural Center","/sight/singapore53/2055866.html","Indian Cultural Center","印度文化中心",NA
194,2,"Padang","/sight/singapore53/1711439.html","Government Building Large Pasture","政府大厦大草场","Padang"
195,2,"Woodlands","/sight/singapore53/1710087.html","Woodlands","兀兰","Woodlands"
196,2,"Labrador Nature Reserve","/sight/singapore53/1710147.html","Labrador Nature Reserve","拉柏多自然保护区","Labrador Nature Reserve"
197,2,"Churchofthe Sacred Heart","/sight/singapore53/1710186.html","Sacred Heart Cathedral","圣心天主堂","Churchofthe Sacred Heart"
198,2,"Sisters Islands","/sight/singapore53/1710077.html","Sister island","姐妹岛","Sisters Islands"
199,2,"Cenotaph","/sight/singapore53/1711538.html","monument","纪念碑","Cenotaph"
200,2,"Our Ladyof Lourdes Church","/sight/singapore53/1710154.html","Our Lady of Lourdes","露德圣母堂","Our Ladyof Lourdes Church"
201,2,"Johore Battery","/sight/singapore53/1683247.html","Johor Fort","柔佛炮台","Johore Battery"
202,2,"Umin Island Cycling","/sight/singapore53/1988787.html","Umin Island Cycling","乌敏岛骑行",NA
203,2,"Digital Light Canvas","/sight/singapore53/5101503.html","Phantom of Light-Digital Light and Shadow Symphony","光之魅影- 数字光影幻彩画幕","Digital Light Canvas"
204,2,"Lower Seletar Reservoir Park","/sight/singapore53/1710172.html","Lower Seletar Reservoir","实里达水库下段","Lower Seletar Reservoir Park"
205,2,"Arab Street","/sight/singapore53/108130.html","Yarra Street","亚拉街","Arab Street"
206,2,"Sampan Rides","/sight/singapore53/5244341.html","Barge experience","舢舨船体验","Sampan Rides"
207,2,"ELO WATER Nitrox Spa","/sight/singapore53/5100543.html","ELO WATER Nitrox Spa","ELO WATER高氧浴水疗中心",NA
208,2,"1-Altitude Skydeck Observation Deck","/sight/singapore53/1989245.html","1-Altitude Skydeck Observation Deck","1-Altitude摩天酒吧观景台",NA
209,2,"Singapore Hong San See","/sight/singapore53/1711498.html","Fengshan Temple","凤山寺","Singapore Hong San See"
210,2,"Singapore Sports Hub","/sight/singapore53/1685655.html","Singapore Sports City","新加坡体育城","Singapore Sports Hub"
211,2,"HeadRock VR Theme Park","/sight/singapore53/5099482.html","HeadRock VR Theme Park","HeadRock VR主题乐园",NA
212,2,"Klive Sentosa","/sight/singapore53/1973045.html","K-live in Sentosa","圣淘沙K-live","Klive Sentosa"
213,2,"Singapore Tea Experience","/sight/singapore53/1998118.html","Singapore Tea Experience","新加坡茶赏体验",NA
214,2,"Airzone","/sight/singapore53/5058343.html","Airzone suspended playground","Airzone悬空游乐场","Airzone"
215,2,"Temple Street","/sight/singapore53/2051598.html","Temple street","Temple Street","Temple Street"
216,2,"Flight Experience","/sight/singapore53/1558111.html","Flight Experience","Flight Experience飞行体验",NA
217,2,"Guanyin Hall","/sight/singapore53/3150463.html","Guanyin Hall","四马路观音堂",NA
218,2,"Art Space Museum","/sight/singapore53/1711317.html","ArtSpace Museum","ArtSpace Museum","Art Space Museum"
219,2,"Supreme Court","/sight/singapore53/1710132.html","Supreme Court","最高法院","Supreme Court"
220,2,"Elgin Bridge","/sight/singapore53/4932192.html","Elgin Bridge","Elgin Bridge","Elgin Bridge"
221,2,"Sasanaransi Buddhist Temple","/sight/singapore53/1710143.html","Singapore Jade Buddha Temple","新加坡缅甸玉佛寺","Sasanaransi Buddhist Temple"
222,2,"Bunker Museum, Singapore","/sight/singapore53/3148719.html","Bunker Museum, Singapore","新加坡碉堡博物馆",NA
223,2,"Empress Place Building","/sight/singapore53/1710104.html","Queen's Place","皇后坊","Empress Place Building"
224,2,"Sri Veeramakaliamman Temple","/sight/singapore53/5127237.html","Sri-Villamakaliamman Temple","斯里-维拉玛卡里雅曼兴都庙","Sri Veeramakaliamman Temple"
225,2,"Telok Ayer Street","/sight/singapore53/2053773.html","Telok Ayer Street","直落亚逸街","Telok Ayer Street"
226,2,"Churchof Saints Peterand Paul","/sight/singapore53/1710129.html","St. Peter's Church","圣伯多禄圣保禄堂","Churchof Saints Peterand Paul"
227,2,"Wild Wild Wet","/sight/singapore53/2085776.html","Wild Wild Wet","Wild Wild Wet水上乐园",NA
228,2,"Omni Theatreby Science Centre Singapore","/sight/singapore53/1711356.html","Omniscience Theatre, Singapore Science Centre","新加坡科学中心欧姆尼剧院","Omni Theatreby Science Centre Singapore"
229,2,"Dalhousie Obelisk","/sight/singapore53/1710095.html","Dachau Monument","达豪施纪念碑","Dalhousie Obelisk"
230,2,"Suntec Duck Boat","/sight/singapore53/4034206.html","Suntec Duck Boat","新达城鸭子船",NA
231,2,"Bounce Singapore","/sight/singapore53/2117144.html","Singapore Bounce Park","新加坡弹跳乐园","Bounce Singapore"
232,2,"Bollywood Veggies","/sight/singapore53/2053327.html","Bollywood Veggies","Bollywood Veggies","Bollywood Veggies"
