REVIEW_INDEX,OVERALL,ASPECTS,ASPECTS_POLARITIES,POLARITY_DIST: CONSUMPTION,POLARITY_DIST: ENVIRONMENT,POLARITY_DIST: F&B,POLARITY_DIST: HYGIENE,POLARITY_DIST: SAFETY,POLARITY_DIST: SERVICE,POLARITY_DIST: SHOPPING,POLARITY_DIST: SIGHTSEEING,POLARITY_DIST: TRANSPORTATION,ASP_NEG_RIO,ASP_NEU_RIO,ASP_POS_RIO,REV_NEG_RIO,REV_NEU_RIO,REV_POS_RIO,TOTAL_ASPECTS
12,NEU,"[""里面"",""买票"",""餐厅""]","[""NEG"",""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,0]","[0,0,0]",0.3333222225925802,0.0,0.6666444451851604,0.0,0.9999000099990001,0.0,3
13,POS,"[""当地人"",""花园"",""花园"",""主题"",""这里""]","[""NEG"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,3]","[0,0,0]",0.3999920001599968,0.0,0.5999880002399952,0.0,0.0,0.9999000099990001,5
14,POS,"[""清晨跑步和夜晚散步"",""纪"",""品商店"",""花茶"",""做"",""小饰品"",""纪念品商店"",""植物园"",""地方"",""跑步""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""NEG"",""POS""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,5]","2,0,1]","[0,0,0]",0.2999970000299997,0.0,0.6999930000699993,0.0,0.0,0.9999000099990001,10
15,NEU,"[""室外"",""风景"",""放松心情"",""这里""]","[""POS"",""POS"",""NEU"",""NEU""]","[0,0,0]","[0,1,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,2]","[0,0,0]",0.0,0.49998750031249223,0.49998750031249223,0.0,0.9999000099990001,0.0,4
16,POS,"[""做有氧运动"",""晚上"",""植物物"",""避暑""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","0,0,2]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
17,POS,"[""公园的入"",""跑步"",""步"",""花园"",""非常"",""人""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,1]",0.1666638889351844,0.0,0.8333194446759221,0.0,0.0,0.9999000099990001,6
18,POS,"[""花园"",""考虑""]","[""POS"",""NEU""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,1,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.49997500124993743,0.49997500124993743,0.0,0.0,0.9999000099990001,2
19,POS,"[""晨晨"",""或者饭散"",""空气"",""野餐"",""地方"",""这里"",""慢跑"",""树""]","[""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""NEG"",""POS""]","[0,0,0]","[1,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,1]","[0,0,0]",0.37499531255859303,0.0,0.6249921875976551,0.0,0.0,0.9999000099990001,8
20,POS,"[""兰花展""]","[""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999000099990001,0.0,0.0,0.9999000099990001,1
21,,,,,,,,,,,,,,,,,,,
22,POS,"[""散步"",""滨海湾花园"",""草坪"",""非常""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,3]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
23,POS,"[""植物园"",""喜欢花花草草的"",""里面好"",""打理"",""品种"",""花草"",""非常"",""吸""]","[""POS"",""NEG"",""NEG"",""POS"",""POS"",""POS"",""NEG"",""POS""]","[0,0,0]","[2,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,3]","[0,0,0]",0.37499531255859303,0.0,0.6249921875976551,0.0,0.0,0.9999000099990001,8
24,POS,"[""走"",""比较""]","[""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.0,0.9999000099990001,2
25,POS,"[""残疾人"",""这里""]","[""POS"",""NEU""]","[0,0,0]","[0,1,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,0]","[0,0,0]",0.0,0.49997500124993743,0.49997500124993743,0.0,0.0,0.9999000099990001,2
26,POS,"[""花卉"",""花卉""]","[""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999500024998749,0.0,0.0,0.9999000099990001,2
27,POS,"[""滨海湾花园"",""不需要门票"",""+植物园"",""+植物园"",""花园"",""走的"",""人"",""人"",""看""]","[""NEG"",""POS"",""POS"",""POS"",""POS"",""NEU"",""NEG"",""NEG"",""NEG""]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","4,0,3]","[0,1,0]",0.4444395062277086,0.11110987655692715,0.4444395062277086,0.0,0.0,0.9999000099990001,9
28,POS,"[""花园"",""水池"",""散步"",""小跑"",""风"",""及随"",""卉"",""走过去"",""是兰花"",""这里"",""这里"",""路"",""凉""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,5]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,1]","0,0,4]","[0,0,1]",0.0,0.0,0.9999923077514788,0.0,0.0,0.9999000099990001,13
29,POS,"[""兰花"",""花园城市"",""花园""]","[""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,3]","[0,0,0]",0.0,0.0,0.9999666677777407,0.0,0.0,0.9999000099990001,3
30,POS,"[""植物园"",""热带雨林一样"",""热带雨林"",""走在里面"",""非常"",""非常"",""非常""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.999985714489793,0.0,0.0,0.9999000099990001,7
31,POS,"[""植物园"",""比较""]","[""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.0,0.9999000099990001,2
32,POS,"[""花园"",""这里"",""非常"",""看""]","[""POS"",""NEU"",""POS"",""NEU""]","[0,0,0]","[0,1,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,1]","[0,0,0]",0.0,0.49998750031249223,0.49998750031249223,0.0,0.0,0.9999000099990001,4
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,POS,"[""地""]","[""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.0,0.0,0.9999000099990001,0.0,0.0,0.9999000099990001,1
36,,,,,,,,,,,,,,,,,,,
37,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
38,POS,"[""品种"",""植物""]","[""POS"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,1]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.0,0.9999000099990001,2
39,POS,[],[],"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.0,0.0,0.0,0.0,0.0,0.9999000099990001,0
40,POS,"[""<植物园"",""里面"",""打理"",""这里"",""非常""]","[""POS"",""POS"",""POS"",""NEG"",""POS""]","[0,0,0]","[1,0,2]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.1999960000799984,0.0,0.7999840003199936,0.0,0.0,0.9999000099990001,5
41,POS,"[""中科院西双版纳热带植物园"",""花园""]","[""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999500024998749,0.0,0.0,0.9999000099990001,2
42,POS,"[""环境"",""免费""]","[""POS"",""POS""]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999500024998749,0.0,0.0,0.9999000099990001,2
43,POS,"[""漫步"",""植物园"",""设计感"",""感受""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
44,POS,"[""这"",""看"",""来这里"",""非常""]","[""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,1]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
45,POS,"[""植物园"",""下面"",""草坪"",""草坪"",""非常"",""非常"",""人""]","[""POS"",""NEG"",""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,3]","[0,0,0]",0.28571020413994086,0.0,0.7142755103498521,0.0,0.0,0.9999000099990001,7
46,POS,"[""花园城市""]","[""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999000099990001,0.0,0.0,0.9999000099990001,1
47,,,,,,,,,,,,,,,,,,,
48,POS,"[""环境"",""空气"",""来这里"",""跑步""]","[""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
49,POS,"[""然景观的观光"",""环境"",""植物"",""自然景观"",""旅行"",""非常"",""人""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,6]","[0,0,0]",0.14285510206997043,0.0,0.8571306124198226,0.0,0.0,0.9999000099990001,7
50,POS,"[""庭出游"",""儿童设施"",""家庭出游"",""热带雨林"",""公园""]","[""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,1]","[0,0,0]","1,0,2]","[0,0,0]",0.1999960000799984,0.0,0.7999840003199936,0.0,0.0,0.9999000099990001,5
51,POS,"[""亭台水池咖啡步道景色"",""兰花园"",""热带雨林"",""花园"",""购票"",""品种"",""景色"",""景色"",""植物"",""步道"",""步道"",""咖啡"",""咖啡"",""规划"",""花"",""水""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS""]","[0,0,3]","[1,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,9]","[0,0,0]",0.12499921875488279,0.0,0.8749945312841795,0.0,0.0,0.9999000099990001,16
52,NEG,"[""环境"",""拍婚纱照"",""自然环境"",""地方"",""公园"",""人"",""看""]","[""POS"",""NEG"",""NEG"",""NEG"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","5,0,1]","[0,0,0]",0.8571306124198226,0.0,0.14285510206997043,0.9999000099990001,0.0,0.0,7
53,POS,"[""不用门票"",""地方"",""出来"",""出来""]","[""POS"",""NEG"",""POS"",""POS""]","[0,0,1]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,0]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
54,NEU,"[""出票"",""站在门口现买"",""价格"",""出票速度"",""出票速度""]","[""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,2]","[0,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.0,0.0,0.999980000399992,0.0,0.9999000099990001,0.0,5
55,POS,"[""的入口就在mrt的出口"",""地上"",""草""]","[""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999666677777407,0.0,0.0,0.9999000099990001,3
56,POS,"[""步行"",""慢跑游览"",""野餐"",""花园"",""花园"",""地方"",""观赏"",""天""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","1,0,4]","[0,0,0]",0.124998437519531,0.0,0.874989062636717,0.0,0.0,0.9999000099990001,8
57,POS,"[""旅游景点"",""这里""]","[""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.0,0.9999000099990001,2
58,NEG,"[""植物""]","[""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,0]","[0,0,0]",0.9999000099990001,0.0,0.0,0.9999000099990001,0.0,0.0,1
59,POS,"[""蝴蝶兰"",""花园"",""花园"",""进去"",""买票"",""树"",""树""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,3]","[0,0,0]",0.28571020413994086,0.0,0.7142755103498521,0.0,0.0,0.9999000099990001,7
60,,,,,,,,,,,,,,,,,,,
61,POS,"[""店"",""馆"",""逛""]","[""POS"",""POS"",""NEU""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","0,1,1]","[0,0,0]",0.0,0.3333222225925802,0.6666444451851604,0.0,0.0,0.9999000099990001,3
62,POS,"[""植物园"",""胡姬花"",""植"",""目的的走走看看"",""花香"",""花香""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","0,0,3]","[0,0,0]",0.0,0.0,0.9999833336111065,0.0,0.0,0.9999000099990001,6
63,POS,"[""胡姬花花园"",""音乐盛宴"",""喜欢花花草草的"",""现场买票"",""花园里面"",""胡姬花"",""当地人"",""花园"",""门票"",""景点"",""地方"",""旅行"",""品种"",""花草""]","[""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS""]","[0,0,1]","[0,0,2]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","3,0,7]","[0,0,0]",0.21428418368440225,0.0,0.7857086735094749,0.0,0.0,0.9999000099990001,14
64,NEU,"[""<植物园"",""高科技"",""植物"",""花香"",""树""]","[""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,3]","[0,0,0]",0.0,0.0,0.999980000399992,0.0,0.9999000099990001,0.0,5
65,POS,"[""景色"",""胡姬花"",""门票""]","[""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999666677777407,0.0,0.0,0.9999000099990001,3
66,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
67,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
68,POS,"[""性价比"",""门票"",""买票"",""非常""]","[""POS"",""POS"",""POS"",""NEG""]","[0,0,1]","[1,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
69,POS,"[""花园"",""发呆"",""地"",""逛""]","[""POS"",""POS"",""NEG"",""NEU""]","[0,0,0]","[0,0,0]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,1]","[0,0,0]",0.24999375015624611,0.24999375015624611,0.49998750031249223,0.0,0.0,0.9999000099990001,4
70,POS,"[""热带雨林保"",""花园"",""门票"",""路""]","[""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[1,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
71,POS,"[""植物园"",""蝴蝶兰"",""植物园"",""草地"",""花""]","[""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[0,0,0]",0.0,0.0,0.999980000399992,0.0,0.0,0.9999000099990001,5
72,,,,,,,,,,,,,,,,,,,
73,NEU,"[""交通"",""空气"",""野餐"",""热带植物"",""+空气"",""+里面"",""地铁""]","[""POS"",""POS"",""POS"",""NEG"",""NEG"",""NEG"",""POS""]","[0,0,0]","[2,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,1]","[0,0,1]",0.4285653062099113,0.0,0.5714204082798817,0.0,0.9999000099990001,0.0,7
74,POS,"[""公园"",""环境"",""空气"",""一定要去"",""一定要去"",""一定要去"",""免费景点"",""门票"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEU""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,6]","[0,0,0]",0.0,0.11110987655692715,0.8888790124554172,0.0,0.0,0.9999000099990001,9
75,POS,"[""兰花"",""人""]","[""POS"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,1]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.0,0.9999000099990001,2
76,NEG,"[""比较"",""看""]","[""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,0]","[0,0,0]",0.9999500024998749,0.0,0.0,0.9999000099990001,0.0,0.0,2
77,POS,"[""扛着相机拍拍拍"",""花花"",""闲庭漫步"",""地方""]","[""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,3]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
78,POS,"[""胡姬花园"",""花园里面"",""花园"",""花园"",""花儿"",""草坪"",""景""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[0,0,0]",0.0,0.0,0.999985714489793,0.0,0.0,0.9999000099990001,7
79,POS,"[""植物园这"",""PUNCT"",""散步"",""空气"",""+空气"",""当地人"",""非常""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEU""]","[0,0,0]","[0,1,2]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.14285510206997043,0.14285510206997043,0.7142755103498521,0.0,0.0,0.9999000099990001,7
80,POS,"[""环境"",""花卉"",""花卉"",""非常"",""人""]","[""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.999980000399992,0.0,0.0,0.9999000099990001,5
81,POS,"[""非常"",""非常""]","[""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.0,0.0,0.9999500024998749,0.0,0.0,0.9999000099990001,2
82,POS,"[""空气"",""植物园"",""兰花园和胡姬花园"",""+植物园"",""胡姬花"",""花园"",""花草"",""花香""]","[""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,4]","[0,0,0]",0.124998437519531,0.0,0.874989062636717,0.0,0.0,0.9999000099990001,8
83,,,,,,,,,,,,,,,,,,,
84,NEG,"[""绿化"",""热带植物"",""热带植物"",""花园城市"",""这个""]","[""POS"",""NEG"",""NEG"",""POS"",""NEG""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","3,0,1]","[0,0,0]",0.5999880002399952,0.0,0.3999920001599968,0.9999000099990001,0.0,0.0,5
