REVIEW_INDEX,OVERALL,ASPECTS,ASPECTS_POLARITIES,POLARITY_DIST: CONSUMPTION,POLARITY_DIST: ENVIRONMENT,POLARITY_DIST: F&B,POLARITY_DIST: HYGIENE,POLARITY_DIST: SAFETY,POLARITY_DIST: SERVICE,POLARITY_DIST: SHOPPING,POLARITY_DIST: SIGHTSEEING,POLARITY_DIST: TRANSPORTATION,ASP_NEG_RIO,ASP_NEU_RIO,ASP_POS_RIO,REV_NEG_RIO,REV_NEU_RIO,REV_POS_RIO,TOTAL_ASPECTS
11,POS,"[""灯光"",""滨海湾花园"",""天大树"",""植物"",""非常"",""灯饰""]","[""POS"",""POS"",""POS"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,3]","[0,0,0]",0.49999166680555324,0.0,0.49999166680555324,0.0,0.0,0.9999000099990001,6
12,POS,"[""滨"",""花园的夜景"",""新加坡滨海花园""]","[""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999666677777407,0.0,0.0,0.9999000099990001,3
13,POS,"[""景点"",""灯光秀"",""滨海湾花园"",""外面"",""花园"",""讲解"",""花穹"",""植物"",""非常"",""凉"",""逛""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,7]","[0,0,0]",0.181816528940646,0.0,0.818174380232907,0.0,0.0,0.9999000099990001,11
14,NEG,"[""地方""]","[""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,0]","[0,0,0]",0.9999000099990001,0.0,0.0,0.9999000099990001,0.0,0.0,1
15,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
16,POS,"[""想观光"",""植物"",""植物种类"",""购票"",""观光"",""凉""]","[""POS"",""POS"",""NEG"",""POS"",""NEG"",""POS""]","[0,0,1]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,2]","[0,0,0]",0.3333277778703688,0.0,0.6666555557407376,0.0,0.0,0.9999000099990001,6
17,POS,"[""环境"",""晚上的表演"",""花园"",""品种"",""感觉"",""馆"",""花"",""看""]","[""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,6]","[0,0,0]",0.249996875039062,0.0,0.7499906251171861,0.0,0.0,0.9999000099990001,8
18,NEG,"[""接驳车的资讯"",""接驳车"",""大太阳"",""晚上"",""白天"",""非常"",""非常""]","[""NEG"",""NEG"",""POS"",""NEG"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[2,0,0]","[0,0,0]","1,0,1]","[0,0,0]",0.4285653062099113,0.0,0.5714204082798817,0.9999000099990001,0.0,0.0,7
19,POS,"[""集"",""滨海湾花园"",""里面"",""草坪"",""干净"",""人""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,3]","[0,0,0]",0.1666638889351844,0.0,0.8333194446759221,0.0,0.0,0.9999000099990001,6
20,NEU,"[""俯瞰花园夜景"",""滨海湾花园+"",""空中花园"",""花园夜景"",""花园"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEU""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,4]","[0,0,0]",0.0,0.1666638889351844,0.8333194446759221,0.0,0.9999000099990001,0.0,6
21,,,,,,,,,,,,,,,,,,,
22,POS,"[""带着小孩一起>"",""带着小孩一起"",""两个花园"",""天"",""逛""]","[""POS"",""POS"",""POS"",""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.3999920001599968,0.0,0.5999880002399952,0.0,0.0,0.9999000099990001,5
23,POS,"[""境"",""之景点"",""白天夜晚"",""景点"",""环境"",""购票"",""亲子"",""亲子"",""生态"",""非常"",""非常""]","[""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS""]","[0,0,1]","[1,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,5]","[0,0,0]",0.181816528940646,0.0,0.818174380232907,0.0,0.0,0.9999000099990001,11
24,POS,"[""景点"",""滨海湾花园"",""空中花园"",""打卡"",""上午""]","[""POS"",""POS"",""POS"",""POS"",""NEU""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,4]","[0,0,0]",0.0,0.1999960000799984,0.7999840003199936,0.0,0.0,0.9999000099990001,5
25,NEG,"[""滨海湾花园+"",""以来"",""人""]","[""POS"",""NEU"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,1,1]","[0,0,0]",0.3333222225925802,0.3333222225925802,0.3333222225925802,0.9999000099990001,0.0,0.0,3
26,POS,"[""处"",""异"",""空气"",""奇花异草"",""奇花异草"",""馆内温度"",""馆内温度"",""纸质票"",""门票"",""售票"",""花的"",""花的"",""进入"",""凉""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[2,0,5]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,5]","[0,0,0]",0.14285612245626816,0.0,0.857136734737609,0.0,0.0,0.9999000099990001,14
27,,,,,,,,,,,,,,,,,,,
28,POS,"[""的景色"",""外面的景色"",""别的地方"",""空调环境"",""花园"",""秩序"",""感受"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[0,0,0]",0.0,0.0,0.999987500156248,0.0,0.0,0.9999000099990001,8
29,POS,"[""<滨海花园"",""票"",""空调"",""服看下花"",""滨海花园"",""换票地点"",""实体票"",""花园"",""换票"",""售票"",""出票"",""出票"",""出票""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,8]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,3]","[0,0,0]",0.0,0.0,0.9999923077514788,0.0,0.0,0.9999000099990001,13
30,NEG,"[""云雾林"",""瀑布"",""灯光秀"",""远处看"",""花穹""]","[""POS"",""POS"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","3,0,2]","[0,0,0]",0.5999880002399952,0.0,0.3999920001599968,0.9999000099990001,0.0,0.0,5
31,POS,"[""灯光秀"",""滨海湾花园"",""南花园"",""花园"",""角度"",""灯光""]","[""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,4]","[0,0,0]",0.3333277778703688,0.0,0.6666555557407376,0.0,0.0,0.9999000099990001,6
32,NEG,"[""灯光音乐秀"",""滨海湾花园"",""网上买票"",""人造景观"",""自然景观"",""下面"",""买票"",""地上"",""草""]","[""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,1]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,5]","[0,0,0]",0.11110987655692715,0.0,0.8888790124554172,0.9999000099990001,0.0,0.0,9
33,POS,"[""湾花园"",""滨海湾花园"",""奇花异草"",""奇花异草"",""观赏"",""这里"",""色彩"",""美景""]","[""POS"",""POS"",""POS"",""POS"",""NEU"",""NEU"",""POS"",""POS""]","[0,0,0]","[0,1,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,5]","[0,0,0]",0.0,0.249996875039062,0.7499906251171861,0.0,0.0,0.9999000099990001,8
34,,,,,,,,,,,,,,,,,,,
35,POS,"[""花穹"",""郁金香花主题展"",""郁金香"",""花园"",""白天"",""花的"",""凉"",""人""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,5]","[0,0,0]",0.124998437519531,0.0,0.874989062636717,0.0,0.0,0.9999000099990001,8
36,NEG,"[""灯光秀"",""躺在树下看"",""云雾林"",""花穹"",""植物"",""超级树的灯光秀"",""没有见过的植物"",""+里面"",""体验"",""音乐"",""音乐""]","[""POS"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""NEG"",""NEG"",""POS"",""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","5,0,5]","[0,0,0]",0.545449586821938,0.0,0.454541322351615,0.9999000099990001,0.0,0.0,11
37,,,,,,,,,,,,,,,,,,,
38,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
39,POS,"[""可以点评购买"",""不行当场买"",""练习摄影的"",""花穹和云雾林"",""点评购买"",""练习摄影"",""两个馆"",""+门票"",""当场买"",""票子"",""拍照"",""构图"",""淘宝"",""气温"",""馆内"",""看"",""拍""]","[""POS"",""POS"",""POS"",""POS"",""NEU"",""POS"",""NEG"",""POS"",""NEG"",""NEU"",""NEU"",""NEG"",""POS"",""NEG"",""NEG"",""POS"",""NEU""]","[1,1,4]","[3,1,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,2,3]","[0,0,0]",0.29411591696519435,0.23529273357215547,0.47058546714431093,0.0,0.0,0.9999000099990001,17
40,NEG,"[""冷气"",""Flower+Dome"",""滨海湾花园"",""灯光秀"",""花园"",""晚上"",""色彩"",""色彩"",""看"",""看""]","[""POS"",""NEG"",""POS"",""NEG"",""POS"",""NEG"",""POS"",""POS"",""NEG"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","5,0,5]","[0,0,0]",0.4999950000499995,0.0,0.4999950000499995,0.9999000099990001,0.0,0.0,10
41,POS,"[""雕像"",""郁金香"",""瀑布"",""景色"",""多肉植物"",""室外花园"",""人造瀑布"",""仙人掌"",""还是很"",""猪笼草"",""花园"",""比较"",""比较"",""植物"",""地"",""人""]","[""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""NEG"",""NEU"",""POS"",""POS"",""NEG"",""NEG"",""NEG"",""NEG"",""POS""]","[0,0,0]","[2,0,0]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","3,1,9]","[0,0,0]",0.37499765626464837,0.062499609377441395,0.5624964843969725,0.0,0.0,0.9999000099990001,16
42,NEU,"[""<夜景"",""表示"",""瀑布"",""室内花园"",""打卡"",""夜景"",""票""]","[""POS"",""NEG"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[1,0,0]",0.14285510206997043,0.0,0.8571306124198226,0.0,0.9999000099990001,0.0,7
43,POS,"[""植物名牌"",""超级树"",""中走廊"",""空中长廊"",""景色"",""滨海湾花园"",""猴面包树"",""在里面"",""多肉"",""用餐"",""关闭""]","[""NEG"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEU"",""NEG"",""NEU"",""POS""]","[0,1,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","2,1,5]","[0,0,0]",0.181816528940646,0.181816528940646,0.636357851292261,0.0,0.0,0.9999000099990001,11
44,NEG,"[""景色"",""院子"",""玻璃屋"",""还是很"",""非常"",""非常"",""人""]","[""POS"",""NEG"",""NEG"",""NEG"",""POS"",""POS"",""NEG""]","[0,0,0]","[1,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","3,0,1]","[0,0,0]",0.5714204082798817,0.0,0.4285653062099113,0.9999000099990001,0.0,0.0,7
45,POS,"[""擎天树的灯光"",""滨海湾花园"",""音乐"",""晚上"",""人"",""人""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,6]","[0,0,0]",0.0,0.0,0.9999833336111065,0.0,0.0,0.9999000099990001,6
46,POS,"[""白"",""风格"",""灯光秀"",""地方"",""白天"",""看的"",""看的""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[0,0,0]",0.0,0.0,0.999985714489793,0.0,0.0,0.9999000099990001,7
47,NEG,"[""把树"",""园区"",""滨海湾花园"",""非常"",""人"",""看""]","[""POS"",""NEG"",""POS"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","3,0,2]","[0,0,0]",0.6666555557407376,0.0,0.3333277778703688,0.9999000099990001,0.0,0.0,6
48,NEG,[],[],"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0
49,NEU,"[""冷气"",""热带的植物""]","[""POS"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,1]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.9999000099990001,0.0,2
50,,,,,,,,,,,,,,,,,,,
51,POS,"[""水狮子"",""雕"",""管理"",""打卡""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,1]","0,0,2]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
52,POS,"[""价"",""滨海湾花园"",""票价"",""票价"",""票价"",""慢跑"",""非常"",""非常""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEU"",""POS"",""POS""]","[0,0,1]","[0,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,4]","[0,0,0]",0.0,0.124998437519531,0.874989062636717,0.0,0.0,0.9999000099990001,8
53,POS,"[""新加坡滨海花园"",""付费"",""观赏""]","[""POS"",""NEU"",""NEU""]","[0,1,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,1]","[0,0,0]",0.0,0.6666444451851604,0.3333222225925802,0.0,0.0,0.9999000099990001,3
54,POS,"[""tree下面"",""感觉""]","[""POS"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,0]","[0,0,0]",0.49997500124993743,0.0,0.49997500124993743,0.0,0.0,0.9999000099990001,2
55,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
56,s 400 – Bad Re,tus 400 – Bad Requ, 400 – Bad Requ,400 – Bad Requ,400 – Bad Requ,P Status 400 – Bad Requ,tus 400 – Bad Requ,tatus 400 – Bad Requ,tus 400 – Bad Requ,us 400 – Bad Requ,400 – Bad Requ, – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req,00 – Bad Req, 400 – Bad Req
57,,,,,,,,,,,,,,,,,,,
58,POS,"[""<滨海湾花园"",""远"",""近看"",""音乐灯光秀"",""站在连廊桥上看"",""滨海湾花园"",""特色植物"",""傍晚去"",""人造树"",""桥上看"",""景点"",""远看"",""打卡"",""购票"",""连廊""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""NEG"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS""]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,1]","[0,0,0]","[0,0,0]","4,0,7]","[0,0,1]",0.2666648889007407,0.0,0.7333284444770368,0.0,0.0,0.9999000099990001,15
59,POS,"[""景点"",""金"",""酒店"",""灯光秀"",""乐"",""滨海湾花园"",""亮灯后"",""地方"",""远看"",""打卡"",""打卡"",""买票"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""POS"",""NEU""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","3,1,7]","[0,0,1]",0.23076745563495665,0.07692248521165222,0.69230236690487,0.0,0.0,0.9999000099990001,13
60,NEU,"[""滨海湾从早到晚"",""灯光秀"",""夜晚的灯光秀"",""白天的气温"",""日出时"",""美食"",""酒店"",""太阳"",""看的"",""天气"",""美景"",""清早"",""清早"",""人"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEU"",""POS"",""NEG"",""NEU"",""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,1]","[0,1,4]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,1,6]","[0,0,0]",0.13333244445037035,0.13333244445037035,0.7333284444770368,0.0,0.9999000099990001,0.0,15
61,POS,"[""树"",""滨海湾花园"",""环保理念"",""花园"",""看"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[0,0,0]",0.0,0.0,0.9999833336111065,0.0,0.0,0.9999000099990001,6
62,POS,"[""室内馆"",""天气里"",""晚上开灯后"",""白天"",""生态"",""天气"",""景""]","[""POS"",""POS"",""POS"",""NEG"",""POS"",""NEG"",""POS""]","[0,0,0]","[1,0,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,3]","[0,0,0]",0.28571020413994086,0.0,0.7142755103498521,0.0,0.0,0.9999000099990001,7
63,POS,"[""晚上去看看"",""瀑布"",""圣诞树""]","[""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999666677777407,0.0,0.0,0.9999000099990001,3
64,POS,"[""树做的造型"",""晚上的时候"",""花园"",""造型"",""美景""]","[""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","1,0,3]","[0,0,0]",0.1999960000799984,0.0,0.7999840003199936,0.0,0.0,0.9999000099990001,5
65,NEG,"[""<滨海湾花园"",""滨海湾花园"",""热带植物"",""孩子"",""照片"",""照片"",""拍""]","[""POS"",""POS"",""NEG"",""NEG"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[1,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","4,0,1]","[0,0,0]",0.7142755103498521,0.0,0.28571020413994086,0.9999000099990001,0.0,0.0,7
66,POS,"[""滨海湾花园"",""灯光亮了之后"",""晚上过来"",""景点"",""景点"",""景点"",""灯光""]","[""POS"",""POS"",""NEU"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,6]","[0,0,0]",0.0,0.14285510206997043,0.8571306124198226,0.0,0.0,0.9999000099990001,7
67,POS,"[""白天""]","[""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999000099990001,0.0,0.0,0.9999000099990001,1
68,POS,"[""海湾花园"",""滨海湾花园"",""工作人员"",""非常"",""非常"",""非常""]","[""POS"",""POS"",""NEG"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[1,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.1666638889351844,0.0,0.8333194446759221,0.0,0.0,0.9999000099990001,6
