POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
53,HollandVillage,122,53,4.2,HollandVillage，Singapore,全天开放,2020-02-16 15:38:58.916318
54,TheArtsHouse,119,54,4.3,"1OldParliamentLn,Singapore179429",10:00-22:00。游客服务中心周一-周日10:00-20:00，公共假日关闭。,2020-02-16 15:40:06.544072
55,BugisVillage,119,55,4.3,"3NewBugisStreet,#03-01,，Singapore188867",9:30-22:00,2020-02-16 15:41:23.760484
56,not available,391,56,4.6,"01-05 Singapore Flyer | Tourist Hub, Singapore, Singapore",9:30-17:30。,2020-02-16 15:42:29.949518
57,FortCanningPark,158,57,4.4,"RiverValleyRd,Singapore179037",全天开放,2020-02-16 15:44:51.305874
58,SingaporePhilatelicMuseum,112,58,4.6,23-BColemanStreet，Singapore179807,"13:00-19:00（周一）,9:30-19:00（周二至周日）。",2020-02-16 15:46:16.846010
59,not available,111,59,4.5,"1 Empress Pl, Singapore 179555",周六-周四10:00-19:00，周五10:00-21:00,2020-02-16 15:47:21.177650
60,JamaeMosque,117,60,4.4,"218SouthBridgeRoad,Singapore058767",周一-周四、周六、周日10:00-18:00；周五10:00-12:00，14:30-18:00；斋戒月的访问时间会有所变化，详情请咨询官网。,2020-02-16 15:48:17.089198
61,WaterfrontPromenade,95,61,4.7,2BayfrontAvenue,全天开放。,2020-02-16 15:49:22.140362
62,not available,109,62,4.6,"10A Siloso Beach Walk, Singapore 099008",11:00-19:00（周一-周日）,2020-02-16 15:50:15.823656
63,IONSky,113,63,4.6,"2OrchardTurnIONOrchard,Level56,Singapore238801",2020年1月27日-2月2日：Adventures in Food Wonderland by Ang Ku Kueh Girl® and Friends™演出时间14:00、16:00、19:00；The Transformation of Orchard Road by Dick Lee演出时间15:00、17:00、20:00。演出时间随节目安排会有变动，详情请参考官网公示信息。,2020-02-16 15:51:05.035653
64,not available,183,64,4.4,26 Sentosa Gateway #01-43/44,全年  09:00-21:00；其中最晚入园时间为20:00。此开放时间仅供参考，景区可能临时变更开放时间而不提前通知，请以现场景区的开放时间为准。,2020-02-16 15:52:11.240908
65,PunggolBeach,72,65,4.3,22PunggolRoad-Track19,全天开放,2020-02-16 15:53:37.489036
66,MacRitchieReservoir,62,66,4.7,"OffLornieRoad,Singapore",8:00-19:00,2020-02-16 15:54:32.819608
67,DempseyHill,69,67,4.3,Blk8D#03-01，DempseyRoad，Singapore249679,全天开放,2020-02-16 15:55:13.816746
68,PasirRisPark,79,68,4.3,"PasirRisCentral,Singapore510534",全天开放。,2020-02-16 15:55:58.243613
69,PeranakanMuseum,77,69,4.5,"39ArmenianStreet,Singapore179941,Singapore",周一-周四、周六、周日10:00-19:00，周五10:00-21:00,2020-02-16 15:56:42.067484
70,not available,0,70,4.4,"6 Raffles Blvd, 01-221, Singapore 039594",,2020-02-16 15:57:34.926225
71,HendersonWaves,55,71,4.5,HendersonRoad;SouthernRidges;BukitMerahSingapore159557,全天开放,2020-02-16 15:58:10.483467
72,MacRitchieNatureTrail,41,72,4.5,"MacRitchieReservoirPark,Singapore298717",周一10:00–20:00，周二-周五9:00-17:00；周六、周日8:30-17:00。,2020-02-16 15:58:47.093770
73,SingaporeCityGallery,54,73,4.5,"45MaxwellRoad,TheURACentre,069118",周一-周六9:00-17:00，周日、公众假期休息。,2020-02-16 15:59:29.316613
74,CivilDefenceHeritageGallery,67,74,4.2,62HillSt，Singapore179367,周二-周日10:00-17:00，周一关闭。,2020-02-16 16:00:14.814757
75,not available,1077,75,4.6,"220 Orchard Rd, #B1-03 Midpoint Orchar",10：00至傍晚18：00。,2020-02-16 16:00:52.524592
76,EmeraldHill,67,76,4.5,"OffOrchardRoad,Singapore,Singapore",全天开放,2020-02-16 16:07:07.983042
77,not available,0,77,4.6,Suntec City Unit #01-330,,2020-02-16 16:07:51.034328
78,STPICreativeWorkshopGallery,34,78,4.4,41RobertsonQuay，Singapore238236,"周一-周五10:00-19:00;周六9:00-18:00,周日及节假日关闭。",2020-02-16 16:08:19.663295
79,SentosaBeach,311,79,4.5,"SantosaIsland,Singapore",11:00-21:00,2020-02-16 16:08:48.177447
80,not available,286,80,4.5,"48 Pagoda Street, Singapore 059207, Singapore",9:00-20:00（周一至周日），最后入场时间为19:00。每个月的第一个周一闭馆。,2020-02-16 16:11:12.282992
81,not available,654,81,4.7,15 Science Centre Road Singapore 609081,全年  10:00-18:00；科学馆：每天: 10:00am-6:00pm (最晩入场时间 5:15pm)；  萬像电影馆：星期一至五: 12:00pm-6:00pm (最晩一场表演 5:00pm) 周末，学校假期和假日 12:00pm-7:00pm (最晩一场表演时间6:00pm) 2019年闭馆日期：1月7/14/21日；2月4/18/25日。。,2020-02-16 16:13:03.247512
82,not available,473,82,4.5,"30 Imbiah Road, Sentosa Island, Singapore 099958",10:00-20:00（周一-周日）（最后入场时间晚上19:30）,2020-02-16 16:16:52.969450
83,EntertainmentDeckofChangiAirport,162,83,4.8,新加坡樟宜机场T2三层离境过境区域（靠近向日葵花园）,全天开放。娱乐区内各设施开放时间不同，详情请参考樟宜机场官网。,2020-02-16 16:19:45.807082
84,not available,202,84,4.5,8 Sentosa Gateway， Resorts World Sentosa,全年  10:00-19:00；1、海事博物馆特殊开放时间为10:00-20:00的日期：1月25/26日；开放时间为10:00-18:00的日期：2月24日。2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；。,2020-02-16 16:21:04.321489
85,,9,85,4.4,"Blk333,KretaAyerRoad,#03-23",,2020-02-16 16:22:16.539003
86,,5,86,4,"Blk333,KretaAyerRoad,#03-23",,2020-02-16 16:22:42.353174
87,,2,87,5,SMUSchoolofInformationSystems-BigSteps,,2020-02-16 16:22:58.899522
88,SkatePark,3,88,4.3,"31ExeterRd,Singapore239732",,2020-02-16 16:23:15.128747
89,SingaporeTurfClub,2,89,4.5,"1TurfClubAvenue,SingaporeRacecourse,Singapore738078​",,2020-02-16 16:23:31.166608
90,,2,90,3.5,"Singapore,130EMindenRd,Singapore248819",,2020-02-16 16:23:46.613198
91,FestiveWalk,147,91,4.5,"FestiveWalk,Singapore",全天开放,2020-02-16 16:24:01.813399
92,not available,177,92,4.7,40 Imbiah Road， Sentosa， Singapore 099700,周一至周五：10:00-20:30  最后入馆时间为19:00。特殊日期开放时间：11月9日开放时间为16:15-19:00。以上时间仅供参考，具体以景区当天的安排为准。,2020-02-16 16:25:14.568516
93,Imbiah,120,93,4.4,"Imbiah,（圣淘沙境内）",全天开放,2020-02-16 16:26:32.252725
94,TanjongBeach,133,94,4.5,120TanjongBeachWalk,全天开放。,2020-02-16 16:27:28.294129
95,RafflesPlace,99,95,4.5,"RafflesPlace,Singapore",全天开放,2020-02-16 16:28:39.680939
96,BoatQuay,127,96,4.4,"BonhamSt,Singapore049782",全天开放,2020-02-16 16:29:36.931977
97,,1,97,3,HougangAve7,,2020-02-16 16:30:48.390439
98,FountainofWealth,115,98,4.3,3TemasekBlvd,10:00-12:00;14:00-16:00;18:00-19:30,2020-02-16 16:31:07.942709
99,CavenaghBridge,133,99,4.5,"1FullertonSquare,Singapore049178",全天开放,2020-02-16 16:32:01.767963
100,TheSlideT,84,100,4.5,新加坡樟宜机场T3一层入境大厅,12:00-22:30,2020-02-16 16:33:02.024994
101,MintMuseumofToys,175,101,4.3,26SeahSt,9:30-18:30（最晚入园时间18:00）,2020-02-16 16:33:47.400469
102,HawParVillaTigerBalmGardens,99,102,4.3,"262PasirPanjangRoad,Singapore118628",9:00-22:00（最晚入园时间21:30）；Ten Courts of Hell：9:00-21:30（最后入场时间为21:15）。,2020-02-16 16:35:20.062130
103,XperienceZoneofChangiAirport,81,103,4.8,新加坡樟宜机场T2二层离境过境区域中央的LeeHwa钻石店后面,全天开放,2020-02-16 16:36:12.508179
104,FortSiloso,111,104,4.2,"Siloso,SentosaIsland,Singapore",10:00-18:00（最迟入场下午17:30）,2020-02-16 16:37:08.467351
105,not available,87,105,4.8,"78 Airport Blvd, Singapore 819666",10:00-22:00，各小景点的开放时间以现场实际情况为准。,2020-02-16 16:38:10.355025
106,not available,159,106,4.3,51 Imbiah Rd， Sentosa，, 9:30-19:00（周一-周日） (最迟入场下午18:30）,2020-02-16 16:38:49.842043
107,not available,100,107,4.4,"85 Sultan Gate, Singapore 198501","周一休馆，周二至周日：10:00-18:00（最后入馆时间为下午17:30）。  免费英文导览：周二与周五（11:00 AM） / 周二 与 四（2：00pm） / 周六（2:00 PM） 
免费中文导览：每月第三个周六（1:00 PM）",2020-02-16 16:39:52.182498
108,ChildrensPlaygroundofChangiAirport,69,108,4.6,新加坡樟宜机场T1、T2、T3的离境过境区域内,全天开放,2020-02-16 16:40:36.928801
109,TheSocialTreeofChangiAirport,66,109,4.5,新加坡樟宜机场T1二层离境过境区域中央广场,全天开放,2020-02-16 16:41:26.190459
110,CraneDanceatResortWorldSentosa,82,110,4.7,"8SentosaGateway,",20:00开始。,2020-02-16 16:42:14.636544
111,ArmenianChurch,118,111,4.4,"60HillSt,Singapore179366",10:00-18:00,2020-02-16 16:43:00.896244
112,WaveHouseSentosa,77,112,4.5,圣淘沙西乐索海滩步道36号,周一-周五11:30-21:30 周末和新加坡公众假期10:30-21:30,2020-02-16 16:44:01.421424
113,CivilianWarMemorial,139,113,4.3,"WarMemorialParkBeachRoad,Singapore",全天开放,2020-02-16 16:44:43.313966
114,SungeiBulohWetlandReserve,76,114,4.5,301NeoTiewCrescentSingapore718925,7:30-19:00（周一至周六）；7:00-19:00（周日与公共假日）,2020-02-16 16:45:48.737735
115,InteractiveArtStationofChangiAirport,46,115,4.5,新加坡樟宜机场T1、T2、T3,全天开放,2020-02-16 16:46:33.185430
116,ThianHockKengTemple,100,116,4.3,158TelokAyerStreet,7:30-17:30,2020-02-16 16:47:04.975871
117,VolcanoLand,57,117,4.3,39ArtilleryAve,暂停营业,2020-02-16 16:47:59.997777
118,not available,142,118,4.7,"#01 Sentosa Island, 43 Siloso Beach Walk, 01, Singapore 099010",周一、周二、周四和周五（10:00-21:30），周三（12:00-21:30），周六和周日（10:00-11:30，12:00-17:30，18:00-21:30），其中2020年的1月15日提早闭园（最后一场飞行时间在17点，因此您至少需要在16点前在柜台办理登记）。,2020-02-16 16:48:30.897464
119,OneFullerton,99,119,4.4,1FullertonRd,全天开放,2020-02-16 16:49:36.157680
120,StJohnsIsland,50,120,4.3,StJohn'sIsland，Singapore,,2020-02-16 16:50:29.272808
121,FlowerDome,100,121,4.6,"18MarinaGardensDriveGardensBytheBay,Singapore018953,Singapore",9:00-21:00，最后售票时间：20:00；最后入场时间：20:00。,2020-02-16 16:51:01.175944
122,JooChiatCommunityCentre,81,122,4.3,"113EastCoastRoad,Singapore428803",全天开放,2020-02-16 16:51:52.143890
123,CloudForest,112,123,4.9,"GardensbytheBay|18MarinaGardensDrive,Singapore018953,Singapore",9:00-21:00，最后入场和售票时间为20:00。迷雾时间10:00、12:00、14:00、 16:00、18:00、20:00。更多开放时间请以官网公示为准。,2020-02-16 16:52:40.164525
124,not available,45,124,4.8,"Singapore River, Singapore","每天9:00 AM - 23:00 PM（每30分钟一班）
最后一班船出发时间为22:30 PM",2020-02-16 16:53:41.421500
125,RafflesLandingSite,126,125,4.2,"SingaporeRiver,attheendofOldParliamentLane,Singapore",全天开放,2020-02-16 16:59:17.527201
126,Orchidville,52,126,4.3,"82SungeiTengahRd,Singapore698985",周一-周日9:30-21:30，公共假日9:30-21:30。,2020-02-16 17:00:28.752059
127,HerbSpiceGarden,48,127,4.5,在圣淘沙鱼尾狮公园后面,,2020-02-16 17:01:15.259141
128,not available,137,128,4.1,51B Imbiah Road,11:00-19:30 其中4合1游戏配套的最后入场时间：18:00；单项游戏的最后入场时间：19:15，以上时间仅供参考，具体以景区现场安排为准。,2020-02-16 17:01:49.228929
129,not available,85,129,4.3,"12 Tai Gin Road Sun Yat Sen Nanyang Memorial Hall, Singapore 327874, Singapore","周二-周日10:00-17:00，周一休馆。（最晚入园时间16:30） 免费英文向导：周二 - 周五：2:00 PM / 周六 - 周日：3:00 PM
 免费普通话向导：周二，周四，周六，周日：2:30 PM
",2020-02-16 17:02:57.002458
130,SingaporeDiscoveryCentre,75,130,4.2,510UpperJurongRoad,周二-周日9:00-18:00，周一闭馆（公共假期和学期假期除外）。,2020-02-16 17:03:40.580053
131,TimbreTheSubstation,29,131,4.3,"45ArmenianStreet,Singapore179936,Singapore",周二-周四、周日18:00-次日1:00，周五、周六18:00-次日2:00，周一关闭,2020-02-16 17:04:19.153976
132,ImagesofSingapore,75,132,4.4,40ImbiahRoad,全年  11:00-19:00；最后一场的时间是19:00，以上时间仅供参考，具体以景区当天的安排为准。。,2020-02-16 17:04:41.971029
133,Istana,128,133,4.6,"OrchardRoad,Singapore238823",暂停营业,2020-02-16 17:05:28.423949
134,SentosaNatureDiscovery,54,134,4.5,40ImbiahRoad,9:00-17:00,2020-02-16 17:06:32.138595
135,ShentonWay,41,135,4.3,"ShentonWay,Singapore",全天开放,2020-02-16 17:08:09.343635
136,CineBlast,46,136,4.4,51BImbiahRoad,8:00–18:00,2020-02-16 17:08:39.249737
137,ChangiVillage,42,137,4.5,Singapore,全天开放,2020-02-16 17:09:20.214037
138,AbdulGaffoorMosque,54,138,4.4,"41DunlopStreet,Singapore,Singapore",周六-周四10:00-12:00，14:00-16:00；周五14:30-16:00,2020-02-16 17:09:47.425991
139,TheSouthernRidges,27,139,4.7,",TheSouthernRidgesSingapore099203",全天开放,2020-02-16 17:10:25.558957
140,CanopyPlaygroundofChangiAirport,31,140,4.4,新加坡樟宜机场T1三层公共区域ViewingMall,10:30-22:30,2020-02-16 17:10:51.867001
141,SingaporeManagementUniversity,45,141,4.4,"70StamfordRoad,#B1-38a,Singapore178901",,2020-02-16 17:11:32.192107
142,ChangiBeach,44,142,4.3,ChangiBeachParkSingapore,全天开放,2020-02-16 17:12:07.780238
143,SupertreeGrove,66,143,4.7,"18MarinaGardensDriveGardensBytheBay|GardensbytheBay,Singapore018953,Singapore",5:00-次日2:00,2020-02-16 17:12:40.659162
144,LibraryOrchard,76,144,4.7,"277OrchardRoad,OrchardGateway,Singapore",11:00-21:00；圣诞节前夕17:00关闭，新年和中国新年、公众假期闭馆。,2020-02-16 17:13:19.521284
145,SakyaMuniBuddhaGayaTemple,39,145,4.2,"336RaceCourseRd.,Singapore,Singapore",8:30-16:45,2020-02-16 17:14:10.402556
146,not available,37,146,4.5,50 Beach View， #01-k5， Gogreen Hub,思维车探险旅程：10:00-19:30（周一-周日）（首轮探险旅程：上午10:30，最后出发时间：18:30） 思维车乐趣游：10:00-19:30（最后出发时间19:00）,2020-02-16 17:14:44.706953
147,KusuIsland,56,147,4.1,10KhusuIsland,全天开放,2020-02-16 17:15:16.127926
148,KranjiWarMemorial,50,148,4.1,9WoodlandsRoad,全天开放,2020-02-16 17:15:59.935870
149,TheChangiMuseum,47,149,4.1,"1000,UpperChangiRoadNorth,Singapore507707",9:30-17:00（16:30停止入场）,2020-02-16 17:16:41.612590
150,JurongLakeGardens,30,150,4.6,"1ChineseGarden,Singapore619795,Singapore",全天开放,2020-02-16 17:17:10.598845
151,SuntecSingaporeInternationalConventionandExhibitionCentre,43,151,4.7,"1RafflesBoulevard,Singapore039593,Singapore",7:00-23:00,2020-02-16 17:17:45.092484
152,not available,100,152,4.7,Palawan Kidz City. 31 Beach View #01-01/02 Singapore 098008,10:00-18:00，最晚入园时间：16:30，园区内最后一场角色扮演的时间：17:30。以下日期景区闭园，请您改期前往：2020年1月15日，2月12/19/26日、4月29日、5月6/13日、8月19日、9月16日。以上时间仅供参考，实际开放时间以景区当天为准。,2020-02-16 17:18:18.635140
153,KuanImThongHoodChoTemple,37,153,4.4,"178WaterlooSt.,Singapore187964,Singapore",周一-周日6:00-18:00,2020-02-16 17:18:59.065849
154,MalabarMosque,33,154,4.2,"471VictoriaStreet,Singapore198370",全天开放,2020-02-16 17:19:33.555421
155,NationalLibraryofSingapore,91,155,4.8,"100VictoriaStreet,Singapore188064,Singapore",10:00-21:00，圣诞节前夕、新年和农历新年17:00关闭，公众假期休息。,2020-02-16 17:19:58.063696
156,KranjiFarm,25,156,4.4,"WoodlandsRd,Singapore738702",全天,2020-02-16 17:20:45.472945
157,GogreenBicycleRental,17,157,4.4,"GogreenSegwayEcoAdventure,SilosoBeach,Sentosa",全天开放,2020-02-16 17:21:08.389403
158,ZoneXofChangiAirport,37,158,4.3,新加坡樟宜机场T3地下二层（公共区域）,10:00-23:00,2020-02-16 17:21:28.767685
159,FormulaSingaporeGrandPrix,21,159,4.4,"MarinaBay,Singapore",暂停营业,2020-02-16 17:22:00.528922
160,VanKleefAquarium,50,160,4.4,史丹福路乔治五世公园内,,2020-02-16 17:22:30.398836
161,LauPaSat,60,161,4.4,"18RafflesQuayTelokAyerFestivalMarket,Singapore048582",全天开放,2020-02-16 17:23:00.668510
162,OCBCSkyway,32,162,4.7,"18MarinaGardensDriveGardensBytheBay|GardensbytheBay,Singapore018953,Singapore",9:00-21:00（最后售票和入场时间为20:00）；将在以下日期关闭进行维护：2月17日、3月23日、4月20日、5月4日、6月1日、7月20日、8月24日、9月28日、10月19日、11月16日、12月21日；景点可能会因容量，恶劣天气，特殊事件或其他原因而更改营业时间，具体开放时间请见官网公示信息。,2020-02-16 17:23:36.814343
163,CathedraloftheGoodShepherd,31,163,4.1,"AQueenStreet,Singapore188533",每天弥撒时间不同，具体请查看官网。,2020-02-16 17:24:00.248453
164,MarinaSquare,11,164,4.5,6RafflesBoulevard,10:00-22:00,2020-02-16 17:24:37.712799
165,TanjongPagar,35,165,4.5,"21McCallumSt,Singapore069047",全天开放,2020-02-16 17:24:51.995536
166,CentralBusinessDistrict,51,166,4.6,"ShentonWay,Singapore,Singapore",,2020-02-16 17:25:24.102578
167,AngMoKioTown,20,167,3.3,新加坡,全天开放,2020-02-16 17:25:53.313312
168,AndersonBridge,51,168,4.5,"MouthofSingaporeRiver,Singapore,Singapore",,2020-02-16 17:26:25.834807
169,TheLuxeHouse,19,169,4.3,"BLK7ADempseyRoad,Singapore",13:00-次日1:00，23:00为最后招待时间,2020-02-16 17:26:58.787008
170,CentralFireStation,48,170,4.6,"62HillStreet,Singapore,Singapore",,2020-02-16 17:27:20.051825
171,KentRidgePark,19,171,4.4,"Vigilantedrive,Singapore,Singapore",全天开放,2020-02-16 17:27:57.108774
172,Spectra,28,172,4.6,MarinaBay,周一-周四、周日：20:00、21:00两场；周五、周六：20:00、21:00、22:00三场；每场表演约15分钟。,2020-02-16 17:28:17.614130
