TEXT,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,ASPECT_CATEGORY_NAME,COVID_RELATED,SENTIMENT_KEYWORD_AGG_INDEX2
湖泊平均,6,3061,NA,NA,137
湖面面积,6,3150,NA,NA,138
特色,332,35,Arts & Culture,NA,139
环境优美,120,126,Environment and Ambiance,NA,140
现在,476,20,NA,NA,141
白天,140,116,NA,NA,142
神话传说,8,2427,Arts & Culture,NA,143
空气,61,305,Environment and Ambiance,NA,144
空气清新,100,155,Environment and Ambiance,NA,145
美食,162,99,Food,NA,146
苏东坡,20,922,Arts & Culture,NA,147
西泠桥,6,3699,POI/Places,NA,148
西湖周围,6,3341,POI/Places,NA,149
西湖水,6,3417,POI/Places,NA,150
西湖美景美不胜收,6,3306,POI/Places,NA,151
观赏性淡水湖泊,8,2327,Sightseeing,NA,152
赤山涧,6,3386,POI/Places,NA,153
这次,217,69,NA,NA,154
金沙涧,6,3282,POI/Places,NA,155
长桥溪四条溪流,6,3535,POI/Places,NA,156
雨天,16,1173,Environment and Ambiance,NA,157
龙泓涧,6,3035,POI/Places,NA,158
一树高,4,6267,NA,NA,159
一生,26,701,NA,NA,160
一番风味,35,518,Experience,NA,161
一种动人,5,4109,Experience,NA,162
一种深远,4,5659,Experience,NA,163
一般悲壮,4,5601,Experience,NA,164
一色湖光万顷秋,4,5589,Sightseeing,NA,165
一路,58,316,Transportation/Accessibility,NA,166
丁家山,4,5608,POI/Places,NA,167
万条,4,5289,NA,NA,168
三岛,6,3252,POI/Places,NA,169
三秋桂子,4,5438,Sightseeing,NA,170
不少,104,149,NA,NA,171
丘陵边缘,4,6045,NA,NA,172
东西,410,24,NA,NA,173
两只孤单的小船,4,5904,NA,NA,174
中国十大,9,2135,NA,NA,175
中外,19,985,NA,NA,176
乌云的灰色天空,4,5479,Environment and Ambiance,NA,177
乌镇,6,3208,POI/Places,NA,178
九溪烟树,4,5497,POI/Places,NA,179
也不,116,128,NA,NA,180
事情,30,603,NA,NA,181
二月春风,4,6221,Environment and Ambiance,NA,182
五湖,4,6313,NA,NA,183
交通,270,51,Transportation/Accessibility,NA,184
亭台楼阁,28,640,Sightseeing,NA,185
人间仙境,12,1558,POI/Places,NA,186
仙境,8,2360,POI/Places,NA,187
传说中的西湖,4,4148,POI/Places,NA,188
传说中的许仙,4,4149,Arts & Culture,NA,189
传说故事,5,3845,Arts & Culture,NA,190
传说联系在一起,4,4185,Arts & Culture,NA,191
全国,80,217,NA,NA,192
全程,56,326,NA,NA,193
公里,89,197,NA,NA,194
最后,123,124,NA,NA,195
净慈寺,7,2821,POI/Places,NA,196
到不了一起的灵魂,4,4861,NA,NA,197
剪刀,6,3014,NA,NA,198
历史文化,31,581,Arts & Culture,NA,199
原本精彩的人生,4,4514,NA,NA,200
去年,59,312,NA,NA,201
双峰,4,4353,NA,NA,202
古人,26,706,NA,NA,203
名满,5,3911,NA,NA,204
后人,28,651,NA,NA,205
后来,91,184,NA,NA,206
周边,92,176,NA,NA,207
味道,66,281,Food,NA,208
呼吸,15,1298,NA,NA,209
四季不同,4,4591,NA,NA,210
园林布局,4,4579,Sightseeing,NA,211
坐标,7,2865,Transportation/Accessibility,NA,212
基本格局,4,4557,NA,NA,213
墓等景点,4,4432,POI/Places,NA,214
多人,216,71,Transportation/Accessibility,NA,215
天下西湖,4,4837,POI/Places,NA,216
天莲叶,4,5013,Sightseeing,NA,217
太子湾,8,2657,POI/Places,NA,218
太过精致,4,4917,Experience,NA,219
好想再,13,1472,NA,NA,220
孤山路,4,4254,POI/Places,NA,221
宋代的杨万里,4,6104,NA,NA,222
小时,160,101,NA,NA,223
小船,9,2133,Activities,NA,224
小雨,33,545,Environment and Ambiance,NA,225
崦嶂微,4,5698,Sightseeing,NA,226
平方厘米,4,5807,NA,NA,227
年均太阳,4,5726,NA,NA,228
心情,100,154,Experience,NA,229
心里很难,4,6254,Experience,NA,230
想再,69,268,NA,NA,231
手机像素,4,6086,Sightseeing,NA,232
描花纸伞,4,5835,Sightseeing,NA,233
故事的地方,4,5798,POI/Places,NA,234
文人墨客,14,1421,NA,NA,235
日出江花红,4,5299,Sightseeing,NA,236
日照时数,4,5277,NA,NA,237
早晚,6,3142,NA,NA,238
时空的感觉,4,5632,NA,NA,239
时节,14,1357,NA,NA,240
时间一定,31,588,NA,NA,241
时间无涯的荒漠,4,5642,NA,NA,242
春来江水绿,4,6182,Sightseeing,NA,243
景中,5,3847,Sightseeing,NA,244
景色优美,107,143,Sightseeing,NA,245
晴方好,7,2773,Sightseeing,NA,246
暑期,10,1937,NA,NA,247
月光,5,4044,NA,NA,248
机会,70,263,NA,NA,249
杨柳青青,4,4973,Sightseeing,NA,250
杭州东站,6,3129,Transportation/Accessibility,NA,251
杭州市,11,1830,NA,NA,252
杭州市政府,4,4845,NA,NA,253
杭州的小伙伴,4,4812,Family/ Friends,NA,254
杭州的灵魂,4,4815,NA,NA,255
杭州的美景,4,4819,Sightseeing,NA,256
杭州脸上,4,4821,NA,NA,257
杭州西湖美景,4,4889,POI/Places,NA,258
柳如烟,4,5188,Sightseeing,NA,259
柳枝,8,2352,Sightseeing,NA,260
梦境,12,1696,NA,NA,261
梦泉,4,5229,NA,NA,262
植物造景,4,5070,Sightseeing,NA,263
楼殿参差,4,5087,Sightseeing,NA,264
次西湖,4,5044,POI/Places,NA,265
每个人,30,602,NA,NA,266
水波粼粼的湖面,4,4371,Sightseeing,NA,267
水漫,4,4372,NA,NA,268
汀洲新绿,4,4329,Sightseeing,NA,269
沉静温雅,4,4417,Experience,NA,270
油纸伞,5,3937,NA,NA,271
浙江省,4,4722,NA,NA,272
涟漪,6,3175,NA,NA,273
淡淡的涟漪,4,4604,NA,NA,274
清晨,23,776,NA,NA,275
清波,4,4578,Sightseeing,NA,276
湖滨,5,3770,Sightseeing,NA,277
湖畔朦胧,4,4639,Sightseeing,NA,278
湖畔绿,4,4638,Sightseeing,NA,279
灵隐寺,78,226,POI/Places,NA,280
烟雨中的西湖,5,3991,POI/Places,NA,281
爱情的烈士,4,4790,NA,NA,282
玉带晴,4,4404,NA,NA,283
环境优雅,16,1128,Environment and Ambiance,NA,284
环境真的,11,1783,Environment and Ambiance,NA,285
现代的女子,4,4433,NA,NA,286
理由,61,301,NA,NA,287
白蛇传,8,2504,Arts & Culture,NA,288
白蛇娘子,5,3950,NA,NA,289
白蛇的爱情,4,4532,NA,NA,290
的很开心,189,90,Experience,NA,291
码头,48,390,Transportation/Accessibility,NA,292
视野开阔,31,586,Sightseeing,NA,293
空碧,4,5203,Sightseeing,NA,294
竹径,6,3170,Transportation/Accessibility,NA,295
第二次,107,144,NA,NA,296
繁华街头,4,4980,NA,NA,297
线路,28,653,Transportation/Accessibility,NA,298
细叶,4,5010,NA,NA,299
细雨蒙蒙,5,3757,Environment and Ambiance,NA,300
绿丝绦,4,4921,Sightseeing,NA,301
绿色,14,1383,NA,NA,302
网红,155,105,NA,NA,303
美的地方,74,242,POI/Places,NA,304
自古以来,5,3863,NA,NA,305
节假日,149,108,Activities,NA,306
花都,12,1589,NA,NA,307
荷塘月色,4,6316,Sightseeing,NA,308
蒙雨,6,3514,Environment and Ambiance,NA,309
薄纱一般,4,6209,NA,NA,310
西子 淡妆浓,4,6319,Sightseeing,NA,311
西湖一定,4,6224,POI/Places,NA,312
西湖全景,5,3903,POI/Places,NA,313
西湖周边,6,3353,POI/Places,NA,314
西湖夜景,4,6227,POI/Places,NA,315
西湖景点,4,6248,POI/Places,NA,316
西湖水域全景,4,6262,POI/Places,NA,317
西湖的风景优美,4,6223,POI/Places,NA,318
西湖美景名不虚传,4,6127,POI/Places,NA,319
西湖附近,5,3874,POI/Places,NA,320
西湖风景,6,3357,POI/Places,NA,321
详细地址,74,247,Transportation/Accessibility,NA,322
赶时间,11,1855,NA,NA,323
趣味性强,51,364,Experience,NA,324
过去,166,97,NA,NA,325
这样的情景,5,3982,Sightseeing,NA,326
这种幽情雅兴,5,4012,Experience,NA,327
远处隐隐约约,4,5964,NA,NA,328
都是美景,5,3787,Sightseeing,NA,329
酒店,166,98,NA,NA,330
长桥,6,3534,Facilities,NA,331
阮墩,4,5856,NA,NA,332
阳光,47,393,NA,NA,333
附近,73,249,Transportation/Accessibility,NA,334
雨中,16,1169,NA,NA,335
雨中遥遥的,4,5998,NA,NA,336
靓丽的城市同,4,5901,NA,NA,337
静静的,27,670,NA,NA,338
非常适合,68,273,Experience,NA,339
韵味,23,809,NA,NA,340
颗珠,4,5316,NA,NA,341
颗美人痣,4,5278,NA,NA,342
风光,90,189,Sightseeing,NA,343
风景宜人,12,1613,Sightseeing,NA,344
风景旧,4,5474,Sightseeing,NA,345
鹄湾,4,6245,POI/Places,NA,346
龙井,4,6234,Food,NA,347
一去的地方,114,132,POI/Places,NA,349
一叶扁舟,6,3415,NA,NA,350
一周,9,2166,NA,NA,351
一大景点,4,6201,POI/Places,NA,355
一天时间,29,622,NA,NA,356
一家,47,394,Family/ Friends,NA,359
一家餐厅,4,6255,Food,NA,362
一小时,31,575,NA,NA,363
一开始,16,1150,NA,NA,367
一整天,73,248,NA,NA,370
一早,8,2445,NA,NA,373
一番情趣,6,3575,Experience,NA,383
一番滋味,15,1241,Experience,NA,384
一种方式,4,5635,NA,NA,387
一种风景,4,5672,Sightseeing,NA,389
一行,13,1520,Family/ Friends,NA,392
一起,171,96,Family/ Friends,NA,393
三个字,9,2152,NA,NA,398
三五好友,6,3384,Family/ Friends,NA,399
三小时,13,1526,NA,NA,402
三月,6,3274,NA,NA,403
上午,65,286,NA,NA,409
上旬,3,6800,NA,NA,410
上镜,3,7314,NA,NA,412
下午,90,192,NA,NA,413
下雨天,35,513,NA,NA,414
不久的夫人孙氏,3,6450,NA,NA,416
不仅仅是,11,1765,NA,NA,417
不出门,16,1216,NA,1,418
不同季节,4,5699,NA,NA,420
不同特色的人文底蕴,4,5706,Arts & Culture,NA,421
不自觉,4,5736,NA,NA,425
世界人民,7,2826,NA,NA,430
世界遗产,5,3857,NA,NA,433
世界遗产名录,5,3856,NA,NA,434
小瀛洲,5,4045,Sightseeing,NA,438
个角度,3,6491,NA,NA,448
九曲桥,18,1062,Family/ Friends,NA,450
也要,29,627,NA,NA,451
人更多,7,2813,Transportation/Accessibility,NA,456
人民币,13,1517,Price,NA,457
人真的,17,1105,NA,NA,459
今年疫情,4,4290,Safety,1,460
传奇,3,6348,NA,NA,462
作用,24,761,NA,NA,463
倒影,4,4201,NA,NA,468
全岛,3,7344,NA,NA,470
园中,20,899,Sightseeing,NA,476
夜景,510,17,Sightseeing,NA,480
奇景,3,7156,Sightseeing,NA,481
好美,18,997,Experience,NA,482
小的时候,12,1571,NA,NA,491
岛屿,19,968,NA,NA,493
島上,3,6548,NA,NA,494
市里,3,7285,NA,NA,497
寺庙,71,260,POI/Places,NA,500
济公殿,18,1020,POI/Places,NA,501
东晋咸,16,1184,NA,NA,502
元年,16,1151,NA,NA,503
大雄宝殿,30,590,POI/Places,NA,504
药师殿,16,1198,POI/Places,NA,505
华严,14,1440,NA,NA,506
天王殿,28,645,POI/Places,NA,507
香火,21,879,NA,NA,508
名云林寺,12,1549,POI/Places,NA,509
罗汉堂,12,1567,POI/Places,NA,510
两边,25,723,NA,NA,511
中轴线,38,474,NA,NA,512
云林禅寺,10,1876,POI/Places,NA,513
方丈楼等,10,1999,POI/Places,NA,514
西印度僧人慧理和尚,10,2009,NA,NA,515
高峰,28,644,NA,NA,516
仙灵,8,2328,NA,NA,517
占地面积,68,276,NA,NA,518
古刹,14,1338,POI/Places,NA,519
大悲楼,8,2464,POI/Places,NA,520
景区门票,16,1147,Transportation/Accessibility,NA,521
杭州灵隐寺,8,2351,POI/Places,NA,522
法堂,8,2562,POI/Places,NA,523
灵隐寺开山祖师,8,2266,NA,NA,524
香火旺盛,12,1539,NA,NA,525
五代吴越王钱镠命,6,3659,NA,NA,526
以前,156,104,NA,NA,527
光泉法师,6,3525,NA,NA,528
全国重点文物,36,511,Arts & Culture,NA,529
公交,46,404,Transportation/Accessibility,NA,530
千年古刹,8,2303,POI/Places,NA,531
南朝梁武帝,6,3284,NA,NA,532
去处,103,152,POI/Places,NA,533
名灵,6,3640,NA,NA,534
大师重,6,3619,NA,NA,535
宋宁宗,6,3421,Arts & Culture,NA,536
已有,14,1359,NA,NA,537
平方米,103,153,NA,NA,538
年间,7,2687,NA,NA,539
康熙帝,10,1869,Arts & Culture,NA,540
新寺,6,3556,POI/Places,NA,541
林木,6,2933,Sightseeing,NA,542
永明,6,3134,NA,NA,543
江南禅宗,6,3220,NA,NA,544
清康熙,9,2193,Arts & Culture,NA,545
灵隐寺被誉,6,3088,POI/Places,NA,546
灵隐寺门票,6,3084,Transportation/Accessibility,NA,547
环境清幽,10,2087,Environment and Ambiance,NA,548
香客,6,3612,NA,NA,549
不信佛,4,5722,NA,NA,550
中国佛教禅宗十大,4,5284,NA,NA,551
中国的寺庙文化,4,5617,Arts & Culture,NA,552
之久,6,3158,NA,NA,553
买票,114,131,Transportation/Accessibility,NA,554
云林寺,4,6178,POI/Places,NA,555
云烟,4,6195,NA,NA,556
佛教,13,1446,Arts & Culture,NA,557
公交车,34,534,Transportation/Accessibility,NA,558
公元,39,464,NA,NA,559
历史,285,46,Arts & Culture,NA,560
名字,33,547,NA,NA,561
地域特色,4,4663,Arts & Culture,NA,562
大名寺,4,5213,POI/Places,NA,563
大殿,48,383,POI/Places,NA,564
大起,4,4816,NA,NA,565
小岭,4,5353,NA,NA,566
屋面建筑群,4,5920,Facilities,NA,567
山麓,4,6029,NA,NA,568
差异,4,5864,NA,NA,569
康熙,20,896,Arts & Culture,NA,570
往前,17,1107,NA,NA,571
德和尚住持灵,4,6162,NA,NA,572
意思,73,250,NA,NA,573
方丈,5,4114,NA,NA,574
早上,83,205,NA,NA,575
杭州最早的名刹,4,4798,POI/Places,NA,576
殿堂时间,4,4445,NA,NA,577
每天,74,246,NA,NA,578
气势恢宏,42,438,Experience,NA,579
沿路,14,1386,Transportation/Accessibility,NA,580
济公,4,4588,NA,NA,581
济公和尚,4,4711,NA,NA,582
浙江灵隐寺,4,4720,POI/Places,NA,583
深山古寺,4,4608,POI/Places,NA,584
环境都是,33,543,Environment and Ambiance,NA,585
禅宗巨匠,4,5232,NA,NA,586
西湖公交,4,6216,Transportation/Accessibility,NA,587
规模,48,388,NA,NA,588
路法云,4,5326,NA,NA,589
韬光寺,4,5398,POI/Places,NA,590
风景秀丽,51,363,Sightseeing,NA,591
风格,98,159,NA,NA,592
风水宝地,6,3266,POI/Places,NA,593
溪湿地,76,232,POI/Places,NA,596
溪湿地公园,52,355,POI/Places,NA,597
湿地公园,48,382,POI/Places,NA,598
公园,203,81,POI/Places,NA,599
周家村,24,750,POI/Places,NA,600
湿地,24,749,POI/Places,NA,601
电影,45,417,NA,NA,602
公园面积,21,863,NA,NA,603
导游,144,113,Service,NA,604
深潭口码头,16,1156,Transportation/Accessibility,NA,605
路线,94,170,Transportation/Accessibility,NA,606
周村,14,1313,NA,NA,607
桑蚕丝绸故事馆,14,1406,POI/Places,NA,608
湿地公园的主景区,14,1323,POI/Places,NA,609
溪人家,14,1303,NA,NA,610
溪国家湿地公园,14,1432,POI/Places,NA,611
烟水鱼庄区域,14,1301,POI/Places,NA,612
程船票,14,1424,Transportation/Accessibility,NA,613
龙骨水车,14,1354,Sightseeing,NA,614
周家村入口,12,1640,Transportation/Accessibility,NA,615
橹船,16,1182,Activities,NA,616
每个,50,372,NA,NA,617
电瓶船,12,1577,Activities,NA,618
家人,114,133,Family/ Friends,NA,619
旅游,212,75,NA,NA,620
景观,93,174,Sightseeing,NA,621
溪湿地真的,8,2521,POI/Places,NA,622
环境很好,98,157,Environment and Ambiance,NA,623
船票,46,400,Transportation/Accessibility,NA,624
三西,6,3336,NA,NA,625
亮点特色,62,297,Arts & Culture,NA,626
农耕湿地,6,3119,POI/Places,NA,627
几次,108,140,NA,NA,628
工作人员,104,150,Service,NA,629
文化,92,180,Arts & Culture,NA,630
文化湿地,6,3326,POI/Places,NA,631
杭州本地人,10,2092,NA,NA,632
梅花,6,3676,Sightseeing,NA,633
水中,13,1492,NA,NA,634
河渚街,6,3586,POI/Places,NA,635
深潭口,6,3197,POI/Places,NA,636
溪国家湿地公园·周家村,6,3000,POI/Places,NA,637
疫情期间,113,134,Safety,1,638
福堤,6,3343,POI/Places,NA,639
绿堤,6,3701,POI/Places,NA,640
西泠,6,3673,POI/Places,NA,641
门票价格,87,199,Transportation/Accessibility,NA,642
门票信息,8,2537,Transportation/Accessibility,NA,643
面积,75,237,NA,NA,644
一体的国家湿地公园,4,6187,POI/Places,NA,645
两天一晚,14,1332,NA,NA,646
个圈,6,3183,NA,NA,647
个点,4,5455,NA,NA,648
个点自由,4,5456,NA,NA,649
了一圈,64,292,NA,NA,650
交通指南,4,6314,Transportation/Accessibility,NA,651
交通方便,73,251,Transportation/Accessibility,NA,652
人少,126,121,Transportation/Accessibility,NA,653
人身心放松怡然自得,4,6120,Experience,NA,654
今年,58,315,NA,NA,655
假期,75,239,NA,NA,656
停车场,39,467,Facilities,NA,657
健康码,14,1356,Safety,1,658
入口,18,1039,Transportation/Accessibility,NA,659
公众号,23,799,Transportation/Accessibility,NA,660
公园环境优美,6,3263,Environment and Ambiance,NA,661
再来,107,142,NA,NA,662
办法,15,1248,NA,NA,663
北门入口,4,5084,Transportation/Accessibility,NA,664
区域,77,231,NA,NA,665
原生态,6,3608,NA,NA,666
周一,25,724,NA,NA,667
周家村站,4,4726,Transportation/Accessibility,NA,668
周末,158,102,NA,NA,669
品种,41,445,NA,NA,670
四月,9,2192,NA,NA,671
园内环境优美,4,4563,Environment and Ambiance,NA,672
园子,66,283,NA,NA,673
地址,62,299,Transportation/Accessibility,NA,674
地铁,196,85,Transportation/Accessibility,NA,675
大氧,4,5191,NA,NA,676
家人一起,54,342,Family/ Friends,NA,677
寿堤,4,5652,POI/Places,NA,678
小花花,4,5416,Sightseeing,NA,679
尾声,7,2829,NA,NA,680
山明水绿,4,6059,Sightseeing,NA,681
年前,78,225,NA,NA,682
很适合周末,4,6150,Experience,NA,683
很适合家人,4,6287,Family/ Friends,NA,684
很适合家庭,4,6294,Family/ Friends,NA,685
徐志摩,4,6103,NA,NA,686
意境,15,1267,Experience,NA,687
收费,55,333,Price,NA,688
故事,80,219,NA,NA,689
方式,30,614,NA,NA,690
景区面积,6,3290,NA,NA,691
景色不错,79,223,Sightseeing,NA,692
朋友一起,61,302,NA,NA,693
杭州健康,4,4836,Safety,1,694
杭州有名的景点,6,3070,POI/Places,NA,695
梅竹山庄,4,5266,POI/Places,NA,696
植被,14,1396,Sightseeing,NA,697
段航程,4,4467,Transportation/Accessibility,NA,698
毛钱,5,3854,Price,NA,699
江南水乡,7,2707,NA,NA,700
沿途,14,1433,Transportation/Accessibility,NA,701
消费,82,210,Shopping,NA,702
游船干净整洁,4,4631,Facilities,NA,703
游船经典路线,4,4632,Activities,NA,704
溪天堂入口,4,4628,Transportation/Accessibility,NA,705
溪湿地北门站,4,4621,Transportation/Accessibility,NA,706
溪湿地周家村,4,4620,POI/Places,NA,707
溪湿地国家公园真的,4,4646,POI/Places,NA,708
溪美,4,4670,NA,NA,709
溪花,4,4669,NA,NA,710
火柿,4,4616,NA,NA,711
烟水,4,4587,NA,NA,712
热情专业,6,3148,Service,NA,713
父母来的,4,4783,Family/ Friends,NA,714
特点,44,427,Arts & Culture,NA,715
生态资源丰富,4,4361,Sightseeing,NA,716
视野很好,8,2365,Sightseeing,NA,717
程网,18,1030,NA,NA,718
站点,5,4130,NA,NA,719
网上,228,66,NA,NA,720
计划,24,753,NA,NA,721
非常好,343,32,Experience,NA,722
风景很美,3,7144,Sightseeing,NA,723
高庄,4,5545,POI/Places,NA,724
一体,47,392,NA,NA,726
一大亮点,5,3775,Experience,NA,727
一家人,36,503,Family/ Friends,NA,729
一年,20,944,NA,NA,731
一片,23,792,NA,NA,739
宋城,15,1285,POI/Places,NA,744
千古情,11,1807,Activities,NA,745
宋城千古情,9,2235,Activities,NA,746
位置,79,224,NA,NA,747
大型实景,4,5260,Activities,NA,748
节目,33,553,Activities,NA,749
丽江,4,5522,POI/Places,NA,750
丽江恋歌,3,7345,Activities,NA,751
内容,45,411,NA,NA,752
古装,3,6682,NA,NA,753
大地震,3,6665,NA,NA,754
宋城景区,3,6697,POI/Places,NA,755
实景,7,2776,NA,NA,756
映山红,3,7109,Sightseeing,NA,757
不想,56,325,NA,NA,758
主题公园,8,2491,POI/Places,NA,759
值得看,22,829,Experience,NA,760
千年,4,5054,NA,NA,762
千年历史,4,5056,Arts & Culture,NA,763
半天,45,416,NA,NA,764
古代,44,421,NA,NA,765
场景,50,371,NA,NA,766
就有,11,1812,NA,NA,768
广告,4,5748,NA,NA,769
比较好,58,318,Experience,NA,771
清明上河图,6,3089,Arts & Culture,NA,772
演员,10,1989,Activities,NA,773
票价,82,212,Price,NA,774
老人,46,399,Family/ Friends,NA,776
一去的景点,28,641,POI/Places,NA,777
一般,3,7087,Experience,NA,780
个景点,7,2716,NA,NA,788
中外游客,12,1648,NA,NA,791
主体,4,5504,NA,NA,792
主题,16,1191,NA,NA,794
也可以,120,127,NA,NA,795
了一趟,18,999,NA,NA,797
五星酒店一般,31,589,Experience,NA,800
人太多,409,25,Transportation/Accessibility,NA,802
人生,27,675,NA,NA,803
人类,36,499,NA,NA,804
价格,277,47,Price,NA,806
住在,23,790,NA,NA,809
雷峰,6,3049,NA,NA,811
新建,12,1557,NA,NA,812
电梯,194,86,Facilities,NA,813
皇妃塔,5,3893,POI/Places,NA,814
个小,12,1570,NA,NA,815
中国首座,22,825,NA,NA,816
名皇妃塔,4,4390,POI/Places,NA,818
塔顶,32,562,NA,NA,820
整体挺好,3,6608,Experience,NA,822
民间,6,3153,NA,NA,825
站在,97,160,NA,NA,832
西关砖塔,4,6138,POI/Places,NA,833
遗址,22,849,NA,NA,835
门票贵,22,838,Price,NA,838
一楼,31,585,NA,NA,843
三楼,4,5457,NA,NA,847
中心岛,3,7113,NA,NA,856
临水的亭台,3,7090,Facilities,NA,859
之时,15,1271,NA,NA,860
二楼,9,2182,NA,NA,863
